"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","TWIST1","ERK","cfos","EGR1","NOTCH","Jagged","NOTCHic","AKT","ZEB2","SHH","IKK","Csl","NFB","Csn","SMO","SNAI2","FUS","HEY1","SOSGRB2","SMAD","ILK","ZEB1","RAS","RAF","PI3K","DELTA","cateninnuc","TCFLEF","GLI","CD44","Wnt","cMet","AXIN2","Frizzled","SRC","DSH","STAT","Destcompl","LIV1","KLF4","GSK3","cateninmemb","miR200","SUFU","Ecadherin","Patched","TrCP","RKIP"
"Destcompl",0.0425930696979232,0.0127334345716508,0.0165757991036705,0.0176284306826179,0.0169387755102041,0.0789652554909699,0.0445080491895184,-0.052297082267046,0.0466177538308686,0.0504428904428904,0.0625641025641026,-0.0765613404639282,-0.210953697500833,-0.0739561300430866,0.0223490571316658,0.150938358075268,-0.153165716443916,0.0223490571316658,-0.0717822169996083,0.0250517598343685,0.0380952380952381,-0.154789272030651,-0.243322256957302,-0.154789272030651,-0.0399964138425677,-0.0663214036521844,-0.0360860484544695,-0.0369047619047619,0.0241700071949841,-0.0043189572252442,-0.000708282185997729,-0.000708282185997729,-0.000708282185997729,-0.199111815590774,-0.197174028747327,-0.195055864266885,-0.194434302719929,-0.190046587829037,-0.189583556451273,-0.246347463452858,-0.18311589475973,-0.18311589475973,-0.181746031746032,-0.181746031746032,-0.0255430261771222,-0.188888888888889,-0.162503072439935,-0.0827821252598278,0.233830980140136,-0.137367436729424,0.144444444444444,0.0801247723553231,0.152198598455522,-0.0666666666666667,-0.107611476572129
"AXIN2",0.0983721274821977,0.054333952077607,0.0569742161040096,0.0622839506172839,0.0783333333333333,0.138778417466331,0.107218401284883,-0.0471138525161514,0.115494263353849,0.131382113821138,0.153333333333333,-0.0694477748425117,-0.246355777007951,-0.064718045112782,0.0767632850241546,0.206422272446514,-0.193047649072239,0.0845410628019323,-0.0557894736842105,0.10048309178744,0.122222222222222,-0.187362637362637,-0.282744493516696,-0.173076923076923,-0.0442986887205954,-0.0784895235666624,-0.0418909592822636,-0.0434782608695652,0.0645377849778239,0.0642329191105858,0.0689573285594047,0.0689573285594047,0.0689573285594047,-0.249762941187402,-0.246347463452858,-0.242076934327922,-0.241775364976891,-0.237674418604651,-0.237674418604651,0.178550520442491,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.156202134990964,-0.233333333333333,-0.220715038103259,-0.167282921629604,0.264058793018266,-0.191858055648358,0.15,0.0884382089229684,0.19271978021978,-0.133333333333333,-0.16447743117098
"Wnt",0.145182186234818,0.176811594202899,0.133333333333333,0.1,0.1,0.0649585921325052,0.107843137254902,0.196176470588235,0.0666666666666667,0.0666666666666667,0.1,0.147619047619048,0.0897303921568628,0.114285714285714,0.0716666666666667,0.216068866571019,0.0329004329004329,0.0466666666666667,0.1,0.0666666666666667,0.1,0,0.326637931034483,0,-0.0256410256410256,0.0939393939393939,-0.0251242297753926,-0.0367521367521367,-0.0486370157819225,0.14606971975393,0.118796992481203,0.118796992481203,0.118796992481203,0.300937359956182,0.28703007518797,0.276315789473684,0.276315789473684,0.25,0.25,0.303636363636364,0.3,0.2,0.2,0.1,-0.0331963448995159,0,-0.194117647058824,-0.0660658307210031,-0.297033898305085,-0.156969696969697,0,-0.33533588100858,-0.00909090909090909,-0.1,-0.0783333333333333
"Frizzled",0.177740325769702,0.20824016563147,0.176811594202899,0.133333333333333,0.1,0.0792443064182195,0.144880174291939,0.214271708683473,0.107843137254902,0.0666666666666667,0.0666666666666667,0.17703081232493,0.100841503267974,0.147619047619048,0.102916666666667,0.242801539838345,0.0490294651584974,0.0716666666666667,0.114285714285714,0.0466666666666667,0.0666666666666667,0.00909090909090909,0.346511748069183,0,-0.0150027277686852,0.121212121212121,-0.0204513325791309,-0.0251242297753926,-0.0476469167720215,0.16103034967519,0.14606971975393,0.14606971975393,0.14606971975393,0.314746883765706,0.300937359956182,0.28703007518797,0.28703007518797,0.276315789473684,0.276315789473684,0.324566596194503,0.25,0.25,0.3,0.2,-0.0223210133345291,0.1,-0.213165266106443,-0.0787931034482759,-0.318938660209847,-0.181969696969697,0,-0.360277605950305,-0.0329004329004329,-0.1,-0.103333333333333
"DSH",0.193757641787018,0.223222744028682,0.20824016563147,0.176811594202899,0.133333333333333,0.0888095238095238,0.171195963765623,0.227746885988438,0.144880174291939,0.107843137254902,0.0666666666666667,0.193114728408846,0.110919022647819,0.17703081232493,0.122456896551724,0.262486579208424,0.0557779314161661,0.102916666666667,0.147619047619048,0.0716666666666667,0.0466666666666667,0.0329004329004329,0.363624670071511,0.00909090909090909,-0.00973956987394837,0.143163340724316,-0.0200739740885648,-0.0204513325791309,-0.0531587277956436,0.176436512140176,0.16103034967519,0.16103034967519,0.16103034967519,0.326768255092509,0.314746883765706,0.300755565384048,0.300937359956182,0.28703007518797,0.28703007518797,0.341022292397035,0.276315789473684,0.276315789473684,0.25,0.25,-0.0131607079910177,0.2,-0.237437110766637,-0.0924821985758861,-0.338373289185112,-0.195994087213599,0,-0.378802627899383,-0.0490294651584974,-0.0666666666666667,-0.120815850815851
"STAT",0.15520245398773,0.155610885745325,0.147398325358852,0.128977272727273,0.122727272727273,0.0639058979815598,0.171827956989247,0.0254147817865959,0.16,0.16,0.2,-0.0370110258745324,-0.0243401018185207,-0.0418653948065713,-0.0506295399515739,0.263851533082302,-0.0435984770528915,-0.0557142857142857,-0.0607843137254902,-0.07,-0.05,-0.055,0.0654172984035072,-0.075,-0.072,-0.025615763546798,-0.0591259925592759,-0.0660225442834139,-0.097776582391967,-0.0574659271878819,-0.061197270471464,-0.061197270471464,-0.061197270471464,-0.0226916209275598,-0.0247178426200508,-0.0250763941940412,-0.0250333000333,-0.0275974025974026,-0.0275974025974026,-0.0729454858866623,-0.0321428571428571,-0.0321428571428571,-0.0571428571428571,-0.0571428571428571,-0.089245273798831,0,-0.161616161616162,0.0689541611036938,0.0137421800751531,-0.172121485235225,0.05,-0.0886012437090797,0.0480232558139535,0,-0.0943355855855856
"RAF",0.268803418803419,0.298282153983089,0.258095238095238,0.22,0.2,0.176782381485629,0.219156272927366,0.349863339275104,0.187241379310345,0.17,0.17,0.172999222999223,0.197204705311666,0.138383838383838,0.100865800865801,0.290988043998087,0.125311475409836,0.0857142857142857,0.111111111111111,0.0857142857142857,0.1,0.1,0.613568222882788,0.1,0.0626403406891212,0.0613968253968254,0.0531758792053788,0.0462451861360719,-0.0170205643232903,0.0911449661449661,0.050974025974026,0.050974025974026,0.050974025974026,0.352889637481843,0.333805668016194,0.312307692307692,0.310728744939271,0.27,0.268421052631579,0.332208157524613,0.2,0.2,0.1,0.1,0.0140989496844034,0,-0.274988043998087,-0.158707643814027,-0.442342342342342,-0.225583864723838,-0.1,-0.483879406437094,-0.104,-0.1,-0.189775910364146
"PI3K",0.223082462253194,0.245135820181731,0.210176470588235,0.166176470588235,0.125,0.131815619967794,0.174119483859117,0.249382841756327,0.136414565826331,0.0952380952380952,0.0666666666666667,0.195719602977667,0.118684210526316,0.163461538461538,0.224283559577677,0.291473457000503,0.0564102564102564,0.196078431372549,0.125,0.166666666666667,0.166666666666667,0.0166666666666667,0.376726207238739,0,-0.0126996939427572,0.158461538461538,-0.018928531412565,-0.021328531412565,-0.0459635327912751,0.205504121449327,0.18221645021645,0.18221645021645,0.18221645021645,0.351573403699455,0.334460001637599,0.314685990338164,0.314685990338164,0.294685990338164,0.294685990338164,0.345238095238095,0.255555555555556,0.255555555555556,0.2,0.2,-0.0316025540459979,0.1,-0.26359649122807,-0.172402597402597,-0.355344189908488,-0.218526872625233,0,-0.403690710979836,-0.0397435897435897,-0.2,-0.128038138332256
"ILK",0.223082462253194,0.245135820181731,0.210176470588235,0.166176470588235,0.125,0.131815619967794,0.174119483859117,0.249382841756327,0.136414565826331,0.0952380952380952,0.0666666666666667,0.195719602977667,0.118684210526316,0.163461538461538,0.224283559577677,0.291473457000503,0.0564102564102564,0.196078431372549,0.125,0.166666666666667,0.166666666666667,0.0166666666666667,0.376726207238739,0,-0.0126996939427572,0.158461538461538,-0.018928531412565,-0.021328531412565,-0.0459635327912751,0.205504121449327,0.18221645021645,0.18221645021645,0.18221645021645,0.351573403699455,0.334460001637599,0.314685990338164,0.314685990338164,0.294685990338164,0.294685990338164,0.345238095238095,0.255555555555556,0.255555555555556,0.2,0.2,-0.0316025540459979,0.1,-0.26359649122807,-0.172402597402597,-0.355344189908488,-0.218526872625233,0,-0.403690710979836,-0.0397435897435897,-0.2,-0.128038138332256
"Csn",0.198122023024634,0.228022192723151,0.207735796541767,0.17055630936228,0.127272727272727,0.0937500803636898,0.212984307359307,0.244112513635655,0.180692640692641,0.143030303030303,0.106666666666667,0.197681485181485,0.0984718981432527,0.177489177489177,0.1282,0.295813068651778,0.0402829763221091,0.105,0.142424242424242,0.0716666666666667,0.055,0.012987012987013,0.39842626201116,-0.0142857142857143,-0.0266860465116279,0.153649256312695,-0.0307786029634834,-0.0336063664596273,-0.0604863523573201,0.210098282542884,0.191480240316396,0.191480240316396,0.191480240316396,0.364222956728228,0.351174249572485,0.33641755699201,0.336704796196279,0.320260351751835,0.320260351751835,0.374915997796664,0.304597701149425,0.304597701149425,0.266666666666667,0.266666666666667,0.0243928938242315,0.2,-0.269469223586871,-0.12323865717324,-0.365322929178704,-0.214715691665246,0.0142857142857143,-0.400285186405235,-0.0312665828794861,-0.18,-0.118409063602503
"Jagged",0.254285714285714,0.285333333333333,0.233333333333333,0.2,0.2,0.158333333333333,0.253333333333333,0.244,0.22,0.2,0.1,0.162857142857143,0.0806060606060606,0.12,-0.0222222222222222,0.301932367149758,0.00512820512820513,-0.0333333333333333,0.1,0,0,-0.0333333333333333,0.416289592760181,0,0.0333333333333333,0.12,-0.0619047619047619,-0.0666666666666667,-0.0893719806763285,0.243636363636364,0.18,0.18,0.18,0.304195804195804,0.281118881118881,0.253846153846154,0.253846153846154,0.2,0.2,0.27,0.1,0.1,0,0,0.28172972972973,0,-0.288888888888889,-0.222605363984674,-0.372663252240717,-0.197575757575758,0,-0.403964912280702,0.0333333333333333,0,-0.138461538461538
"DELTA",0.254285714285714,0.285333333333333,0.233333333333333,0.2,0.2,0.158333333333333,0.253333333333333,0.244,0.22,0.2,0.1,0.162857142857143,0.0806060606060606,0.12,-0.0222222222222222,0.301932367149758,0.00512820512820513,-0.0333333333333333,0.1,0,0,-0.0333333333333333,0.416289592760181,0,0.0333333333333333,0.12,-0.0619047619047619,-0.0666666666666667,-0.0893719806763285,0.243636363636364,0.18,0.18,0.18,0.304195804195804,0.281118881118881,0.253846153846154,0.253846153846154,0.2,0.2,0.27,0.1,0.1,0,0,0.28172972972973,0,-0.288888888888889,-0.222605363984674,-0.372663252240717,-0.197575757575758,0,-0.403964912280702,0.0333333333333333,0,-0.138461538461538
"ZEB1",0.297807417865532,0.34304572702657,0.324541790018696,0.301699150424788,0.271264367816092,0.158175418954426,0.25453502634534,0.309888485391055,0.225019607843137,0.202666666666667,0.166666666666667,0.213801450332199,0.168214943300887,0.196446078431373,0.11371297095197,0.305526772812689,0.078957885321712,0.0937129709519701,0.172916666666667,0.0691228070175438,0.0533333333333333,0.0606060606060606,0.403024739115851,0.0333333333333333,0.00245081343526939,0.213723196881092,-0.00930607250487773,-0.0121906878894931,-0.0744006858884714,0.355372167105984,0.33946665529496,0.33946665529496,0.33946665529496,0.358666016783853,0.348979128329841,0.338055218605885,0.33674508577665,0.323965871526847,0.322856196887761,0.371742405630084,0.312427409988386,0.309130706691682,0.29047619047619,0.287179487179487,0.317865014173066,0.233333333333333,-0.280728149053064,-0.302312149333586,-0.448415026282069,-0.268290828508241,-0.0333333333333333,-0.400337916595276,-0.074331550802139,-0.0333333333333333,-0.159342192301573
"AKT",0.243383214132893,0.265377512024632,0.245135820181731,0.210176470588235,0.166176470588235,0.14660258738634,0.20196758512494,0.268037276007092,0.174119483859117,0.136414565826331,0.0952380952380952,0.215231798099619,0.131266991983269,0.195719602977667,0.143475478769596,0.312021402205983,0.0648313090418354,0.224283559577677,0.163461538461538,0.196078431372549,0.166666666666667,0.0397435897435897,0.398736257489995,0.0166666666666667,-0.00894029544651661,0.185128205128205,-0.017918430402464,-0.018928531412565,-0.0487032588186724,0.226467976871014,0.205504121449327,0.205504121449327,0.205504121449327,0.365573403699455,0.351573403699455,0.334239062963863,0.334460001637599,0.314685990338164,0.314685990338164,0.368703799209214,0.294685990338164,0.294685990338164,0.255555555555556,0.255555555555556,-0.0199400230286282,0.2,-0.286673414304993,-0.189741307080017,-0.378687716921739,-0.234034894015608,0,-0.427175559464684,-0.0564102564102564,-0.166666666666667,-0.148535032742194
"MEK",0.303037653037653,0.334048577340753,0.298282153983089,0.258095238095238,0.22,0.199859304562552,0.157489606260699,0.376603266015031,0.219156272927366,0.187241379310345,0.17,0.20584593832769,0.213598147934617,0.172999222999223,0.127924624395213,0.314797567807611,0.144265723775849,0.100865800865801,0.138383838383838,0.0857142857142857,0.0857142857142857,0.104,0.640575522152861,0.1,0.0699130679618484,0.0880634920634921,0.0587109345559323,0.0531758792053788,-0.00829040559313155,0.119398934398934,0.0911449661449661,0.0911449661449661,0.0911449661449661,0.369060641199315,0.352889637481843,0.335384615384615,0.333805668016194,0.312307692307692,0.310728744939271,0.366442391758847,0.27,0.268421052631579,0.2,0.2,0.029789326253441,0.1,-0.288713534194165,-0.179592164698548,-0.469171610635025,-0.246326898779566,-0.1,-0.513387603158405,-0.125311475409836,-0.1,-0.220039068258883
"RAS",0.324444444444444,0.350005824111823,0.309411764705882,0.28,0.26,0.263647984267453,0.311805985552116,0.357348608837971,0.286315789473684,0.26,0.26,0.247864945382324,0.203244628424995,0.215789473684211,0.171111111111111,0.327330633284242,0.115864406779661,0.16,0.2,0.166666666666667,0.2,0.1,0.568440460134342,0.1,0.0729249011857707,0.0125541125541125,0.064378478664193,0.0623376623376623,0.0553497790868925,0.151794871794872,0.205641025641026,0.205641025641026,0.205641025641026,0.388038120215098,0.366225089053625,0.334803921568627,0.333917396745932,0.276470588235294,0.276470588235294,0.34703557312253,0.2,0.2,0.1,0.1,-0.0406401423843284,0,-0.313928571428571,-0.213888888888889,-0.371848762215849,-0.275846153846154,-0.1,-0.416680629212599,-0.104,-0.2,-0.365754716981132
"SOSGRB2",0.348009768009768,0.373632608526226,0.336043956043956,0.301428571428571,0.271428571428571,0.315340440653874,0.353340353340353,0.384347826086957,0.323037323037323,0.30952380952381,0.276190476190476,0.361745296956565,0.298830603824419,0.332167832167832,0.291959064327485,0.330137844611529,0.218981772470145,0.283625730994152,0.309090909090909,0.288888888888889,0.3,0.2,0.63673182969142,0.2,0.169034090909091,-0.0272222222222222,0.154247687796075,0.153548387096774,0.0418170426065163,0.330747501086484,0.285875706214689,0.285875706214689,0.285875706214689,0.378587565430327,0.356216628527841,0.325724637681159,0.32463768115942,0.275,0.273913043478261,0.34164603960396,0.2,0.2,0.1,0.1,-0.042648999024838,0,-0.317280701754386,-0.311552007288333,-0.465574938574939,-0.278211798985847,-0.2,-0.509781390138065,-0.202702702702703,-0.2,-0.353545321637427
"NOTCH",0.30530612244898,0.33694623655914,0.285333333333333,0.233333333333333,0.2,0.190641025641026,0.303333333333333,0.282983050847458,0.253333333333333,0.22,0.2,0.111244239631336,0.0991245791245791,0.162857142857143,0.0222222222222222,0.331561996779388,0.028657616892911,-0.0222222222222222,0.12,-0.0333333333333333,0,-0.0333333333333333,0.450681127151715,-0.0333333333333333,0.0376811594202899,0.156842105263158,-0.0519047619047619,-0.0619047619047619,-0.0671497584541063,0.279868247694335,0.243636363636364,0.243636363636364,0.243636363636364,0.32256315113458,0.304195804195804,0.281118881118881,0.281118881118881,0.253846153846154,0.253846153846154,0.313396226415094,0.2,0.2,0.1,0.1,0.302290477393281,0,-0.301932367149758,-0.249878091257402,-0.403553304596738,-0.229004329004329,0,-0.44348104131296,-0.00512820512820513,0,-0.190185676392573
"HEY1",0.387715377204185,0.37170140428677,0.340969696969697,0.307636363636364,0.263636363636364,0.326107915168817,0.364959479574398,0.410653594771242,0.328877005347594,0.281818181818182,0.2,0.372193557934198,0.338815137885603,0.342296650717703,0.332486772486772,0.334829721362229,0.297244623655914,0.302857142857143,0.305454545454545,0.26,0.2,0.266666666666667,0.464333025702278,0.233333333333333,0.0623223834988541,0.28138936535163,0.036,0.036,0.108261093911249,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,0.392067662856607,0.375006641685997,0.353897196408636,0.353267511251214,0.326310989512084,0.326310989512084,0.40259545543053,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.341494152557151,0.233333333333333,-0.259259259259259,-0.348106210167198,-0.587790125412077,-0.304098494098494,-0.2,-0.659697966869057,-0.285416666666667,-0.1,-0.32459286745001
"FOXC2",0.387715377204185,0.37170140428677,0.340969696969697,0.307636363636364,0.263636363636364,0.326107915168817,0.364959479574398,0.410653594771242,0.328877005347594,0.281818181818182,0.2,0.372193557934198,0.338815137885603,0.342296650717703,0.332486772486772,0.334829721362229,0.297244623655914,0.302857142857143,0.305454545454545,0.26,0.2,0.266666666666667,0.464333025702278,0.233333333333333,0.0623223834988541,0.28138936535163,0.036,0.036,0.108261093911249,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,0.392067662856607,0.375006641685997,0.353897196408636,0.353267511251214,0.326310989512084,0.326310989512084,0.40259545543053,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.341494152557151,0.233333333333333,-0.259259259259259,-0.348106210167198,-0.587790125412077,-0.304098494098494,-0.2,-0.659697966869057,-0.285416666666667,-0.1,-0.32459286745001
