"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","SMO","TWIST1","FUS","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","TrCP","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0559577207883178,0.0248862047301542,0.0281632653061224,0.0265759637188209,0.0210204081632653,0.0516609226009516,0.0946322991785824,0.0625641025641026,0.0529267453857618,0.0534731934731935,0.00964317733548503,0.0136468904501691,0.0134126984126984,-0.11982880823179,0.0449802631010685,-0.111877394636015,-0.0413604556617768,-0.111877394636015,-0.185626117497308,-0.0598730284697872,-0.0560654132393263,-0.0549784567175871,-0.0618962041309292,-0.203149190846705,0.191891294535535,0.191891294535535,-0.234059552409426,0.215209250228206,0.00163489078863064,0.00273551971944825,0.00273551971944825,0.00273551971944825,0,0.0520719931146526,-0.0884241317081484,-0.20361464683165,-0.186794581129653,-0.185758339602481,-0.186130638330879,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,0.122222222222222,-0.188888888888889,-0.0198977501818302,0.116540607071248,-0.121302327657544
"AXIN2",0.109779098382794,0.0639172655242307,0.0634197530864198,0.0647530864197531,0.0783333333333333,0.111846180853043,0.15442716339438,0.153333333333333,0.117363422232353,0.131382113821138,0.0187481889307447,0.0181159420289855,0.0220841959972395,-0.153439770611902,0.101497584541063,-0.152930402930403,-0.0386732086410062,-0.157692307692308,-0.220035634166069,-0.0536633814265393,-0.052312030075188,-0.0505263157894737,-0.0772774023545412,-0.252988588338008,0.245175501457021,0.245175501457021,-0.277301965295016,0.249419805209174,0.0666270310543008,0.069649370081896,0.069649370081896,0.069649370081896,0,0.062949249402692,-0.170031747970862,-0.2593606087525,-0.239952730181869,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,0.15,-0.233333333333333,0.159763338580939,0.151144688644689,-0.178657587931781
"Wnt",0.175218295218295,0.202222222222222,0.146666666666667,0.1,0.1,0.119607843137255,0.104658385093168,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.05,0.22,0,0.153259803921569,0.192857142857143,0.142857142857143,0.1,0.0939393939393939,-0.262745098039216,0.304208512673362,0.304208512673362,0.339673913043478,-0.334703389830508,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,0,-0.402123915071669,-0.0715709728867624,-0.306262626262626,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,0,0,-0.0233176107971793,-0.0954545454545455,-0.12
"PI3K",0.212427597543877,0.239365079365079,0.202222222222222,0.146666666666667,0.1,0.164052287581699,0.117561610899619,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.119417679095098,0.261666666666667,0.0954545454545455,0.243529411764706,0.05,0.16437091503268,0.222268907563025,0.192857142857143,0.142857142857143,0.127272727272727,-0.300840336134454,0.338861978019897,0.338861978019897,0.367522014309301,-0.36655052358847,0.172837396521607,0.150615174299385,0.150615174299385,0.150615174299385,0,-0.437018528654807,-0.0915709728867623,-0.342200126262626,0.348609547228643,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.2,0.2,0.340535588442565,0,0.1,-0.00789207888228566,-0.10974025974026,-0.141428571428571
"ILK",0.212427597543877,0.239365079365079,0.202222222222222,0.146666666666667,0.1,0.164052287581699,0.117561610899619,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.119417679095098,0.261666666666667,0.0954545454545455,0.243529411764706,0.05,0.16437091503268,0.222268907563025,0.192857142857143,0.142857142857143,0.127272727272727,-0.300840336134454,0.338861978019897,0.338861978019897,0.367522014309301,-0.36655052358847,0.172837396521607,0.150615174299385,0.150615174299385,0.150615174299385,0,-0.437018528654807,-0.0915709728867623,-0.342200126262626,0.348609547228643,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.2,0.2,0.340535588442565,0,0.1,-0.00789207888228566,-0.10974025974026,-0.141428571428571
"Frizzled",0.212427597543877,0.239365079365079,0.202222222222222,0.146666666666667,0.1,0.164052287581699,0.117561610899619,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.119417679095098,0.161666666666667,0.0954545454545455,0.243529411764706,0.05,0.16437091503268,0.222268907563025,0.192857142857143,0.142857142857143,0.127272727272727,-0.300840336134454,0.338861978019897,0.338861978019897,0.367522014309301,-0.36655052358847,0.172837396521607,0.150615174299385,0.150615174299385,0.150615174299385,0,-0.437018528654807,-0.0915709728867623,-0.342200126262626,0.348609547228643,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,0,0.1,-0.00789207888228566,-0.10974025974026,-0.141428571428571
"HEY1",0.389770434331706,0.373322638146168,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.33671420000923,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.266666666666667,0.411024291618351,0.233333333333333,0.354196538094589,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.354514963880289,0.354514963880289,0.464864059106832,-0.592777865765671,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,0,-0.673421362470867,-0.347874663133166,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.328674500103071
"FOXC2",0.389770434331706,0.373322638146168,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.33671420000923,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.266666666666667,0.411024291618351,0.233333333333333,0.354196538094589,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.354514963880289,0.354514963880289,0.464864059106832,-0.592777865765671,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,0,-0.673421362470867,-0.347874663133166,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.328674500103071
"DSH",0.230126712588124,0.257804795677136,0.239365079365079,0.202222222222222,0.146666666666667,0.19187183645388,0.133503639885127,0.0666666666666667,0.164052287581699,0.119607843137255,0.072285295891119,0.0760696215325644,0.0631908336537765,0.13107412081289,0.176609195402299,0.10974025974026,0.260620320855615,0.0954545454545455,0.179099597203222,0.239751425045543,0.222268907563025,0.192857142857143,0.155667789001122,-0.33287917108591,0.363465152623071,0.363465152623071,0.391409602131315,-0.39397369143717,0.194966248062223,0.172837396521607,0.172837396521607,0.172837396521607,0,-0.464403687665408,-0.109603759772008,-0.368580494360786,0.365678358667428,0.328532114600226,0.348609547228643,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.05,0.2,0.00491862857469331,-0.119417679095098,-0.159159067882472
"AKT",0.230126712588124,0.257804795677136,0.239365079365079,0.202222222222222,0.146666666666667,0.19187183645388,0.133503639885127,0.0666666666666667,0.164052287581699,0.119607843137255,0.072285295891119,0.0760696215325644,0.0631908336537765,0.13107412081289,0.176609195402299,0.10974025974026,0.260620320855615,0.0954545454545455,0.179099597203222,0.239751425045543,0.222268907563025,0.192857142857143,0.155667789001122,-0.33287917108591,0.363465152623071,0.363465152623071,0.391409602131315,-0.39397369143717,0.194966248062223,0.172837396521607,0.172837396521607,0.172837396521607,0,-0.464403687665408,-0.109603759772008,-0.368580494360786,0.365678358667428,0.328532114600226,0.348609547228643,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.05,0.2,0.00491862857469331,-0.119417679095098,-0.159159067882472
"RAF",0.295423400129282,0.320627177700348,0.266341463414634,0.22,0.2,0.227666911225238,0.219662572996585,0.17,0.187241379310345,0.17,0.159581881533101,0.156725110893631,0.153754813863928,0.208590163934426,0.156168831168831,0.14,0.372959861775651,0.1,0.258543536260005,0.21041181041181,0.156565656565657,0.111111111111111,0.0613968253968254,-0.332663797226208,0.372663797226208,0.372663797226208,0.624078178162041,-0.47475198852248,0.094077474249888,0.050974025974026,0.050974025974026,0.050974025974026,0,-0.54300769303879,-0.163763328959474,-0.380952950808151,0.377308593661977,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,0,0.0230780801837209,-0.184,-0.226050420168067
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.283333333333333,0,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.3,0.2,0.2,0.162857142857143,0.233333333333333,0.2,0.1,0.25,-0.3,0.375,0.375,0.36727969348659,-0.299068100358423,0.303846153846154,0.25,0.25,0.25,0,-0.341666666666667,-0.271794871794872,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"SNAI2",0.42524388063308,0.411319332429833,0.375493787258493,0.333613445378151,0.276470588235294,0.393614202437732,0.37146790711633,0.2,0.349019607843137,0.288235294117647,0.116169379144063,0.112087517128288,0.0934272300469483,0.365447812927988,0.36889281262983,0.301176470588235,0.447155155946255,0.26,0.401762028014479,0.41441672362725,0.376754385964912,0.332894736842105,0.323799864773496,-0.286538461538462,0.378588839941263,0.378588839941263,0.710709954072689,-0.63753975365315,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,0,-0.808746439750999,-0.386330686374715,-0.386587993124707,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.2,0.26,0.385743987724154,-0.335870348139256,-0.355166666666667
"cateninnuc",0.394014145223035,0.377743655582111,0.357436301026677,0.331211517165006,0.299428571428571,0.375402090942628,0.337521500155933,0.297101449275362,0.353842457915105,0.327260179434092,0.124481847142868,0.111590660705415,0.103393939393939,0.217547714104253,0.345354166666667,0.18792349726776,0.322333417087015,0.163333333333333,0.248185478563194,0.375258358118035,0.356621994481671,0.332203389830509,0.259980449657869,-0.301618152507832,0.382744262714204,0.382744262714204,0.463466666663242,-0.409945571148954,0.388456002309867,0.372533508628317,0.372533508628317,0.372533508628317,0,-0.493045353933816,-0.33757163621139,-0.390067835525483,0.182296524371682,0.255050909979439,0.269188117292036,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.133333333333333,0.160606060606061,0.320089029083457,-0.204693683603163,-0.34992765794999
"RAS",0.313978300180832,0.342828947368421,0.29125,0.26,0.26,0.296078431372549,0.259789590254707,0.26,0.266666666666667,0.26,0.160454545454545,0.15488038277512,0.15488038277512,0.191666666666667,0.203809523809524,0.116666666666667,0.356266149870801,0.1,0.254938271604938,0.27124183006536,0.222222222222222,0.2,-0.00424242424242425,-0.345864661654135,0.386524002313476,0.386524002313476,0.567345354813284,-0.393077695493912,0.121383219954649,0.174444444444444,0.174444444444444,0.174444444444444,0,-0.461354399611084,-0.159102012898183,-0.395592903828198,0.40042287706281,0.334090909090909,0.371982510090333,0.275,0.333139534883721,0.275,0.2,0.2,0.1,0.1,0.346577380952381,-0.1,0,-0.0214351518190079,-0.158333333333333,-0.369176470588235
"SOSGRB2",0.360823149318725,0.384347286359799,0.335442176870748,0.296666666666667,0.266666666666667,0.355295387553452,0.34984251594625,0.276190476190476,0.323037323037323,0.30952380952381,0.260308441558442,0.25795022997995,0.251475409836066,0.297880233174351,0.336593256190121,0.233333333333333,0.399483007034494,0.2,0.356221123815915,0.393266733266733,0.347552447552448,0.309090909090909,-0.0322222222222222,-0.359848484848485,0.397529644268775,0.397529644268775,0.642503148489038,-0.491964149753094,0.330629748182354,0.283261327129722,0.283261327129722,0.283261327129722,0,-0.560387372235299,-0.306800065606036,-0.407527651786425,0.397549908146784,0.330882352941176,0.368505073838792,0.275,0.329795396419437,0.273913043478261,0.2,0.2,0.1,0.1,0.34525,-0.2,0,-0.0325140921281883,-0.268468468468469,-0.377251461988304
"MEK",0.336332491038373,0.363274236523878,0.320627177700348,0.266341463414634,0.22,0.174333577891905,0.245636598970611,0.17,0.227666911225238,0.187241379310345,0.163218245169465,0.16561399978252,0.156725110893631,0.227544412300439,0.185580595874714,0.184,0.406293195108985,0.14,0.279035339538693,0.247638087784073,0.21041181041181,0.156565656565657,0.0917339040485108,-0.369918699186992,0.410263797226207,0.410263797226207,0.658797004567909,-0.512175301405916,0.129540733035831,0.094077474249888,0.094077474249888,0.094077474249888,0,-0.584292096708515,-0.191842146693464,-0.418647654857995,0.400112331979734,0.352867132867133,0.377308593661977,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379613791006196,-0.1,0.1,0.0432461474106117,-0.208590163934426,-0.256717086834734
"CD44",0.372596153846154,0.365079365079365,0.342857142857143,0.3,0.2,0.415,0.365292397660819,0.3,0.385,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.177272727272727,0.26,0.15,0.333257918552036,0.1,0.188531468531469,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,-0.277777777777778,0.420634920634921,0.420634920634921,0.436245404080456,-0.143809523809524,0.2,0.166666666666667,0.166666666666667,0.166666666666667,0,-0.280954110457742,-0.20952380952381,-0.431699604743083,0.131436531007752,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,0.1,-0.156194295900178,-0.15,-0.423703703703704
"ERK",0.365703120409003,0.393344166593808,0.363274236523878,0.320627177700348,0.266341463414634,0.208981465215849,0.268838455119103,0.187241379310345,0.174333577891905,0.227666911225238,0.174862080785903,0.177270441500311,0.16561399978252,0.244735695593417,0.210004559008354,0.208590163934426,0.432293195108985,0.184,0.298068572167092,0.275415865561851,0.247638087784073,0.21041181041181,0.123106453068119,-0.404293699186992,0.442219282122869,0.442219282122869,0.687673766732529,-0.544304931035546,0.157796803676007,0.129540733035831,0.129540733035831,0.129540733035831,0,-0.61834128271475,-0.214043981555849,-0.451815971689678,0.419777019370583,0.37849527357065,0.400112331979734,0.352867132867133,0.377308593661977,0.351288185498712,0.32,0.318421052631579,0.27,0.268421052631579,0.411535615110431,-0.14,0.2,0.0589442606181588,-0.227544412300439,-0.284604410778396
"STAT",0.218992408557626,0.211929630061851,0.194856459330144,0.165909090909091,0.140909090909091,0.207893738140417,0.148182485181735,0.2,0.191764705882353,0.18,0.0586666666666667,0.0649619634627131,0.0615136876006441,0.0628225972422309,0.0427602905569007,0.045,0.0810016420361248,0.025,0.0675142417782127,0.0330241149201743,0.0204027556968733,-0.00392156862745098,-0.0069376026272578,-0.326728064963359,0.442935269858347,0.442935269858347,0.105039405039405,-0.0628629869659736,-0.0307617464785255,-0.044194582299421,-0.044194582299421,-0.044194582299421,0,-0.205650880995143,0.0426630840423944,-0.458532927961468,0.0325315917856516,0.0111440030557678,0.0224004833231963,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,-0.0634173280695643,-0.0566279069767442,-0.171240347490347
"cMet",0.394217775467775,0.39541644373105,0.365079365079365,0.342857142857143,0.3,0.420454545454546,0.397495787491327,0.325,0.415,0.385,0.21781905744754,0.208730158730159,0.197619047619048,0.205397727272727,0.2725,0.15,0.373016954696614,0.15,0.225487990270599,0.280035194368901,0.24812030075188,0.242857142857143,0.00476190476190475,-0.320634920634921,0.455371762740184,0.455371762740184,0.48494428883882,-0.195082251082251,0.241509433962264,0.2,0.2,0.2,0,-0.328870777124409,-0.246713892168438,-0.465570572485019,0.163806473204284,0.086969696969697,0.131436531007752,0.0233333333333333,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,0,0.0419047619047619,-0.1,0.1,-0.12400251507826,-0.177272727272727,-0.447703703703704
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0.293,0,0.166493506493506,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,0,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0.293,0,0.166493506493506,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,0,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
