"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","ERK","SNAI1","cfos","EGR1","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","SOSGRB2","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"cMet",-0.0176424050632911,-0.0297104018912529,-0.0169444444444444,-0.00583333333333332,0.00666666666666668,-0.0340909090909091,-0.025,-0.0501356112417665,-0.025,-0.025,-0.103955968352253,-0.100911152339724,-0.099092970521542,-0.121590909090909,-0.0995833333333333,-0.0676709058731531,-0.0933333333333333,-0.1,-0.1,-0.0166666666666667,-0.1,-0.149826695044086,-0.1,-0.130187170052792,-0.119548872180451,-0.114285714285714,0.0634920634920635,0.0274170274170274,0.0274170274170274,-0.318696210521028,0.228125545865759,-0.0493800539083558,-0.0342857142857143,-0.0342857142857143,-0.0342857142857143,0.20932576880779,0.121409370199693,-0.0469779314888011,-0.209164771636195,-0.188181818181818,-0.200125223613596,-0.17,-0.186279069767442,-0.17,-0.15,-0.05,-0.1,0,-0.210634920634921,0.1,0.1,0.1,0.0306593644828939,0.109090909090909,0.0685185185185185
"CD44",-0.00624999999999999,-0.0169444444444444,-0.00583333333333332,0.00666666666666668,0.0666666666666667,-0.025,-0.025,-0.0365762892078682,-0.025,0,-0.0941520467836257,-0.099092970521542,-0.0888888888888889,-0.109090909090909,-0.0933333333333333,-0.0553113553113553,-0.1,-0.1,-0.1,-0.0166666666666667,-0.1,-0.136783216783217,-0.1,-0.119548872180451,-0.114285714285714,-0.1,0.0587301587301587,0.0365079365079365,0.0365079365079365,-0.303367743367743,0.213534798534799,-0.0342857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,0.194821952013896,0.110119047619048,-0.0532279314888011,-0.200125223613596,-0.17,-0.186279069767442,-0.15,-0.17,-0.05,-0.1,0,0,0.1,-0.19,0,0.1,0.1,0.040794499618029,0.1,0.0611111111111111
"Destcompl",0.0572825421877371,0.0259491092262676,0.0288062520834105,0.0272273047149894,0.0210204081632653,0.0815396514670223,0.0836493561083725,0.0967083662515039,0.0841958041958042,0.0902564102564102,0.0117733548502779,0.0162990810359231,0.0157142857142857,-0.11840569160638,0.0518010319294241,-0.0395864829276475,0.055827877567008,0.0567287784679089,-0.111877394636015,0.0495185702214282,-0.111877394636015,-0.184768046911485,0.0523809523809524,-0.055682567642139,-0.0522757540148844,-0.0522757540148844,-0.203149190846705,0.192606676651543,0.192606676651543,-0.232670291681706,0.214940405869259,0.0118644496712555,0.0131203366414282,0.0131203366414282,0.0131203366414282,0.0512870821031268,-0.0903836422030019,-0.204172934317247,-0.186520390516679,-0.185758339602481,-0.186061441001126,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0202689596894496,0.115504337641197,-0.126610680757195
"AXIN2",0.110540380774573,0.0645281966741413,0.0638681306675407,0.0647530864197531,0.0783333333333333,0.142612053900107,0.146060329762176,0.155283423697512,0.154471544715447,0.166666666666667,0.0197285810876075,0.0199677938808374,0.0231423970554405,-0.152784032906984,0.106618357487923,-0.0370946197518206,0.107729468599034,0.109178743961353,-0.152930402930403,0.0809219828013657,-0.157692307692308,-0.219640377249073,0.122222222222222,-0.0505263157894737,-0.0505263157894737,-0.0505263157894737,-0.252988588338008,0.245175501457021,0.245175501457021,-0.276379583113632,0.249359406027404,0.0767742895763766,0.0793989614923871,0.0793989614923871,0.0793989614923871,0.0626044336962706,-0.171580023078879,-0.2593606087525,-0.239908935293043,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.15963092790824,0.151144688644689,-0.181657312221828
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.107843137254902,0.0666666666666667,0.104658385093168,0.0666666666666667,0.1,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.222941176470588,0.0866666666666667,0.0666666666666667,0.05,-0.0424242424242424,0,0.153259803921569,0.1,0.192857142857143,0.142857142857143,0.1,-0.262745098039216,0.304208512673362,0.304208512673362,0.340258620689655,-0.334703389830508,0.14606971975393,0.118796992481203,0.118796992481203,0.118796992481203,-0.402475553557379,-0.0729623824451411,-0.306262626262626,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.12
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.144880174291939,0.107843137254902,0.118944099378882,0.0666666666666667,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.119417679095098,0.161666666666667,0.24484593837535,0.136666666666667,0.0866666666666667,0.0954545454545455,-0.0333333333333333,0.05,0.16437091503268,0.0666666666666667,0.222268907563025,0.192857142857143,0.142857142857143,-0.300840336134454,0.338861978019897,0.338861978019897,0.368334330468835,-0.366766881894001,0.165754759124009,0.14606971975393,0.14606971975393,0.14606971975393,-0.437673688755514,-0.0929623824451411,-0.342200126262626,0.348800478016233,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00819824740195381,-0.10974025974026,-0.141428571428571
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.288827388499917,0.258930481283422,0.334997461811805,0.223636363636364,0.16,0.107669977081742,0.0997101449275362,0.0866666666666667,0.322647849462366,0.326666666666667,0.412614379084967,0.293333333333333,0.26,0.266666666666667,-0.0344625500285878,0.233333333333333,0.352984416882468,0.2,0.368992255709564,0.337033492822967,0.305454545454545,-0.266666666666667,0.354514963880289,0.354514963880289,0.46348196187249,-0.592777865765671,0.379042232277526,0.355512820512821,0.355512820512821,0.355512820512821,-0.67324068547381,-0.345403084818137,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.342234893297891,-0.297916666666667,-0.321078128220985
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.288827388499917,0.258930481283422,0.334997461811805,0.223636363636364,0.16,0.107669977081742,0.0997101449275362,0.0866666666666667,0.322647849462366,0.326666666666667,0.412614379084967,0.293333333333333,0.26,0.266666666666667,-0.0344625500285878,0.233333333333333,0.352984416882468,0.2,0.368992255709564,0.337033492822967,0.305454545454545,-0.266666666666667,0.354514963880289,0.354514963880289,0.46348196187249,-0.592777865765671,0.379042232277526,0.355512820512821,0.355512820512821,0.355512820512821,-0.67324068547381,-0.345403084818137,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.342234893297891,-0.297916666666667,-0.321078128220985
"DSH",0.231314495378143,0.258798161894662,0.240331262939959,0.203188405797101,0.146666666666667,0.165180926171638,0.144880174291939,0.134886128364389,0.107843137254902,0.0666666666666667,0.072285295891119,0.0756436638424557,0.0631908336537765,0.13107412081289,0.174310344827586,0.262576434829251,0.161666666666667,0.136666666666667,0.10974025974026,-0.0186991869918699,0.0954545454545455,0.179099597203222,0.0866666666666667,0.238352823646941,0.222268907563025,0.192857142857143,-0.33287917108591,0.364058828413597,0.364058828413597,0.391966460853003,-0.394446504979984,0.185642714306082,0.165754759124009,0.165754759124009,0.165754759124009,-0.465153934585189,-0.10989973743354,-0.369029394555309,0.366164681043837,0.328532114600226,0.348800478016233,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00458801214003092,-0.119417679095098,-0.158911088911089
"RAF",0.296006483937518,0.320890075656431,0.267619047619048,0.22,0.2,0.219156272927366,0.187241379310345,0.22073762506942,0.17,0.17,0.159581881533101,0.156725110893631,0.153754813863928,0.208590163934426,0.156168831168831,0.374004753416518,0.110714285714286,0.0857142857142857,0.14,-0.031047619047619,0.1,0.258543536260005,0.1,0.21041181041181,0.156565656565657,0.111111111111111,-0.332663797226208,0.372663797226208,0.372663797226208,0.624385964912281,-0.474936280818634,0.0911449661449661,0.050974025974026,0.050974025974026,0.050974025974026,-0.543314330360812,-0.164381402679275,-0.380952950808151,0.377496836898203,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,-0.1,0,0.0227081076332972,-0.184,-0.226050420168067
"SHH",0.35,0.44,0.4,0.3,0.2,0.26,0.2,0.283333333333333,0.1,0,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.2,0.1,0,0.3,0.15,0.2,0.162857142857143,0,0.233333333333333,0.2,0.1,-0.3,0.375,0.375,0.36727969348659,-0.299068100358423,0.288461538461538,0.25,0.25,0.25,-0.341666666666667,-0.271794871794872,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.174119483859117,0.136414565826331,0.173280998389694,0.0952380952380952,0.0666666666666667,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.276816119652898,0.252941176470588,0.2,0.1,0.00769230769230769,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,-0.336842105263158,0.375508463573364,0.375508463573364,0.395363646725939,-0.396875422177051,0.209613710490423,0.18221645021645,0.18221645021645,0.18221645021645,-0.472077970556085,-0.18481240981241,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.165481577246283
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.174119483859117,0.136414565826331,0.173280998389694,0.0952380952380952,0.0666666666666667,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.276816119652898,0.252941176470588,0.2,0.1,0.00769230769230769,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,-0.336842105263158,0.375508463573364,0.375508463573364,0.395363646725939,-0.396875422177051,0.209613710490423,0.18221645021645,0.18221645021645,0.18221645021645,-0.472077970556085,-0.18481240981241,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.165481577246283
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.311605723370429,0.276470588235294,0.370375010941466,0.231372549019608,0.166666666666667,0.113637733574442,0.107356740121751,0.0906103286384976,0.364039362223763,0.357176983797258,0.448322008191805,0.319827586206897,0.275,0.301176470588235,-0.0681203515889114,0.26,0.400983817897747,0.2,0.408310549100023,0.373245614035088,0.332894736842105,-0.286538461538462,0.378588839941263,0.378588839941263,0.709653151557618,-0.63753975365315,0.421006524127211,0.394065884857804,0.394065884857804,0.394065884857804,-0.808627937207547,-0.38442117431915,-0.386587993124707,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385896426748544,-0.335870348139256,-0.348653846153846
"cateninnuc",0.392659979364897,0.376674275079937,0.357023620058103,0.331736263736264,0.299428571428571,0.304688495680048,0.288174734212159,0.333973731469774,0.265389924085576,0.238405797101449,0.117894185936873,0.105001494185669,0.096952380952381,0.213833295732168,0.330072916666667,0.323078089856945,0.313666666666667,0.291666666666667,0.184644808743169,0.0139741910892246,0.163333333333333,0.246059580275189,0.258333333333333,0.366233614558408,0.348051796376589,0.324795982423101,-0.300194664963348,0.380393801959927,0.380393801959927,0.461141277762607,-0.409482425422067,0.36454008954009,0.349725274725275,0.349725274725275,0.349725274725275,-0.49182892934001,-0.334623542076356,-0.387799574263981,0.181794550964639,0.255050909979439,0.268952794543761,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.233333333333333,-0.133333333333333,0.160606060606061,0.320670185275634,-0.201414995078573,-0.337424981139621
"RAS",0.345396825396825,0.367769365171811,0.315294117647059,0.28,0.26,0.311805985552116,0.286315789473684,0.306489675516224,0.26,0.26,0.161857707509881,0.158750773036487,0.156709956709957,0.192870056497175,0.212222222222222,0.375242771412984,0.173333333333333,0.166666666666667,0.116666666666667,-0.041991341991342,0.1,0.258624088310664,0.2,0.277259185700099,0.226315789473684,0.2,-0.356428571428571,0.398696612665685,0.398696612665685,0.57634173186284,-0.400410502033264,0.151794871794872,0.205641025641026,0.205641025641026,0.205641025641026,-0.47119473173547,-0.216989664082687,-0.407661538461538,0.410022792164208,0.338970588235294,0.37971117743333,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0340659026705538,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.370573870573871,0.39267243394903,0.343736263736264,0.301428571428571,0.271428571428571,0.353340353340353,0.323037323037323,0.356393745557925,0.30952380952381,0.276190476190476,0.261647727272727,0.259196932100158,0.252903225806452,0.298701026608003,0.338011695906433,0.403942028985507,0.304678362573099,0.288888888888889,0.233333333333333,-0.0911111111111111,0.2,0.357215265481102,0.3,0.394031320791884,0.347552447552448,0.309090909090909,-0.362017543859649,0.400588972431078,0.400588972431078,0.645446544203578,-0.494195273195273,0.330747501086484,0.285875706214689,0.285875706214689,0.285875706214689,-0.563557925110508,-0.31585308255715,-0.410651126415904,0.400453903067587,0.331521739130435,0.370434782608696,0.275,0.330434782608696,0.273913043478261,0.2,0.2,0.1,0.1,0.345606435643564,-0.2,-0.2,0,-0.0356106235300866,-0.268468468468469,-0.381834795321637
"AKT",0.278358212604682,0.298249873938228,0.273778574844572,0.233941176470588,0.177941176470588,0.19563847120089,0.174119483859117,0.195586762800722,0.136414565826331,0.0952380952380952,0.0875742731867506,0.0916763085031993,0.0798917967186875,0.14889338731444,0.193189816719228,0.300363520264519,0.276018099547511,0.252941176470588,0.115384615384615,0.0188034188034188,0.1,0.202450912048333,0.2,0.258055437874478,0.236104218362283,0.203846153846154,-0.370175438596491,0.404960518367885,0.404960518367885,0.423403847730964,-0.428577766723433,0.233951059888013,0.209613710490423,0.209613710490423,0.209613710490423,-0.504502212980328,-0.20497370013499,-0.40598605092337,0.400873571167032,0.357752076547316,0.381335109628571,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388916279869348,-0.166666666666667,-0.05,0.2,-0.00412094672695625,-0.132051282051282,-0.18846294370591
"MEK",0.33744792537896,0.363955769087088,0.320890075656431,0.267619047619048,0.22,0.155822939594033,0.219156272927366,0.246378650710445,0.187241379310345,0.17,0.163218245169465,0.165950203144554,0.156725110893631,0.227544412300439,0.185580595874714,0.406605486017251,0.156168831168831,0.110714285714286,0.184,-0.0288253968253968,0.14,0.279035339538693,0.0857142857142857,0.247638087784073,0.21041181041181,0.156565656565657,-0.369918699186992,0.410759035321446,0.410759035321446,0.659179152260213,-0.51249725642839,0.122573537573538,0.0911449661449661,0.0911449661449661,0.0911449661449661,-0.584662235643144,-0.192145530443403,-0.419033446164188,0.400545164035749,0.352867132867133,0.377496836898203,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379613791006196,-0.1,-0.1,0.1,0.0427917896416654,-0.208590163934426,-0.257629367536488
"IKK",0.497806637806638,0.529191919191919,0.469191919191919,0.405555555555556,0.35,0.226412698412698,0.170857142857143,0.293560927339553,0.142857142857143,0.1,0.181940144478844,0.18578795379538,0.172916666666667,0.2557343550447,0.321042471042471,0.532941176470588,0.264285714285714,0.314285714285714,0.18,0.132142857142857,0.12,0.287413308341143,0.3,0.362914862914863,0.307359307359307,0.245454545454545,-0.363369963369963,0.425418546365915,0.425418546365915,0.660347091652491,-0.569256032607988,0.371516576774622,0.330671506352087,0.330671506352087,0.330671506352087,-0.682863893582049,-0.224505494505495,-0.428840579710145,0.439530455479823,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.139265491747074,-0.228148148148148,-0.277322404371585
