"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","HEY1","SMAD","SHH","ILK","TWIST1","AKT","IKK","SMO","NFB","Jagged","FUS","NOTCH","Csn","NOTCHic","Csl","SOSGRB2","SNAI2","ZEB2","ZEB1","KLF4","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","Wnt","Frizzled","GLI","TCFLEF","SRC","cMet","CD44","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.103862212425682,0.0793059002185266,0.0829512204155709,0.0813722730471499,0.0655102040816326,0.0948692118561386,0.133231913126101,0.0919156253582483,0.0702564102564102,0.0793473193473193,0.0201757217141833,0.0245822890559733,-0.0839517854446064,0.0211904761904762,0.0210252609461555,0.0797282838718497,0.082412847630239,-0.0758620689655172,0.0797101449275362,-0.125742507178915,-0.0758620689655172,-0.00636411875847268,0.0666666666666667,-0.00295730513121817,-0.000783392087739912,-0.0191681580646438,-0.152055273766671,0.223925341027561,0.223925341027561,-0.227564558447964,-0.176686542405939,0.0619598383058239,0.0597620361080217,0.0597620361080217,0.0597620361080217,-0.0771213460579468,-0.235290489513079,-0.131359565557388,-0.0924027810874657,-0.101841123446983,-0.0968906283974777,-0.0990581920926227,-0.0941365903684448,-0.0968906283974777,-0.101368240337776,-0.0983831657109105,-0.0873015873015873,-0.0873015873015873,-0.152406080558679,-0.0666666666666667,0.1,-0.0944444444444444,0.0254471197356123,0.082597820260854,-0.156562850306553
"AXIN2",0.153029569961654,0.115006114426585,0.10939555337048,0.0970061728395062,0.0908333333333333,0.142911790058925,0.189232070072263,0.135325583162374,0.153333333333333,0.136260162601626,0.0216893654013329,0.0238037727168162,-0.117756560379511,0.0242005981136416,0.0203901865294698,0.129565217391304,0.12512077294686,-0.123260073260073,0.117874396135266,-0.16066781631999,-0.142307692307692,-0.00272336246020457,0.122222222222222,-0.00542606516290727,-0.016140350877193,-0.0403315058013515,-0.198257369632444,0.26842052254648,0.26842052254648,-0.26658986780397,-0.206713669523383,0.11960840111366,0.119345933922059,0.119345933922059,0.119345933922059,-0.0880867104184697,-0.281473534755229,-0.208162305149719,-0.149422941777875,-0.150387596899225,-0.150387596899225,-0.153532250987275,-0.152406080558679,-0.150387596899225,-0.150387596899225,-0.153226713618468,-0.166666666666667,-0.166666666666667,0.26234026576004,-0.133333333333333,0.15,-0.2,0.200172958088023,0.116117216117216,-0.207243983614951
"cateninnuc",0.254002942412778,0.224072204360414,0.220578754578755,0.203912087912088,0.173142857142857,0.262240995455842,0.22038646807955,0.248479527565934,0.220289855072464,0.228226363008972,0.0878384915367184,0.080922703944532,0.0736323457869724,0.0747835497835498,0.163620106555426,0.226345643939394,0.222439393939394,0.0724225865209472,0.206439393939394,0.0497771254555354,0.0511111111111111,0.203545101521057,0.179166666666667,0.203090556066512,0.191462649089768,0.169846153035441,0.269672687667165,0.284661927331405,0.284661927331405,-0.224559722602427,-0.0224723731253143,0.225720980720981,0.221512226512227,0.221512226512227,0.221512226512227,-0.236818331702478,-0.290945868297878,-0.220173560389209,-0.0331377264007747,0.0530842395642872,0.0574320656512437,0.0546652672322714,0.0608694539361488,0.0561383061383062,0.0517904800513496,0.0537746070354766,0.0505827505827506,0.0505827505827506,0.201371719460527,-0.166666666666667,-0.0111111111111111,0.0121212121212121,0.198481548861308,-0.0742859405582143,-0.248429201071881
"HEY1",0.283147363939862,0.255532889874353,0.232606060606061,0.223272727272727,0.227272727272727,0.284679420034181,0.246094929829838,0.275401069518717,0.2,0.263636363636364,0.100397249809015,0.0870144927536232,0.214247311827957,0.0826666666666667,0.280849673202614,0.256507936507937,0.234285714285714,0.166666666666667,0.22,0.201258461678252,0.166666666666667,0.25247176046959,0.2,0.226698564593301,0.210909090909091,0.197384219554031,0.30944562872497,0.285113519091847,0.285113519091847,-0.222222222222222,-0.0878813101983834,0.275610859728507,0.263846153846154,0.263846153846154,0.263846153846154,-0.397571521313651,-0.294770044770045,-0.253227608260649,0.201371719460527,0.181212950296398,0.150980392156863,0.196730191675708,0.199005592436866,0.150980392156863,0.181212950296398,0.19599555899205,0.133333333333333,0.133333333333333,0.256383009690597,-0.1,-0.2,0.166666666666667,0.237000969940583,-0.191666666666667,-0.252288188002474
"FOXC2",0.283147363939862,0.255532889874353,0.232606060606061,0.223272727272727,0.227272727272727,0.284679420034181,0.246094929829838,0.275401069518717,0.2,0.263636363636364,0.100397249809015,0.0870144927536232,0.214247311827957,0.0826666666666667,0.280849673202614,0.256507936507937,0.234285714285714,0.166666666666667,0.22,0.201258461678252,0.166666666666667,0.25247176046959,0.2,0.226698564593301,0.210909090909091,0.197384219554031,0.30944562872497,0.285113519091847,0.285113519091847,-0.222222222222222,-0.0878813101983834,0.275610859728507,0.263846153846154,0.263846153846154,0.263846153846154,-0.397571521313651,-0.294770044770045,-0.253227608260649,0.201371719460527,0.181212950296398,0.150980392156863,0.196730191675708,0.199005592436866,0.150980392156863,0.181212950296398,0.19599555899205,0.133333333333333,0.133333333333333,0.256383009690597,-0.1,-0.2,0.166666666666667,0.237000969940583,-0.191666666666667,-0.252288188002474
"Wnt",0.171093117408907,0.194492753623188,0.146666666666667,0.1,0.1,0.119607843137255,0.0959627329192547,0.0666666666666667,0.1,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.10021645021645,0.058974358974359,0.196176470588235,0.136666666666667,0.0866666666666667,0.05,0.0666666666666667,0.122745098039216,0,0.18452380952381,0.1,0.142857142857143,0.1,0.0939393939393939,0.29051724137931,0.304208512673362,0.304208512673362,-0.262745098039216,-0.054364406779661,0.121907040328093,0.108270676691729,0.108270676691729,0.108270676691729,-0.328884268105354,-0.306262626262626,-0.0500783699059561,0.245092864611861,0.225,0.3,0.230263157894737,0.233834586466165,0.2,0.225,0.230263157894737,0.2,0.1,0.265454545454545,-0.1,0,0,-0.0632139354597674,-0.0954545454545455,-0.12
"SNAI2",0.32903076590581,0.304063966723813,0.28480930833872,0.271988795518207,0.252941176470588,0.327371489136195,0.285392383310379,0.309803921568627,0.2,0.276470588235294,0.108574442435202,0.0978412741199991,0.265376460443332,0.0877934272300469,0.321413820793866,0.297029497299543,0.274137931034483,0.225882352941176,0.25,0.264874778012895,0.22,0.303656869446343,0.2,0.281578947368421,0.265789473684211,0.252434077079107,0.568536935038284,0.317657856093979,0.317657856093979,-0.251153846153846,-0.179236564334926,0.324982949724314,0.310371077578195,0.310371077578195,0.310371077578195,-0.566564031750733,-0.32818922092972,-0.294356440747902,0.269495003031188,0.239178708615328,0.218051948051948,0.256825767438858,0.26483661793802,0.218051948051948,0.239178708615328,0.256383009690597,0.210909090909091,0.210909090909091,0.310482187256819,-0.1,-0.2,0.22,0.282864099699037,-0.244249699879952,-0.285910256410256
"Frizzled",0.196674512757744,0.21639751552795,0.194492753623188,0.146666666666667,0.1,0.160348583877996,0.0991373360938578,0.119607843137255,0.0666666666666667,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.10021645021645,0.0566487775790101,0.204747899159664,0.155416666666667,0.136666666666667,0.0954545454545455,0.0866666666666667,0.123755199049317,0.05,0.198249299719888,0.0666666666666667,0.18452380952381,0.142857142857143,0.121212121212121,0.305974654628522,0.334901581980293,0.334901581980293,-0.300840336134454,-0.0642056766209309,0.130568457650928,0.121907040328093,0.121907040328093,0.121907040328093,-0.351028790249876,-0.339075126262626,-0.0591692789968652,0.258426197945194,0.230263157894737,0.225,0.233834586466165,0.245092864611861,0.225,0.230263157894737,0.233834586466165,0.3,0.2,0.274756871035941,-0.1,0,0.1,-0.0565826357250194,-0.10021645021645,-0.134285714285714
"DSH",0.20230221838545,0.221623996364187,0.21639751552795,0.194492753623188,0.146666666666667,0.177641816960702,0.10696342305038,0.160348583877996,0.0666666666666667,0.119607843137255,0.072285295891119,0.0748889468613236,0.105737922609088,0.0631908336537765,0.21254931759938,0.161163793103448,0.155416666666667,0.10021645021645,0.136666666666667,0.133057524630712,0.0954545454545455,0.203144404614993,0.0866666666666667,0.198249299719888,0.18452380952381,0.138285291943829,0.32029363018149,0.353011818200765,0.353011818200765,-0.328995675940279,-0.0687993161969026,0.142613275578098,0.130568457650928,0.130568457650928,0.130568457650928,-0.36516399657121,-0.359197077482138,-0.0686820400177469,0.267419964641543,0.233834586466165,0.230263157894737,0.244945697577277,0.258426197945194,0.230263157894737,0.233834586466165,0.245092864611861,0.225,0.225,0.285305394242692,-0.0666666666666667,-0.05,0.2,-0.0495215670227294,-0.10021645021645,-0.143376623376623
"PI3K",0.240171893147503,0.252770444763271,0.225941176470588,0.177941176470588,0.125,0.189162878266061,0.156151368760064,0.148179271708683,0.0666666666666667,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.116025641025641,0.0694917967186875,0.239546776182557,0.270889894419306,0.252941176470588,0.1,0.2,0.14719298245614,0.05,0.215508684863524,0.166666666666667,0.196153846153846,0.15,0.158461538461538,0.337151785993661,0.372030202703799,0.372030202703799,-0.336842105263158,-0.0822162398651528,0.177563897289925,0.161125541125541,0.161125541125541,0.161125541125541,-0.389334011675233,-0.373336824156496,-0.153775853775854,0.291108163172678,0.255072463768116,0.233333333333333,0.265841694537347,0.277706101317008,0.233333333333333,0.255072463768116,0.265841694537347,0.2,0.2,0.299428571428571,-0.2,0,0.1,-0.0659207429951994,-0.107692307692308,-0.159599224305107
"ILK",0.240171893147503,0.252770444763271,0.225941176470588,0.177941176470588,0.125,0.189162878266061,0.156151368760064,0.148179271708683,0.0666666666666667,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.116025641025641,0.0694917967186875,0.239546776182557,0.270889894419306,0.252941176470588,0.1,0.2,0.14719298245614,0.05,0.215508684863524,0.166666666666667,0.196153846153846,0.15,0.158461538461538,0.337151785993661,0.372030202703799,0.372030202703799,-0.336842105263158,-0.0822162398651528,0.177563897289925,0.161125541125541,0.161125541125541,0.161125541125541,-0.389334011675233,-0.373336824156496,-0.153775853775854,0.291108163172678,0.255072463768116,0.233333333333333,0.265841694537347,0.277706101317008,0.233333333333333,0.255072463768116,0.265841694537347,0.2,0.2,0.299428571428571,-0.2,0,0.1,-0.0659207429951994,-0.107692307692308,-0.159599224305107
"RAF",0.291408782788093,0.313413440142412,0.267619047619048,0.22,0.2,0.227666911225238,0.214233560028769,0.187241379310345,0.17,0.17,0.159581881533101,0.156725110893631,0.202032786885246,0.153754813863928,0.347843137254902,0.156168831168831,0.110714285714286,0.14,0.0857142857142857,0.230812919395262,0.1,0.202719502719503,0.1,0.156565656565657,0.111111111111111,0.0613968253968254,0.577573002273125,0.372663797226208,0.372663797226208,-0.332663797226208,-0.19370984429808,0.0683788433788434,0.0418831168831169,0.0418831168831169,0.0418831168831169,-0.470317308288786,-0.380952950808151,-0.142789598108747,0.287140481053699,0.25,0.2,0.269230769230769,0.27569009937431,0.2,0.247368421052632,0.266599190283401,0.1,0.1,0.297140178152836,-0.1,-0.1,0,-0.0195981528499902,-0.184,-0.226050420168067
"SHH",0.325,0.4,0.4,0.3,0.2,0.3,0.25,0.2,0,0.1,0.0666666666666667,0.1,0.213333333333333,0.0666666666666667,0.125,0.15,0.1,0.3,0,0.0942857142857143,0.2,0.2,0,0.2,0.1,0.25,0.26904214559387,0.375,0.375,-0.3,-0.0187813620071685,0.223076923076923,0.2,0.2,0.2,-0.240277777777778,-0.383333333333333,-0.207692307692308,0.104444444444444,0.1,0.2,0.1,0.06,0.1,0,0,0.2,0.1,0.152380952380952,0,-0.2,0,0.190909090909091,-0.333333333333333,-0.26
"AKT",0.252201968335473,0.264552922104661,0.252770444763271,0.225941176470588,0.177941176470588,0.209416042823023,0.170437083045779,0.189162878266061,0.0952380952380952,0.148179271708683,0.0875742731867506,0.0910029078297986,0.126551956815115,0.0798917967186875,0.251473381687144,0.182001005530417,0.270889894419306,0.107692307692308,0.252941176470588,0.158451260601836,0.1,0.226484294619621,0.2,0.215508684863524,0.196153846153846,0.180683760683761,0.353734700566526,0.395317873936676,0.395317873936676,-0.366756635177688,-0.0884343846154076,0.192744620181491,0.177563897289925,0.177563897289925,0.177563897289925,-0.407212799554021,-0.397400995279491,-0.165066176356499,0.301108163172678,0.265841694537347,0.255072463768116,0.277573538112766,0.291108163172678,0.255072463768116,0.265841694537347,0.277706101317008,0.233333333333333,0.233333333333333,0.313507993811243,-0.166666666666667,-0.05,0.2,-0.0583938612747693,-0.116025641025641,-0.175127174615666
"RAS",0.343015873015873,0.363808969132207,0.315294117647059,0.28,0.26,0.315727554179567,0.302949852507375,0.286315789473684,0.26,0.26,0.161857707509881,0.158750773036487,0.189480225988701,0.156709956709957,0.359476268412439,0.212222222222222,0.173333333333333,0.116666666666667,0.166666666666667,0.242124975359748,0.1,0.273485600794439,0.2,0.226315789473684,0.2,0.0125541125541125,0.541467990960052,0.398696612665685,0.398696612665685,-0.356428571428571,-0.116943640648827,0.137051282051282,0.200512820512821,0.200512820512821,0.200512820512821,-0.410338575482894,-0.407661538461538,-0.203242894056848,0.331969505355218,0.264705882352941,0.2,0.306372549019608,0.322054491190912,0.2,0.264705882352941,0.305131414267835,0.1,0.1,0.323451910408432,-0.2,-0.1,0,-0.0656277098137563,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.367155067155067,0.386998675083781,0.343736263736264,0.301428571428571,0.271428571428571,0.359400959400959,0.35163184079602,0.323037323037323,0.276190476190476,0.30952380952381,0.261647727272727,0.259196932100158,0.294049863817306,0.252903225806452,0.382898550724638,0.338011695906433,0.304678362573099,0.233333333333333,0.288888888888889,0.335927637654514,0.2,0.388397517974983,0.3,0.347552447552448,0.309090909090909,-0.0272222222222222,0.605546334022624,0.400588972431078,0.400588972431078,-0.362017543859649,-0.203830973830974,0.312429378531073,0.27909604519774,0.27909604519774,0.27909604519774,-0.499219638847229,-0.410651126415904,-0.298228024118627,0.316609334459267,0.258333333333333,0.2,0.288768115942029,0.303798627002288,0.2,0.256521739130435,0.28695652173913,0.1,0.1,0.311324257425743,-0.2,-0.2,0,-0.0721705959960993,-0.268468468468469,-0.381834795321637
"MEK",0.322039413418724,0.341880593427084,0.313413440142412,0.267619047619048,0.22,0.171000244558572,0.228336124131333,0.227666911225238,0.17,0.187241379310345,0.163218245169465,0.165950203144554,0.21052951891139,0.156725110893631,0.365059254471019,0.180874713521772,0.156168831168831,0.184,0.110714285714286,0.237370296444443,0.14,0.22534723994578,0.0857142857142857,0.202719502719503,0.156565656565657,0.0880634920634921,0.596307795460473,0.407584432146842,0.407584432146842,-0.369918699186992,-0.204441551615153,0.0864740814740815,0.0683788433788434,0.0683788433788434,0.0683788433788434,-0.495636069673121,-0.416556665978429,-0.157285912605062,0.300151633470056,0.269230769230769,0.25,0.278321678321678,0.287140481053699,0.247368421052632,0.266599190283401,0.27569009937431,0.2,0.2,0.315158196170854,-0.1,-0.1,0.1,-0.0112299520131701,-0.202032786885246,-0.252366209641751
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.415,0.373019670388091,0.385,0.3,0.325,0.204093567251462,0.197619047619048,0.177272727272727,0.183333333333333,0.357655677655678,0.26,0.266666666666667,0.15,0.2,0.194592074592075,0.1,0.24812030075188,0.2,0.242857142857143,0.2,-0.00238095238095239,0.444870684870685,0.420634920634921,0.420634920634921,-0.277777777777778,-0.0610805860805861,0.20952380952381,0.166666666666667,0.166666666666667,0.166666666666667,-0.27330528715666,-0.431699604743083,-0.22797619047619,0.119421586165772,-0.05,-0.1,0.0366666666666667,0.0948062015503876,0,0.05,0.0366666666666667,0,0.1,-0.01,-0.1,-0.1,0.1,-0.153203099421587,-0.15,-0.423703703703704
"IKK",0.477950937950938,0.50090101010101,0.46010101010101,0.405555555555556,0.35,0.247746031746032,0.269359626802375,0.178857142857143,0.1,0.142857142857143,0.181940144478844,0.18578795379538,0.231085568326948,0.172916666666667,0.478954248366013,0.315637065637066,0.264285714285714,0.18,0.314285714285714,0.230734145579506,0.12,0.334343434343434,0.3,0.297835497835498,0.245454545454545,0.296008403361345,0.581739785716417,0.421418546365915,0.421418546365915,-0.363369963369963,-0.205926085088096,0.3268474732241,0.302903811252269,0.302903811252269,0.302903811252269,-0.565945485091692,-0.425763656633222,-0.180128205128205,0.318048142708087,0.270940170940171,0.255555555555556,0.284786324786325,0.301170505577285,0.255555555555556,0.270940170940171,0.284786324786325,0.2,0.2,0.328333333333333,-0.2,-0.1,0.1,0.0741782590603576,-0.220740740740741,-0.270765027322404
"Csn",0.228043574397698,0.246183597093724,0.234011759384894,0.20067842605156,0.145454545454545,0.23375,0.138744652949027,0.206666666666667,0.106666666666667,0.161212121212121,0.0753737541528239,0.0813334610696855,0.116537361222713,0.0687370600414079,0.244766245909303,0.1936,0.18,0.102453102453102,0.155,0.140505946995954,0.0873015873015873,0.230706793206793,0.105,0.22012987012987,0.195454545454545,0.157730888965756,0.365679948302021,0.428633581472291,0.428633581472291,-0.397266393736982,-0.121263143589664,0.183491176090163,0.168711905456766,0.168711905456766,0.168711905456766,-0.418873955238794,-0.437518687810014,-0.10615247736263,0.31714157234383,0.280162027420025,0.274137931034483,0.290205695542296,0.305175246426813,0.274137931034483,0.280162027420025,0.290384249642247,0.25,0.25,0.330213153131885,-0.18,-0.0428571428571429,0.2,-0.00843037033293255,-0.109979984173533,-0.166371882953044
