"","ZEB2","ZEB1","FOXC2","TGF","TGFR","MEK","ERK","CDC42","SNAI1","EGR1","cfos","Jagged","HEY1","PAK1","SHH","SMAD","ILK","AKT","NOTCH","SMO","IKK","SNAI2","NOTCHic","NFB","TWIST1","FUS","Csl","Csn","RAS","RAF","PI3K","DELTA","cateninnuc","TCFLEF","GLI","CD44","Wnt","cMet","SOSGRB2","Frizzled","SRC","AXIN2","DSH","STAT","Destcompl","LIV1","GSK3","TrCP","SUFU","cateninmemb","Patched","RKIP","Ecadherin","KLF4","miR200"
"CD44",0.402745098039216,0.402745098039216,0.37875,0.372222222222222,0.35,0.415,0.385,0.3,0.374101921470342,0.3,0.325,0.191464019851117,0.20718954248366,0.2,0.18,0.202390180878553,0.186111111111111,0.26,0.24812030075188,0.15,0.266666666666667,0.439156399156399,0.242857142857143,0.2,0.351941391941392,0.1,0.2,0.2,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,0.131860465116279,0.0861240310077519,0.0233333333333333,0.0233333333333333,-0.05,0.05,-0.00238095238095239,-0.1,0,-0.02,0,0.1,-0.159085452362763,0.1,-0.223809523809524,-0.1,-0.1,-0.144133148404993,-0.15,-0.423703703703704,-0.281462585034014,-0.273333333333333,-0.402745098039216
"ERK",0.404221149856572,0.404221149856572,0.371552922856695,0.39785525334069,0.36765582314126,0.211920110404686,0.175942773294204,0.32295885344429,0.278367066877919,0.187241379310345,0.227666911225238,0.30722609153518,0.184143274331009,0.267619047619048,0.260052332096128,0.190109754764633,0.175930650287021,0.2208166665329,0.282693261369847,0.21965367965368,0.194083993265573,0.686623789860499,0.253830287608914,0.16243842364532,0.434706905585281,0.192380952380952,0.21489898989899,0.110714285714286,0.157066622142501,0.129388050713929,0.129388050713929,0.129388050713929,0.416724750203333,0.397386144883419,0.376404689535389,0.375206412569844,0.351914893617021,0.3503359462486,0.124191104824768,0.32,0.318421052631579,0.410112732792267,0.27,0.268421052631579,0.0567505803929671,0.2,-0.213424999947614,-0.0857142857142857,-0.14,-0.541239087216395,-0.240821562865358,-0.291628237254847,-0.615884162737712,-0.364693346854151,-0.404221149856572
"cMet",0.4290608875129,0.4290608875129,0.406022727272727,0.407004830917874,0.372222222222222,0.420454545454546,0.415,0.35,0.408030492898914,0.325,0.385,0.230998903572047,0.222745098039216,0.3,0.211034482758621,0.21728379789983,0.202390180878553,0.273333333333333,0.281453634085213,0.15,0.26,0.488606948606949,0.24812030075188,0.266666666666667,0.394470127573576,0.15,0.242857142857143,0.2,0.245318957771788,0.203809523809524,0.203809523809524,0.203809523809524,0.16481175451456,0.131860465116279,0.086969696969697,0.0861240310077519,0.0233333333333333,0.0233333333333333,0.0109523809523809,-0.05,0.05,0.0419047619047619,-0.1,0,-0.12756002863395,0.1,-0.259293394777266,-0.2,-0.1,-0.195582423767312,-0.18,-0.454472934472934,-0.329473195113589,-0.302745098039216,-0.4290608875129
"Jagged",0.429166666666667,0.429166666666667,0.320634920634921,0.338164251207729,0.255555555555556,0.286666666666667,0.22,0.2,0.276969696969697,0.1,0.2,0.185146198830409,0.183333333333333,0.2,0.145454545454545,0.09,0.0833333333333333,0.104761904761905,0.243333333333333,0.0333333333333333,0.0333333333333333,0.438117106773823,0.16,0,0.298913043478261,0,0.1,0,0.252727272727273,0.18,0.18,0.18,0.347071678321678,0.312980769230769,0.269230769230769,0.269230769230769,0.2,0.2,0.12,0.1,0.1,0.28,0,0,0.29972602739726,0,-0.23639846743295,0,0,-0.429193899782135,-0.1,-0.248484848484848,-0.510683760683761,-0.366666666666667,-0.429166666666667
"DELTA",0.429166666666667,0.429166666666667,0.320634920634921,0.338164251207729,0.255555555555556,0.286666666666667,0.22,0.2,0.276969696969697,0.1,0.2,0.185146198830409,0.183333333333333,0.2,0.145454545454545,0.09,0.0833333333333333,0.104761904761905,0.243333333333333,0.0333333333333333,0.0333333333333333,0.438117106773823,0.16,0,0.298913043478261,0,0.1,0,0.252727272727273,0.18,0.18,0.18,0.347071678321678,0.312980769230769,0.269230769230769,0.269230769230769,0.2,0.2,0.12,0.1,0.1,0.28,0,0,0.29972602739726,0,-0.23639846743295,0,0,-0.429193899782135,-0.1,-0.248484848484848,-0.510683760683761,-0.366666666666667,-0.429166666666667
"SRC",0.44508064516129,0.44508064516129,0.4109426910299,0.402908805031447,0.370833333333333,0.333808674985146,0.316161616161616,0.345833333333333,0.312639592422335,0.3,0.327272727272727,0.118586872586873,0.138104575163399,0.333333333333333,0.105,0.126500330469266,0.120882352941176,0.170855614973262,0.17224171539961,0.0583333333333333,0.159090909090909,0.206015769915613,0.146315789473684,0.15,0.26052915114862,0.0333333333333333,0.12,0.15,0.21869085721019,0.191973299958281,0.191973299958281,0.191973299958281,0.0775058693022344,0.0587991718426501,0.0333333333333333,0.0333333333333333,0,0,0.00857142857142857,-0.05,-0.05,-0.027861385925902,-0.1,0,-0.0809761701789729,0,-0.152156485489819,-0.1,-0.0333333333333333,-0.1057716509647,-0.0783333333333333,-0.408888888888889,-0.267115192797333,-0.325,-0.44508064516129
"NFB",0.447958937198068,0.447958937198068,0.547726105386924,0.577928637019546,0.531175390266299,0.307895174177053,0.252190476190476,0.469191919191919,0.331629304574751,0.142857142857143,0.178857142857143,0.32025641025641,0.212083333333333,0.405555555555556,0.294151368760064,0.214784656220567,0.198627450980392,0.367456961643008,0.408403195562248,0.236521739130435,0.327922077922078,0.698316798405925,0.366681341257612,0.264285714285714,0.570055337836507,0.18,0.307359307359307,0.314285714285714,0.415098655453593,0.380598655453593,0.380598655453593,0.380598655453593,0.463772739067045,0.437870573870574,0.409193861693862,0.408810744810745,0.376239316239316,0.376239316239316,0.336627598407784,0.331623931623932,0.331623931623932,0.443095238095238,0.277777777777778,0.277777777777778,0.158653958156838,0.2,-0.252283272283272,-0.3,-0.12,-0.610615437765275,-0.266151368760064,-0.321052631578947,-0.729665924911374,-0.386482334869432,-0.447958937198068
"SMO",0.464630325814536,0.464630325814536,0.432857142857143,0.526111111111111,0.481666666666667,0.393240093240093,0.353846153846154,0.44,0.367185309784132,0.2,0.3,0.24389417989418,0.138437001594896,0.4,0.331484593837535,0.145870020964361,0.128888888888889,0.240683229813665,0.32615629984051,0.253333333333333,0.192857142857143,0.458239821078297,0.278787878787879,0.15,0.286195286195286,0.333333333333333,0.233333333333333,0.1,0.382479874776386,0.347596153846154,0.347596153846154,0.347596153846154,0.301440642163076,0.274444444444444,0.344444444444444,0.241111111111111,0.3,0.196666666666667,0.255263157894737,0.25,0.15,0.366472607851918,0.2,0.1,0.318884306355123,0.1,-0.335225292506846,0,-0.3,-0.397840042355231,-0.296190476190476,-0.355798319327731,-0.443631269720379,-0.397368421052632,-0.464630325814536
"TWIST1",0.475858343337335,0.475858343337335,0.537091843734458,0.524111640352073,0.485438871473354,0.477104295456357,0.431830663615561,0.440438871473354,0.480628124936912,0.28,0.371304347826087,0.411679550238536,0.247703962703963,0.381818181818182,0.460865775851691,0.243604513416788,0.223748917748918,0.461677403056713,0.42009768009768,0.391555555555556,0.416849816849817,0.731186619470955,0.379145299145299,0.369230769230769,0.465774493705528,0.355555555555556,0.335555555555555,0.3,0.452050268226609,0.42054341891154,0.42054341891154,0.42054341891154,0.470159951123808,0.446443851873952,0.418854803675856,0.417916244511989,0.385254803675856,0.384582911178656,0.315754268614681,0.348412698412698,0.348412698412698,0.461239889143115,0.309523809523809,0.309523809523809,0.39684665708351,0.266666666666667,-0.402797009911764,-0.2,-0.3,-0.658247576402869,-0.42958372456964,-0.462269661781857,-0.826476183952889,-0.393572418572419,-0.475858343337335
"NOTCH",0.492324561403509,0.492324561403509,0.389523809523809,0.407129768449109,0.338164251207729,0.355897435897436,0.286666666666667,0.255555555555556,0.322732408834104,0.2,0.22,0.217061092447431,0.18921568627451,0.2,0.181168831168831,0.10304347826087,0.09,0.154761904761905,0.201954022988506,0.1,0.104761904761905,0.486750986555244,0.243333333333333,0.0333333333333333,0.348913043478261,0.0333333333333333,0.16,0,0.302727272727273,0.252727272727273,0.252727272727273,0.252727272727273,0.378106161080299,0.347071678321678,0.312980769230769,0.312980769230769,0.269230769230769,0.269230769230769,0.167368421052632,0.2,0.2,0.337692307692308,0.1,0.1,0.327345075016308,0,-0.277574938021185,0,0,-0.480031888608951,-0.145454545454545,-0.304040404040404,-0.571745707586416,-0.429166666666667,-0.492324561403509
"FUS",0.506168787352998,0.506168787352998,0.474749034749035,0.568502415458937,0.526111111111111,0.432063622651858,0.393240093240093,0.481666666666667,0.397878379091063,0.3,0.353846153846154,0.271636115378051,0.157081069391506,0.44,0.359574481477984,0.158651975851579,0.145870020964361,0.276683229813665,0.365691183561441,0.296190476190476,0.240683229813665,0.49363002071532,0.32615629984051,0.192857142857143,0.322365498961244,0.253333333333333,0.278787878787879,0.15,0.412304436179895,0.382479874776386,0.382479874776386,0.382479874776386,0.324048131760857,0.301440642163076,0.378425026968716,0.274444444444444,0.344444444444444,0.241111111111111,0.274493927125506,0.3,0.196666666666667,0.403972607851918,0.25,0.15,0.336358608851452,0.1,-0.35954961683117,-0.1,-0.333333333333333,-0.435507346370528,-0.331484593837535,-0.396850950906678,-0.486081412170521,-0.441368421052632,-0.506168787352998
"cfos",0.532604793580403,0.532604793580403,0.422150900900901,0.4395582608422,0.392017277235642,0.396290726817043,0.341904761904762,0.321804511278195,0.347452559971357,0.32,0.28,0.232833443199297,0.102852049910873,0.242857142857143,0.193575757575758,0.12,0.1,0.186607142857143,0.23316091954023,0.133333333333333,0.142857142857143,0.53383699895268,0.188333333333333,0.1,0.371313251126432,0.0933333333333333,0.13,0.0333333333333333,0.342920313575633,0.302413984461709,0.302413984461709,0.302413984461709,0.420470491191551,0.392582044976411,0.360400421496312,0.36136511375948,0.326153846153846,0.326153846153846,0.196323529411765,0.28,0.28,0.392285133565621,0.2,0.2,0.361134835395456,0.1,-0.309531312853412,0,-0.0333333333333333,-0.527145063235289,-0.169333333333333,-0.342592592592593,-0.610392939688149,-0.476750700280112,-0.532604793580403
"CDC42",0.532604793580403,0.532604793580403,0.422150900900901,0.4395582608422,0.392017277235642,0.396290726817043,0.341904761904762,0.321804511278195,0.347452559971357,0.22,0.28,0.232833443199297,0.102852049910873,0.342857142857143,0.193575757575758,0.12,0.1,0.186607142857143,0.23316091954023,0.133333333333333,0.142857142857143,0.53383699895268,0.188333333333333,0.1,0.371313251126432,0.0933333333333333,0.13,0.0333333333333333,0.342920313575633,0.302413984461709,0.302413984461709,0.302413984461709,0.420470491191551,0.392582044976411,0.360400421496312,0.36136511375948,0.326153846153846,0.326153846153846,0.196323529411765,0.28,0.28,0.392285133565621,0.2,0.2,0.361134835395456,0.1,-0.309531312853412,0,-0.0333333333333333,-0.527145063235289,-0.169333333333333,-0.342592592592593,-0.610392939688149,-0.476750700280112,-0.532604793580403
"TGF",0.539621612954946,0.539621612954946,0.541950317124736,0.557044025157233,0.596666666666667,0.477047269336131,0.423558897243108,0.526666666666667,0.454751720747296,0.333333333333333,0.376190476190476,0.33589655958077,0.246153846153846,0.46,0.285047619047619,0.243922902494331,0.225555555555556,0.354411764705882,0.399259259259259,0.213333333333333,0.325,0.510298035298035,0.351111111111111,0.258333333333333,0.470152444217339,0.153333333333333,0.273333333333333,0.233333333333333,0.397232947232947,0.34047619047619,0.34047619047619,0.34047619047619,0.423944001406688,0.386133056133056,0.341538461538462,0.341538461538462,0.28,0.28,0.181578947368421,0.2,0.2,0.355714285714286,0.1,0.1,0.179102768576453,0,-0.37565133279419,-0.2,-0.133333333333333,-0.512252023644429,-0.249333333333333,-0.419939144047803,-0.597698943568509,-0.489004329004329,-0.539621612954946
"NOTCHic",0.544901880991138,0.544901880991138,0.437349896480331,0.454068543959313,0.407129768449109,0.414720965309201,0.355897435897436,0.338164251207729,0.357235332810712,0.22,0.286666666666667,0.243926764089222,0.206862745098039,0.255555555555556,0.206809856809857,0.124948240165631,0.10304347826087,0.200707850707851,0.24688155922039,0.145454545454545,0.154761904761905,0.527212202488158,0.201954022988506,0.104761904761905,0.387579710144928,0.1,0.243333333333333,0.0333333333333333,0.342828795569912,0.302727272727273,0.302727272727273,0.302727272727273,0.40582090986474,0.378106161080299,0.346314102564103,0.347071678321678,0.312980769230769,0.312980769230769,0.224511278195489,0.269230769230769,0.269230769230769,0.38054945054945,0.2,0.2,0.348934021475721,0.1,-0.308083412597457,0,-0.0333333333333333,-0.52588341699323,-0.181168831168831,-0.351732711732712,-0.62250456087478,-0.484166666666667,-0.544901880991138
"TCFLEF",0.556255243113332,0.556255243113332,0.6198299564059,0.607975447975448,0.57959706959707,0.528444586142516,0.501047325868543,0.548168498168498,0.440227590070317,0.431428571428571,0.472891986062718,0.289044669293617,0.217112742330134,0.507692307692308,0.292440988130643,0.201486764851458,0.189922139001118,0.315786278938453,0.398300736241107,0.246794871794872,0.294195369847544,0.484968184444524,0.372958270487682,0.274195369847544,0.43303923204901,0.221794871794872,0.346958270487682,0.235064935064935,0.40931336220841,0.385339852274635,0.385339852274635,0.385339852274635,0.208553198074456,0.18921957247165,0.269070932448214,0.265121784345922,0.240544286680189,0.236867816091954,0.200839160839161,0.209509803921569,0.205833333333333,0.600486676811574,0.174509803921569,0.170833333333333,0.321385285965128,0.133333333333333,-0.358674412246674,-0.171428571428571,-0.183333333333333,-0.436015558604366,-0.26920866489832,-0.440606060606061,-0.604380855922144,-0.423244289585753,-0.556255243113332
"PAK1",0.573145334120944,0.573145334120944,0.459033030178468,0.475867784651723,0.4395582608422,0.448063776462433,0.396290726817043,0.392017277235642,0.377933843393817,0.28,0.341904761904762,0.260432009507541,0.128852049910873,0.321804511278195,0.219956125673917,0.139827586206897,0.12,0.219940476190476,0.267307261003645,0.169333333333333,0.186607142857143,0.56871622600582,0.23316091954023,0.142857142857143,0.404447579484641,0.133333333333333,0.188333333333333,0.1,0.37752651882623,0.342920313575633,0.342920313575633,0.342920313575633,0.444308572151071,0.420470491191551,0.391650421496312,0.392582044976411,0.360400421496312,0.36136511375948,0.230366082603254,0.326153846153846,0.326153846153846,0.428497758150339,0.28,0.28,0.379770838567542,0.2,-0.335443021106771,-0.0333333333333333,-0.0933333333333333,-0.566179268466677,-0.193575757575758,-0.380480791350357,-0.652383608428429,-0.52093674679174,-0.573145334120944
"LIV1",0.573145334120944,0.573145334120944,0.459033030178468,0.475867784651723,0.4395582608422,0.448063776462433,0.396290726817043,0.392017277235642,0.377933843393817,0.28,0.341904761904762,0.260432009507541,0.128852049910873,0.321804511278195,0.219956125673917,0.139827586206897,0.12,0.219940476190476,0.267307261003645,0.169333333333333,0.186607142857143,0.56871622600582,0.23316091954023,0.142857142857143,0.404447579484641,0.133333333333333,0.188333333333333,0.1,0.37752651882623,0.342920313575633,0.342920313575633,0.342920313575633,0.444308572151071,0.420470491191551,0.391650421496312,0.392582044976411,0.360400421496312,0.36136511375948,0.230366082603254,0.326153846153846,0.326153846153846,0.428497758150339,0.28,0.28,0.379770838567542,0.2,-0.335443021106771,-0.0333333333333333,-0.0933333333333333,-0.566179268466677,-0.193575757575758,-0.380480791350357,-0.652383608428429,-0.52093674679174,-0.573145334120944
"EGR1",0.573145334120944,0.573145334120944,0.459033030178468,0.475867784651723,0.4395582608422,0.448063776462433,0.396290726817043,0.392017277235642,0.377933843393817,0.28,0.341904761904762,0.260432009507541,0.128852049910873,0.321804511278195,0.219956125673917,0.139827586206897,0.12,0.219940476190476,0.267307261003645,0.169333333333333,0.186607142857143,0.56871622600582,0.23316091954023,0.142857142857143,0.404447579484641,0.133333333333333,0.188333333333333,0.1,0.37752651882623,0.342920313575633,0.342920313575633,0.342920313575633,0.444308572151071,0.420470491191551,0.391650421496312,0.392582044976411,0.360400421496312,0.36136511375948,0.230366082603254,0.326153846153846,0.326153846153846,0.428497758150339,0.28,0.28,0.379770838567542,0.2,-0.335443021106771,-0.0333333333333333,-0.0933333333333333,-0.566179268466677,-0.193575757575758,-0.380480791350357,-0.652383608428429,-0.52093674679174,-0.573145334120944
"ZEB1",0.574516235572243,0.574516235572243,0.478160880904086,0.505359833006892,0.469225379225379,0.373316454222688,0.328872009778243,0.425441595441595,0.368039528791539,0.216666666666667,0.281884057971014,0.35083447761309,0.210429371748699,0.368518518518519,0.297233800682076,0.203635177129974,0.187781518593389,0.308123566407695,0.375975422427035,0.242857142857143,0.272123566407695,0.52469609017648,0.34026113671275,0.236274509803922,0.477327630496645,0.20952380952381,0.30047619047619,0.183333333333333,0.449611343992709,0.418779370093851,0.418779370093851,0.418779370093851,0.491252287119619,0.469999023412047,0.446268559037441,0.444718124535643,0.417748703441773,0.416250971250971,0.296040823211876,0.383095238095238,0.380897435897436,0.476667485079701,0.338095238095238,0.335897435897436,0.39511582873383,0.266666666666667,-0.384515409735576,-0.133333333333333,-0.166666666666667,-0.638451637038756,-0.271592775041051,-0.352026233421582,-0.645175544415703,-0.518849206349206,-0.58739418169703
"Csl",0.585946657110541,0.585946657110541,0.473798494611172,0.489834967316977,0.454068543959313,0.465578108166343,0.414720965309201,0.407129768449109,0.388254855587285,0.286666666666667,0.355897435897436,0.27211667506845,0.235067873303167,0.338164251207729,0.233989343989344,0.145811549518149,0.124948240165631,0.235795570006096,0.281535024566924,0.181168831168831,0.200707850707851,0.561857871779497,0.24688155922039,0.154761904761905,0.420750441852245,0.145454545454545,0.201954022988506,0.104761904761905,0.376672007807006,0.342828795569912,0.342828795569912,0.342828795569912,0.42951962388801,0.40582090986474,0.377377932351337,0.378106161080299,0.346314102564103,0.347071678321678,0.255545760954109,0.312980769230769,0.312980769230769,0.416033321517192,0.269230769230769,0.269230769230769,0.367000179236535,0.2,-0.333621874135918,-0.0333333333333333,-0.1,-0.56489168145604,-0.206809856809857,-0.390819006148955,-0.664646959848481,-0.529264705882353,-0.585946657110541
"TGFR",0.586013365532266,0.586013365532266,0.590098465272884,0.607790293813949,0.557044025157233,0.522117691871342,0.477047269336131,0.596666666666667,0.495204795180953,0.376190476190476,0.423558897243108,0.370042901044185,0.266524216524217,0.526666666666667,0.318380952380952,0.260664983942295,0.243922902494331,0.390309200603318,0.445413105413105,0.249333333333333,0.354411764705882,0.557427221900906,0.399259259259259,0.325,0.513646868009161,0.213333333333333,0.351111111111111,0.258333333333333,0.442307574098619,0.397232947232947,0.397232947232947,0.397232947232947,0.454920745592734,0.423944001406688,0.385909322465614,0.386133056133056,0.341538461538462,0.341538461538462,0.225882744836776,0.28,0.28,0.40922305764411,0.2,0.2,0.205886636208304,0.1,-0.41065133279419,-0.233333333333333,-0.153333333333333,-0.562987317762076,-0.285047619047619,-0.463878537987197,-0.651530891860291,-0.535992280811558,-0.586013365532266
"SNAI1",0.607373522040407,0.607373522040407,0.490767867978185,0.507499305184465,0.475867784651723,0.486078304307469,0.448063776462433,0.4395582608422,0.305733843393817,0.341904761904762,0.396290726817043,0.285772608962581,0.152289549910873,0.392017277235642,0.244956125673917,0.154113300492611,0.139827586206897,0.253004992319508,0.299572707227901,0.193575757575758,0.219940476190476,0.598451829048196,0.267307261003645,0.186607142857143,0.433661062630709,0.169333333333333,0.23316091954023,0.142857142857143,0.405435530199808,0.37752651882623,0.37752651882623,0.37752651882623,0.463936321728059,0.444308572151071,0.41985554970144,0.420470491191551,0.391650421496312,0.392582044976411,0.251166082603254,0.360400421496312,0.36136511375948,0.459506475460426,0.326153846153846,0.326153846153846,0.395193724139681,0.28,-0.357096840307892,-0.1,-0.133333333333333,-0.598927360069731,-0.219956125673917,-0.41412348276567,-0.688317900009537,-0.556281574377947,-0.607373522040407
"SMAD",0.607833558132296,0.607833558132296,0.51265407126051,0.527754579738848,0.489031175483529,0.478422077547013,0.427668308702791,0.441102181400689,0.418799960888366,0.314285714285714,0.372906403940887,0.377595851734669,0.258080289015541,0.376923076923077,0.335779025569038,0.150609301244276,0.232316618317447,0.338838763575606,0.38444618599791,0.278151260504202,0.300492898913952,0.574274117874062,0.346515151515152,0.258270676691729,0.439962851778203,0.242857142857143,0.301515151515152,0.221428571428571,0.460895317470097,0.425971978458171,0.425971978458171,0.425971978458171,0.443886663422413,0.419614818762219,0.390218569026714,0.390961523633279,0.356633663366337,0.357373737373737,0.261015916842618,0.32,0.32,0.425602614682448,0.271428571428571,0.271428571428571,0.277467124315214,0.2,-0.371832810792059,-0.15,-0.2,-0.577052191380637,-0.308586043112897,-0.409028766606782,-0.675365724968939,-0.552716797897933,-0.607833558132296
"GLI",0.620350960253257,0.620350960253257,0.517087926469428,0.631269485675962,0.590811470408786,0.564664049129165,0.51582683982684,0.541818181818182,0.437540642877721,0.402857142857143,0.466493506493507,0.303188629528626,0.186787744555186,0.475151515151515,0.360638007054674,0.192585225196964,0.174854728743064,0.26775903321731,0.312120192552781,0.300773809523809,0.230822096280373,0.589592768644683,0.273172824131728,0.19593837535014,0.438318722870904,0.269523809523809,0.230707070707071,0.154761904761905,0.470285320739866,0.433095238095238,0.433095238095238,0.433095238095238,0.468449757228364,0.442547695372694,0.410832784003516,0.411178544592798,0.47479674796748,0.375105485232067,0.236801437556155,0.433333333333333,0.333333333333333,0.442218982831228,0.38,0.28,0.343246765892144,0.2,-0.42428902287751,-0.0833333333333333,-0.226666666666667,-0.588203023504774,-0.331638007054674,-0.432726513252829,-0.677059330102944,-0.568732126098811,-0.620350960253257
