"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0570289564212999,0.0257460349067076,0.0288062520834105,0.0272273047149894,0.0210204081632653,0.0614003015487053,0.095886901554641,0.0632184833668872,0.072,0.0638032786885246,0.0106330156858071,0.0149609448875091,0.014490356652215,-0.11914483649648,0.0483481327167334,-0.0397950589252216,0.0527849927849928,0.0546031746031746,-0.111877394636015,-0.111877394636015,-0.185213752892461,0.0523809523809524,-0.0577617431629819,-0.0541180184666257,-0.053571570379194,0.0285233609907195,-0.203149190846705,0.192365228184824,0.192365228184824,-0.233201435862098,0.214975137475732,0.00656365565062544,0.00777041349455143,0.00777041349455143,0.00777041349455143,0.0514879554728689,-0.0895257850435702,-0.203984674583732,-0.186571645082759,-0.185758339602481,-0.186061441001126,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.020119348908266,0.116044061302682,-0.124118365353305
"AXIN2",0.110540380774573,0.0645281966741413,0.0638681306675407,0.0647530864197531,0.0783333333333333,0.125254234080802,0.154993735632341,0.130051282051282,0.16,0.142051282051282,0.0192118226600985,0.0190051242396901,0.0225907816102081,-0.153118372855215,0.103990376479528,-0.0370946197518206,0.106237567490764,0.109178743961353,-0.152930402930403,-0.157692307692308,-0.219842310485875,0.122222222222222,-0.0521074887992181,-0.0514272166903746,-0.0505263157894737,0.0355778833272439,-0.252988588338008,0.245175501457021,0.245175501457021,-0.276708902456608,0.249359406027404,0.0712663371726538,0.0740851291189625,0.0740851291189625,0.0740851291189625,0.0626488509647817,-0.170988229732673,-0.2593606087525,-0.239908935293043,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159674843005718,0.151144688644689,-0.180140692640693
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.116666666666667,0.104658385093168,0.0666666666666667,0.1,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.222941176470588,0.0866666666666667,0.0666666666666667,0.05,0,0.153259803921569,0.1,0.192857142857143,0.142857142857143,0.1,-0.0222222222222222,-0.262745098039216,0.304208512673362,0.304208512673362,0.340258620689655,-0.334703389830508,0.149029550620738,0.118796992481203,0.118796992481203,0.118796992481203,-0.402475553557379,-0.0729623824451411,-0.306262626262626,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.12
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.158974358974359,0.118944099378882,0.116666666666667,0.0666666666666667,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.119417679095098,0.161666666666667,0.24484593837535,0.136666666666667,0.0866666666666667,0.0954545454545455,0.05,0.16437091503268,0.0666666666666667,0.222268907563025,0.192857142857143,0.142857142857143,0.00577777777777779,-0.300840336134454,0.338861978019897,0.338861978019897,0.368334330468835,-0.366766881894001,0.170629550620738,0.149029550620738,0.149029550620738,0.149029550620738,-0.437673688755514,-0.0929623824451411,-0.342200126262626,0.348800478016233,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00819824740195381,-0.10974025974026,-0.141428571428571
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.363030303030303,0.336089931573803,0.326666666666667,0.2,0.28,0.109959539371304,0.10298425939719,0.0891156462585034,0.324003623188406,0.335849056603774,0.412614379084967,0.3,0.26,0.266666666666667,0.233333333333333,0.353745688131544,0.2,0.373923013923014,0.340589680589681,0.305454545454545,0.188571428571429,-0.266666666666667,0.354514963880289,0.354514963880289,0.464465873931893,-0.592777865765671,0.395392317427231,0.370392317427231,0.370392317427231,0.370392317427231,-0.673421362470867,-0.347048266045549,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.342128375572915,-0.297916666666667,-0.326456018208595
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.363030303030303,0.336089931573803,0.326666666666667,0.2,0.28,0.109959539371304,0.10298425939719,0.0891156462585034,0.324003623188406,0.335849056603774,0.412614379084967,0.3,0.26,0.266666666666667,0.233333333333333,0.353745688131544,0.2,0.373923013923014,0.340589680589681,0.305454545454545,0.188571428571429,-0.266666666666667,0.354514963880289,0.354514963880289,0.464465873931893,-0.592777865765671,0.395392317427231,0.370392317427231,0.370392317427231,0.370392317427231,-0.673421362470867,-0.347048266045549,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.342128375572915,-0.297916666666667,-0.326456018208595
"DSH",0.231314495378143,0.258798161894662,0.240331262939959,0.203188405797101,0.146666666666667,0.184780810587262,0.134886128364389,0.158974358974359,0.0666666666666667,0.116666666666667,0.072285295891119,0.0760696215325644,0.0631908336537765,0.13107412081289,0.17562015503876,0.262576434829251,0.161666666666667,0.136666666666667,0.10974025974026,0.0954545454545455,0.179099597203222,0.0866666666666667,0.239170316013729,0.222268907563025,0.192857142857143,0.0348100358422939,-0.33287917108591,0.364058828413597,0.364058828413597,0.392110554245059,-0.394446504979984,0.192119521967443,0.170629550620738,0.170629550620738,0.170629550620738,-0.465153934585189,-0.110171684770722,-0.369029394555309,0.366164681043837,0.328532114600226,0.348800478016233,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00458801214003092,-0.119417679095098,-0.159738430583501
"RAF",0.296006483937518,0.320890075656431,0.267619047619048,0.22,0.2,0.225019157088123,0.22073762506942,0.187241379310345,0.17,0.17,0.159581881533101,0.156725110893631,0.153754813863928,0.208590163934426,0.156168831168831,0.374004753416518,0.110714285714286,0.0857142857142857,0.14,0.1,0.258543536260005,0.1,0.21041181041181,0.156565656565657,0.111111111111111,0.0157894736842105,-0.332663797226208,0.372663797226208,0.372663797226208,0.624385964912281,-0.474936280818634,0.0935827216261999,0.050974025974026,0.050974025974026,0.050974025974026,-0.543314330360812,-0.164381402679275,-0.380952950808151,0.377496836898203,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,-0.1,0,0.0227081076332972,-0.184,-0.226050420168067
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.283333333333333,0.2,0,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.2,0.1,0,0.3,0.2,0.162857142857143,0,0.233333333333333,0.2,0.1,0.25,-0.3,0.375,0.375,0.36727969348659,-0.299068100358423,0.3,0.25,0.25,0.25,-0.341666666666667,-0.271794871794872,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.187610976594027,0.173280998389694,0.145238095238095,0.0666666666666667,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.276816119652898,0.252941176470588,0.2,0.1,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.0434017595307918,-0.336842105263158,0.375508463573364,0.375508463573364,0.395363646725939,-0.396875422177051,0.214076994434137,0.184910327767471,0.184910327767471,0.184910327767471,-0.472077970556085,-0.18481240981241,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.165481577246283
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.187610976594027,0.173280998389694,0.145238095238095,0.0666666666666667,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.276816119652898,0.252941176470588,0.2,0.1,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.0434017595307918,-0.336842105263158,0.375508463573364,0.375508463573364,0.395363646725939,-0.396875422177051,0.214076994434137,0.184910327767471,0.184910327767471,0.184910327767471,-0.472077970556085,-0.18481240981241,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.165481577246283
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.391027568922306,0.371089596901954,0.346666666666667,0.2,0.286666666666667,0.11529304029304,0.110255348516218,0.0923809523809524,0.364948362323653,0.365740740740741,0.448322008191805,0.325,0.275,0.301176470588235,0.26,0.401482358753778,0.2,0.412593984962406,0.375751879699248,0.332894736842105,0.227090453406243,-0.286538461538462,0.378588839941263,0.378588839941263,0.710410095784486,-0.63753975365315,0.437223691057451,0.408282514586862,0.408282514586862,0.408282514586862,-0.808746439750999,-0.385697991211709,-0.386587993124707,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385832009342356,-0.335870348139256,-0.353411499735029
"cateninnuc",0.394232434232434,0.377923263026397,0.357747824429905,0.331736263736264,0.299428571428571,0.375504502156982,0.336558286173123,0.354597701149425,0.296666666666667,0.327701149425287,0.121810332802765,0.109044868575255,0.100757575757576,0.216156151247684,0.340842814309771,0.324196036893848,0.323711340206186,0.3,0.186666666666667,0.163333333333333,0.247386737422065,0.266666666666667,0.372520331951164,0.353899642295992,0.329639287266406,0.157527862208713,-0.301102839812517,0.382021580088639,0.382021580088639,0.462973818377708,-0.409886006884679,0.382356231021875,0.366512075177719,0.366512075177719,0.366512075177719,-0.492902459380612,-0.336872616724848,-0.389352227810264,0.182184935767851,0.255050909979439,0.269124614793861,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.233333333333333,-0.133333333333333,0.160606060606061,0.320382231062653,-0.20343685300207,-0.346540781536848
"RAS",0.345396825396825,0.367769365171811,0.315294117647059,0.28,0.26,0.314315789473684,0.306489675516224,0.286315789473684,0.26,0.26,0.161857707509881,0.158750773036487,0.156709956709957,0.192870056497175,0.212222222222222,0.375242771412984,0.173333333333333,0.166666666666667,0.116666666666667,0.1,0.258624088310664,0.2,0.277259185700099,0.226315789473684,0.2,-0.0126984126984127,-0.356428571428571,0.398696612665685,0.398696612665685,0.57634173186284,-0.400410502033264,0.153213841175006,0.205641025641026,0.205641025641026,0.205641025641026,-0.47119473173547,-0.216989664082687,-0.407661538461538,0.410022792164208,0.338970588235294,0.37971117743333,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0340659026705538,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.370573870573871,0.39267243394903,0.343736263736264,0.301428571428571,0.271428571428571,0.357412323037323,0.356393745557925,0.323037323037323,0.276190476190476,0.30952380952381,0.261647727272727,0.259196932100158,0.252903225806452,0.298701026608003,0.338011695906433,0.403942028985507,0.304678362573099,0.288888888888889,0.233333333333333,0.2,0.357215265481102,0.3,0.394031320791884,0.347552447552448,0.309090909090909,-0.0553694581280788,-0.362017543859649,0.400588972431078,0.400588972431078,0.645446544203578,-0.494195273195273,0.332628952967936,0.285875706214689,0.285875706214689,0.285875706214689,-0.563557925110508,-0.31585308255715,-0.410651126415904,0.400453903067587,0.331521739130435,0.370434782608696,0.275,0.330434782608696,0.273913043478261,0.2,0.2,0.1,0.1,0.345606435643564,-0.2,-0.2,0,-0.0356106235300866,-0.268468468468469,-0.381834795321637
"AKT",0.278358212604682,0.298249873938228,0.273778574844572,0.233941176470588,0.177941176470588,0.214638003621055,0.195586762800722,0.187610976594027,0.0952380952380952,0.145238095238095,0.0875742731867506,0.0920539588808496,0.0798917967186875,0.14889338731444,0.194385446486287,0.300363520264519,0.276018099547511,0.252941176470588,0.115384615384615,0.1,0.202450912048333,0.2,0.25880360486535,0.236104218362283,0.203846153846154,0.0737047898338221,-0.370175438596491,0.404960518367885,0.404960518367885,0.423532660810446,-0.428577766723433,0.240185368818374,0.214076994434137,0.214076994434137,0.214076994434137,-0.504502212980328,-0.20521645021645,-0.40598605092337,0.400873571167032,0.357752076547316,0.381335109628571,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388916279869348,-0.166666666666667,-0.05,0.2,-0.00412094672695625,-0.132051282051282,-0.189231577246283
"MEK",0.33744792537896,0.363955769087088,0.320890075656431,0.267619047619048,0.22,0.16887880621093,0.246378650710445,0.225019157088123,0.17,0.187241379310345,0.163218245169465,0.165950203144554,0.156725110893631,0.227544412300439,0.185580595874714,0.406605486017251,0.156168831168831,0.110714285714286,0.184,0.14,0.279035339538693,0.0857142857142857,0.247638087784073,0.21041181041181,0.156565656565657,0.0369162342475908,-0.369918699186992,0.410759035321446,0.410759035321446,0.659179152260213,-0.51249725642839,0.127563304150472,0.0935827216261999,0.0935827216261999,0.0935827216261999,-0.584662235643144,-0.192145530443403,-0.419033446164188,0.400545164035749,0.352867132867133,0.377496836898203,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379613791006196,-0.1,-0.1,0.1,0.0427917896416654,-0.208590163934426,-0.257629367536488
"CD44",0.364285714285714,0.345833333333333,0.333333333333333,0.3,0.2,0.327272727272727,0.261503759398496,0.3,0.2,0.2,0.108333333333333,0.0969298245614035,0.0916666666666667,0.0533333333333333,0.15,0.196190476190476,0.15,0.1,0.0333333333333333,0,0.0575,0.1,0.12,0.12,0.1,0.0333333333333333,-0.275,0.419444444444444,0.419444444444444,0.137988064791134,-0.0362745098039216,0.164313725490196,0.146666666666667,0.146666666666667,0.146666666666667,-0.201269841269841,-0.103896103896104,-0.429644268774704,0.0344262295081967,-0.05,0,-0.1,-0.05,0,-0.1,0,0,0.1,-0.106060606060606,-0.1,0,0.1,-0.121413043478261,-0.0333333333333333,-0.355555555555556
"IKK",0.497806637806638,0.529191919191919,0.469191919191919,0.405555555555556,0.35,0.246922183507549,0.293560927339553,0.176190476190476,0.1,0.142857142857143,0.181940144478844,0.18578795379538,0.172916666666667,0.2557343550447,0.321042471042471,0.532941176470588,0.264285714285714,0.314285714285714,0.18,0.12,0.287413308341143,0.3,0.362914862914863,0.307359307359307,0.245454545454545,0.244666666666667,-0.363369963369963,0.425418546365915,0.425418546365915,0.660347091652491,-0.569256032607988,0.378260869565217,0.333333333333333,0.333333333333333,0.333333333333333,-0.682863893582049,-0.224505494505495,-0.428840579710145,0.439530455479823,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.139265491747074,-0.228148148148148,-0.277322404371585
"Csn",0.253628756931699,0.279771395206155,0.252802421459138,0.206648575305292,0.145454545454545,0.237954458848314,0.164599911436857,0.204993564993565,0.106666666666667,0.159047619047619,0.0753737541528239,0.082139121897078,0.0687370600414079,0.139396839132429,0.205134408602151,0.294960261804582,0.184166666666667,0.155,0.108513708513709,0.0873015873015873,0.186845221450699,0.105,0.263310119831859,0.238672438672439,0.201010101010101,0.0384152334152334,-0.399880772821949,0.437214226633582,0.437214226633582,0.438277071631492,-0.442370015831975,0.234312193255484,0.207003745318352,0.207003745318352,0.207003745318352,-0.516743725919167,-0.149104496889545,-0.445018334053115,0.419835433947705,0.37427547866515,0.398849264374644,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,-0.18,-0.0428571428571429,0.2,0.0504276184258625,-0.124642740771773,-0.179751126680612
