"","FOXC2","TGF","TGFR","CDC42","PAK1","EGR1","MEK","ERK","cfos","SNAI1","TWIST1","KLF4","cateninmemb","SOSGRB2","HEY1","Ecadherin","SMAD","ILK","Jagged","SHH","SNAI2","NFB","IKK","NOTCH","SMO","AKT","NOTCHic","Csl","FUS","miR200","Csn","GSK3","RAS","RAF","PI3K","DELTA","TrCP","SUFU","ZEB2","ZEB1","Patched","GLI","Wnt","cateninnuc","Frizzled","TCFLEF","CD44","cMet","SRC","DSH","STAT","LIV1","AXIN2","Destcompl","RKIP"
"Destcompl",0.0416986715200139,0.0125091701640438,0.0172302002069623,0.0155448069485353,0.00966245400735882,0.0573333333333333,0.0435536496024301,0.045992673992674,0.0465641025641026,0.0701028467311679,-0.0533719683220591,-0.170994176297056,0.233266923624561,-0.0664941654492738,-0.0920744113545,0.08234022459673,-0.0825396825396826,-0.0825396825396826,-0.209819039644744,-0.185296206385971,-0.243404406733795,0.0219230769230769,0.0229331779331779,-0.0768979413453671,-0.171364317841079,0.0162665112665113,-0.0712799638172772,-0.0712799638172772,-0.178260869565217,-0.177700348801805,0.0169230769230769,-0.083128434709891,-0.00494429010201244,-0.00272206787979021,-0.00272206787979021,-0.00272206787979021,-0.04,0.2,0.155968461620969,0.181085765468472,0.177943265209501,-0.195242685648243,-0.191305677774227,-0.197633399468808,-0.186593635889411,-0.196357039868364,-0.194361474458164,-0.1908041622052,-0.186593635889411,-0.185185185185185,-0.185185185185185,-0.188888888888889,-0.247192706428393,-0.0252763167975768,-0.105533211167832
"AXIN2",0.0980955256528001,0.0535486190023422,0.0535486190023422,0.0563523573200992,0.0743010752688172,0.153333333333333,0.105714285714286,0.112142857142857,0.128333333333333,0.138193319838057,-0.0475796604828863,-0.225691244239631,0.265988416580955,-0.0810222143026847,-0.101450962830273,0.0927486392206784,-0.101397154375805,-0.0945006026516673,-0.247636602366206,-0.216507979463411,-0.284616201690738,0.0845238095238095,0.0796057767369243,-0.0692496176962196,-0.221390374331551,0.0783557767369243,-0.0681507165973185,-0.0652380952380952,-0.227272727272727,-0.233856845728348,0.108333333333333,-0.166144510542735,0.0621320278436661,0.0668553746722761,0.0668553746722761,0.0668553746722761,-0.133333333333333,0.2,0.215577404307757,0.235324350969438,0.214868635201116,-0.244174429436423,-0.240884955752212,-0.249690393754942,-0.24,-0.247192706428393,-0.243855252781915,-0.240884955752212,-0.24,-0.24,-0.24,-0.233333333333333,0.176098390037391,0.155657249932528,-0.165946680305597
"Wnt",0.148039215686275,0.18383275261324,0.122857142857143,0.08,0.1,0.1,0.108496732026144,0.0555555555555556,0.0666666666666667,0.055982905982906,0.205555555555556,-0.203076923076923,-0.3253912050257,0.0866666666666667,0.0158730158730159,-0.39503178551686,-0.011965811965812,0.0111111111111111,0.13977207977208,0.05,0.33006435006435,0,0.02,0.16952380952381,-0.05,0.0892307692307692,0.10952380952381,0.0666666666666667,-0.1,-0.282777777777778,0.1,-0.0628571428571429,0.142702284165699,0.115873015873016,0.115873015873016,0.115873015873016,-0.1,0,0.256018099547511,0.238333333333333,-0.025,0.276190476190476,0.242857142857143,0.31307634164777,0.3,0.294557823129252,0.276190476190476,0.242857142857143,0.2,0.2,0.1,0,0.302857142857143,-0.031644714623438,-0.111904761904762
"Frizzled",0.189372549019608,0.2236176988498,0.18383275261324,0.122857142857143,0.08,0.0666666666666667,0.155435507536348,0.108496732026144,0.0555555555555556,0.0645543345543346,0.225555555555556,-0.251648351648352,-0.355502729189268,0.12,-0.00826491516146689,-0.429679672840804,-0.0242945790890996,-0.011965811965812,0.14377207977208,0.05,0.356380139538034,0.02,0.0892307692307692,0.202857142857143,0.025,0.122564102564103,0.16952380952381,0.10952380952381,-0.05,-0.319856429463171,0,-0.082320230105465,0.162360403823818,0.142702284165699,0.142702284165699,0.142702284165699,-0.1,0.1,0.292018099547511,0.282777777777778,-0.05,0.294557823129252,0.276190476190476,0.331533641923252,0.242857142857143,0.31307634164777,0.294557823129252,0.276190476190476,0.242857142857143,0.3,0.2,0.1,0.33012987012987,-0.0180215262176409,-0.132738095238095
"DSH",0.203218702865762,0.238371797210455,0.2236176988498,0.18383275261324,0.122857142857143,0.0555555555555556,0.181485927704415,0.155435507536348,0.108496732026144,0.0753557282825576,0.23984126984127,-0.284115884115884,-0.381965124732444,0.148947368421053,-0.0157649151614669,-0.45565369881483,-0.0106851116334783,-0.0242945790890996,0.151464387464387,0.05,0.378764245498299,0.0892307692307692,0.122564102564103,0.214926108374384,0.05,0.130026789131267,0.202857142857143,0.16952380952381,0.025,-0.343930503537245,0.02,-0.0988596703090273,0.183232677967121,0.162360403823818,0.162360403823818,0.162360403823818,0,0.05,0.313667584083594,0.319856429463171,-0.05,0.312204881952781,0.294557823129252,0.347616116150056,0.276190476190476,0.331533641923252,0.31307634164777,0.294557823129252,0.276190476190476,0.242857142857143,0.242857142857143,0.2,0.351827983337417,-0.00667248981507134,-0.147492193598751
"PI3K",0.245249190076776,0.265570117955439,0.224285714285714,0.164285714285714,0.114285714285714,0.0666666666666667,0.189113337642749,0.142684766214178,0.0897435897435898,0.161517615176152,0.267226890756303,-0.296336996336996,-0.389805805479787,0.157657657657658,-0.01504329004329,-0.468526737555864,-0.0203584160937102,-0.0168290043290043,0.160606060606061,0.0546783625730994,0.386966061037814,0.133333333333333,0.204761904761905,0.213636363636364,0.0277777777777778,0.229761904761905,0.18030303030303,0.116666666666667,-0.05,-0.365205091937765,0.1,-0.175905003795177,0.207475117706657,0.179533941236069,0.179533941236069,0.179533941236069,-0.2,0.1,0.335882810474462,0.328571428571429,-0.0435672514619883,0.323040752351097,0.295454545454545,0.3683769203022,0.25,0.34631119260267,0.323040752351097,0.295454545454545,0.25,0.2,0.2,0.1,0.351415251415251,-0.0274192415330948,-0.163993003498251
"ILK",0.245249190076776,0.265570117955439,0.224285714285714,0.164285714285714,0.114285714285714,0.0666666666666667,0.189113337642749,0.142684766214178,0.0897435897435898,0.161517615176152,0.267226890756303,-0.296336996336996,-0.389805805479787,0.157657657657658,-0.01504329004329,-0.468526737555864,-0.0203584160937102,-0.0168290043290043,0.160606060606061,0.0546783625730994,0.386966061037814,0.133333333333333,0.204761904761905,0.213636363636364,0.0277777777777778,0.229761904761905,0.18030303030303,0.116666666666667,-0.05,-0.365205091937765,0.1,-0.175905003795177,0.207475117706657,0.179533941236069,0.179533941236069,0.179533941236069,-0.2,0.1,0.335882810474462,0.328571428571429,-0.0435672514619883,0.323040752351097,0.295454545454545,0.3683769203022,0.25,0.34631119260267,0.323040752351097,0.295454545454545,0.25,0.2,0.2,0.1,0.351415251415251,-0.0274192415330948,-0.163993003498251
"RAF",0.276141158419639,0.305921226539783,0.251282051282051,0.207692307692308,0.2,0.17,0.22024154589372,0.181111111111111,0.17,0.203340268146093,0.364260964260964,-0.291558441558442,-0.467665170650245,0.055831608005521,0.123611111111111,-0.536892641258894,0.110561660561661,0.118253968253968,0.242895389839363,0.176666666666667,0.61703798109938,0.04,0.06,0.188571428571429,0.0833333333333333,0.117142857142857,0.128571428571429,0.0857142857142857,0.05,-0.358245614035088,0.1,-0.156740740740741,0.0888095238095238,0.0488095238095238,0.0488095238095238,0.0488095238095238,-0.1,-0.1,0.336558441558442,0.318245614035088,-0.143333333333333,0.313605442176871,0.266666666666667,0.365740852366316,0.2,0.34187721600268,0.311644657863145,0.264705882352941,0.2,0.1,0.1,0,0.332756756756757,0.016105757863454,-0.215942028985507
"HEY1",0.385721469278291,0.370143212951432,0.339143212951432,0.307636363636364,0.263636363636364,0.2,0.363613847452857,0.328877005347594,0.281818181818182,0.32984074498954,0.409038954284359,-0.255442176870748,-0.588265450842669,0.28138936535163,0.0754006968641115,-0.666645450274203,0.05,0.0388888888888889,0.342581132514018,0.304053542848829,0.463367776259293,0.26,0.296842105263158,0.3707027724049,0.253333333333333,0.330175438596491,0.338787878787879,0.305454545454545,0.233333333333333,-0.350420168067227,0.2,-0.347171921260198,0.40034188034188,0.375897435897436,0.375897435897436,0.375897435897436,-0.1,-0.2,0.340320366132723,0.311644657863145,-0.277471264367816,0.352626778985768,0.326310989512084,0.391738272421062,0.296078431372549,0.373743413809236,0.351974706326243,0.326310989512084,0.296078431372549,0.266666666666667,0.266666666666667,0.233333333333333,0.401824066931232,0.340689360909742,-0.323473121305939
"FOXC2",0.385721469278291,0.370143212951432,0.339143212951432,0.307636363636364,0.263636363636364,0.2,0.363613847452857,0.328877005347594,0.281818181818182,0.32984074498954,0.409038954284359,-0.255442176870748,-0.588265450842669,0.28138936535163,0.0754006968641115,-0.666645450274203,0.05,0.0388888888888889,0.342581132514018,0.304053542848829,0.463367776259293,0.26,0.296842105263158,0.3707027724049,0.253333333333333,0.330175438596491,0.338787878787879,0.305454545454545,0.233333333333333,-0.350420168067227,0.2,-0.347171921260198,0.40034188034188,0.375897435897436,0.375897435897436,0.375897435897436,-0.1,-0.2,0.340320366132723,0.311644657863145,-0.277471264367816,0.352626778985768,0.326310989512084,0.391738272421062,0.296078431372549,0.373743413809236,0.351974706326243,0.326310989512084,0.296078431372549,0.266666666666667,0.266666666666667,0.233333333333333,0.401824066931232,0.340689360909742,-0.323473121305939
"cateninnuc",0.388377557535012,0.372626100759947,0.353040847303726,0.327137232845894,0.296428571428571,0.297101449275362,0.372225093933722,0.351084951415907,0.324970301734379,0.328085789998768,0.318526360626211,-0.281493624772313,-0.400597464909448,0.257808163381051,0.0906916825824814,-0.481281358576919,0.0598607791154186,0.0558145363408521,0.233295824146904,0.193499922715829,0.459004454150817,0.293154761904762,0.318997458533975,0.367790426921836,0.168601503759398,0.33515466377415,0.35022945131208,0.325701149425287,0.140601503759398,-0.376006410641037,0.261904761904762,-0.334882523879461,0.385292498134134,0.370464911927237,0.370464911927237,0.370464911927237,-0.233333333333333,-0.114285714285714,0.360938976791864,0.35211513739354,-0.183526876893727,0.250293830004013,0.234655969921708,0.174839290689426,0.215318953347122,0.262933132331655,0.249271930145863,0.23356945080702,0.214232434232434,0.191375291375291,0.191375291375291,0.160606060606061,0.391738272421062,0.316541435489029,-0.344020061652937
"AKT",0.265424628673267,0.287248439633761,0.265570117955439,0.224285714285714,0.164285714285714,0.0897435897435898,0.215873901023031,0.189113337642749,0.142684766214178,0.180920600250779,0.288060224089636,-0.328921265999918,-0.420354731494106,0.190990990990991,-0.0139680212260857,-0.500081475366351,-0.00726941085810812,-0.0203584160937102,0.174540486835569,0.0637692716640085,0.413971710755328,0.204761904761905,0.229761904761905,0.233344392833444,0.0435672514619883,0.143685955394816,0.213636363636364,0.18030303030303,0.0277777777777778,-0.393776520509194,0.133333333333333,-0.195288263707071,0.233204560677479,0.207475117706657,0.207475117706657,0.207475117706657,-0.1,0.05,0.361775667617319,0.365205091937765,-0.0546783625730994,0.345540752351097,0.323040752351097,0.386646999737328,0.295454545454545,0.3683769203022,0.34631119260267,0.323040752351097,0.295454545454545,0.25,0.25,0.2,0.379415251415251,-0.0135787282425357,-0.185421574926822
"RAS",0.322753036437247,0.349951690821256,0.297777777777778,0.271111111111111,0.26,0.26,0.307222222222222,0.282222222222222,0.26,0.281431762043515,0.363012181616833,-0.325,-0.394194365305476,0.00909090909090908,0.0449490662139219,-0.466866157328806,0.0403144016227181,0.0403144016227181,0.218686868686869,0.0834920634920635,0.570758908610571,0.1,0.0833333333333333,0.233333333333333,-0.0111111111111111,0.127083333333333,0.179166666666667,0.166666666666667,0,-0.386782106782107,0.2,-0.210099622012941,0.149459362692445,0.204561403508772,0.204561403508772,0.204561403508772,-0.2,-0.1,0.36525974025974,0.345873015873016,-0.0412698412698413,0.334090909090909,0.275,0.400254380822096,0.2,0.372635333203049,0.333139534883721,0.275,0.2,0.1,0.1,0,0.346577380952381,-0.0402106168063615,-0.375324675324675
"SNAI2",0.422398293185507,0.409086185198717,0.374483010595543,0.333613445378151,0.276470588235294,0.2,0.392855224281493,0.349019607843137,0.288235294117647,0.365543456903327,0.445750085920495,-0.278538812785388,-0.634187319342823,0.323799864773496,0.0729824561403509,-0.803652202273368,0.0456380539989811,0.0317307692307692,0.391711364079132,0.347435328898744,0.709697483617823,0.275,0.323148148148148,0.410283388458945,0.293333333333333,0.361609686609687,0.374712918660287,0.332894736842105,0.26,-0.375709838107098,0.2,-0.385908526256352,0.441726690335076,0.412827607766268,0.412827607766268,0.412827607766268,-0.1,-0.2,0.367957006411791,0.331164383561644,-0.320606060606061,0.402211846014663,0.373563197366014,0.446474014963106,0.341168831168831,0.42609184935801,0.401824066931232,0.373563197366014,0.341168831168831,0.305454545454545,0.305454545454545,0.26,0.446651802969354,0.384832925405098,-0.351189655172414
"SHH",0.342857142857143,0.433333333333333,0.4,0.3,0.2,0,0.3,0.2,0.1,0.266666666666667,0.192857142857143,-0.3,-0.295,0.25,0.0333333333333333,-0.335,0.0583333333333333,0.0333333333333333,0.142857142857143,0.22,0.365555555555556,0,0.1,0.22,0.3,0.133333333333333,0.2,0.1,0.2,-0.371428571428571,0,-0.271794871794872,0.303846153846154,0.25,0.25,0.25,0,-0.2,0.371428571428571,0.3,-0.3,0.25,0.2,0.235714285714286,0.2,0.192857142857143,0.15,0.1,0.1,0.2,0.1,0,0.276190476190476,0.270802139037433,-0.25
"SOSGRB2",0.353614982578397,0.379182289713786,0.331150793650794,0.293650793650794,0.271428571428571,0.276190476190476,0.352470238095238,0.318095238095238,0.30952380952381,0.335778678457381,0.392684610075914,-0.333888888888889,-0.48810303528426,-0.0314705882352941,0.203864734299517,-0.557788036957998,0.193036750483559,0.190909090909091,0.332137116848019,0.247324973876698,0.639536890920414,0.257142857142857,0.263025210084034,0.36976320582878,0.17,0.298025210084034,0.322222222222222,0.288888888888889,0.15,-0.388720629475346,0.3,-0.309434360895035,0.328805120910384,0.284210526315789,0.284210526315789,0.284210526315789,-0.2,-0.2,0.373174603174603,0.35221269296741,-0.207931034482759,0.326573426573427,0.272727272727273,0.39029719108226,0.2,0.362484027600307,0.325274725274725,0.271428571428571,0.2,0.1,0.1,0,0.342105263157895,-0.0416850519584333,-0.367843137254902
"MEK",0.320471055326856,0.350777193617973,0.305921226539783,0.251282051282051,0.207692307692308,0.17,0.167989293641468,0.22024154589372,0.181111111111111,0.226359136070622,0.395906533881217,-0.333021856192588,-0.503049786034861,0.0859520899332319,0.115277777777778,-0.577722335582038,0.108387747518182,0.110561660561661,0.260421163035239,0.192456140350877,0.649835839198442,0.06,0.117142857142857,0.229249394673123,0.143333333333333,0.153374741200828,0.188571428571429,0.128571428571429,0.0833333333333333,-0.397612129872192,0.04,-0.183674074074074,0.12123273200065,0.0888095238095238,0.0888095238095238,0.0888095238095238,-0.1,-0.05,0.375418545185385,0.358245614035088,-0.176666666666667,0.343838000316406,0.313605442176871,0.386921042039657,0.266666666666667,0.365740852366316,0.34187721600268,0.311644657863145,0.264705882352941,0.2,0.2,0.1,0.372658234589269,0.0346495576359227,-0.2482497212932
"Csn",0.207955463997245,0.244469709360106,0.221437639389261,0.172183908045977,0.106666666666667,0.0923076923076923,0.23018648018648,0.196853146853147,0.146853146853147,0.092569413246207,0.265285566051087,-0.350772117459424,-0.42658816308024,0.159024626753381,-0.017475469273733,-0.501868620985861,-0.0109494040101517,-0.0234494040101517,0.139683988397723,0.0576211041783076,0.422201212682965,0.0934210526315789,0.131882591093117,0.223149115677851,0.0454212454212454,0.147099982397465,0.203396029258098,0.160971786833856,0.0120879120879121,-0.415625693673696,0.025,-0.133309193926785,0.221389405460046,0.195120089786756,0.195120089786756,0.195120089786756,-0.1,0.0571428571428571,0.387632204872643,0.384253144654088,-0.0547962454212454,0.355689845029947,0.333862433862434,0.398201039182348,0.308148148148148,0.378862433862434,0.356939356939357,0.333862433862434,0.308148148148148,0.26,0.26,0.2,0.392567644504517,0.0356420136124153,-0.163098468695484
"STAT",0.130612312767712,0.140329205678043,0.128701298701299,0.101428571428571,0.08,0.18,0.176666666666667,0.166666666666667,0.16,0.0411888608903534,0.027501382797993,-0.278973407544836,-0.0131272041426542,-0.0373764600179695,-0.0258521870286576,-0.140289045747831,-0.0173113910334552,-0.0163768115942029,-0.00366848170191212,-0.0284415584415585,0.0727767728536496,-0.075,-0.0573529411764706,-0.0391114982578397,-0.0393939393939394,-0.052807486631016,-0.0464285714285714,-0.0714285714285714,-0.0666666666666667,-0.408051636612788,-0.1,0.0688532191039033,-0.0573710723330829,-0.0658456486042693,-0.0658456486042693,-0.0658456486042693,0.1,0.1,0.392164809186086,0.392943722943723,0.0260606060606061,-0.0170377867746289,-0.0228070175438597,-0.00249108751919177,-0.0333333333333333,-0.00934423437233862,-0.0160109010390053,-0.0228070175438597,-0.0333333333333333,-0.0666666666666667,-0.0666666666666667,0,-0.0707901596611274,-0.0865705866582783,-0.134166666666667
"IKK",0.489077589077589,0.523643892339545,0.461904761904762,0.4,0.35,0.1,0.246625258799172,0.173291925465839,0.142857142857143,0.276630434782609,0.526830011074197,-0.331720430107527,-0.56312815269257,0.298214285714286,0.103846153846154,-0.679636690545529,0.0908857808857809,0.0924242424242424,0.277450980392157,0.219006211180124,0.655406045201964,0.28,0.23,0.355238095238095,0.126666666666667,0.297741935483871,0.295238095238095,0.233333333333333,0.0666666666666667,-0.415555555555556,0.3,-0.21916559219009,0.376636444051305,0.332518796992481,0.332518796992481,0.332518796992481,-0.2,-0.1,0.400952380952381,0.355555555555556,-0.188571428571429,0.370634920634921,0.327777777777778,0.430105082375021,0.277777777777778,0.401923264193203,0.370634920634921,0.327777777777778,0.277777777777778,0.2,0.2,0.1,0.399367229956078,0.134519545294686,-0.273939393939394
