"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","ERK","SNAI1","cfos","EGR1","HEY1","SMAD","ILK","IKK","AKT","NFB","SHH","TWIST1","SMO","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","ZEB2","ZEB1","SOSGRB2","Destcompl","cateninmemb","RAS","RAF","PI3K","DELTA","KLF4","SNAI2","Ecadherin","miR200","cateninnuc","TCFLEF","GLI","Wnt","CD44","Frizzled","cMet","DSH","SRC","TrCP","SUFU","STAT","LIV1","AXIN2","Patched","GSK3","RKIP"
"Ecadherin",-0.267510031533941,-0.347462778448268,-0.318348854397635,-0.280787878787879,-0.239454545454545,-0.232071595273536,-0.206581399195104,-0.0152954069943124,-0.17668449197861,-0.147272727272727,-0.102726503658205,-0.0854056216443836,-0.0754782608695652,-0.182962962962963,-0.205040885040885,-0.153333333333333,-0.48500973668614,-0.47797908983581,-0.416666666666667,-0.366666666666667,-0.12,-0.597677094467121,-0.458719174714955,-0.422659695161052,-0.376267942583732,-4.98877525567237e-06,-4.98877525567237e-06,-0.367971923806085,0.360513953772117,0.800442451631476,-0.253628356800391,-0.234913273001508,-0.234913273001508,-0.234913273001508,-0.0381153305203938,-0.711086542169644,0.654236083391064,0.000252226565075728,-0.720810300991179,-0.686076407433756,-0.646418195826847,-0.599084862493514,-0.645852248031514,-0.54391244870041,-0.598695057396063,-0.476470588235294,-0.54391244870041,0.1,0.3,-0.476470588235294,-0.4,-0.675717455157728,0.454301075268817,-0.319107771640898,0.0203612599278731
"cateninmemb",-0.267510031533941,-0.347462778448268,-0.318348854397635,-0.280787878787879,-0.239454545454545,-0.232071595273536,-0.206581399195104,-0.0152954069943124,-0.17668449197861,-0.147272727272727,-0.102726503658205,-0.0854056216443836,-0.0754782608695652,-0.182962962962963,-0.205040885040885,-0.153333333333333,-0.48500973668614,-0.47797908983581,-0.416666666666667,-0.366666666666667,-0.12,-0.597677094467121,-0.458719174714955,-0.422659695161052,-0.376267942583732,-4.98877525567237e-06,-4.98877525567237e-06,-0.367971923806085,0.360513953772117,0.700775952239186,-0.253628356800391,-0.234913273001508,-0.234913273001508,-0.234913273001508,-0.0381153305203938,-0.711086542169644,0.654574598758582,0.000252226565075728,-0.720810300991179,-0.686076407433756,-0.646418195826847,-0.599084862493514,-0.645852248031514,-0.54391244870041,-0.598695057396063,-0.476470588235294,-0.54391244870041,0.1,0.3,-0.476470588235294,-0.4,-0.675717455157728,0.454301075268817,-0.319107771640898,0.0203612599278731
"cateninnuc",0.243663838893347,0.306852552657401,0.285236832133384,0.261098901098901,0.225714285714286,0.233684133291562,0.216711656227341,-0.0264788346816912,0.193926846100759,0.163768115942029,0.0993944492060078,0.0807926310463827,0.0719249639249639,0.116106060606061,0.130949810606061,0.0981060606060606,0.376286988066788,0.372234727768739,0.326703096539162,0.295555555555556,0.0708333333333333,0.49453895964586,0.447117224007252,0.420753587643615,0.39052102950408,0.00916075874065082,0.00916075874065082,0.350652811042342,-0.329836912470978,-0.600052453399465,0.179701014701015,0.16471784971785,0.16471784971785,0.16471784971785,0.0287792377650029,0.710646191754343,-0.546980059642283,-0.0147183422508509,0.509432800561787,0.582340837015805,0.55187497136574,0.515511335002103,0.550899462855985,0.473120030654277,0.514788351744873,0.425174825174825,0.472397047397047,-0.0333333333333333,-0.255555555555556,0.425174825174825,0.363636363636364,0.686076407433756,-0.353411171073324,0.283983926417615,0.0187398168415538
"KLF4",-0.245313235195268,-0.318348854397635,-0.280787878787879,-0.239454545454545,-0.195454545454545,-0.206581399195104,-0.17668449197861,-0.00675110319684406,-0.147272727272727,-0.12,-0.0886325439266616,-0.0754782608695652,-0.0653333333333333,-0.153333333333333,-0.182962962962963,-0.12,-0.454301075268817,-0.447625272331155,-0.366666666666667,-0.3,-0.1,-0.562207986915633,-0.422659695161052,-0.376267942583732,-0.323636363636364,0.00947368421052632,0.00947368421052632,-0.335077186963979,0.347093636903524,0.758134759323784,-0.234913273001508,-0.213589743589744,-0.213589743589744,-0.213589743589744,-0.0444444444444444,-0.667197318810222,0.716553512797101,-0.00961741961741962,-0.686076407433756,-0.645852248031514,-0.599084862493514,-0.54391244870041,-0.598695057396063,-0.476470588235294,-0.54391244870041,-0.4,-0.476470588235294,0.1,0.2,-0.4,-0.3,-0.622727764436079,0.416666666666667,-0.309173996806461,0.00875077303648732
"TWIST1",0.406594465174735,0.470756965817154,0.42907131661442,0.38282131661442,0.334545454545455,0.333357013559206,0.302013729977117,0.162399965151795,0.270434782608696,0.24,0.230229092940957,0.216701760266117,0.205150605150605,0.301648351648352,0.335546656733097,0.273076923076923,0.548524251898839,0.492221631978497,0.445777777777778,0.377777777777778,0.25,0.576762437962029,0.452203408052465,0.399373219373219,0.342962962962963,0.202484941081432,0.202484941081432,0.351019969097772,-0.408641130965384,-0.798130396890162,0.289246491906201,0.264246491906201,0.264246491906201,0.264246491906201,-0.166114238065458,0.904630570747893,-0.861470654754248,-0.215367361911749,0.736734252185507,0.688258116475329,0.632130994152047,0.565730994152047,0.631749693810704,0.488888888888889,0.56548463356974,0.4,0.488888888888889,-0.2,-0.3,0.4,0.3,0.649154931090415,-0.504681887366819,0.336659778665565,-0.184223329875504
"Wnt",0.145182186234818,0.181159420289855,0.133333333333333,0.1,0.1,0.096078431372549,0.0666666666666667,0.025,0.0666666666666667,0.1,0.0656410256410257,0.0566487775790101,0.058974358974359,0.0866666666666667,0.124166666666667,0.0666666666666667,0.119264069264069,0.222941176470588,0.05,0,0.1,0.183774509803922,0.192857142857143,0.142857142857143,0.1,0.272931611669058,0.272931611669058,0.0939393939393939,-0.358492504553309,-0.377457627118644,0.0828092959671907,0.0691729323308271,0.0691729323308271,0.0691729323308271,-0.250980392156863,0.393448275862069,-0.408140384399236,-0.278080808080808,0.437791913558731,0.393421052631579,0.343421052631579,0.275,0.343421052631579,0.3,0.275,0.2,0.2,-0.1,0,0.1,0,0.355151515151515,-0.0954545454545455,0.163949843260188,-0.07
"SHH",0.225,0.34,0.3,0.3,0.2,0.22,0.2,0.133333333333333,0.1,0,0.0666666666666667,0.1,0.0666666666666667,0.1,0.1,0,0.293333333333333,0.2,0.3,0.2,0,0.231428571428571,0.233333333333333,0.2,0.1,0.275,0.275,0.25,-0.278701298701299,-0.380645161290323,0.103846153846154,0.05,0.05,0.05,-0.25,0.479310344827586,-0.354166666666667,-0.283333333333333,0.445555555555556,0.373333333333333,0.4,0.3,0.3,0.2,0.2,0.2,0.1,0,-0.2,0.1,0,0.4,-0.333333333333333,0.207692307692308,-0.12
"Frizzled",0.168438000188306,0.212587991718426,0.181159420289855,0.133333333333333,0.1,0.122004357298475,0.096078431372549,0.0218253968253968,0.0666666666666667,0.0666666666666667,0.0635133660665576,0.0613216747752718,0.0566487775790101,0.124166666666667,0.136666666666667,0.0866666666666667,0.138618907973747,0.248655462184874,0.0954545454545455,0.05,0.0666666666666667,0.211047237076649,0.226190476190476,0.192857142857143,0.142857142857143,0.285802898797771,0.285802898797771,0.127272727272727,-0.373611867948534,-0.422219531880549,0.0961951227388442,0.0828092959671907,0.0828092959671907,0.0828092959671907,-0.270028011204482,0.440451430436201,-0.446601922860774,-0.292143308080808,0.475410961177779,0.437791913558731,0.393421052631579,0.343421052631579,0.393421052631579,0.275,0.343421052631579,0.3,0.275,-0.1,0,0.2,0.1,0.413291050035236,-0.119264069264069,0.176677115987461,-0.07
"DSH",0.178394710145016,0.230358026561632,0.212587991718426,0.181159420289855,0.133333333333333,0.134786312185693,0.122004357298475,0.0261732229123533,0.096078431372549,0.0666666666666667,0.0705309099262067,0.0715103540205548,0.0613216747752718,0.136666666666667,0.142413793103448,0.124166666666667,0.158864306746753,0.271350497645867,0.119264069264069,0.0954545454545455,0.0866666666666667,0.238954213820835,0.249267399267399,0.226190476190476,0.192857142857143,0.291314709821393,0.291314709821393,0.163858093126386,-0.387352325963801,-0.460264290420007,0.113842181562374,0.0961951227388442,0.0961951227388442,0.0961951227388442,-0.280707622854967,0.479915924033407,-0.477594021192644,-0.298850625153979,0.507735092967628,0.475410961177779,0.437211902304782,0.393421052631579,0.437791913558731,0.343421052631579,0.393421052631579,0.275,0.343421052631579,-0.0666666666666667,-0.05,0.275,0.2,0.462658138642831,-0.138618907973747,0.187581988377252,-0.0706993006993007
"Destcompl",0.109451395046398,0.0444031260417053,0.0492307122486018,0.0534412385643913,0.0555102040816327,0.108755213797754,0.114662386793534,0.199138181487005,0.11958041958042,0.125641025641026,0.0192947223716455,0.0236257309941521,0.0244444444444444,0.0954954954954955,0.0894552270391197,0.1,-0.163368383437341,-0.0583087913692208,-0.153607006020799,-0.147892720306513,0.1,-0.266811394171207,-0.0845163809797425,-0.0783039561300431,-0.0717822169996083,0.297375813106618,0.297375813106618,-0.0982860819384818,0.162424704872284,0.297509095905708,0.0572370731771005,0.0603767906025322,0.0603767906025322,0.0603767906025322,-0.305482256545877,-0.338255468834567,0.0726552116122099,-0.309918762964067,-0.324143736282358,-0.321441033579655,-0.318777000708178,-0.314138781784245,-0.318153362346779,-0.307208088714938,-0.31367575040648,-0.297619047619048,-0.307208088714938,-0.1,0.144444444444444,-0.297619047619048,-0.283333333333333,-0.370658981056263,0.159306487886084,-0.272763241684973,-0.223906948845542
"PI3K",0.213082462253194,0.247509803921569,0.214176470588235,0.166176470588235,0.125,0.152518712402994,0.124649859943978,0.0740458937198068,0.0952380952380952,0.0666666666666667,0.0747923182995325,0.0782917967186875,0.0694917967186875,0.241176470588235,0.253996983408748,0.2,0.148076923076923,0.280094808177488,0.1,0.05,0.166666666666667,0.224561403508772,0.239330024813896,0.203846153846154,0.15,0.327091305970755,0.327091305970755,0.163461538461538,-0.402254557434658,-0.448018469791348,0.135901559627587,0.119463203463203,0.119463203463203,0.119463203463203,-0.309649122807018,0.461951417664597,-0.48014876619299,-0.331042480632645,0.503943853330842,0.460026327557647,0.408613898179116,0.351690821256039,0.408613898179116,0.277777777777778,0.351690821256039,0.2,0.277777777777778,-0.2,0,0.2,0.1,0.424476190476191,-0.123076923076923,0.0973665223665224,-0.0968164188752424
"ILK",0.213082462253194,0.247509803921569,0.214176470588235,0.166176470588235,0.125,0.152518712402994,0.124649859943978,0.0740458937198068,0.0952380952380952,0.0666666666666667,0.0747923182995325,0.0782917967186875,0.0694917967186875,0.241176470588235,0.253996983408748,0.2,0.148076923076923,0.280094808177488,0.1,0.05,0.166666666666667,0.224561403508772,0.239330024813896,0.203846153846154,0.15,0.327091305970755,0.327091305970755,0.163461538461538,-0.402254557434658,-0.448018469791348,0.135901559627587,0.119463203463203,0.119463203463203,0.119463203463203,-0.309649122807018,0.461951417664597,-0.48014876619299,-0.331042480632645,0.503943853330842,0.460026327557647,0.408613898179116,0.351690821256039,0.408613898179116,0.277777777777778,0.351690821256039,0.2,0.277777777777778,-0.2,0,0.2,0.1,0.424476190476191,-0.123076923076923,0.0973665223665224,-0.0968164188752424
"AKT",0.225864417140412,0.26895995497897,0.247509803921569,0.214176470588235,0.166176470588235,0.166442763035905,0.152518712402994,0.0808128110130399,0.124649859943978,0.0952380952380952,0.0860705137882543,0.0880561064829972,0.0782917967186875,0.253996983408748,0.163087892499657,0.241176470588235,0.17334008097166,0.307923554354858,0.123076923076923,0.1,0.2,0.258336237945858,0.267378805301701,0.239330024813896,0.203846153846154,0.335310484052947,0.335310484052947,0.203461538461538,-0.419210719552111,-0.491545483043132,0.155419631916744,0.135901559627587,0.135901559627587,0.135901559627587,-0.32246963562753,0.507479055855552,-0.516209372253596,-0.339598630365265,0.541328468715458,0.503943853330842,0.459451887005931,0.408613898179116,0.460026327557647,0.351690821256039,0.408613898179116,0.277777777777778,0.351690821256039,-0.166666666666667,-0.05,0.277777777777778,0.2,0.480432869176551,-0.148076923076923,0.11188265139878,-0.0986797729125095
"SMO",0.306379310344828,0.438648648648649,0.39,0.34,0.3,0.297855477855478,0.258461538461538,0.176651305683564,0.22,0.2,0.119413919413919,0.117936507936508,0.11,0.142857142857143,0.186857142857143,0.1,0.382222222222222,0.308496732026144,0.293333333333333,0.333333333333333,0.1,0.336984126984127,0.351969696969697,0.296969696969697,0.233333333333333,0.337146892655367,0.337146892655367,0.286842105263158,-0.335375632119818,-0.510283780492049,0.164601967799642,0.141346153846154,0.141346153846154,0.141346153846154,-0.294444444444444,0.615500821018062,-0.471051272405928,-0.343550331525015,0.558162315173046,0.504778856526429,0.547222222222222,0.475,0.445555555555556,0.4,0.373333333333333,0.3,0.3,0,-0.3,0.2,0.1,0.557680250783699,-0.343333333333333,0.251011771400121,-0.190634920634921
"RAF",0.266504568228706,0.300151312861593,0.258095238095238,0.22,0.2,0.210645634629494,0.187241379310345,0.134748131355894,0.17,0.17,0.159581881533101,0.156725110893631,0.153754813863928,0.110714285714286,0.144047619047619,0.0857142857142857,0.215147540983607,0.374004753416518,0.14,0.1,0.1,0.286274153124747,0.21041181041181,0.156565656565657,0.111111111111111,0.342907699665232,0.342907699665232,0.0613968253968254,-0.427818723308139,-0.515214374037903,0.0164973914973915,-0.00487012987012987,-0.00487012987012987,-0.00487012987012987,-0.322907699665232,0.673856734860407,-0.548578622540522,-0.354801129834039,0.490494165001999,0.435277880014722,0.370769230769231,0.29,0.370242914979757,0.2,0.289473684210526,0.1,0.2,-0.1,-0.1,0.1,0,0.377402719174871,-0.184,0.135618597320725,-0.178011204481793
"IKK",0.432727272727273,0.49029898989899,0.43989898989899,0.394444444444444,0.35,0.196190476190476,0.162857142857143,0.140203562340967,0.142857142857143,0.1,0.181940144478844,0.183807755775578,0.172916666666667,0.247619047619048,0.282754182754183,0.314285714285714,0.280383141762452,0.536274509803922,0.18,0.12,0.3,0.35027803811309,0.366089466089466,0.307359307359307,0.245454545454545,0.343553884711779,0.343553884711779,0.301890756302521,-0.43935286298703,-0.639810654894454,0.262712268772952,0.234543254688445,0.234543254688445,0.234543254688445,-0.318315018315018,0.749566806935864,-0.694497187521402,-0.353021181716834,0.607174096017692,0.546414602346806,0.476923076923077,0.392307692307692,0.476923076923077,0.3,0.392307692307692,0.2,0.3,-0.2,-0.1,0.2,0.1,0.483571428571429,-0.235555555555556,0.242032967032967,-0.169034608378871
"AXIN2",0.164382432555735,0.0864586923294099,0.0910791543756145,0.0963888888888889,0.1075,0.175497355038004,0.179635286072487,0.259721368874578,0.182439024390244,0.18,0.0253724602608984,0.0276282493673798,0.0292155509546814,0.15024154589372,0.148019323671498,0.148792270531401,-0.195973097940311,-0.0524013464310963,-0.182600732600733,-0.173076923076923,0.144444444444444,-0.303133517481344,-0.0721504775452144,-0.064718045112782,-0.0557894736842105,0.345580649235713,0.345580649235713,-0.099076033830592,0.337857425321471,0.332859916958165,0.122985187966252,0.129284400564677,0.129284400564677,0.129284400564677,-0.343519407036548,-0.378548994017207,0.0812366702966976,-0.359142256537788,-0.375112072279782,-0.370658981056263,-0.364494863143242,-0.354431970061481,-0.364211149872206,-0.338914728682171,-0.354431970061481,-0.313333333333333,-0.338914728682171,-0.133333333333333,0.15,-0.313333333333333,-0.266666666666667,0.0653089371129863,0.18974358974359,-0.347329421658941,-0.280956516601678
"MEK",0.290828892553031,0.335187809211958,0.300151312861593,0.258095238095238,0.22,0.133978967962827,0.210645634629494,0.135389156996919,0.187241379310345,0.17,0.163218245169465,0.164474188384406,0.156725110893631,0.144047619047619,0.159341736694678,0.110714285714286,0.244559305689489,0.409535888947654,0.184,0.14,0.0857142857142857,0.325618415419829,0.25055779581327,0.21041181041181,0.156565656565657,0.356399763157295,0.356399763157295,0.0925079365079365,-0.448948430421109,-0.568141203306196,0.0364973914973915,0.0164973914973915,0.0164973914973915,0.0164973914973915,-0.340554758488761,0.730547732427317,-0.593387365709921,-0.368733018378931,0.53677669288304,0.490494165001999,0.435804195804196,0.370769230769231,0.435277880014722,0.29,0.370242914979757,0.2,0.289473684210526,-0.1,-0.1,0.2,0.1,0.449474791246943,-0.215147540983607,0.155028916731044,-0.184590151850214
"NFB",0.463404563563926,0.532071141797724,0.49029898989899,0.43989898989899,0.394444444444444,0.226909430438842,0.196190476190476,0.146504932203981,0.162857142857143,0.142857142857143,0.196225858764558,0.193101436072975,0.183807755775578,0.282754182754183,0.304976404976405,0.247619047619048,0.32014217790703,0.578496732026144,0.235555555555556,0.18,0.314285714285714,0.398479476962011,0.41447656286366,0.366089466089466,0.307359307359307,0.359262696972316,0.359262696972316,0.342943387881468,-0.461279773286034,-0.700739905158445,0.286095353350067,0.262712268772952,0.262712268772952,0.262712268772952,-0.335622710622711,0.813387945147246,-0.747787717216426,-0.369033266308979,0.658703507782398,0.607174096017692,0.546585998271392,0.476923076923077,0.546414602346806,0.392307692307692,0.476923076923077,0.3,0.392307692307692,-0.3,-0.12,0.3,0.2,0.56016717325228,-0.280383141762452,0.261248653307477,-0.17800896735323
"FUS",0.337958257713249,0.478010350776308,0.438648648648649,0.39,0.34,0.331188811188811,0.297855477855478,0.181368286815639,0.258461538461538,0.22,0.129558846950151,0.128904249871992,0.117936507936508,0.186857142857143,0.21378021978022,0.142857142857143,0.413535353535354,0.346716627314102,0.343333333333333,0.293333333333333,0.1,0.376743163128705,0.397424242424242,0.351969696969697,0.296969696969697,0.359846279158435,0.359846279158435,0.321457489878543,-0.355375632119818,-0.564846164104712,0.185125985266891,0.164601967799642,0.164601967799642,0.164601967799642,-0.319034608378871,0.672053783316087,-0.519818395693599,-0.366322608752738,0.604357967346959,0.558162315173046,0.606837606837607,0.547222222222222,0.504778856526429,0.475,0.445555555555556,0.4,0.373333333333333,-0.1,-0.333333333333333,0.3,0.2,0.622897642088047,-0.382222222222222,0.266061938624201,-0.208160693830797
