"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","HEY1","SMAD","ILK","SHH","TWIST1","SMO","AKT","NFB","IKK","MEK","FUS","EGR1","Jagged","Csn","ERK","cfos","NOTCH","NOTCHic","Csl","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","Ecadherin","RAF","PI3K","DELTA","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP","SOSGRB2"
"Destcompl",0.0565357381722247,0.0253511681742298,0.0288062520834105,0.0272273047149894,0.0210204081632653,0.0944448760513495,0.00875390867313998,0.0130477390392792,0.0124574202671422,-0.120399568125294,-0.0402003274155965,-0.111877394636015,0.0432170608064904,0.0501587301587302,0.0473549918409732,0.0377023030657996,-0.111877394636015,0.0414141414141414,-0.185965983950174,0.0523809523809524,0.0377023030657996,0.0345175896900035,-0.060884729309963,-0.0574224075177023,-0.0563112964065912,-0.203149190846705,0.191891294535535,0.191891294535535,-0.234031435528593,0.215044007999148,0.000447920251193681,0.0518602372872844,0.00143476235645684,0.00143476235645684,0.00143476235645684,-0.0882456228054184,-0.20361464683165,-0.186673685899085,-0.185758339602481,-0.186061441001126,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0198450636690257,0.117085727969349,-0.12018759018759,-0.157135587059251
"AXIN2",0.110540380774573,0.0645281966741413,0.0638681306675407,0.0647530864197531,0.0783333333333333,0.15442716339438,0.0182266009852217,0.0173185349893067,0.021526951822974,-0.153776267592057,-0.0370946197518206,-0.152930402930403,0.0992963910201762,0.109178743961353,0.103296391020176,0.0994572335447134,-0.157692307692308,0.145714285714286,-0.220238350089835,0.122222222222222,0.103042890915231,0.117936507936508,-0.0549472315505956,-0.0532290184921764,-0.0505263157894737,-0.252988588338008,0.245175501457021,0.245175501457021,-0.277304225109795,0.249359406027404,0.0642551041085899,0.0627365702630273,0.0661781810316668,0.0661781810316668,0.0661781810316668,-0.169921541445107,-0.2593606087525,-0.239908935293043,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159763338580939,0.151144688644689,-0.177407399930012,-0.228082218959565
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.104658385093168,0.0656410256410257,0.0542124542124542,0.058974358974359,0.10974025974026,0.222941176470588,0.05,0.133333333333333,0.0666666666666667,0.0866666666666667,0.0488888888888889,0,0.1,0.153259803921569,0.1,-0.0111111111111111,0,0.190683229813665,0.142857142857143,0.1,-0.262745098039216,0.304208512673362,0.304208512673362,0.339673913043478,-0.334703389830508,0.145994832041344,-0.402475553557379,0.111111111111111,0.111111111111111,0.111111111111111,-0.0715709728867624,-0.306262626262626,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.117826086956522,0.1
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.117561610899619,0.0612931995540691,0.0598728315709448,0.0542124542124542,0.117936981051735,0.24484593837535,0.0954545454545455,0.155913978494624,0.0866666666666667,0.133333333333333,0.1,0.05,0,0.163463885554222,0.0666666666666667,0.0488888888888889,-0.0111111111111111,0.218683229813665,0.190683229813665,0.142857142857143,-0.300840336134454,0.338861978019897,0.338861978019897,0.367292960662526,-0.366766881894001,0.170364579940503,-0.437522282529341,0.145994832041344,0.145994832041344,0.145994832041344,-0.0905893777947378,-0.342200126262626,0.348800478016233,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00789207888228566,-0.10974025974026,-0.137826086956522,0.129411764705882
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.33671420000923,0.111306340718105,0.103901960784314,0.0906666666666667,0.324798387096774,0.412614379084967,0.266666666666667,0.337472527472527,0.26,0.302857142857143,0.348730158730159,0.233333333333333,0.2,0.354196538094589,0.2,0.317777777777778,0.277777777777778,0.374928229665072,0.342296650717703,0.305454545454545,-0.266666666666667,0.354514963880289,0.354514963880289,0.464749561875156,-0.592777865765671,0.39317344931138,-0.673504886266412,0.369801801801802,0.369801801801802,0.369801801801802,-0.347641773797487,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.32739898989899,0.165034965034965
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.33671420000923,0.111306340718105,0.103901960784314,0.0906666666666667,0.324798387096774,0.412614379084967,0.266666666666667,0.337472527472527,0.26,0.302857142857143,0.348730158730159,0.233333333333333,0.2,0.354196538094589,0.2,0.317777777777778,0.277777777777778,0.374928229665072,0.342296650717703,0.305454545454545,-0.266666666666667,0.354514963880289,0.354514963880289,0.464749561875156,-0.592777865765671,0.39317344931138,-0.673504886266412,0.369801801801802,0.369801801801802,0.369801801801802,-0.347641773797487,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.32739898989899,0.165034965034965
"DSH",0.230596145314815,0.258225999782064,0.240331262939959,0.203188405797101,0.146666666666667,0.132517622629825,0.0692578013239806,0.0731808163618193,0.0598728315709448,0.129048092162846,0.261988795518207,0.10974025974026,0.171208096141683,0.133333333333333,0.155913978494624,0.12695652173913,0.0954545454545455,-0.0111111111111111,0.177860772713755,0.0866666666666667,0.1,0.0488888888888889,0.236413726267565,0.218683229813665,0.190683229813665,-0.33287917108591,0.363465152623071,0.363465152623071,0.391035650721005,-0.394361221516642,0.191308532742863,-0.464682776356502,0.170364579940503,0.170364579940503,0.170364579940503,-0.108153780605042,-0.368580494360786,0.366017248756643,0.328532114600226,0.348800478016233,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00521796896460429,-0.117936981051735,-0.155811698467313,0.123529411764706
"RAF",0.296006483937518,0.320890075656431,0.267619047619048,0.22,0.2,0.22073762506942,0.159581881533101,0.154764914874029,0.153754813863928,0.208590163934426,0.374004753416518,0.14,0.152649769585253,0.0857142857142857,0.110714285714286,0.117227191413238,0.1,0.17,0.258543536260005,0.1,0.0776923076923077,0.07,0.208565656565657,0.156565656565657,0.111111111111111,-0.332663797226208,0.372663797226208,0.372663797226208,0.624003738443098,-0.474936280818634,0.0872340049487451,-0.543314330360812,0.0428861788617886,0.0428861788617886,0.0428861788617886,-0.163442579269917,-0.380952950808151,0.377496836898203,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,-0.1,0,0.0227081076332972,-0.184,-0.223809523809524,-0.0357142857142857
"SHH",0.35,0.44,0.4,0.3,0.2,0.283333333333333,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.2,0.3,0.15,0,0.1,0.3,0.2,0,0.162857142857143,0,0.2,0.1,0.233333333333333,0.2,0.1,-0.3,0.375,0.375,0.36727969348659,-0.299068100358423,0.283333333333333,-0.341666666666667,0.233333333333333,0.233333333333333,0.233333333333333,-0.271794871794872,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26,0
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.172165974915516,0.0729055258467023,0.0763940698230512,0.0674509803921569,0.130877573131094,0.276816119652898,0.1,0.268918918918919,0.2,0.25,0.123605442176871,0.05,0,0.182515913678,0.166666666666667,0.0766666666666667,0.0166666666666667,0.232,0.202,0.15,-0.336842105263158,0.375508463573364,0.375508463573364,0.394378609567397,-0.396875422177051,0.209657863145258,-0.471956595515355,0.178775510204082,0.178775510204082,0.178775510204082,-0.182515853322305,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0189830442141928,-0.115384615384615,-0.161099567099567,0.114285714285714
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.172165974915516,0.0729055258467023,0.0763940698230512,0.0674509803921569,0.130877573131094,0.276816119652898,0.1,0.268918918918919,0.2,0.25,0.123605442176871,0.05,0,0.182515913678,0.166666666666667,0.0766666666666667,0.0166666666666667,0.232,0.202,0.15,-0.336842105263158,0.375508463573364,0.375508463573364,0.394378609567397,-0.396875422177051,0.209657863145258,-0.471956595515355,0.178775510204082,0.178775510204082,0.178775510204082,-0.182515853322305,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0189830442141928,-0.115384615384615,-0.161099567099567,0.114285714285714
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.37146790711633,0.116169379144063,0.111301626182214,0.0934272300469483,0.365447812927988,0.448322008191805,0.301176470588235,0.367464878671775,0.275,0.326724137931034,0.381757105943152,0.26,0.2,0.401762028014479,0.2,0.342222222222222,0.286666666666667,0.41359649122807,0.376754385964912,0.332894736842105,-0.286538461538462,0.378588839941263,0.378588839941263,0.710642286405021,-0.63753975365315,0.435920986953079,-0.808795441395151,0.408605072463768,0.408605072463768,0.408605072463768,-0.386190476190476,-0.386587993124707,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385743987724154,-0.335870348139256,-0.354391891891892,0.22047423620611
"cateninnuc",0.394770562770563,0.37834848394195,0.358173045345459,0.331736263736264,0.299428571428571,0.33662597929171,0.121938759943337,0.108337924442254,0.10060311781242,0.216119415410418,0.324574456270987,0.18792349726776,0.338104044673897,0.29986559139785,0.322314570989686,0.346355739590522,0.163333333333333,0.273809523809524,0.247347965258905,0.270833333333333,0.325822406257189,0.29973544973545,0.371219402402553,0.353353973168215,0.329824561403509,-0.301618152507832,0.382541204190353,0.382541204190353,0.462992085034924,-0.410081084144208,0.378593362715434,-0.493159757485338,0.363222337980452,0.363222337980452,0.363222337980452,-0.336465588488373,-0.389908035503795,0.182383955130345,0.255050909979439,0.269251524939579,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.233333333333333,-0.133333333333333,0.160606060606061,0.320321672331044,-0.203646767708011,-0.345815189220668,0.0400337723741979
"RAS",0.345396825396825,0.367769365171811,0.315294117647059,0.28,0.26,0.306489675516224,0.161857707509881,0.157740884545008,0.156709956709957,0.192870056497175,0.375242771412984,0.116666666666667,0.21047619047619,0.166666666666667,0.173333333333333,0.27015873015873,0.1,0.26,0.258624088310664,0.2,0.245714285714286,0.245714285714286,0.276315789473684,0.226315789473684,0.2,-0.356428571428571,0.398696612665685,0.398696612665685,0.576157244817039,-0.400410502033264,0.143273066802479,-0.47119473173547,0.195798319327731,0.195798319327731,0.195798319327731,-0.216493055555556,-0.407661538461538,0.410022792164208,0.338970588235294,0.37971117743333,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0340659026705538,-0.160666666666667,-0.391461538461538,-0.187878787878788
"SOSGRB2",0.370573870573871,0.39267243394903,0.343736263736264,0.301428571428571,0.271428571428571,0.356393745557925,0.261647727272727,0.257867764813544,0.252903225806452,0.298701026608003,0.403942028985507,0.233333333333333,0.335113145181795,0.288888888888889,0.304678362573099,0.323331054910002,0.2,0.276190476190476,0.357215265481102,0.3,0.293506493506493,0.29047619047619,0.392479983784332,0.347552447552448,0.309090909090909,-0.362017543859649,0.400588972431078,0.400588972431078,0.645185136153225,-0.494195273195273,0.323177411700902,-0.563557925110508,0.276868686868687,0.276868686868687,0.276868686868687,-0.315163507989595,-0.410651126415904,0.400453903067587,0.331521739130435,0.370434782608696,0.275,0.330434782608696,0.273913043478261,0.2,0.2,0.1,0.1,0.345606435643564,-0.2,-0.2,0,-0.0356106235300866,-0.268468468468469,-0.380198948948949,-0.201587301587302
"AKT",0.277777214655263,0.297790732899283,0.273778574844572,0.233941176470588,0.177941176470588,0.193285567790834,0.0843559075260916,0.0889364427044071,0.0763940698230512,0.146835019939605,0.299893042729821,0.115384615384615,0.188506547784898,0.25,0.268918918918919,0.151546618647459,0.1,0.0166666666666667,0.201182580344667,0.2,0.123605442176871,0.0766666666666667,0.255456790123457,0.232,0.202,-0.370175438596491,0.404473980814744,0.404473980814744,0.422459417648205,-0.428508075238276,0.235357608692332,-0.504072272836512,0.209657863145258,0.209657863145258,0.209657863145258,-0.203086118088089,-0.405609419332317,0.400749593449834,0.357752076547316,0.381335109628571,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388916279869348,-0.166666666666667,-0.05,0.2,-0.00346437201502265,-0.130877573131094,-0.184666446080459,0.119548872180451
"MEK",0.33744792537896,0.363955769087088,0.320890075656431,0.267619047619048,0.22,0.245412949744744,0.161433733384953,0.16297387009791,0.154764914874029,0.226470958636413,0.406605486017251,0.184,0.179479037877936,0.110714285714286,0.152649769585253,0.0682475995765032,0.14,0.07,0.278378247003806,0.0857142857142857,0.117227191413238,0.0776923076923077,0.244386552088045,0.208565656565657,0.156565656565657,-0.369918699186992,0.410759035321446,0.410759035321446,0.658397863290099,-0.51249725642839,0.123720491435232,-0.584555206273221,0.0872340049487451,0.0872340049487451,0.0872340049487451,-0.190308250911708,-0.419033446164188,0.400545164035749,0.352867132867133,0.377496836898203,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379613791006196,-0.1,-0.1,0.1,0.0430435374026892,-0.208590163934426,-0.254010866091403,-0.0112698412698413
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.373019670388091,0.204093567251462,0.197619047619048,0.183333333333333,0.177272727272727,0.351941391941392,0.15,0.26,0.2,0.266666666666667,0.398202614379085,0.1,0.3,0.188531468531469,0.2,0.380555555555556,0.325,0.24812030075188,0.242857142857143,0.2,-0.277777777777778,0.420634920634921,0.420634920634921,0.439156399156399,-0.144450549450549,0.190224358974359,-0.283107697318424,0.158974358974359,0.158974358974359,0.158974358974359,-0.223809523809524,-0.431699604743083,0.132277877161598,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.159085452362763,-0.15,-0.423703703703704,-0.233333333333333
"IKK",0.497015218458517,0.528541512687854,0.469191919191919,0.405555555555556,0.35,0.291189624329159,0.17843137254902,0.179199179671869,0.168995098039216,0.253740053050398,0.532150216018611,0.18,0.302941176470588,0.3,0.25,0.207692307692308,0.12,0.1,0.286144809398226,0.3,0.133333333333333,0.1,0.355238095238095,0.301904761904762,0.24,-0.363369963369963,0.424561403508772,0.424561403508772,0.6588541031493,-0.569112064406182,0.34467821191737,-0.682293477666612,0.298692810457516,0.298692810457516,0.298692810457516,-0.222122313141182,-0.428215579710145,0.439233666521802,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.140643763555029,-0.226153846153846,-0.269264069264069,0.103846153846154
"Csn",0.2527394855605,0.279067481700102,0.252802421459138,0.206648575305292,0.145454545454545,0.161573140642365,0.0713655462184874,0.0778108354023131,0.0643393328116396,0.136849009576282,0.294225019669552,0.108513708513709,0.197852977386121,0.150454545454545,0.176541501976285,0.141515560462929,0.0873015873015873,-0.00769230769230769,0.185274106002554,0.105,0.105757984705353,0.0502024291497976,0.259273770705622,0.234395721925134,0.198395721925134,-0.399880772821949,0.436477901247887,0.436477901247887,0.43686968986789,-0.442264614981725,0.231206415886085,-0.516175370370547,0.203823048746126,0.203823048746126,0.203823048746126,-0.146319312871037,-0.444467420294654,0.41964492441081,0.37427547866515,0.398849264374644,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,-0.18,-0.0428571428571429,0.2,0.051327123716008,-0.122799422799423,-0.173959492888064,0.144333333333333
