"","FOXC2","TGF","TGFR","CDC42","PAK1","EGR1","MEK","cfos","ERK","SNAI1","HEY1","NFB","SMAD","IKK","ILK","AKT","Csn","SHH","TWIST1","SMO","FUS","Jagged","NOTCH","NOTCHic","Csl","RAS","RAF","PI3K","DELTA","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.06437675344556,0.0316685803177895,0.0333434571650802,0.028606615059817,0.0210204081632653,0.149230769230769,0.136985049950395,0.137109557109557,0.136563109022125,0.104185980818091,0.021608989301297,0.181366459627329,0.0201921470342523,0.178663756924626,0.0198412698412698,0.174636911287043,0.185714285714286,-0.115935395944595,-0.0336510943407393,-0.109020251778872,-0.111877394636015,-0.183028916476702,0.0244917370973832,0.0278985507246377,0.0289855072463768,0.144209770583672,0.1440527847124,0.1440527847124,0.1440527847124,-0.0795682233806123,-0.207783242108765,0.199033779716018,0.199033779716018,-0.229584895346444,0.213277584598878,0.0477254619166794,-0.0981259413663501,-0.210443054121456,-0.184697408822216,-0.185387282088567,-0.185003375165919,-0.183346465762036,-0.184729402563179,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238420685738687,-0.2,0.122222222222222,-0.188888888888889,-0.0220805655725214,0.112647194784054,-0.139682423802364
"AXIN2",0.114490419806579,0.0677233834494561,0.0647530864197531,0.0647530864197531,0.0783333333333333,0.22,0.190827759131604,0.207804878048781,0.1956553453385,0.162656595384434,0.0280751629636011,0.23768115942029,0.0239245456636761,0.236231884057971,0.0270991488382793,0.234009661835749,0.233333333333333,-0.150342580916351,-0.0329317238242188,-0.152930402930403,-0.157692307692308,-0.218164039250996,0.025990990990991,0.0266666666666667,0.0266666666666667,0.221383528312117,0.223220798653325,0.223220798653325,0.223220798653325,-0.0948489098559225,-0.254003816764404,0.248561803162419,0.248561803162419,-0.274353744403747,0.249004166240547,0.06098611385418,-0.179727033581725,-0.262330818518056,-0.239155661960044,-0.237208142308837,-0.238420685738687,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.2,0.15,-0.233333333333333,0.157642445497852,0.149358974358974,-0.193063826854149
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.1,0.076078431372549,0.0666666666666667,0.0466666666666667,0.104658385093168,0.0656410256410257,0.0666666666666667,0.0566487775790101,0.0466666666666667,0.058974358974359,0.0716666666666667,0.1,0.10974025974026,0.222941176470588,0.05,0,0.153259803921569,0.147619047619048,0.114285714285714,0.1,-0.0804511278195489,-0.0804511278195489,-0.0804511278195489,-0.0804511278195489,0.0939393939393939,-0.262745098039216,0.304208512673362,0.304208512673362,0.340258620689655,-0.334703389830508,-0.402475553557379,-0.0695141065830721,-0.306262626262626,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.12
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.0666666666666667,0.105708061002179,0.0466666666666667,0.076078431372549,0.11735679779158,0.0635133660665576,0.0466666666666667,0.0613216747752718,0.0716666666666667,0.0566487775790101,0.0716666666666667,0.0666666666666667,0.119417679095098,0.24484593837535,0.0954545454545455,0.05,0.16437091503268,0.161344537815126,0.147619047619048,0.114285714285714,-0.0780889230951394,-0.0804511278195489,-0.0804511278195489,-0.0804511278195489,0.133333333333333,-0.300840336134454,0.338861978019897,0.338861978019897,0.367703415642337,-0.366766881894001,-0.437673688755514,-0.0858777429467085,-0.342200126262626,0.348800478016233,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00766774342317397,-0.10974025974026,-0.137857142857143
"HEY1",0.379328829737178,0.365132298595713,0.33830303030303,0.307636363636364,0.263636363636364,-0.04,0.0805799658195049,0.0236363636363636,0.0589304812834225,0.317633708412304,0.0805042016806723,-0.08,0.0863768115942029,-0.0561904761904762,0.0733333333333333,-0.0450793650793651,-0.1,0.316397849462366,0.40237908496732,0.266666666666667,0.233333333333333,0.349536141020399,0.193176145612391,0.173588516746411,0.147272727272727,-0.0462556561085973,-0.0484615384615385,-0.0484615384615385,-0.0484615384615385,0.319253859348199,-0.262962962962963,0.344014447884417,0.344014447884417,0.459067848189331,-0.591732569598423,-0.668879931300638,-0.326868342583107,-0.353142043142043,0.39373282318764,0.353897196408636,0.375675538007067,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,0.1,-0.2,0.233333333333333,0.346352896162783,-0.291666666666667,-0.289177489177489
"FOXC2",0.379328829737178,0.365132298595713,0.33830303030303,0.307636363636364,0.263636363636364,-0.04,0.0805799658195049,0.0236363636363636,0.0589304812834225,0.317633708412304,0.0805042016806723,-0.08,0.0863768115942029,-0.0561904761904762,0.0733333333333333,-0.0450793650793651,-0.1,0.316397849462366,0.40237908496732,0.266666666666667,0.233333333333333,0.349536141020399,0.193176145612391,0.173588516746411,0.147272727272727,-0.0462556561085973,-0.0484615384615385,-0.0484615384615385,-0.0484615384615385,0.319253859348199,-0.262962962962963,0.344014447884417,0.344014447884417,0.459067848189331,-0.591732569598423,-0.668879931300638,-0.326868342583107,-0.353142043142043,0.39373282318764,0.353897196408636,0.375675538007067,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,0.1,-0.2,0.233333333333333,0.346352896162783,-0.291666666666667,-0.289177489177489
"cateninnuc",0.377735564981467,0.364625595355305,0.344756599722117,0.320043956043956,0.295428571428571,0.0884057971014493,0.128652491528843,0.102691511387164,0.115349739235265,0.315479889479841,0.0824950921759803,0.0613636363636364,0.0853106232860667,0.0693636363636363,0.0797171717171717,0.0732698863636363,0.0583333333333333,0.206240524561769,0.310041310764417,0.17792349726776,0.153333333333333,0.240195462274265,0.133417654405041,0.122963108950496,0.107846829880728,0.059042524042524,0.0578640728640729,0.0578640728640729,0.0578640728640729,0.300300632619561,-0.284811570398759,0.363029746631644,0.363029746631644,0.452158915083327,-0.403118172102345,-0.481665223069254,-0.311778564696419,-0.370777375102131,0.176206908376751,0.252382925789716,0.264635519257723,0.23696790602687,0.251416699242786,0.235940508766596,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.39373282318764,-0.0333333333333333,-0.133333333333333,0.160606060606061,0.323542187348687,-0.194693683603163,-0.303815724391407
"DSH",0.230448694512342,0.258101297783164,0.240331262939959,0.203188405797101,0.146666666666667,0.0466666666666667,0.123001294084885,0.076078431372549,0.105708061002179,0.13040027605245,0.0687765239612944,0.0716666666666667,0.073019787982819,0.0716666666666667,0.0613216747752718,0.0705172413793104,0.0466666666666667,0.129847126947859,0.261157995112939,0.10974025974026,0.0954545454545455,0.178324403404773,0.169036845507434,0.161344537815126,0.147619047619048,-0.0744474665125064,-0.0780889230951394,-0.0780889230951394,-0.0780889230951394,0.167479674796748,-0.33287917108591,0.363271426838794,0.363271426838794,0.390869888284944,-0.394446504979984,-0.46480274933497,-0.100958949443228,-0.368419638457748,0.365986586653811,0.328532114600226,0.348800478016233,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00588187489743671,-0.119417679095098,-0.152542457542458
"SNAI2",0.417670793207501,0.405461404182632,0.373784385549091,0.333613445378151,0.276470588235294,-0.0666666666666667,0.0558293587705352,-0.0137254901960784,0.0274509803921569,0.354683251250007,0.089376130198915,-0.133333333333333,0.0940590913904479,-0.116091954022989,0.0782696177062374,-0.102838941974796,-0.133333333333333,0.358549278866476,0.440584351596374,0.301176470588235,0.26,0.398031694737537,0.233042834358624,0.210964912280702,0.184649122807018,-0.100935371295553,-0.104588339332083,-0.104588339332083,-0.104588339332083,0.359127789046653,-0.284038461538462,0.370635829662261,0.370635829662261,0.706034618578714,-0.636888994434061,-0.805535050960905,-0.365965437098697,-0.379513337083808,0.448196082951821,0.402974962071897,0.427543909038778,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,0.1,-0.2,0.26,0.389451806811742,-0.331788715486194,-0.320461538461538
"RAF",0.296006483937518,0.320890075656431,0.267619047619048,0.22,0.2,0.17,0.188341892883346,0.17,0.173448275862069,0.22073762506942,0.159581881533101,0.0857142857142857,0.156725110893631,0.0857142857142857,0.153754813863928,0.0948051948051948,0.1,0.208590163934426,0.374004753416518,0.14,0.1,0.258543536260005,0.169153069153069,0.138383838383838,0.111111111111111,-0.14468586968587,-0.143831168831169,-0.143831168831169,-0.143831168831169,0.0613968253968254,-0.332663797226208,0.372663797226208,0.372663797226208,0.624385964912281,-0.474936280818634,-0.543314330360812,-0.161544523246651,-0.380952950808151,0.377496836898203,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,-0.1,0,0.0227081076332972,-0.184,-0.226050420168067
"SHH",0.35,0.44,0.4,0.3,0.2,0,0.2,0.1,0.1,0.283333333333333,0.0666666666666667,0,0.1,-0.1,0.0666666666666667,-0.05,0,0.253333333333333,0.2,0.3,0.2,0.162857142857143,0.0333333333333333,0,0.1,0.0730769230769231,0.05,0.05,0.05,0.25,-0.3,0.375,0.375,0.36727969348659,-0.299068100358423,-0.341666666666667,-0.256410256410256,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.0666666666666667,0.13823299811728,0.080952380952381,0.110364145658263,0.171892109500805,0.0747923182995325,0.166666666666667,0.0782917967186875,0.196078431372549,0.0694917967186875,0.193514328808446,0.166666666666667,0.132051282051282,0.276816119652898,0.1,0.05,0.183245614035088,0.179590570719603,0.163461538461538,0.125,-0.0243078930202218,-0.027047619047619,-0.027047619047619,-0.027047619047619,0.168461538461538,-0.336842105263158,0.375508463573364,0.375508463573364,0.394824563167988,-0.396875422177051,-0.472077970556085,-0.178607503607504,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0187976530388127,-0.115384615384615,-0.162540400775695
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.0666666666666667,0.13823299811728,0.080952380952381,0.110364145658263,0.171892109500805,0.0747923182995325,0.166666666666667,0.0782917967186875,0.196078431372549,0.0694917967186875,0.193514328808446,0.166666666666667,0.132051282051282,0.276816119652898,0.1,0.05,0.183245614035088,0.179590570719603,0.163461538461538,0.125,-0.0243078930202218,-0.027047619047619,-0.027047619047619,-0.027047619047619,0.168461538461538,-0.336842105263158,0.375508463573364,0.375508463573364,0.394824563167988,-0.396875422177051,-0.472077970556085,-0.178607503607504,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0187976530388127,-0.115384615384615,-0.162540400775695
"RAS",0.345396825396825,0.367769365171811,0.315294117647059,0.28,0.26,0.26,0.289514963880289,0.26,0.275789473684211,0.306489675516224,0.161857707509881,0.166666666666667,0.158750773036487,0.16,0.156709956709957,0.176666666666667,0.2,0.192870056497175,0.375242771412984,0.116666666666667,0.1,0.258624088310664,0.251638530287984,0.215789473684211,0.2,-0.072051282051282,0.0356410256410256,0.0356410256410256,0.0356410256410256,0.0125541125541125,-0.356428571428571,0.398696612665685,0.398696612665685,0.57634173186284,-0.400410502033264,-0.47119473173547,-0.215439276485788,-0.407661538461538,0.410022792164208,0.338970588235294,0.37971117743333,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0340659026705538,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.370573870573871,0.39267243394903,0.343736263736264,0.301428571428571,0.271428571428571,0.276190476190476,0.327378027378027,0.30952380952381,0.312226512226512,0.356393745557925,0.261647727272727,0.288888888888889,0.259196932100158,0.283625730994152,0.252903225806452,0.287792397660819,0.3,0.298701026608003,0.403942028985507,0.233333333333333,0.2,0.357215265481102,0.358928395548114,0.332167832167832,0.309090909090909,0.103462262784297,0.106026365348399,0.106026365348399,0.106026365348399,-0.0272222222222222,-0.362017543859649,0.400588972431078,0.400588972431078,0.645446544203578,-0.494195273195273,-0.563557925110508,-0.313702544922741,-0.410651126415904,0.400453903067587,0.331521739130435,0.370434782608696,0.275,0.330434782608696,0.273913043478261,0.2,0.2,0.1,0.1,0.345606435643564,-0.2,-0.2,0,-0.0356106235300866,-0.268468468468469,-0.381834795321637
"AKT",0.277606332905434,0.297645644330977,0.273778574844572,0.233941176470588,0.177941176470588,0.080952380952381,0.153422871535001,0.110364145658263,0.13823299811728,0.191691608247672,0.0845667543897581,0.196078431372549,0.0894029078297986,0.193514328808446,0.0782917967186875,0.0904840257781434,0.166666666666667,0.147840755735493,0.299140278674305,0.115384615384615,0.1,0.201788660392704,0.189346668280579,0.179590570719603,0.163461538461538,-0.0202115074780531,-0.0243078930202218,-0.0243078930202218,-0.0243078930202218,0.206239316239316,-0.370175438596491,0.404275586861036,0.404275586861036,0.422462754122761,-0.428577766723433,-0.504199182677297,-0.196752664897826,-0.405451291565081,0.400719725013186,0.357752076547316,0.381335109628571,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388916279869348,-0.166666666666667,-0.05,0.2,-0.00299947272450338,-0.132051282051282,-0.183037295185633
"MEK",0.33744792537896,0.363955769087088,0.320890075656431,0.267619047619048,0.22,0.17,0.113341892883346,0.173448275862069,0.188341892883346,0.245096599428394,0.163218245169465,0.0857142857142857,0.164474188384406,0.0948051948051948,0.156725110893631,0.0936287242169595,0.0857142857142857,0.227544412300439,0.406605486017251,0.184,0.14,0.279035339538693,0.187401244335551,0.169153069153069,0.138383838383838,-0.140558885558886,-0.14468586968587,-0.14468586968587,-0.14468586968587,0.0969523809523809,-0.369918699186992,0.410759035321446,0.410759035321446,0.658692534255346,-0.51249725642839,-0.584662235643144,-0.185377447079575,-0.419033446164188,0.400545164035749,0.352867132867133,0.377496836898203,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379613791006196,-0.1,-0.1,0.1,0.0432101996835064,-0.208590163934426,-0.25499778858912
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.3,0.425,0.325,0.385,0.373019670388091,0.204093567251462,0.2,0.197619047619048,0.266666666666667,0.183333333333333,0.273333333333333,0.2,0.177272727272727,0.351941391941392,0.15,0.1,0.188531468531469,0.258646616541353,0.242857142857143,0.2,0.145714285714286,0.171428571428571,0.171428571428571,0.171428571428571,-0.00238095238095239,-0.277777777777778,0.420634920634921,0.420634920634921,0.439156399156399,-0.144450549450549,-0.283107697318424,-0.223809523809524,-0.431699604743083,0.132277877161598,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.159085452362763,-0.15,-0.423703703703704
"IKK",0.497806637806638,0.529191919191919,0.469191919191919,0.405555555555556,0.35,0.1,0.160507936507937,0.114285714285714,0.118285714285714,0.292034209782301,0.181940144478844,0.285714285714286,0.183807755775578,0.169047619047619,0.172916666666667,0.187966537966538,0.3,0.2557343550447,0.532941176470588,0.18,0.12,0.287413308341143,0.284415584415584,0.251082251082251,0.227272727272727,0.0163850617315508,0.0121597096188748,0.0121597096188748,0.0121597096188748,0.307773109243697,-0.363369963369963,0.425418546365915,0.425418546365915,0.659799146447011,-0.569256032607988,-0.682863893582049,-0.215934065934066,-0.428840579710145,0.439530455479823,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.139716959015697,-0.228148148148148,-0.274043715846994
"Csn",0.253033518836461,0.279294068237181,0.252802421459138,0.206648575305292,0.145454545454545,0.0933333333333333,0.167670454545455,0.120606060606061,0.147878787878788,0.161109253176475,0.0730481727574751,0.105,0.0795770862273601,0.100833333333333,0.0674948240165631,0.0984333333333333,0.08,0.138577167001281,0.293994078229702,0.108513708513709,0.0873015873015873,0.186327086735673,0.193621656121656,0.183044733044733,0.166161616161616,-0.0903336071081976,-0.0947481944402513,-0.0947481944402513,-0.0947481944402513,0.181148391560014,-0.399880772821949,0.436676592224979,0.436676592224979,0.437277993710974,-0.442370015831975,-0.516507179496932,-0.140115386110094,-0.444602533637315,0.419715169365624,0.37427547866515,0.398849264374644,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,-0.18,-0.0428571428571429,0.2,0.0514481856741685,-0.124642740771773,-0.173737015717672
