"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","EGR1","MEK","HEY1","ERK","cfos","SMAD","ILK","SHH","TWIST1","SMO","AKT","FUS","IKK","Jagged","NFB","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","Ecadherin","GSK3","RAF","PI3K","DELTA","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"SOSGRB2",0.139255189255189,0.156040059231549,0.117032967032967,0.0785714285714286,0.0785714285714286,0.0852181947405828,0.0523809523809524,0.0315510315510315,0.0397727272727273,0.0103389103389103,-0.00317460317460319,0.0268260771486578,0.0303225806451613,0.0677142258537607,0.129420289855072,0.0333333333333333,0.0221491228070175,0,-0.00701754385964912,0.0998218688310698,-0.0333333333333333,0,0.0617649955678125,0.0293706293706294,-0.00909090909090909,0.0952777777777778,-0.165789473684211,0.190075187969925,0.190075187969925,0.373216168074625,-0.335412308412308,-0.0686802839345212,-0.358590248519438,-0.0439376176262572,-0.0866290018832392,-0.0866290018832392,-0.0866290018832392,-0.202752339867302,0.250824563278676,0.231935817805383,0.239925901710799,0.213095238095238,0.229399585921325,0.21055900621118,0.171428571428571,0.171428571428571,0.1,0.1,0.256490649064906,-0.1,0,0,0.0643807720988929,-0.0630630630630631,-0.10687134502924
"Destcompl",0.0567905372676879,0.0255550205563169,0.0288062520834105,0.0272273047149894,0.0210204081632653,0.0951209576902037,0.0625641025641026,0.056627374838622,0.00964317733548503,0.0562054339103519,0.0534731934731935,0.0137635756056809,0.0134126984126984,-0.11982880823179,-0.039990931865969,-0.111877394636015,0.0530702322648631,-0.111877394636015,0.0550836550836551,-0.185626117497308,0.0523809523809524,0.0523809523809524,-0.0550089524917442,-0.0528045436741089,-0.0549784567175871,-0.0615627546709182,-0.203149190846705,0.192133863412772,0.192133863412772,-0.23371230255266,0.215009252685094,0.0143673761850106,0.051683222366388,-0.089082276107506,0.0165651783828128,0.0165651783828128,0.0165651783828128,-0.203803589903581,-0.186622379297913,-0.185758339602481,-0.186061441001126,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.019968257807527,0.116540607071248,-0.121719625848595
"AXIN2",0.110540380774573,0.0645281966741413,0.0638681306675407,0.0647530864197531,0.0783333333333333,0.1547184519461,0.153333333333333,0.113915146370284,0.0187481889307447,0.117363422232353,0.131382113821138,0.0181159420289855,0.0220841959972395,-0.153439770611902,-0.0370946197518206,-0.152930402930403,0.104830917874396,-0.157692307692308,0.104830917874396,-0.220035634166069,0.109178743961353,0.122222222222222,-0.0516363543995123,-0.052312030075188,-0.0505263157894737,-0.0772774023545412,-0.252988588338008,0.245175501457021,0.245175501457021,-0.2770272187641,0.249359406027404,0.0791116645699377,0.0626921145380067,-0.170421160202625,0.0798990661447409,0.0798990661447409,0.0798990661447409,-0.2593606087525,-0.239908935293043,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159719384343445,0.151144688644689,-0.178657587931781
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.104658385093168,0.1,0.107843137254902,0.0656410256410257,0.0666666666666667,0.0666666666666667,0.0566487775790101,0.058974358974359,0.10974025974026,0.222941176470588,0.05,0.124166666666667,0,0.0866666666666667,0.153259803921569,0.0666666666666667,0.1,0.18452380952381,0.142857142857143,0.1,0.0939393939393939,-0.262745098039216,0.304208512673362,0.304208512673362,0.340258620689655,-0.334703389830508,0.13257006151743,-0.402475553557379,-0.0729623824451411,0.100751879699248,0.100751879699248,0.100751879699248,-0.306262626262626,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.12
"CD44",0.253333333333333,0.253055555555556,0.2475,0.26,0.2,0.244231791600213,0.2,0.27,0.137426900584795,0.27,0.25,0.147619047619048,0.133333333333333,0.127272727272727,0.233406593406593,0.1,0.193333333333333,0.1,0.2,0.142470862470862,0.2,0.1,0.190977443609023,0.185714285714286,0.2,0.0690476190476191,-0.204761904761905,0.323809523809524,0.323809523809524,0.340712620712621,-0.100384615384615,0.0980952380952381,-0.203830745847356,-0.106547619047619,0.0666666666666667,0.0666666666666667,0.0666666666666667,-0.336908212560386,0.0803398926654741,0.01,0.0541860465116279,-0.05,0.01,0.05,-0.1,0,0,0.1,-0.03,0,-0.1,0.1,-0.0849667139583106,-0.1,-0.281111111111111
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.118944099378882,0.0666666666666667,0.15599128540305,0.0635133660665576,0.107843137254902,0.0666666666666667,0.0631908336537765,0.0566487775790101,0.119417679095098,0.24484593837535,0.0954545454545455,0.155416666666667,0.05,0.124166666666667,0.16437091503268,0.0866666666666667,0.0666666666666667,0.217857142857143,0.18452380952381,0.142857142857143,0.127272727272727,-0.300840336134454,0.338861978019897,0.338861978019897,0.368334330468835,-0.366766881894001,0.150680297737902,-0.437673688755514,-0.0917502612330199,0.13257006151743,0.13257006151743,0.13257006151743,-0.342200126262626,0.348800478016233,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00819824740195381,-0.10974025974026,-0.141428571428571
"cMet",0.279915611814346,0.284970449172577,0.253055555555556,0.2475,0.26,0.274740266176484,0.25,0.271818181818182,0.155073959408325,0.27,0.27,0.147619047619048,0.147619047619048,0.152272727272727,0.270485245091987,0.1,0.205833333333333,0.1,0.193333333333333,0.17073173203608,0.2,0.2,0.218637018077108,0.190977443609023,0.185714285714286,0.0623809523809524,-0.223809523809524,0.347041847041847,0.347041847041847,0.37136955501919,-0.129210238160416,0.130170709793351,-0.234619549918603,-0.129128264208909,0.0980952380952381,0.0980952380952381,0.0980952380952381,-0.358783212560386,0.0984189887106718,0.0554545454545454,0.0803398926654741,0.01,0.0541860465116279,0.01,-0.05,0.05,-0.1,0,0.016031746031746,-0.1,-0.1,0.1,-0.0660477950393917,-0.127272727272727,-0.307037037037037
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.33671420000923,0.2,0.352891559622912,0.111306340718105,0.322994652406417,0.281818181818182,0.105159420289855,0.0906666666666667,0.324798387096774,0.412614379084967,0.266666666666667,0.319259259259259,0.233333333333333,0.293333333333333,0.354196538094589,0.26,0.2,0.364868544369358,0.337033492822967,0.305454545454545,0.28138936535163,-0.266666666666667,0.354514963880289,0.354514963880289,0.4649781869926,-0.592777865765671,0.361546003016591,-0.673504886266412,-0.347529841291117,0.33948717948718,0.33948717948718,0.33948717948718,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.328674500103071
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.33671420000923,0.2,0.352891559622912,0.111306340718105,0.322994652406417,0.281818181818182,0.105159420289855,0.0906666666666667,0.324798387096774,0.412614379084967,0.266666666666667,0.319259259259259,0.233333333333333,0.293333333333333,0.354196538094589,0.26,0.2,0.364868544369358,0.337033492822967,0.305454545454545,0.28138936535163,-0.266666666666667,0.354514963880289,0.354514963880289,0.4649781869926,-0.592777865765671,0.361546003016591,-0.673504886266412,-0.347529841291117,0.33948717948718,0.33948717948718,0.33948717948718,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.328674500103071
"DSH",0.231314495378143,0.258798161894662,0.240331262939959,0.203188405797101,0.146666666666667,0.134306418219462,0.0666666666666667,0.183810834275231,0.072285295891119,0.15599128540305,0.107843137254902,0.0756436638424557,0.0631908336537765,0.13107412081289,0.262576434829251,0.10974025974026,0.170359195402299,0.0954545454545455,0.155416666666667,0.179099597203222,0.124166666666667,0.0866666666666667,0.23533966033966,0.217857142857143,0.18452380952381,0.158980044345898,-0.33287917108591,0.364058828413597,0.364058828413597,0.391966460853003,-0.394446504979984,0.166086460202888,-0.465153934585189,-0.109151653344389,0.150680297737902,0.150680297737902,0.150680297737902,-0.369029394555309,0.366164681043837,0.328532114600226,0.348800478016233,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00477885183468741,-0.119417679095098,-0.158911088911089
"SHH",0.35,0.44,0.4,0.3,0.2,0.283333333333333,0,0.3,0.0666666666666667,0.2,0.1,0.1,0.0666666666666667,0.253333333333333,0.2,0.3,0.15,0.2,0.1,0.162857142857143,0,0,0.233333333333333,0.2,0.1,0.25,-0.3,0.375,0.375,0.36727969348659,-0.299068100358423,0.223076923076923,-0.341666666666667,-0.271794871794872,0.2,0.2,0.2,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.173280998389694,0.0666666666666667,0.180676860908298,0.0747923182995325,0.136414565826331,0.0952380952380952,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276816119652898,0.1,0.264253393665158,0.05,0.241176470588235,0.183245614035088,0.2,0.166666666666667,0.228411910669975,0.196153846153846,0.15,0.163461538461538,-0.336842105263158,0.375508463573364,0.375508463573364,0.395363646725939,-0.396875422177051,0.180932692877898,-0.472077970556085,-0.183754208754209,0.157645021645022,0.157645021645022,0.157645021645022,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.165481577246283
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.173280998389694,0.0666666666666667,0.180676860908298,0.0747923182995325,0.136414565826331,0.0952380952380952,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276816119652898,0.1,0.264253393665158,0.05,0.241176470588235,0.183245614035088,0.2,0.166666666666667,0.228411910669975,0.196153846153846,0.15,0.163461538461538,-0.336842105263158,0.375508463573364,0.375508463573364,0.395363646725939,-0.396875422177051,0.180932692877898,-0.472077970556085,-0.183754208754209,0.157645021645022,0.157645021645022,0.157645021645022,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.165481577246283
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.37146790711633,0.2,0.384287228404876,0.116169379144063,0.345098039215686,0.288235294117647,0.112087517128288,0.0934272300469483,0.365447812927988,0.448322008191805,0.301176470588235,0.352357706688824,0.26,0.319827586206897,0.401762028014479,0.275,0.2,0.40571314650262,0.373245614035088,0.332894736842105,0.323799864773496,-0.286538461538462,0.378588839941263,0.378588839941263,0.710777486540221,-0.63753975365315,0.405334467806479,-0.808795441395151,-0.386109379554679,0.381590175569036,0.381590175569036,0.381590175569036,-0.386587993124707,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385743987724154,-0.335870348139256,-0.355166666666667
"cateninnuc",0.39493419695059,0.378478722201354,0.358173045345459,0.331736263736264,0.299428571428571,0.336653438412978,0.288405797101449,0.359091409634699,0.123157343831609,0.337531776607176,0.312215320910973,0.110442928603911,0.102666666666667,0.217111984256758,0.324496918914511,0.18792349726776,0.318732954545455,0.163333333333333,0.301545454545455,0.247928739153694,0.279545454545455,0.258333333333333,0.359908498996004,0.34127213535964,0.318016321406152,0.263830268602028,-0.301618152507832,0.382678496292814,0.382678496292814,0.463501609896508,-0.410140467636894,0.343966773966774,-0.493374137241054,-0.335817466973498,0.331172161172161,0.331172161172161,0.331172161172161,-0.390013962277642,0.182424681526157,0.255050909979439,0.269251524939579,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.233333333333333,-0.133333333333333,0.160606060606061,0.320346119529895,-0.204693683603163,-0.347791845044947
"RAF",0.313056292366637,0.334997774810859,0.272380952380952,0.22,0.2,0.244029898305702,0.22,0.277666911225238,0.17862950058072,0.237241379310345,0.22,0.167251426683105,0.164281129653402,0.216590163934426,0.390065359477124,0.14,0.256168831168831,0.1,0.210714285714286,0.263806694154742,0.185714285714286,0.2,0.31041181041181,0.256565656565657,0.211111111111111,0.0328253968253968,-0.337541846006695,0.385541846006695,0.385541846006695,0.633798158186163,-0.476897065132359,0.181404706404706,-0.550452158840288,-0.203703703703704,0.141233766233766,0.141233766233766,0.141233766233766,-0.392478473698307,0.380931061706474,0.32,0.352686786897313,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.2,-0.1,0,0.0144687143149943,-0.192,-0.260434173669468
"RAS",0.347777777777778,0.369749563191613,0.315294117647059,0.28,0.26,0.316243854473943,0.3,0.351805985552116,0.17094861660079,0.326315789473684,0.3,0.163512677798392,0.161471861471861,0.19625988700565,0.37949809056192,0.116666666666667,0.306666666666667,0.1,0.273333333333333,0.2608712793219,0.266666666666667,0.3,0.373485600794439,0.326315789473684,0.3,-0.00562770562770564,-0.356428571428571,0.400758468335788,0.400758468335788,0.579133514540242,-0.400410502033264,0.232051282051282,-0.472217749638283,-0.233217054263566,0.282051282051282,0.282051282051282,0.282051282051282,-0.409261538461538,0.410589364402169,0.338970588235294,0.37971117743333,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0373178832481158,-0.160666666666667,-0.404396226415094
"AKT",0.278358212604682,0.298249873938228,0.273778574844572,0.233941176470588,0.177941176470588,0.19508550966789,0.0952380952380952,0.209790784958931,0.0875742731867506,0.180676860908298,0.136414565826331,0.0916763085031993,0.0798917967186875,0.14889338731444,0.300363520264519,0.115384615384615,0.183445312857078,0.1,0.264253393665158,0.202450912048333,0.241176470588235,0.2,0.251582642377292,0.228411910669975,0.196153846153846,0.199017094017094,-0.370175438596491,0.404960518367885,0.404960518367885,0.423403847730964,-0.428577766723433,0.202378476010428,-0.504502212980328,-0.203915499076789,0.180932692877898,0.180932692877898,0.180932692877898,-0.40598605092337,0.400873571167032,0.357752076547316,0.381335109628571,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388916279869348,-0.166666666666667,-0.05,0.2,-0.00395552075507866,-0.132051282051282,-0.18846294370591
"IKK",0.497806637806638,0.529191919191919,0.469191919191919,0.405555555555556,0.35,0.292034209782301,0.1,0.214730158730159,0.181940144478844,0.150285714285714,0.114285714285714,0.183807755775578,0.172916666666667,0.2557343550447,0.532941176470588,0.18,0.281660231660232,0.12,0.235714285714286,0.287413308341143,0.285714285714286,0.3,0.338383838383838,0.289177489177489,0.227272727272727,0.307773109243697,-0.363369963369963,0.425418546365915,0.425418546365915,0.659799146447011,-0.569256032607988,0.28646847814047,-0.682863893582049,-0.22032967032967,0.249848759830611,0.249848759830611,0.249848759830611,-0.428840579710145,0.439530455479823,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.139716959015697,-0.228148148148148,-0.274043715846994
"MEK",0.357200436510781,0.380253249263414,0.334997774810859,0.272380952380952,0.22,0.269670923946728,0.22,0.231000244558572,0.182265864217084,0.277666911225238,0.237241379310345,0.177214526314101,0.167251426683105,0.235544412300439,0.423398692810457,0.192,0.287933537051184,0.14,0.256168831168831,0.285118169564578,0.210714285714286,0.185714285714286,0.349097941798672,0.31041181041181,0.256565656565657,0.0661587301587302,-0.382639885222382,0.427605338070187,0.427605338070187,0.671267744560859,-0.517872674888457,0.210928515928516,-0.595443051372164,-0.231467831467831,0.181404706404706,0.181404706404706,0.181404706404706,-0.435512529425861,0.406395745721343,0.354265734265734,0.380931061706474,0.32,0.352686786897313,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.380514691907097,-0.2,-0.1,0.1,0.035598421427965,-0.216590163934426,-0.292013121037889
