"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","ERK","HEY1","cfos","SMAD","ILK","EGR1","SHH","TWIST1","SMO","AKT","IKK","FUS","NFB","Jagged","NOTCH","NOTCHic","Csn","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","RAS","RAF","PI3K","DELTA","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0379578762650568,0.0101044483129005,0.012764546835068,0.0148698099929627,0.0169387755102041,0.0759774441890911,-0.0688978891344527,-0.0667881844931025,-0.0113920267766422,-0.0640559440559441,0.00100250626566416,0.00158730158730159,-0.061025641025641,-0.128159386187661,-0.0550867175410683,-0.121631089217296,-0.166989524853546,-0.163633820155559,-0.118773946360153,-0.162732919254658,-0.192236967477723,-0.173559575084364,-0.170152761457109,-0.171428571428571,-0.170152761457109,-0.037234610050144,-0.18590301177271,0.172968701819303,0.172968701819303,-0.245588926100517,0.222730390157561,0.0642672339313902,-0.0708516762529174,-0.184681762818212,-0.19345966030884,-0.188603726181956,-0.191113918340457,-0.152798926770722,-0.151229068058007,-0.151229068058007,-0.151229068058007,-0.184336564771937,-0.18796323340895,-0.18385875579701,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.240692866684763,0.2,0.122222222222222,-0.188888888888889,-0.0170750679170491,0.125258032222477,-0.0825395967257148
"AXIN2",0.0941455188059403,0.0512439085599809,0.0552043045995848,0.0622839506172839,0.0783333333333333,0.134022178129818,-0.0628751090604686,-0.0587371780259859,-0.00781650964206745,-0.0521951219512195,0.00425005751092708,0.00782148608235565,-0.04,-0.162428841650153,-0.0513929430697517,-0.157692307692308,-0.21951690821256,-0.221739130434783,-0.157692307692308,-0.228985507246377,-0.225845453019366,-0.225949163449163,-0.22797619047619,-0.233333333333333,-0.233333333333333,-0.0380744329692436,-0.244157491752235,0.230617787866865,0.230617787866865,-0.286051221118937,0.252695413208595,0.0710441242007741,-0.152803800191672,-0.245538539244122,-0.243848941047063,-0.237837073126447,-0.240692866684763,-0.226609259178804,-0.225296923220799,-0.225296923220799,-0.225296923220799,-0.235950280673617,-0.237527567739863,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.181633484948262,0.2,0.15,-0.233333333333333,0.16444219724381,0.159478021978022,-0.138389656938044
"Wnt",0.134655870445344,0.168115942028985,0.133333333333333,0.1,0.1,0.0554347826086957,0.0827450980392157,0.0533333333333333,0.0256410256410256,0.0333333333333333,0.0390777181474856,0.0367521367521367,0,0.0915584415584415,0.184411764705882,0.05,0.0183333333333333,-0.00666666666666668,0,-0.0666666666666667,0.141495098039216,0.0547619047619048,0.0214285714285714,-0.1,-0.05,0.142424242424242,-0.250980392156863,0.272931611669058,0.272931611669058,0.317586206896552,-0.329618644067797,-0.383828818702934,-0.0264890282131661,-0.278080808080808,0.319931036199771,0.286842105263158,0.304699248120301,0.143574846206425,0.14812030075188,0.14812030075188,0.14812030075188,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,0.1,0,0,-0.006077305063902,-0.0772727272727273,-0.0383333333333333
"Frizzled",0.167214009980228,0.201449275362319,0.168115942028985,0.133333333333333,0.1,0.0760697032436163,0.101263616557734,0.0827450980392157,0.0320240043644299,0.0533333333333333,0.0456197742222519,0.0390777181474856,0.0333333333333333,0.104461667364893,0.208221288515406,0.0772727272727273,0.0183333333333333,0.0183333333333333,0.05,-0.00666666666666668,0.152606209150327,0.0684873949579832,0.0547619047619048,-0.0666666666666667,0.0214285714285714,0.163636363636364,-0.270028011204482,0.299664284936385,0.299664284936385,0.339983683237246,-0.3527932472424,-0.41063534550946,-0.0440647857889237,-0.303080808080808,0.334216750485485,0.304699248120301,0.319931036199771,0.139637838332409,0.143574846206425,0.143574846206425,0.143574846206425,0.286842105263158,0.304699248120301,0.286842105263158,0.25,0.25,0.3,0.2,0.338210007047216,0.1,0,0.1,0.00479802650108474,-0.0915584415584415,-0.0669047619047619
"DSH",0.18929193205815,0.222703630763016,0.201449275362319,0.168115942028985,0.133333333333333,0.091432022084196,0.117053090241945,0.101263616557734,0.0425503201539036,0.0827450980392157,0.0535443025241387,0.0456197742222519,0.0533333333333333,0.114891115217654,0.226661004827463,0.0915584415584415,0.017183908045977,0.0183333333333333,0.0772727272727273,0.0183333333333333,0.164234116127071,0.0747811012516895,0.0684873949579832,-0.00666666666666668,0.0547619047619048,0.185587583148559,-0.294299855864676,0.322498930605676,0.322498930605676,0.358726407335034,-0.373405732519196,-0.433550183086282,-0.0554336953016847,-0.327471051983247,0.347306688152449,0.319731927858863,0.334216750485485,0.141038398556499,0.139637838332409,0.139637838332409,0.139637838332409,0.304699248120301,0.319931036199771,0.304699248120301,0.286842105263158,0.286842105263158,0.25,0.25,0.358041230675908,0.0666666666666667,-0.05,0.2,0.0139583318445962,-0.104461667364893,-0.0885830835830836
"PI3K",0.213326364692218,0.238761836441894,0.202176470588235,0.166176470588235,0.125,0.130064412238325,0.11590669054507,0.0913165266106443,0.0459758517472169,0.0619047619047619,0.0623734293717487,0.0535734293717487,0.0333333333333333,0.118162393162393,0.243189763432101,0.0833333333333333,0.103770739064857,0.096078431372549,0.05,0.0666666666666667,0.172719298245614,0.0610421836228288,0.0384615384615385,0.0333333333333333,0,0.193076923076923,-0.309649122807018,0.341004349449016,0.341004349449016,0.370217421428348,-0.384898168297179,-0.448814138195688,-0.132142857142857,-0.341853291443455,0.368789958932101,0.329535488665923,0.350439443468183,0.0983722943722944,0.0983722943722944,0.0983722943722944,0.0983722943722944,0.303381642512077,0.329535488665923,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.356952380952381,0,0,0.1,-0.00708303264200475,-0.0987179487179487,-0.0994667097608274
"ILK",0.213326364692218,0.238761836441894,0.202176470588235,0.166176470588235,0.125,0.130064412238325,0.11590669054507,0.0913165266106443,0.0459758517472169,0.0619047619047619,0.0623734293717487,0.0535734293717487,0.0333333333333333,0.118162393162393,0.243189763432101,0.0833333333333333,0.103770739064857,0.096078431372549,0.05,0.0666666666666667,0.172719298245614,0.0610421836228288,0.0384615384615385,0.0333333333333333,0,0.193076923076923,-0.309649122807018,0.341004349449016,0.341004349449016,0.370217421428348,-0.384898168297179,-0.448814138195688,-0.132142857142857,-0.341853291443455,0.368789958932101,0.329535488665923,0.350439443468183,0.0983722943722944,0.0983722943722944,0.0983722943722944,0.0983722943722944,0.303381642512077,0.329535488665923,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.356952380952381,0,0,0.1,-0.00708303264200475,-0.0987179487179487,-0.0994667097608274
"HEY1",0.38894994510542,0.372677014042868,0.340969696969697,0.307636363636364,0.263636363636364,0.330123503940955,0.258577650366613,0.234866310160428,0.104033613445378,0.205454545454545,0.0982608695652174,0.0866666666666667,0.16,0.322647849462366,0.410653594771242,0.266666666666667,0.109100529100529,0.0942857142857143,0.233333333333333,0.08,0.352984416882468,0.271793025205939,0.250143540669856,0.1,0.229090909090909,0.298027444253859,-0.266666666666667,0.353199174406605,0.353199174406605,0.463159381227329,-0.592777865765671,-0.672976484681208,-0.337149571872178,-0.361509971509972,0.395397983518673,0.353897196408636,0.376344434328137,0.105275263951735,0.100128205128205,0.100128205128205,0.100128205128205,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.343618720855352,-0.297916666666667,-0.316996495567924
"FOXC2",0.38894994510542,0.372677014042868,0.340969696969697,0.307636363636364,0.263636363636364,0.330123503940955,0.258577650366613,0.234866310160428,0.104033613445378,0.205454545454545,0.0982608695652174,0.0866666666666667,0.16,0.322647849462366,0.410653594771242,0.266666666666667,0.109100529100529,0.0942857142857143,0.233333333333333,0.08,0.352984416882468,0.271793025205939,0.250143540669856,0.1,0.229090909090909,0.298027444253859,-0.266666666666667,0.353199174406605,0.353199174406605,0.463159381227329,-0.592777865765671,-0.672976484681208,-0.337149571872178,-0.361509971509972,0.395397983518673,0.353897196408636,0.376344434328137,0.105275263951735,0.100128205128205,0.100128205128205,0.100128205128205,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.343618720855352,-0.297916666666667,-0.316996495567924
"RAF",0.2789566755084,0.306782376502003,0.262857142857143,0.22,0.2,0.1990713680933,0.219156272927366,0.187241379310345,0.140534262485482,0.17,0.148178993123959,0.143228498074454,0.12,0.200590163934426,0.357944147355912,0.14,0.0726190476190476,0.0392857142857143,0.1,0.0142857142857143,0.253280378365268,0.124941724941725,0.0787878787878788,0,0.0333333333333333,0.081968253968254,-0.32778574844572,0.35978574844572,0.35978574844572,0.615638223465641,-0.472975496504908,-0.536176501881336,-0.130181245074862,-0.369427427917994,0.374062612089932,0.32,0.34988958410011,0.102888777888778,0.100324675324675,0.100324675324675,0.100324675324675,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,0,-0.1,0,0.0303644105725914,-0.176,-0.195588235294118
"AKT",0.239642154165903,0.265045824357302,0.238761836441894,0.202176470588235,0.166176470588235,0.150365164118025,0.134894032317222,0.11590669054507,0.0572540472359387,0.0913165266106443,0.0701175371158564,0.0623734293717487,0.0619047619047619,0.132899235267656,0.266125543248615,0.0987179487179487,0.00882124411536175,0.103770739064857,0.0833333333333333,0.096078431372549,0.188613337980713,0.0744568177691702,0.0610421836228288,0.0666666666666667,0.0384615384615385,0.21974358974359,-0.336144849302744,0.367716678216139,0.367716678216139,0.393835511880609,-0.41048430489249,-0.476995956377506,-0.148271889400922,-0.369126018716183,0.384482266624408,0.350205879727376,0.368789958932101,0.0995771136494028,0.0983722943722944,0.0983722943722944,0.0983722943722944,0.329535488665923,0.350439443468183,0.329535488665923,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.383306171566099,-0.0333333333333333,-0.05,0.2,0.00524120226287532,-0.118162393162393,-0.124932548270144
"cateninnuc",0.38646169131415,0.371745259909994,0.353186307944929,0.330197802197802,0.299428571428571,0.32591170764925,0.255465832899146,0.242163080605568,0.1083757088932,0.225707384403037,0.101910213024811,0.0946796536796537,0.205072463768116,0.212591059707323,0.317522629292247,0.184644808743169,0.0202869318181818,0.0148181818181818,0.163333333333333,0.00681818181818182,0.245067546748043,0.241560951785627,0.229742769967445,-0.00833333333333333,0.214626490897677,0.284567595790968,-0.296136356723545,0.374584956015091,0.374584956015091,0.458988752094231,-0.408242242320686,-0.488981310454378,-0.323936643641585,-0.382183880101374,0.180342063003637,0.254655653062443,0.268107873553209,0.00932314432314433,0.00662954162954163,0.00662954162954163,0.00662954162954163,0.238054862548609,0.253694131955002,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395397983518673,0.0333333333333333,-0.133333333333333,0.160606060606061,0.322657758510901,-0.200172759053728,-0.326874902599468
"SHH",0.35,0.44,0.4,0.3,0.2,0.283333333333333,0.26,0.2,0.0666666666666667,0.1,0.1,0.0666666666666667,0,0.253333333333333,0.2,0.3,0.1,0.1,0.2,0,0.162857142857143,0.2,0.2,0,0.1,0.25,-0.3,0.375,0.375,0.36727969348659,-0.299068100358423,-0.341666666666667,-0.271794871794872,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.0230769230769231,0,0,0,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"SNAI2",0.424698860712761,0.410897513966568,0.375493787258493,0.333613445378151,0.276470588235294,0.366685459193243,0.285241123476418,0.256862745098039,0.111106088004822,0.219607843137255,0.106399802322708,0.0906103286384976,0.166666666666667,0.364039362223763,0.44707977216696,0.301176470588235,0.156931172967733,0.14367816091954,0.26,0.133333333333333,0.400983817897747,0.321200729095466,0.299122807017544,0.133333333333333,0.276315789473684,0.33657876943881,-0.286538461538462,0.37770778267254,0.37770778267254,0.709453351357818,-0.63753975365315,-0.808460433019942,-0.377153466878785,-0.385881279343788,0.44938485160137,0.402974962071897,0.427956280172798,0.155636320763852,0.150156868709058,0.150156868709058,0.150156868709058,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.386904589220607,-0.335870348139256,-0.345987179487179
"RAS",0.324444444444444,0.350005824111823,0.309411764705882,0.28,0.26,0.275172074729597,0.203410732714138,0.181842105263158,0.135375494071146,0.145,0.146505875077304,0.142424242424242,0.12,0.181480225988701,0.354348063284234,0.116666666666667,0.0811111111111111,0.0533333333333333,0.1,0.0333333333333333,0.251113739404692,0.130238331678252,0.0868421052631579,0,0.05,0.0502164502164502,-0.351428571428571,0.383387334315169,0.383387334315169,0.563584026779151,-0.398244437051314,-0.462335535883216,-0.175968992248062,-0.394215384615385,0.405651469435945,0.338970588235294,0.378172715894869,0.0333333333333333,0.121794871794872,0.121794871794872,0.121794871794872,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.1,-0.1,0,-0.0222268146686751,-0.152666666666667,-0.340301886792453
"SOSGRB2",0.355873015873016,0.380315641805003,0.33989010989011,0.301428571428571,0.271428571428571,0.332882018479033,0.2998712998713,0.266537966537967,0.242897727272727,0.247619047619048,0.249304458981878,0.243010752688172,0.214285714285714,0.290970039807249,0.388695652173913,0.233333333333333,0.14437134502924,0.115204678362573,0.2,0.0888888888888889,0.35191496301819,0.198906727075741,0.155244755244755,0.1,0.109090909090909,0.00527777777777778,-0.358508771929824,0.389937343358396,0.389937343358396,0.636475832725458,-0.492721071721072,-0.557533422469169,-0.281472051401925,-0.401281566134363,0.397489225599538,0.331521739130435,0.369382151029748,-0.0108720846008982,-0.0224105461393597,-0.0224105461393597,-0.0224105461393597,0.275,0.330434782608696,0.273913043478261,0.2,0.2,0.1,0.1,0.345606435643564,-0.1,-0.2,0,-0.0270234612516492,-0.263063063063063,-0.347697368421053
"MEK",0.318596315148039,0.348388215918061,0.306782376502003,0.262857142857143,0.22,0.226635470657403,0.147489606260699,0.219156272927366,0.147806989758209,0.187241379310345,0.156666077994808,0.148178993123959,0.17,0.220851601842923,0.391277480689245,0.176,0.0832072829131653,0.0726190476190476,0.14,0.0392857142857143,0.273772181643957,0.150489170197199,0.124941724941725,0.0142857142857143,0.0787878787878788,0.110857142857143,-0.357197513151602,0.394706383366355,0.394706383366355,0.647998320789242,-0.507121837968323,-0.574245718639078,-0.156471171364788,-0.403173557948954,0.394880455956103,0.351468531468531,0.374062612089932,0.104476079476079,0.102888777888778,0.102888777888778,0.102888777888778,0.32,0.34988958410011,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.378712890105295,0,-0.1,0.1,0.0489836574345161,-0.200590163934426,-0.228482972136223
"Csn",0.224747207137385,0.25510031829271,0.226222036669798,0.182632293080054,0.136363636363636,0.134070604360874,0.186247294372294,0.164372294372294,0.057250830564784,0.13969696969697,0.0685544336489486,0.0585287267080745,0.103333333333333,0.129616593524579,0.270067009506,0.0974025974025974,0.00989999999999999,0.00749999999999999,0.0761904761904762,0.00333333333333333,0.177365275183188,0.0759920634920635,0.0634920634920635,-0.03,0.0414141414141414,0.185400668742073,-0.374261294261294,0.409672456575682,0.409672456575682,0.415508563003762,-0.428337698157693,-0.495800967600262,-0.094005480781347,-0.417525483783666,0.407125368967677,0.368372390329274,0.38902554936455,0.168038781525244,0.165543579989735,0.165543579989735,0.165543579989735,0.346101647971195,0.368768314637862,0.346101647971195,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.402674398016997,-0.02,-0.0428571428571429,0.2,0.0582860200400534,-0.115682167295071,-0.132355029327275
"IKK",0.481991341991342,0.516646464646465,0.464646464646465,0.405555555555556,0.35,0.272865422674583,0.204095238095238,0.157428571428571,0.160887512899897,0.121428571428571,0.17665704070407,0.161805555555556,0.05,0.248326947637292,0.519052287581699,0.18,0.117181467181467,0.0928571428571429,0.12,0.142857142857143,0.282867853795689,0.162049062049062,0.125541125541126,0.1,0.0636363636363636,0.324579831932773,-0.358241758241758,0.412155388471178,0.412155388471178,0.653528964097054,-0.567580054954357,-0.676425619020943,-0.19952380952381,-0.416800445930881,0.436712748263918,0.376239316239316,0.408442706069825,0.0986162589572523,0.0929824561403509,0.0929824561403509,0.0929824561403509,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,0,-0.1,0.1,0.14474677239021,-0.220740740740741,-0.242987249544627
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.368474215842637,0.34,0.32,0.204093567251462,0.3,0.193537414965986,0.183333333333333,0.3,0.177272727272727,0.351941391941392,0.15,0.08,0.1,0.1,0.1,0.188531468531469,0.0804511278195489,0.0857142857142857,0.2,0.1,0.0119047619047619,-0.277777777777778,0.420634920634921,0.420634920634921,0.437136197136197,-0.144450549450549,-0.283107697318424,-0.198809523809524,-0.431699604743083,0.132277877161598,0.0233333333333333,0.0861240310077519,-0.0809523809523809,-0.123809523809524,-0.123809523809524,-0.123809523809524,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.157044636036233,-0.15,-0.416296296296296
