"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","NFB","SMO","TWIST1","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0562138646229326,0.0250909164458648,0.0281632653061224,0.0265759637188209,0.0210204081632653,0.0516609226009516,0.0951209576902037,0.0625641025641026,0.0529267453857618,0.0534731934731935,0.00964317733548503,0.0136468904501691,0.0134126984126984,-0.11982880823179,0.0449802631010685,0.0496782496782497,0.0523809523809524,-0.111877394636015,-0.0411483703849433,-0.111877394636015,-0.185626117497308,0.0523809523809524,-0.0598730284697872,-0.0560654132393263,-0.0549784567175871,-0.0618962041309292,-0.203149190846705,0.192133863412772,0.192133863412772,-0.234059552409426,0.215209250228206,0.00185341010655424,0.00295231120545534,0.00295231120545534,0.00295231120545534,0.0520192970840814,-0.0887065716616701,-0.203803589903581,-0.186768881884619,-0.185758339602481,-0.186130638330879,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0199947475378445,0.116540607071248,-0.121719625848595
"AXIN2",0.109779098382794,0.0639172655242307,0.0634197530864198,0.0647530864197531,0.0783333333333333,0.111846180853043,0.1547184519461,0.153333333333333,0.117363422232353,0.131382113821138,0.0187481889307447,0.0181159420289855,0.0220841959972395,-0.153439770611902,0.101497584541063,0.104830917874396,0.109178743961353,-0.152930402930403,-0.0386732086410062,-0.157692307692308,-0.220035634166069,0.122222222222222,-0.0536633814265393,-0.052312030075188,-0.0505263157894737,-0.0772774023545412,-0.252988588338008,0.245175501457021,0.245175501457021,-0.277301965295016,0.249419805209174,0.0667622309742845,0.069649370081896,0.069649370081896,0.069649370081896,0.062949249402692,-0.170421160202625,-0.2593606087525,-0.239952730181869,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159719384343445,0.151144688644689,-0.178657587931781
"Wnt",0.175218295218295,0.202222222222222,0.146666666666667,0.1,0.1,0.119607843137255,0.104658385093168,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.0866666666666667,0.0666666666666667,0.05,0.22,0,0.153259803921569,0.1,0.192857142857143,0.142857142857143,0.1,0.0939393939393939,-0.262745098039216,0.304208512673362,0.304208512673362,0.339673913043478,-0.334703389830508,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.402123915071669,-0.0729623824451411,-0.306262626262626,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.12
"Frizzled",0.212427597543877,0.239365079365079,0.202222222222222,0.146666666666667,0.1,0.164052287581699,0.118944099378882,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.119417679095098,0.161666666666667,0.136666666666667,0.0866666666666667,0.0954545454545455,0.243529411764706,0.05,0.16437091503268,0.0666666666666667,0.222268907563025,0.192857142857143,0.142857142857143,0.127272727272727,-0.300840336134454,0.338861978019897,0.338861978019897,0.367522014309301,-0.36655052358847,0.173449819968676,0.150615174299385,0.150615174299385,0.150615174299385,-0.437018528654807,-0.0929623824451411,-0.342200126262626,0.348609547228643,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00819824740195381,-0.10974025974026,-0.141428571428571
"HEY1",0.389770434331706,0.373322638146168,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.33671420000923,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.302857142857143,0.26,0.266666666666667,0.411024291618351,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.354514963880289,0.354514963880289,0.464864059106832,-0.592777865765671,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.673421362470867,-0.348106210167198,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.328674500103071
"FOXC2",0.389770434331706,0.373322638146168,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.33671420000923,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.302857142857143,0.26,0.266666666666667,0.411024291618351,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.354514963880289,0.354514963880289,0.464864059106832,-0.592777865765671,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.673421362470867,-0.348106210167198,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.328674500103071
"IKK",0.181815650236703,0.206060606060606,0.145454545454545,0.1,0.1,0.161212121212121,0.121073226244146,0.1,0.106666666666667,0.1,0.0660714285714286,0.0619047619047619,0.0619047619047619,0.108513708513709,0.155,0.105,0.18,0.0428571428571429,0.238188405797101,0,0.151703703703704,0.2,0.201010101010101,0.145454545454545,0.1,0.1,-0.318461538461538,0.363622828784119,0.363622828784119,0.372932651321398,-0.369953986088818,0.177595628415301,0.133333333333333,0.133333333333333,0.133333333333333,-0.439135508454394,-0.100431034482759,-0.369353543205078,0.374733508747634,0.318390804597701,0.348511286525412,0.266666666666667,0.318390804597701,0.266666666666667,0.2,0.2,0.1,0.1,0.335,-0.2,0,0,0.0142184680990651,-0.0873015873015873,-0.12474025974026
"DSH",0.230848650175456,0.258379163872122,0.239365079365079,0.202222222222222,0.146666666666667,0.19187183645388,0.134886128364389,0.0666666666666667,0.164052287581699,0.119607843137255,0.072285295891119,0.0760696215325644,0.0631908336537765,0.13107412081289,0.176609195402299,0.161666666666667,0.136666666666667,0.10974025974026,0.261218942450626,0.0954545454545455,0.179099597203222,0.0866666666666667,0.239751425045543,0.222268907563025,0.192857142857143,0.155667789001122,-0.33287917108591,0.364058828413597,0.364058828413597,0.391409602131315,-0.39397369143717,0.195578671509292,0.173449819968676,0.173449819968676,0.173449819968676,-0.464531756168035,-0.11036377455651,-0.369029394555309,0.3657524043715,0.328532114600226,0.348609547228643,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00450471343854284,-0.119417679095098,-0.16030969030969
"PI3K",0.246917293233083,0.26462836385035,0.230115089514067,0.177941176470588,0.125,0.184064076559006,0.162902403164318,0.0666666666666667,0.142684766214178,0.0897435897435898,0.0693377728449871,0.0726611956257913,0.0628251300520208,0.120498023715415,0.268918918918919,0.25,0.2,0.0954545454545455,0.264112554112554,0.05,0.168243537655302,0.166666666666667,0.226315789473684,0.2,0.15,0.131443994601889,-0.335600970511385,0.37198703279939,0.37198703279939,0.377847850712404,-0.378797165365134,0.201667275605895,0.1751966873706,0.1751966873706,0.1751966873706,-0.451565052469763,-0.1733039025802,-0.372937062937063,0.361225109181657,0.315423728813559,0.339350109181657,0.29,0.315423728813559,0.29,0.25,0.25,0.2,0.2,0.34535679374389,-0.2,0,0.1,-0.0335256181889598,-0.107454545454545,-0.158732142857143
"ILK",0.246917293233083,0.26462836385035,0.230115089514067,0.177941176470588,0.125,0.184064076559006,0.162902403164318,0.0666666666666667,0.142684766214178,0.0897435897435898,0.0693377728449871,0.0726611956257913,0.0628251300520208,0.120498023715415,0.268918918918919,0.25,0.2,0.0954545454545455,0.264112554112554,0.05,0.168243537655302,0.166666666666667,0.226315789473684,0.2,0.15,0.131443994601889,-0.335600970511385,0.37198703279939,0.37198703279939,0.377847850712404,-0.378797165365134,0.201667275605895,0.1751966873706,0.1751966873706,0.1751966873706,-0.451565052469763,-0.1733039025802,-0.372937062937063,0.361225109181657,0.315423728813559,0.339350109181657,0.29,0.315423728813559,0.29,0.25,0.25,0.2,0.2,0.34535679374389,-0.2,0,0.1,-0.0335256181889598,-0.107454545454545,-0.158732142857143
"RAF",0.295423400129282,0.320627177700348,0.266341463414634,0.22,0.2,0.227666911225238,0.22073762506942,0.17,0.187241379310345,0.17,0.159581881533101,0.156725110893631,0.153754813863928,0.208590163934426,0.156168831168831,0.110714285714286,0.0857142857142857,0.14,0.372959861775651,0.1,0.258543536260005,0.1,0.21041181041181,0.156565656565657,0.111111111111111,0.0613968253968254,-0.332663797226208,0.372663797226208,0.372663797226208,0.624078178162041,-0.47475198852248,0.0945637695637696,0.050974025974026,0.050974025974026,0.050974025974026,-0.54300769303879,-0.164381402679275,-0.380952950808151,0.377308593661977,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,-0.1,0,0.0227081076332972,-0.184,-0.226050420168067
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.283333333333333,0,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.1,0,0.3,0.2,0.2,0.162857142857143,0,0.233333333333333,0.2,0.1,0.25,-0.3,0.375,0.375,0.36727969348659,-0.299068100358423,0.303846153846154,0.25,0.25,0.25,-0.341666666666667,-0.271794871794872,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"SNAI2",0.42524388063308,0.411319332429833,0.375493787258493,0.333613445378151,0.276470588235294,0.393614202437732,0.37146790711633,0.2,0.349019607843137,0.288235294117647,0.116169379144063,0.112087517128288,0.0934272300469483,0.365447812927988,0.36889281262983,0.326724137931034,0.275,0.301176470588235,0.447155155946255,0.26,0.401762028014479,0.2,0.41441672362725,0.376754385964912,0.332894736842105,0.323799864773496,-0.286538461538462,0.378588839941263,0.378588839941263,0.710709954072689,-0.63753975365315,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.808746439750999,-0.386470390385003,-0.386587993124707,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385743987724154,-0.335870348139256,-0.355166666666667
"cateninnuc",0.39423302016808,0.37791822873752,0.357436301026677,0.331211517165006,0.299428571428571,0.375402090942628,0.338090145240852,0.297101449275362,0.353842457915105,0.327260179434092,0.124481847142868,0.111590660705415,0.103393939393939,0.217547714104253,0.345354166666667,0.328166666666667,0.304166666666667,0.18792349726776,0.322515815627827,0.163333333333333,0.248185478563194,0.270833333333333,0.375258358118035,0.356621994481671,0.332203389830509,0.259980449657869,-0.301618152507832,0.382946233909949,0.382946233909949,0.463466666663242,-0.409945571148954,0.388710818710819,0.372717552717553,0.372717552717553,0.372717552717553,-0.493089070589633,-0.338072618838637,-0.390226954822903,0.182320547482802,0.255050909979439,0.269188117292036,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.233333333333333,-0.133333333333333,0.160606060606061,0.319944322454545,-0.204693683603163,-0.350273978296311
"RAS",0.342777777777778,0.365294117647059,0.315294117647059,0.28,0.26,0.311633986928105,0.303636363636364,0.26,0.282222222222222,0.26,0.159090909090909,0.155417439703154,0.153376623376623,0.189367816091954,0.21047619047619,0.173333333333333,0.166666666666667,0.116666666666667,0.370050505050505,0.1,0.253875968992248,0.2,0.275335397316821,0.226315789473684,0.2,0.00303030303030302,-0.356428571428571,0.398095238095238,0.398095238095238,0.569826695044086,-0.396036967418546,0.149423423423423,0.203423423423423,0.203423423423423,0.203423423423423,-0.465756091376409,-0.213642424242424,-0.407171215880893,0.404207000060554,0.335,0.37441348973607,0.275,0.334090909090909,0.275,0.2,0.2,0.1,0.1,0.347106227106227,-0.2,-0.1,0,-0.039305162350145,-0.158333333333333,-0.391461538461538
"AKT",0.266755349913245,0.285543396530088,0.26462836385035,0.230115089514067,0.177941176470588,0.209739752234681,0.182583254228148,0.0897435897435898,0.184064076559006,0.142684766214178,0.0816454651526794,0.0842401429942124,0.0726611956257913,0.135415150787238,0.184708392603129,0.268918918918919,0.25,0.107454545454545,0.284779220779221,0.0954545454545455,0.186138274497408,0.2,0.245796308954204,0.226315789473684,0.2,0.159154837975383,-0.366574421838818,0.398415604227961,0.398415604227961,0.403887238020938,-0.407950080656663,0.226146442272561,0.201667275605895,0.201667275605895,0.201667275605895,-0.480938526839169,-0.191999554754113,-0.399956561544305,0.379263346920643,0.339060092449923,0.361225109181657,0.315423728813559,0.339350109181657,0.315423728813559,0.29,0.29,0.25,0.25,0.372629521016618,-0.166666666666667,-0.05,0.2,-0.0195220275246869,-0.120498023715415,-0.179511363636364
"SOSGRB2",0.365054896794027,0.387483425024686,0.337843137254902,0.296666666666667,0.266666666666667,0.358421938421938,0.35602305836089,0.276190476190476,0.323037323037323,0.30952380952381,0.260308441558442,0.257769116129772,0.251475409836066,0.297880233174351,0.338011695906433,0.304678362573099,0.288888888888889,0.233333333333333,0.401656920077973,0.2,0.356221123815915,0.3,0.394031320791884,0.347552447552448,0.309090909090909,-0.0322222222222222,-0.362017543859649,0.400588972431078,0.400588972431078,0.642908634475919,-0.492351372650625,0.332628952967936,0.285875706214689,0.285875706214689,0.285875706214689,-0.561332466663666,-0.31551015898842,-0.410651126415904,0.398290193915603,0.330882352941176,0.368832829574518,0.275,0.329795396419437,0.273913043478261,0.2,0.2,0.1,0.1,0.34525,-0.2,-0.2,0,-0.03662961075107,-0.268468468468469,-0.381834795321637
"NFB",0.226697540000482,0.252214452214452,0.206060606060606,0.145454545454545,0.1,0.209264069264069,0.143725159945803,0.1,0.161212121212121,0.106666666666667,0.0660714285714286,0.0687370600414079,0.0619047619047619,0.124642740771773,0.184166666666667,0.155,0.105,0.0873015873015873,0.270188405797101,0.0428571428571429,0.168710506424792,0.18,0.238672438672439,0.201010101010101,0.145454545454545,0.13469387755102,-0.361318681318681,0.404956162117453,0.404956162117453,0.408251800257568,-0.408643203847803,0.209087341122483,0.177595628415301,0.177595628415301,0.177595628415301,-0.481768737294519,-0.127239545121057,-0.410714799749581,0.398727067523802,0.348511286525412,0.374733508747634,0.318390804597701,0.348511286525412,0.318390804597701,0.266666666666667,0.266666666666667,0.2,0.2,0.375625,-0.2,0,0.1,0.0342184680990651,-0.108513708513709,-0.154008552423187
"MEK",0.336864841570724,0.363692871131005,0.320627177700348,0.266341463414634,0.22,0.174333577891905,0.246378650710445,0.17,0.227666911225238,0.187241379310345,0.163218245169465,0.16561399978252,0.156725110893631,0.227544412300439,0.185580595874714,0.156168831168831,0.110714285714286,0.184,0.406794448241817,0.14,0.279035339538693,0.0857142857142857,0.247638087784073,0.21041181041181,0.156565656565657,0.0917339040485108,-0.369918699186992,0.410759035321446,0.410759035321446,0.658797004567909,-0.512175301405916,0.129801864801865,0.0945637695637696,0.0945637695637696,0.0945637695637696,-0.584399634430731,-0.192145530443403,-0.419033446164188,0.400184410655441,0.352867132867133,0.377308593661977,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379613791006196,-0.1,-0.1,0.1,0.0427081076332972,-0.208590163934426,-0.257629367536488
"CD44",0.372596153846154,0.365079365079365,0.342857142857143,0.3,0.2,0.415,0.373019670388091,0.3,0.385,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.177272727272727,0.26,0.266666666666667,0.2,0.15,0.333257918552036,0.1,0.188531468531469,0.2,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,-0.277777777777778,0.420634920634921,0.420634920634921,0.436245404080456,-0.143809523809524,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,-0.280954110457742,-0.223809523809524,-0.431699604743083,0.131436531007752,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.159085452362763,-0.15,-0.423703703703704
"Csn",0.253585757523141,0.27975068409851,0.252214452214452,0.206060606060606,0.145454545454545,0.244680735930736,0.164599911436857,0.106666666666667,0.209264069264069,0.161212121212121,0.0753737541528239,0.082139121897078,0.0687370600414079,0.139396839132429,0.205766666666667,0.184166666666667,0.155,0.108513708513709,0.294818947669023,0.0873015873015873,0.186845221450699,0.105,0.263672438672439,0.238672438672439,0.201010101010101,0.171446014303157,-0.399880772821949,0.437214226633582,0.437214226633582,0.437943011658994,-0.442082441337874,0.237302312331696,0.209087341122483,0.209087341122483,0.209087341122483,-0.516448072211384,-0.149229914302437,-0.445018334053115,0.419570441017778,0.37427547866515,0.398727067523802,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,-0.18,-0.0428571428571429,0.2,0.0503728173469395,-0.124642740771773,-0.180116926807423
