"","TGF","FOXC2","TGFR","SNAI2","CDC42","MEK","RAS","PAK1","TWIST1","SNAI1","RAF","PI3K","DELTA","ERK","cfos","NOTCH","Jagged","cateninnuc","NOTCHic","TCFLEF","AKT","SHH","EGR1","AXIN2","GLI","Csl","IKK","CD44","HEY1","SOSGRB2","Wnt","NFB","SMO","SMAD","cMet","ILK","FUS","Frizzled","SRC","Csn","Destcompl","DSH","STAT","ZEB2","ZEB1","LIV1","KLF4","miR200","TrCP","SUFU","Patched","GSK3","cateninmemb","RKIP","Ecadherin"
"Destcompl",0.0242140062697148,0.0558296994857857,0.0282855057731905,-0.23676380202131,0.0272273047149894,0.051446829952358,-0.000246877019252946,0.0210204081632653,-0.0421687422439505,0.0940286225934446,0.00150193061190763,0.00150193061190763,0.00150193061190763,0.0529267453857618,0.0534731934731935,-0.0612642656263469,-0.188013832510076,-0.190741328822837,-0.0566178009798822,-0.19003285335708,0.0446277446277446,-0.120976778553006,0.0625641025641026,-0.241789184312022,-0.189494451262971,-0.0549784567175871,0.0496782496782497,-0.18883987090094,0.00964317733548503,-0.0618962041309292,-0.186268644811358,0.0523809523809524,-0.111877394636015,0.0137635756056809,-0.185786435786436,0.0134126984126984,-0.111877394636015,-0.181746031746032,-0.181746031746032,0.0523809523809524,-0.0221260261444781,-0.181746031746032,-0.181746031746032,0.191891294535535,0.191891294535535,-0.188888888888889,-0.188888888888889,-0.20361464683165,-0.0666666666666667,0.122222222222222,0.117085727969349,-0.0870519739246148,0.221444812058025,-0.121302327657544,0.061722418187929
"AXIN2",0.0641992564953553,0.110336716486772,0.0638681306675407,-0.279076203974273,0.0647530864197531,0.111846180853043,0.0657222210887997,0.0783333333333333,-0.0382255014112182,0.15442716339438,0.0692889317889318,0.0692889317889318,0.0692889317889318,0.117363422232353,0.131382113821138,-0.0540069453294253,-0.221386008759991,-0.243557530907954,-0.052312030075188,-0.241789184312022,0.101497584541063,-0.153776267592057,0.153333333333333,0.18046217376427,-0.239352624087897,-0.0505263157894737,0.104830917874396,-0.2390412751125,0.0187481889307447,-0.0772774023545412,-0.23680485338726,0.109178743961353,-0.152930402930403,0.0181159420289855,-0.23680485338726,0.0220841959972395,-0.157692307692308,-0.237674418604651,-0.237674418604651,0.122222222222222,0.158227216597057,-0.24,-0.24,0.245175501457021,0.245175501457021,-0.233333333333333,-0.233333333333333,-0.2593606087525,-0.133333333333333,0.15,0.151144688644689,-0.169614710085325,0.255021304295907,-0.178657587931781,0.0721583734898522
"Wnt",0.203188405797101,0.176356275303644,0.146666666666667,0.337063194917177,0.1,0.119607843137255,0.149029550620738,0.1,0.221659125188537,0.104658385093168,0.118796992481203,0.118796992481203,0.118796992481203,0.0666666666666667,0.0666666666666667,0.192857142857143,0.150638836179633,0.321296296296296,0.142857142857143,0.301851851851852,0.136666666666667,0.10974025974026,0.1,0.30846394984326,0.283333333333333,0.1,0.0866666666666667,0.283333333333333,0.0656410256410257,0.0939393939393939,0.25,0.0666666666666667,0.05,0.0566487775790101,0.25,0.058974358974359,0,0.3,0.2,0.1,-0.0267690058479532,0.2,0.1,0.304208512673362,0.304208512673362,0,0,-0.306262626262626,-0.1,0,-0.0954545454545455,-0.0715709728867624,-0.327199248120301,-0.12,-0.396033688225012
"Frizzled",0.239110735894189,0.212826863538938,0.203188405797101,0.363860580538092,0.146666666666667,0.164052287581699,0.169997292556222,0.1,0.2420474747031,0.117561610899619,0.149029550620738,0.149029550620738,0.149029550620738,0.119607843137255,0.0666666666666667,0.220857142857143,0.159917186695097,0.341196793808734,0.192857142857143,0.321296296296296,0.161666666666667,0.117936981051735,0.0666666666666667,0.336174793216754,0.301851851851852,0.142857142857143,0.136666666666667,0.301851851851852,0.0635133660665576,0.127272727272727,0.283333333333333,0.0866666666666667,0.0954545454545455,0.0631908336537765,0.283333333333333,0.0566487775790101,0.05,0.25,0.25,0.0666666666666667,-0.0127964031082272,0.3,0.2,0.338861978019897,0.338861978019897,0.1,0.1,-0.342200126262626,-0.1,0,-0.10974025974026,-0.0900894914052809,-0.358971823371137,-0.141428571428571,-0.430362046433967
"HEY1",0.373652623798965,0.390184513006655,0.340969696969697,0.464749561875156,0.307636363636364,0.364959479574398,0.400897435897436,0.263636363636364,0.412614379084967,0.33671420000923,0.375897435897436,0.375897435897436,0.375897435897436,0.328877005347594,0.281818181818182,0.376317269274404,0.354196538094589,0.394419398634258,0.342296650717703,0.375826433810137,0.33989417989418,0.324798387096774,0.2,0.40259545543053,0.353897196408636,0.305454545454545,0.302857142857143,0.353267511251214,0.111306340718105,0.28138936535163,0.326310989512084,0.26,0.266666666666667,0.105159420289855,0.326310989512084,0.0906666666666667,0.233333333333333,0.296078431372549,0.296078431372549,0.2,0.341774069437728,0.266666666666667,0.266666666666667,0.354514963880289,0.354514963880289,0.233333333333333,0.233333333333333,-0.362568172568173,-0.1,-0.2,-0.297916666666667,-0.348106210167198,-0.591376519234775,-0.328674500103071,-0.670681635071879
"FOXC2",0.373652623798965,0.390184513006655,0.340969696969697,0.464749561875156,0.307636363636364,0.364959479574398,0.400897435897436,0.263636363636364,0.412614379084967,0.33671420000923,0.375897435897436,0.375897435897436,0.375897435897436,0.328877005347594,0.281818181818182,0.376317269274404,0.354196538094589,0.394419398634258,0.342296650717703,0.375826433810137,0.33989417989418,0.324798387096774,0.2,0.40259545543053,0.353897196408636,0.305454545454545,0.302857142857143,0.353267511251214,0.111306340718105,0.28138936535163,0.326310989512084,0.26,0.266666666666667,0.105159420289855,0.326310989512084,0.0906666666666667,0.233333333333333,0.296078431372549,0.296078431372549,0.2,0.341774069437728,0.266666666666667,0.266666666666667,0.354514963880289,0.354514963880289,0.233333333333333,0.233333333333333,-0.362568172568173,-0.1,-0.2,-0.297916666666667,-0.348106210167198,-0.591376519234775,-0.328674500103071,-0.670681635071879
"DSH",0.255836714541876,0.229126423010303,0.239110735894189,0.387048986335194,0.203188405797101,0.191325014854427,0.191034756533167,0.146666666666667,0.258530991186617,0.13226749325256,0.169997292556222,0.169997292556222,0.169997292556222,0.164052287581699,0.119607843137255,0.236571428571429,0.173861409802667,0.358237992310607,0.220857142857143,0.341196793808734,0.17562015503876,0.128495987262915,0.0666666666666667,0.358641753569177,0.321029934043633,0.192857142857143,0.161666666666667,0.321296296296296,0.072285295891119,0.155667789001122,0.301851851851852,0.136666666666667,0.10974025974026,0.0763983808235878,0.301851851851852,0.0631908336537765,0.0954545454545455,0.283333333333333,0.283333333333333,0.0866666666666667,-0.00054343868134971,0.25,0.25,0.363465152623071,0.363465152623071,0.2,0.2,-0.368580494360786,-0.0666666666666667,-0.05,-0.117936981051735,-0.106557271834875,-0.386086251231833,-0.159159067882472,-0.456440845683498
"RAF",0.320890075656431,0.296006483937518,0.267619047619048,0.622210884353742,0.22,0.227666911225238,0.0935827216261999,0.2,0.372963412168991,0.22073762506942,0.050974025974026,0.050974025974026,0.050974025974026,0.187241379310345,0.17,0.21041181041181,0.256983805668016,0.371723560107999,0.156565656565657,0.346855835240275,0.156168831168831,0.208590163934426,0.17,0.336219336219336,0.318,0.111111111111111,0.110714285714286,0.316421052631579,0.159581881533101,0.0613968253968254,0.27,0.0857142857142857,0.14,0.156725110893631,0.268421052631579,0.153754813863928,0.1,0.2,0.2,0.1,0.0201145060901158,0.1,0.1,0.372663797226208,0.372663797226208,0,0,-0.380952950808151,-0.1,-0.1,-0.184,-0.163442579269917,-0.469809710863546,-0.226050420168067,-0.538244121469928
"SHH",0.44,0.35,0.4,0.36727969348659,0.3,0.3,0.303846153846154,0.2,0.2,0.283333333333333,0.25,0.25,0.25,0.2,0.1,0.233333333333333,0.162857142857143,0.23952380952381,0.2,0.196666666666667,0.15,0.253333333333333,0,0.276190476190476,0.25,0.1,0.1,0.15,0.0666666666666667,0.25,0.2,0,0.3,0.1,0.1,0.0666666666666667,0.2,0.2,0.1,0,0.272987012987013,0.2,0.1,0.375,0.375,0,0,-0.383333333333333,0,-0.2,-0.333333333333333,-0.271794871794872,-0.297777777777778,-0.26,-0.339047619047619
"PI3K",0.2727841516772,0.254423679301728,0.233941176470588,0.392122787071626,0.177941176470588,0.192441566790651,0.213581656438799,0.125,0.27452380952381,0.172165974915516,0.184910327767471,0.184910327767471,0.184910327767471,0.148179271708683,0.0952380952380952,0.23499369482976,0.179850106034317,0.375710863035341,0.203846153846154,0.352700110347169,0.276018099547511,0.130877573131094,0.0666666666666667,0.355690317364059,0.327994227994228,0.15,0.252941176470588,0.327994227994228,0.0747923182995325,0.163461538461538,0.301010101010101,0.2,0.1,0.0798917967186875,0.301010101010101,0.0694917967186875,0.05,0.255555555555556,0.255555555555556,0.166666666666667,-0.0229222314328697,0.2,0.2,0.375508463573364,0.375508463573364,0.1,0.1,-0.376039526859199,-0.2,0,-0.115384615384615,-0.182515853322305,-0.391422509636039,-0.165481577246283,-0.467409381353211
"ILK",0.2727841516772,0.254423679301728,0.233941176470588,0.392122787071626,0.177941176470588,0.192441566790651,0.213581656438799,0.125,0.27452380952381,0.172165974915516,0.184910327767471,0.184910327767471,0.184910327767471,0.148179271708683,0.0952380952380952,0.23499369482976,0.179850106034317,0.375710863035341,0.203846153846154,0.352700110347169,0.276018099547511,0.130877573131094,0.0666666666666667,0.355690317364059,0.327994227994228,0.15,0.252941176470588,0.327994227994228,0.0747923182995325,0.163461538461538,0.301010101010101,0.2,0.1,0.0798917967186875,0.301010101010101,0.0694917967186875,0.05,0.255555555555556,0.255555555555556,0.166666666666667,-0.0229222314328697,0.2,0.2,0.375508463573364,0.375508463573364,0.1,0.1,-0.376039526859199,-0.2,0,-0.115384615384615,-0.182515853322305,-0.391422509636039,-0.165481577246283,-0.467409381353211
"SNAI2",0.41151863197899,0.425495673461765,0.375493787258493,0.710642286405021,0.333613445378151,0.393614202437732,0.442051352058506,0.276470588235294,0.448322008191805,0.37146790711633,0.412827607766268,0.412827607766268,0.412827607766268,0.349019607843137,0.288235294117647,0.41441672362725,0.401762028014479,0.448679271558879,0.376754385964912,0.427647215264899,0.36889281262983,0.365447812927988,0.2,0.447100565604419,0.402974962071897,0.332894736842105,0.326724137931034,0.40259545543053,0.116169379144063,0.323799864773496,0.373563197366014,0.275,0.301176470588235,0.112087517128288,0.373563197366014,0.0934272300469483,0.26,0.341168831168831,0.341168831168831,0.2,0.385614821833258,0.305454545454545,0.305454545454545,0.378588839941263,0.378588839941263,0.26,0.26,-0.386587993124707,-0.1,-0.2,-0.335870348139256,-0.386470390385003,-0.636591945479751,-0.355166666666667,-0.806694459096472
"cateninnuc",0.37834848394195,0.394989590318357,0.358173045345459,0.462482173486271,0.331736263736264,0.375402090942628,0.387843974690117,0.299428571428571,0.324016395603106,0.337770422100012,0.372348631760396,0.372348631760396,0.372348631760396,0.353842457915105,0.327260179434092,0.37488683466432,0.247012746319035,0.179673566793825,0.356621994481671,0.266955502640758,0.345354166666667,0.21716633130557,0.297101449275362,0.394419398634258,0.253350573086444,0.332203389830509,0.328166666666667,0.252387976085371,0.124481847142868,0.260300632619561,0.237182908415785,0.304166666666667,0.18792349726776,0.111715903923271,0.236155511155511,0.103393939393939,0.163333333333333,0.217402688635565,0.216375291375291,0.270833333333333,0.31871673787201,0.191375291375291,0.191375291375291,0.382946233909949,0.382946233909949,0.160606060606061,0.160606060606061,-0.390226954822903,-0.233333333333333,-0.133333333333333,-0.204693683603163,-0.337358222388027,-0.406586962580009,-0.350273978296311,-0.488340438989168
"RAS",0.367769365171811,0.345396825396825,0.315294117647059,0.574849037778142,0.28,0.315727554179567,0.153213841175006,0.26,0.374739454094293,0.306489675516224,0.205641025641026,0.205641025641026,0.205641025641026,0.286315789473684,0.26,0.277259185700099,0.257934609250399,0.405153722774219,0.226315789473684,0.376540153452685,0.212222222222222,0.192870056497175,0.26,0.349465240641711,0.338172715894869,0.2,0.173333333333333,0.337340153452685,0.161857707509881,0.0125541125541125,0.276470588235294,0.166666666666667,0.116666666666667,0.158750773036487,0.276470588235294,0.156709956709957,0.1,0.2,0.2,0.2,-0.036004478156856,0.1,0.1,0.398696612665685,0.398696612665685,0,0,-0.407661538461538,-0.2,-0.1,-0.160666666666667,-0.216493055555556,-0.396521132376396,-0.392622641509434,-0.466717402384712
"SOSGRB2",0.39267243394903,0.370573870573871,0.343736263736264,0.643836955198141,0.301428571428571,0.359400959400959,0.332628952967936,0.271428571428571,0.403196078431373,0.356393745557925,0.285875706214689,0.285875706214689,0.285875706214689,0.323037323037323,0.30952380952381,0.394031320791884,0.356221123815915,0.39560982579539,0.347552447552448,0.367180402336145,0.338011695906433,0.298701026608003,0.276190476190476,0.344886363636364,0.330223880597015,0.309090909090909,0.304678362573099,0.329136924075276,0.261647727272727,-0.0272222222222222,0.275,0.288888888888889,0.233333333333333,0.259196932100158,0.273913043478261,0.252903225806452,0.2,0.2,0.2,0.3,-0.0376651316286852,0.1,0.1,0.400588972431078,0.400588972431078,0,0,-0.410651126415904,-0.2,-0.2,-0.268468468468469,-0.315163507989595,-0.490150433209559,-0.381834795321637,-0.559243599557906
"AKT",0.295861074754123,0.276561083881881,0.2727841516772,0.419773514722353,0.233941176470588,0.221103987172816,0.239507582364725,0.177941176470588,0.297165318957772,0.19348577186983,0.213581656438799,0.213581656438799,0.213581656438799,0.192441566790651,0.148179271708683,0.256732825264543,0.198494173830927,0.394808365049846,0.23499369482976,0.375710863035341,0.194385446486287,0.146835019939605,0.0952380952380952,0.38452926867492,0.352412832645391,0.203846153846154,0.276018099547511,0.352700110347169,0.0875742731867506,0.19604580812446,0.327994227994228,0.252941176470588,0.115384615384615,0.0923497091765999,0.327994227994228,0.0798917967186875,0.1,0.301010101010101,0.301010101010101,0.2,-0.00831932793158879,0.255555555555556,0.255555555555556,0.404473980814744,0.404473980814744,0.2,0.2,-0.405609419332317,-0.166666666666667,-0.05,-0.130877573131094,-0.202350564066107,-0.422538389464365,-0.188752017497855,-0.498644248181298
"MEK",0.363112297878653,0.336915574846609,0.320890075656431,0.655794844253491,0.267619047619048,0.174333577891905,0.127348955392434,0.22,0.404306695751081,0.245412949744744,0.0935827216261999,0.0935827216261999,0.0935827216261999,0.227666911225238,0.187241379310345,0.246708106708107,0.275812257550861,0.394204180263038,0.21041181041181,0.371723560107999,0.185580595874714,0.226470958636413,0.17,0.376684452498406,0.348434782608696,0.156565656565657,0.156168831168831,0.346855835240275,0.163218245169465,0.0925079365079365,0.318,0.110714285714286,0.184,0.165950203144554,0.316421052631579,0.156725110893631,0.14,0.27,0.268421052631579,0.0857142857142857,0.0390392372729115,0.2,0.2,0.410759035321446,0.410759035321446,0.1,0.1,-0.419033446164188,-0.1,-0.1,-0.208590163934426,-0.189942579269917,-0.506557470146516,-0.257629367536488,-0.578727213257368
"CD44",0.372222222222222,0.37875,0.35,0.438744113029827,0.3,0.415,0.203809523809524,0.2,0.351941391941392,0.373019670388091,0.166666666666667,0.166666666666667,0.166666666666667,0.385,0.325,0.24812030075188,0.188531468531469,0.12968253968254,0.242857142857143,0.0852380952380952,0.26,0.177272727272727,0.3,-0.02,0.0233333333333333,0.2,0.266666666666667,0.0233333333333333,0.204093567251462,-0.00238095238095239,-0.05,0.2,0.15,0.197619047619048,0.05,0.183333333333333,0.1,-0.1,0,0.2,-0.159716632669938,0,0.1,0.420634920634921,0.420634920634921,0.1,0.1,-0.431699604743083,-0.1,-0.1,-0.15,-0.223809523809524,-0.142470588235294,-0.423703703703704,-0.278157640907187
"IKK",0.529191919191919,0.497806637806638,0.469191919191919,0.658772833449589,0.405555555555556,0.252190476190476,0.379834067928442,0.35,0.532150216018611,0.293560927339553,0.334119782214156,0.334119782214156,0.334119782214156,0.178857142857143,0.142857142857143,0.362914862914863,0.285980861244019,0.435403416778134,0.307359307359307,0.406272981995525,0.321042471042471,0.2557343550447,0.1,0.402170596393897,0.374481074481074,0.245454545454545,0.264285714285714,0.374481074481074,0.181940144478844,0.301890756302521,0.331623931623932,0.314285714285714,0.18,0.18578795379538,0.331623931623932,0.172916666666667,0.12,0.277777777777778,0.277777777777778,0.3,0.137349086841173,0.2,0.2,0.425418546365915,0.425418546365915,0.1,0.1,-0.428840579710145,-0.2,-0.1,-0.228148148148148,-0.223760683760684,-0.565648843930636,-0.277322404371585,-0.680636108076486
"Csn",0.27620114222628,0.250946634879883,0.251385417410555,0.432017150440681,0.206648575305292,0.244000911369332,0.231542298923756,0.145454545454545,0.289904482676172,0.161246957922673,0.204849071832123,0.204849071832123,0.204849071832123,0.209264069264069,0.161212121212121,0.259782378237824,0.180279098817973,0.409958943396251,0.237010101010101,0.389524716065472,0.204491869918699,0.136132756132756,0.106666666666667,0.400185770281777,0.365471167369902,0.201010101010101,0.184166666666667,0.36592539518262,0.0753737541528239,0.170900774102745,0.341397093295827,0.155,0.108513708513709,0.0823617387046469,0.341397093295827,0.0687370600414079,0.0873015873015873,0.314814814814815,0.314814814814815,0.105,0.0435332018468015,0.266666666666667,0.266666666666667,0.436477901247887,0.436477901247887,0.2,0.2,-0.444467420294654,-0.18,-0.0428571428571429,-0.122799422799423,-0.144257761612979,-0.432566620981004,-0.178631668001076,-0.50649630329039
