"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","ERK","EGR1","cfos","HEY1","SMAD","ILK","SHH","TWIST1","AKT","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","ZEB2","ZEB1","SNAI2","KLF4","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Frizzled",0.201829573934837,0.231082357055429,0.196345514950166,0.142857142857143,0.1,0.0989473684210526,0.158974358974359,0.116666666666667,0.0666666666666667,0.0666666666666667,0.0634188034188034,0.0625353345841151,0.0565353345841151,0.11974025974026,0.236956049918611,0.161666666666667,0.136666666666667,0.0866666666666667,0.0954545454545455,0.05,0.164600010107136,0.0666666666666667,0.222268907563025,0.192857142857143,0.142857142857143,0.125189393939394,0.325512517248177,0.325512517248177,0.366830462564245,-0.291666666666667,-0.364868268193511,0.173449819968676,0.150615174299385,0.150615174299385,0.150615174299385,-0.432891984266491,-0.0929623824451411,-0.32906776745786,0.347111256401874,0.308270676691729,0.328270676691729,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00842399377590268,-0.10974025974026,-0.124978354978355
"DSH",0.216681059083352,0.247361426822871,0.231082357055429,0.196345514950166,0.142857142857143,0.113840985442329,0.184780810587262,0.158974358974359,0.0666666666666667,0.116666666666667,0.0718300183720745,0.0756155033604864,0.0625353345841151,0.131278721278721,0.253109896072457,0.176960784313725,0.161666666666667,0.136666666666667,0.10974025974026,0.0954545454545455,0.179000010107136,0.0866666666666667,0.239999404016926,0.222268907563025,0.192857142857143,0.153394522144522,0.346973704462788,0.346973704462788,0.389449510183293,-0.319139194139194,-0.390839141979919,0.195139960813747,0.173449819968676,0.173449819968676,0.173449819968676,-0.458521061619706,-0.109978699461458,-0.352035965337719,0.363063854396405,0.328007518796992,0.347111256401874,0.308270676691729,0.328270676691729,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364264402001887,-0.0666666666666667,-0.05,0.2,0.00377581410113862,-0.11974025974026,-0.140680834317198
"HEY1",0.383854691137459,0.365735675291311,0.332787698412698,0.298412698412698,0.255555555555556,0.344116379070879,0.363137254901961,0.326666666666667,0.2,0.28,0.14,0.132219140083218,0.115714285714286,0.333939393939394,0.395480225988701,0.346143931256713,0.307368421052632,0.26,0.273333333333333,0.233333333333333,0.354907161803714,0.2,0.378409368409368,0.344343434343434,0.305454545454545,0.271146616541353,0.355454545454545,0.355454545454545,0.455779724508197,-0.243589743589744,-0.58079445277697,0.397440733192866,0.374539969834087,0.374539969834087,0.374539969834087,-0.660223187927768,-0.34536831712604,-0.363407573772537,0.385256679073951,0.348974184268302,0.36814437960871,0.324649859943978,0.348286223580341,0.324649859943978,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.399264069264069,-0.1,-0.2,0.233333333333333,0.337789810479814,-0.306666666666667,-0.339481481481481
"FOXC2",0.383854691137459,0.365735675291311,0.332787698412698,0.298412698412698,0.255555555555556,0.344116379070879,0.363137254901961,0.326666666666667,0.2,0.28,0.14,0.132219140083218,0.115714285714286,0.333939393939394,0.395480225988701,0.346143931256713,0.307368421052632,0.26,0.273333333333333,0.233333333333333,0.354907161803714,0.2,0.378409368409368,0.344343434343434,0.305454545454545,0.271146616541353,0.355454545454545,0.355454545454545,0.455779724508197,-0.243589743589744,-0.58079445277697,0.397440733192866,0.374539969834087,0.374539969834087,0.374539969834087,-0.660223187927768,-0.34536831712604,-0.363407573772537,0.385256679073951,0.348974184268302,0.36814437960871,0.324649859943978,0.348286223580341,0.324649859943978,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.399264069264069,-0.1,-0.2,0.233333333333333,0.337789810479814,-0.306666666666667,-0.339481481481481
"FUS",0.378627450980392,0.45648033126294,0.424306418219462,0.389523809523809,0.342857142857143,0.335724374495561,0.343142857142857,0.311,0.2,0.275,0.222222222222222,0.218132716049383,0.202083333333333,0.398997493734336,0.289508196721311,0.33,0.296666666666667,0.25,0.342857142857143,0.3,0.252488687782805,0.2,0.362353164077302,0.331318681318681,0.292857142857143,0.299457013574661,0.357220966683677,0.357220966683677,0.421205956577403,-0.262023460410557,-0.360708133382552,0.372134022321707,0.351175938489371,0.351175938489371,0.351175938489371,-0.442879776050508,-0.322424805209615,-0.365258574593232,0.253265558813946,0.320694063926941,0.234717171717172,0.294666666666667,0.213606060606061,0.188606060606061,0.266666666666667,0.160606060606061,0.233333333333333,0.133333333333333,0.350965649417662,-0.1,-0.4,0.1,0.291338347545591,-0.376190476190476,-0.342209690893901
"PI3K",0.244605896764383,0.265691489361702,0.228191489361702,0.175,0.125,0.151204481792717,0.187610976594027,0.145238095238095,0.0666666666666667,0.0952380952380952,0.0748663101604278,0.0797481314920487,0.069578639966625,0.132527472527473,0.269692124637466,0.276018099547511,0.252941176470588,0.2,0.1,0.05,0.183558897243108,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.161538461538462,0.363948306595365,0.363948306595365,0.394197943769505,-0.329444444444444,-0.395409143296197,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.468343402225755,-0.18481240981241,-0.365226306873904,0.379950616335748,0.332612411742847,0.357612411742846,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0194438737072803,-0.115384615384615,-0.149414850686037
"ILK",0.244605896764383,0.265691489361702,0.228191489361702,0.175,0.125,0.151204481792717,0.187610976594027,0.145238095238095,0.0666666666666667,0.0952380952380952,0.0748663101604278,0.0797481314920487,0.069578639966625,0.132527472527473,0.269692124637466,0.276018099547511,0.252941176470588,0.2,0.1,0.05,0.183558897243108,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.161538461538462,0.363948306595365,0.363948306595365,0.394197943769505,-0.329444444444444,-0.395409143296197,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.468343402225755,-0.18481240981241,-0.365226306873904,0.379950616335748,0.332612411742847,0.357612411742846,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0194438737072803,-0.115384615384615,-0.149414850686037
"RAF",0.287290222807721,0.314494949494949,0.265,0.22,0.2,0.199030519145854,0.225019157088123,0.187241379310345,0.17,0.17,0.159581881533101,0.156847597369083,0.153754813863928,0.208590163934426,0.368114784113985,0.156168831168831,0.110714285714286,0.0857142857142857,0.14,0.1,0.258543536260005,0.1,0.21041181041181,0.156565656565657,0.111111111111111,0.0613968253968254,0.364194373401534,0.364194373401534,0.624003738443098,-0.329411764705882,-0.47456648377701,0.0945637695637696,0.050974025974026,0.050974025974026,0.050974025974026,-0.541231784702765,-0.164381402679275,-0.373338426279603,0.377119387544748,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,-0.1,0,0.0227081076332972,-0.184,-0.212669552669553
"SNAI2",0.417396845318335,0.403157838893133,0.367128427128427,0.325714285714286,0.271428571428571,0.375341166769738,0.391282051282051,0.346666666666667,0.2,0.286666666666667,0.149783281733746,0.144522019334049,0.123469387755102,0.375854341736695,0.434125846370649,0.375292397660819,0.330555555555556,0.275,0.306666666666667,0.26,0.403798795818447,0.2,0.416705446680212,0.378349282296651,0.332894736842105,0.317482517482517,0.37677992936305,0.37677992936305,0.703711712816038,-0.25936974789916,-0.628220022569355,0.439748413627984,0.412048883111552,0.412048883111552,0.412048883111552,-0.79855568119906,-0.384566705809126,-0.384507936507937,0.4409484454939,0.399669225801823,0.421774891774892,0.372597402597403,0.399264069264069,0.372597402597403,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.444967455297802,-0.1,-0.2,0.26,0.382623781027297,-0.344761904761905,-0.361400685946564
"cateninnuc",0.389559169558397,0.370063984657349,0.352354264284512,0.329009316549321,0.296899224806202,0.342101313217639,0.37275670995671,0.353290043290043,0.296666666666667,0.327575757575758,0.149663634578889,0.133355447591325,0.124102778552179,0.225850962412371,0.303286645307922,0.348917748917749,0.332251082251082,0.30952380952381,0.196268907563025,0.172268907563025,0.245404019948857,0.276190476190476,0.372370629370629,0.355370629370629,0.333575757575758,0.240047021943574,0.384674484840969,0.384674484840969,0.448475582743407,-0.285805675805676,-0.391771411186183,0.379926736422412,0.365538247213779,0.365538247213779,0.365538247213779,-0.47309273041248,-0.330855894327214,-0.393445159473444,0.16765349283367,0.243171666890575,0.255834754315605,0.227787051505959,0.242086800142119,0.226636156365294,0.210345191040843,0.209194295900178,0.188606060606061,0.188606060606061,0.385256679073951,-0.233333333333333,-0.142857142857143,0.160606060606061,0.311875511574932,-0.213057228730908,-0.359786400055256
"AKT",0.264433482971279,0.287577011247224,0.265691489361702,0.228191489361702,0.175,0.17230539922391,0.214638003621055,0.187610976594027,0.0952380952380952,0.145238095238095,0.0875647228588405,0.0921076820538464,0.0797481314920487,0.149467363237855,0.291286809022848,0.195605728413491,0.276018099547511,0.252941176470588,0.115384615384615,0.1,0.202606516290727,0.2,0.25956100848574,0.236104218362283,0.203846153846154,0.194096601073345,0.389345131992191,0.389345131992191,0.421377430948993,-0.358290598290598,-0.425670923400909,0.242745688333801,0.21635343651782,0.21635343651782,0.21635343651782,-0.499057115136742,-0.205055324792167,-0.390922901301149,0.398253837074162,0.357331512866442,0.379950616335748,0.332612411742847,0.357612411742846,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388662525879917,-0.166666666666667,-0.05,0.2,-0.00480161081210563,-0.132527472527473,-0.169414850686037
"RAS",0.339552839613948,0.363333333333333,0.313333333333333,0.28,0.26,0.29058622165169,0.314315789473684,0.286315789473684,0.26,0.26,0.161857707509881,0.15879329004329,0.156709956709957,0.192870056497175,0.371812865497076,0.212222222222222,0.173333333333333,0.166666666666667,0.116666666666667,0.1,0.258624088310664,0.2,0.277259185700099,0.226315789473684,0.2,0.0125541125541125,0.393892339544513,0.393892339544513,0.576157244817039,-0.354761904761905,-0.400227380597592,0.153717948717949,0.205641025641026,0.205641025641026,0.205641025641026,-0.470048011507772,-0.216989664082687,-0.403389355742297,0.409824813796967,0.338970588235294,0.37971117743333,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0340659026705538,-0.160666666666667,-0.38469387755102
"SOSGRB2",0.362772240679217,0.386883116883117,0.341428571428571,0.301428571428571,0.271428571428571,0.33701690821256,0.357412323037323,0.323037323037323,0.276190476190476,0.30952380952381,0.261647727272727,0.259378045950337,0.252903225806452,0.298701026608003,0.399064885496183,0.338011695906433,0.304678362573099,0.288888888888889,0.233333333333333,0.2,0.357215265481102,0.3,0.394031320791884,0.347552447552448,0.309090909090909,-0.0272222222222222,0.394199629886653,0.394199629886653,0.645185136153225,-0.359848484848485,-0.49394532627866,0.333311603650587,0.285875706214689,0.285875706214689,0.285875706214689,-0.562008932615408,-0.31585308255715,-0.405015189174261,0.400185262455145,0.331521739130435,0.370434782608696,0.275,0.330434782608696,0.273913043478261,0.2,0.2,0.1,0.1,0.345606435643564,-0.2,-0.2,0,-0.0356106235300866,-0.268468468468469,-0.371111111111111
"MEK",0.324024916685272,0.354011078527208,0.314494949494949,0.265,0.22,0.220124269145854,0.16887880621093,0.225019157088123,0.17,0.187241379310345,0.163355466438761,0.165938506459992,0.156847597369083,0.228053251182748,0.397759052888689,0.185580595874714,0.156168831168831,0.110714285714286,0.184,0.14,0.279376869593338,0.0857142857142857,0.247638087784073,0.21041181041181,0.156565656565657,0.0909422799422799,0.396626805833967,0.396626805833967,0.657993886226349,-0.361326658322904,-0.511042910576018,0.129801864801865,0.0945637695637696,0.0945637695637696,0.0945637695637696,-0.58046987994086,-0.192145530443403,-0.405742607464272,0.399153285849832,0.352867132867133,0.377119387544748,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379613791006196,-0.1,-0.1,0.1,0.0426242501909492,-0.208590163934426,-0.238427128427128
"TCFLEF",0.422096185737977,0.398435552277337,0.374670846394984,0.354670846394984,0.323636363636364,0.348877568347767,0.521566080977846,0.500656990068755,0.44,0.481176470588235,0.298907026925603,0.299736324219286,0.290487769305991,0.320578561732332,0.314955882352941,0.334356651417456,0.317455242966752,0.304411764705882,0.278333333333333,0.258333333333333,0.27038165120835,0.275,0.385891785165832,0.365202129993419,0.349412656309208,0.0221680131775041,0.409095591933669,0.409095591933669,0.416228317272053,-0.273933209647495,-0.364307004176069,0.365917035883396,0.346186850385926,0.346186850385926,0.346186850385926,-0.56830691265787,-0.324824913165657,-0.420548604480437,0.149735992486119,0.216792770071459,0.132272015540874,0.18974358974359,0.209779614325069,0.183333333333333,0.163076923076923,0.156666666666667,0.143076923076923,0.136666666666667,0.548273497880828,-0.2,-0.233333333333333,0.12,0.282986689850929,-0.297434456928839,-0.357547540179119
"IKK",0.483267740011926,0.519058392587804,0.461915535444947,0.402941176470588,0.35,0.267350901525659,0.246922183507549,0.176190476190476,0.1,0.142857142857143,0.182675438596491,0.186666666666667,0.173333333333333,0.256719576719577,0.524115578993628,0.321042471042471,0.264285714285714,0.314285714285714,0.18,0.12,0.288086124401914,0.3,0.362914862914863,0.307359307359307,0.245454545454545,0.300108225108225,0.409584533113945,0.409584533113945,0.65910450840813,-0.352187028657617,-0.567757402902441,0.380598655453593,0.334119782214156,0.334119782214156,0.334119782214156,-0.678883470922351,-0.224505494505495,-0.413990042674253,0.437949226500729,0.376239316239316,0.409193861693862,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.139093893328231,-0.228148148148148,-0.26028971028971
