"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","HEY1","SMAD","ILK","AKT","IKK","SHH","TWIST1","NFB","SMO","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","ZEB2","ZEB1","KLF4","cateninmemb","SNAI2","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","DSH","SRC","Destcompl","STAT","AXIN2","TrCP","SUFU","LIV1","Patched","RKIP"
"Destcompl",0.0957333168859125,0.0374306455794659,0.0418641431164117,0.0466009852216749,0.0514285714285714,0.0946984812932105,0.170813806699129,0.103137299858611,0.125641025641026,0.113519813519814,0.0187030063953141,0.0220551378446115,0.0238095238095238,0.0801615154693649,0.0875440658049354,-0.155468196313254,-0.0558237013685179,0.0956521739130435,-0.150749863163656,-0.147892720306513,0.1,-0.25086880692732,-0.0818262180451777,-0.077216999608304,-0.0717822169996083,-0.0961734058821437,0.276419320734769,0.276419320734769,-0.289244751090438,0.280904932154605,-0.316929433460656,0.0389760871111912,0.0433716915067956,0.0433716915067956,0.0433716915067956,0.0693160042235074,-0.289501847563683,-0.207881410955467,-0.290740558666186,-0.292650623742833,-0.291148513791123,-0.29283615249979,-0.291970431599342,-0.2923435659277,-0.291846053489889,-0.29047619047619,-0.291846053489889,0.0864850922356507,-0.29047619047619,-0.347409386740687,-0.1,0.144444444444444,-0.283333333333333,0.153340536738786,-0.200901246601344
"AXIN2",0.153715238703529,0.0800145572571023,0.0859551513165082,0.0939197530864198,0.1075,0.166931451074098,0.236570068564049,0.175896968315478,0.18,0.182439024390244,0.0253724602608984,0.0272314239705544,0.0292155509546814,0.141787439613527,0.147342995169082,-0.191564432834925,-0.0517290775235332,0.148792270531401,-0.182600732600733,-0.173076923076923,0.144444444444444,-0.291999481129916,-0.0714748018695387,-0.064718045112782,-0.0557894736842105,-0.099076033830592,0.332070056064405,0.332070056064405,-0.335703538877171,0.320176205293314,-0.363109400535911,0.107257932653677,0.11565688278491,0.11565688278491,0.11565688278491,0.079157454206926,-0.346447078822616,-0.294473263705529,-0.347279685054565,-0.346657840452306,-0.347409386740687,-0.342884255546645,-0.346354287092387,-0.342884255546645,-0.334263565891473,-0.313333333333333,-0.334263565891473,0.27262583072976,-0.313333333333333,0.079672920144366,-0.133333333333333,0.15,-0.266666666666667,0.187957875457875,-0.264195714679586
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.3,0.2,0,0.1,0.0666666666666667,0.1,0.0666666666666667,0.15,0.1,0.253333333333333,0.2,0,0.3,0.2,0,0.162857142857143,0.233333333333333,0.2,0.1,0.25,0.375,0.375,-0.3,-0.292616487455197,0.360383141762452,0.319230769230769,0.25,0.25,0.25,-0.341666666666667,-0.383333333333333,-0.335897435897436,0.216666666666667,0.25,0.183333333333333,0.2,0.15,0.1,0.2,0.2,0.1,0.372207792207792,0.1,0.276190476190476,0,-0.2,0,-0.333333333333333,-0.26
"HEY1",0.417228495888508,0.388937176644494,0.35430303030303,0.315636363636364,0.263636363636364,0.387033463807266,0.395288613480882,0.340641711229947,0.2,0.281818181818182,0.111306340718105,0.106608695652174,0.0906666666666667,0.356825396825397,0.312380952380952,0.312096774193548,0.410653594771242,0.26,0.266666666666667,0.233333333333333,0.2,0.326671209849621,0.374255413604301,0.342296650717703,0.305454545454545,0.28138936535163,0.395123839009288,0.395123839009288,-0.292592592592593,-0.565348681354779,0.432101612640391,0.433932880844646,0.40525641025641,0.40525641025641,0.40525641025641,-0.668484938036451,-0.401709401709402,-0.467024845136768,0.338584357001433,0.316110036636948,0.327749985893089,0.300592795257638,0.31537540395329,0.300592795257638,0.284313725490196,0.266666666666667,0.284313725490196,0.47931848738161,0.266666666666667,0.372357035664623,-0.1,-0.2,0.233333333333333,-0.291666666666667,-0.373727066584209
"FOXC2",0.417228495888508,0.388937176644494,0.35430303030303,0.315636363636364,0.263636363636364,0.387033463807266,0.395288613480882,0.340641711229947,0.2,0.281818181818182,0.111306340718105,0.106608695652174,0.0906666666666667,0.356825396825397,0.312380952380952,0.312096774193548,0.410653594771242,0.26,0.266666666666667,0.233333333333333,0.2,0.326671209849621,0.374255413604301,0.342296650717703,0.305454545454545,0.28138936535163,0.395123839009288,0.395123839009288,-0.292592592592593,-0.565348681354779,0.432101612640391,0.433932880844646,0.40525641025641,0.40525641025641,0.40525641025641,-0.668484938036451,-0.401709401709402,-0.467024845136768,0.338584357001433,0.316110036636948,0.327749985893089,0.300592795257638,0.31537540395329,0.300592795257638,0.284313725490196,0.266666666666667,0.284313725490196,0.47931848738161,0.266666666666667,0.372357035664623,-0.1,-0.2,0.233333333333333,-0.291666666666667,-0.373727066584209
"SNAI2",0.44810736515097,0.424514331931212,0.385383897148603,0.338375350140056,0.276470588235294,0.410916799152093,0.425562444957726,0.356862745098039,0.2,0.288235294117647,0.116169379144063,0.113044454927331,0.0934272300469483,0.383018280016618,0.333620689655172,0.355732377458025,0.44707977216696,0.275,0.301176470588235,0.26,0.2,0.378623711615342,0.413118022328549,0.376754385964912,0.332894736842105,0.323799864773496,0.413471365638767,0.413471365638767,-0.306730769230769,-0.614228849831363,0.683489536887017,0.472676170300137,0.438429594957671,0.438429594957671,0.438429594957671,-0.804680338093804,-0.419678064133109,-0.498906392270071,0.39869564103057,0.372799793412884,0.386583839788334,0.355152734589354,0.372357035664623,0.355152734589354,0.334025974025974,0.305454545454545,0.334025974025974,0.5183110493378,0.305454545454545,0.423844354394822,-0.1,-0.2,0.26,-0.331788715486194,-0.395051282051282
"STAT",0.214226312201772,0.209133092943162,0.192224880382775,0.165909090909091,0.140909090909091,0.2035926628716,0.141037943944385,0.191764705882353,0.2,0.18,0.0586666666666667,0.0649619634627131,0.0615136876006441,0.0393704600484261,0.0342857142857143,0.0645925087466557,0.0802251471666764,0.02,0.045,0.025,0,0.0714064120038677,0.0330241149201743,0.0204027556968733,-0.00392156862745098,-0.0069376026272578,0.437538102922718,0.437538102922718,-0.323786888492771,-0.0661916851169813,0.109489486652448,-0.0355192091650926,-0.050444582299421,-0.050444582299421,-0.050444582299421,-0.206247056685636,-0.453370995829269,0.0547352024922118,0.0371177948819858,0.0173701298701299,0.0286553395780525,0.00308441558441559,0.0176143301143301,0.00308441558441559,-0.0196428571428571,-0.0571428571428571,-0.0196428571428571,-0.0707532427252306,-0.0571428571428571,-0.0381332393097099,0,0,0,-0.0566279069767442,-0.163751608751609
"RAF",0.39893899204244,0.403889630618603,0.358095238095238,0.32,0.3,0.326052824651504,0.427582006391172,0.294137931034483,0.17,0.27,0.164459930313589,0.165563555713723,0.158632862644416,0.178679653679654,0.139285714285714,0.180590163934426,0.357944147355912,0.114285714285714,0.12,0.1,0.1,0.211844126445145,0.193628593628594,0.147474747474747,0.111111111111111,0.0373968253968254,0.443282639885222,0.443282639885222,-0.399282639885222,-0.412527821939587,0.538820015154164,0.272313797313797,0.232142857142857,0.232142857142857,0.232142857142857,-0.528886001932248,-0.452769024159985,-0.429432624113475,0.218058618761712,0.168974358974359,0.196939025886394,0.126666666666667,0.166869095816464,0.124561403508772,0.0666666666666667,0,0.0666666666666667,0.446786310342952,0,0.15239099859353,-0.1,-0.1,0,-0.156,-0.435924369747899
"cateninnuc",0.430312468951813,0.394959989365651,0.375309334343817,0.350021978021978,0.317714285714286,0.408408251150345,0.407272938905049,0.384555040141171,0.314492753623188,0.354175293305728,0.128596261684223,0.116989003265947,0.107848484848485,0.368258522727273,0.348727272727273,0.194649249895571,0.317305001435882,0.322727272727273,0.171366120218579,0.153333333333333,0.283333333333333,0.207782121654584,0.365652882789264,0.349743791880173,0.328813559322034,0.248957007691031,0.444991214453361,0.444991214453361,-0.355742616418773,-0.371384389470975,0.413871162950526,0.424358429358429,0.407860112860113,0.407860112860113,0.407860112860113,-0.483880027514738,-0.452729722629469,-0.476478820446228,0.110710789728623,0.193628339101835,0.202122002100896,0.183746916176934,0.192487946835773,0.182567311915138,0.172877350959543,0.157808857808858,0.171697746697747,0.472146042438529,0.157808857808858,0.338584357001433,-0.233333333333333,-0.133333333333333,0.142424242424242,-0.184409598479449,-0.410453888543219
"CD44",0.410833333333333,0.395833333333333,0.3625,0.3,0.2,0.435,0.440457203615098,0.385,0.3,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.273333333333333,0.266666666666667,0.168181818181818,0.351941391941392,0.2,0.15,0.1,0.2,0.154965034965035,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,0.450793650793651,0.450793650793651,-0.288888888888889,-0.0991025641025641,0.382732822732823,0.271428571428571,0.228571428571429,0.228571428571429,0.228571428571429,-0.277180002171317,-0.458577075098814,-0.430357142857143,0.011329755515802,-0.0666666666666667,-0.0271317829457364,-0.1,-0.0666666666666667,0,-0.1,0,0,0.267483356979155,0.1,-0.1,-0.1,-0.1,0.1,-0.15,-0.465925925925926
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.22,0.1,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.0888888888888889,0.0333333333333333,0.121794871794872,0.293,0,0.0333333333333333,0,0,0.166493506493506,0.231428571428571,0.16,0.1,0.12,0.46207729468599,0.46207729468599,-0.405555555555556,-0.431991951710262,0.43868778280543,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.472121212121212,-0.257088122605364,0.344355644355644,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0,0.1,0.351567567567568,0,0.28,0,0,0,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.22,0.1,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.0888888888888889,0.0333333333333333,0.121794871794872,0.293,0,0.0333333333333333,0,0,0.166493506493506,0.231428571428571,0.16,0.1,0.12,0.46207729468599,0.46207729468599,-0.405555555555556,-0.431991951710262,0.43868778280543,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.472121212121212,-0.257088122605364,0.344355644355644,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0,0.1,0.351567567567568,0,0.28,0,0,0,-0.0833333333333333,-0.235897435897436
"Wnt",0.379919028340081,0.354782608695652,0.32,0.3,0.3,0.249411764705882,0.327277432712215,0.22,0.1,0.2,0.081025641025641,0.0813357185450209,0.0743589743589744,0.190833333333333,0.153333333333333,0.0415584415584416,0.184411764705882,0.133333333333333,0,0,0.1,0.034828431372549,0.147619047619048,0.114285714285714,0.1,0.0393939393939394,0.465949306551889,0.465949306551889,-0.419607843137255,-0.159618644067797,0.0741379310344828,0.2919002050581,0.269172932330827,0.269172932330827,0.269172932330827,-0.363706867483421,-0.476868686868687,-0.458307210031348,-0.0155952795897027,-0.0486842105263158,-0.0308270676691729,-0.075,-0.0486842105263158,-0.075,0,0,-0.1,0.341252198820031,-0.1,-0.104242424242424,-0.1,0,0,-0.0272727272727273,-0.335
"SOSGRB2",0.420683760683761,0.418887070376432,0.378461538461538,0.34,0.3,0.423091923091923,0.443551528073916,0.383697983697984,0.276190476190476,0.353968253968254,0.264772727272727,0.266618542747575,0.256129032258065,0.370760233918129,0.337426900584795,0.266572386339828,0.388695652173913,0.311111111111111,0.216666666666667,0.2,0.3,0.29278494632766,0.377888308874224,0.33986013986014,0.309090909090909,-0.0438888888888889,0.471704260651629,0.471704260651629,-0.424561403508772,-0.413756132756133,0.543511194202125,0.410292626394321,0.367984934086629,0.367984934086629,0.367984934086629,-0.549127317787166,-0.481440626655566,-0.560565804773378,0.195013000120219,0.137784679089027,0.170347608150812,0.0928571428571429,0.135610766045549,0.0906832298136646,0.0428571428571429,0,0.0428571428571429,0.461045144266621,0,0.121637788778878,-0.2,-0.2,0,-0.240990990990991,-0.462938596491228
"MEK",0.43857863168208,0.444035616020062,0.403889630618603,0.358095238095238,0.32,0.267719491318171,0.458992262801429,0.326052824651504,0.27,0.294137931034483,0.171732657586316,0.174050640584572,0.165563555713723,0.208091418385536,0.178679653679654,0.199544412300439,0.390544879956645,0.139285714285714,0.156,0.12,0.114285714285714,0.232335929723834,0.227935162971659,0.193628593628594,0.147474747474747,0.0596190476190476,0.484552481155064,0.484552481155064,-0.442419894787183,-0.445942456085928,0.568990331455868,0.308821733821734,0.272313797313797,0.272313797313797,0.272313797313797,-0.56823026422733,-0.49394549474822,-0.468498963179814,0.23460136969108,0.199044289044289,0.218058618761712,0.168974358974359,0.196939025886394,0.166869095816464,0.126666666666667,0.0666666666666667,0.124561403508772,0.480677523732074,0.0666666666666667,0.188427034629566,-0.1,-0.1,0,-0.180590163934426,-0.470134896063689
"RAS",0.42031746031746,0.404123471170646,0.363529411764706,0.34,0.3,0.393384932920537,0.464267453294002,0.367894736842105,0.26,0.31,0.166403162055336,0.169635126777984,0.161471861471861,0.286666666666667,0.253333333333333,0.156813559322034,0.354348063284234,0.233333333333333,0.1,0.1,0.2,0.150270057165385,0.255412115193644,0.215789473684211,0.2,-0.0147186147186147,0.493015463917526,0.493015463917526,-0.4425,-0.277534869367446,0.426362487689149,0.374358974358974,0.432051282051282,0.432051282051282,0.432051282051282,-0.451075449942823,-0.500338461538462,-0.585968992248062,0.0636075711331254,0.00294117647058824,0.0372619620679696,-0.0470588235294118,0.00187734668335419,-0.0470588235294118,-0.1,-0.1,-0.1,0.425830596179433,-0.1,-0.0387088274044796,-0.2,-0.1,0,-0.128,-0.492622641509434
"SMO",0.448275862068965,0.535945945945946,0.49,0.44,0.4,0.405361305361305,0.400076804915515,0.353846153846154,0.2,0.3,0.128937728937729,0.134285714285714,0.12,0.244857142857143,0.192857142857143,0.318611111111111,0.284858387799564,0.15,0.253333333333333,0.333333333333333,0.1,0.224761904761905,0.323787878787879,0.278787878787879,0.233333333333333,0.255263157894737,0.500988700564972,0.500988700564972,-0.422222222222222,-0.381451438911508,0.4360021893815,0.408765652951699,0.369230769230769,0.369230769230769,0.369230769230769,-0.443404208313928,-0.509644364074744,-0.435851203812369,0.259735503808064,0.320833333333333,0.240938511326861,0.2875,0.216666666666667,0.183333333333333,0.25,0.2,0.15,0.454472039588319,0.1,0.347036871174802,0,-0.3,0.1,-0.290833333333333,-0.378253968253968
"IKK",0.566984126984127,0.56370101010101,0.51010101010101,0.455555555555556,0.4,0.308444444444444,0.411379700310998,0.244,0.1,0.2,0.187822497420021,0.195998349834983,0.179166666666667,0.344208494208494,0.292857142857143,0.228326947637292,0.519052287581699,0.342857142857143,0.16,0.12,0.3,0.242472664792252,0.347041847041847,0.297835497835498,0.245454545454545,0.284243697478992,0.50184962406015,0.50184962406015,-0.435531135531136,-0.51906414814236,0.588633419882413,0.436107631877167,0.38681185722928,0.38681185722928,0.38681185722928,-0.670001810271552,-0.509832775919733,-0.561868131868132,0.337399717972556,0.29017094017094,0.316724612487324,0.251709401709402,0.29017094017094,0.251709401709402,0.205555555555556,0.15,0.205555555555556,0.493929001656099,0.15,0.31,-0.2,-0.1,0.1,-0.200740740740741,-0.38615664845173
"cMet",0.445010548523207,0.429875886524823,0.395833333333333,0.3625,0.3,0.458636363636364,0.469270762937132,0.435,0.325,0.385,0.21781905744754,0.212164502164502,0.197619047619048,0.298333333333333,0.273333333333333,0.186931818181818,0.389020043626785,0.266666666666667,0.15,0.15,0.2,0.181051991486774,0.275779875219965,0.24812030075188,0.242857142857143,0.0109523809523809,0.504329004329004,0.504329004329004,-0.350793650793651,-0.146433524956657,0.422148881126983,0.305390835579515,0.271428571428571,0.271428571428571,0.271428571428571,-0.324253793519917,-0.511702075098814,-0.465841013824885,0.0412732583406608,-0.0257575757575758,0.011329755515802,-0.0666666666666667,-0.0271317829457364,-0.0666666666666667,-0.1,-0.1,0,0.303969843465642,0,-0.0666666666666667,-0.2,-0.1,0.1,-0.168181818181818,-0.506666666666667
"Frizzled",0.410151586479616,0.384306418219462,0.354782608695652,0.32,0.3,0.275337690631808,0.349499654934438,0.249411764705882,0.2,0.22,0.0874086197490453,0.0860086157412826,0.0813357185450209,0.209583333333333,0.190833333333333,0.0544616673648932,0.206316526610644,0.153333333333333,0.0272727272727273,0,0.133333333333333,0.0479597445038622,0.169187675070028,0.147619047619048,0.114285714285714,0.0484848484848485,0.504563167938028,0.504563167938028,-0.467226890756303,-0.185332929782082,0.0952735777221799,0.311585244428178,0.2919002050581,0.2919002050581,0.2919002050581,-0.393776797553351,-0.515931186868687,-0.48073145245559,-0.00130956530398845,-0.0308270676691729,-0.0155952795897027,-0.0486842105263158,-0.0308270676691729,-0.0486842105263158,-0.075,0,-0.075,0.361676602003055,-0.1,-0.0856377730796336,-0.1,0,-0.1,-0.0415584415584416,-0.36
"SRC",0.432427637721755,0.412359307359307,0.386904761904762,0.358333333333333,0.333333333333333,0.366685725176291,0.349385565395302,0.338383838383838,0.3,0.327272727272727,0.126804038397881,0.11573613086771,0.109429824561404,0.18974358974359,0.173076923076923,0.0820915032679738,0.255385878489327,0.15,0.0533333333333333,0.0333333333333333,0.15,0.0858844977652317,0.165238095238095,0.143809523809524,0.12,0.00857142857142857,0.512136867325547,0.512136867325547,-0.379392764857881,-0.0847575213291423,0.17240347946797,0.259469791785186,0.235227367542762,0.235227367542762,0.235227367542762,-0.268810301898537,-0.523727126335822,-0.308311688311688,0.0286585902551731,-0.0138524590163934,0.0105377848860456,-0.045,-0.0138524590163934,-0.045,-0.075,-0.1,-0.075,0.102627408823061,0,-0.0734009095159165,-0.1,-0.0333333333333333,0,-0.0644444444444444,-0.442587161942001
