"","HEY1","SMAD","FOXC2","ILK","SHH","TGF","SNAI1","TGFR","AKT","SMO","IKK","CDC42","NFB","FUS","PAK1","Csn","MEK","ERK","EGR1","cfos","Jagged","TWIST1","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","ZEB1","cateninmemb","ZEB2","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","cateninnuc","miR200","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","LIV1","Destcompl","TrCP","SUFU","RKIP","Patched"
"Destcompl",0.119149779856154,0.120455709165387,0.0631346499711561,0.120455709165387,-0.0845178233415695,0.0308084168147916,0.10236320584253,0.0344965095439802,0.0562493265489374,-0.0757369196757553,0.0613076923076923,0.0344965095439802,0.0673076923076923,-0.0706521739130435,0.0286994080947048,0.0723076923076923,0.0551888725309778,0.056504662004662,0.0653333333333333,0.0576410256410256,-0.164199411031078,-0.0350836180843474,-0.0521270770231189,-0.0479328165374677,-0.0444444444444444,-0.0587012987012987,-0.222872340425532,-0.23334009029376,0.18134692440767,0.216207153584064,0.205527700457933,0.00183753168884032,0.0028867649414634,0.0028867649414634,0.0028867649414634,0.0539385341901219,-0.089022229408007,-0.187138982509126,-0.203069744442409,-0.186837792776879,-0.186709567586958,-0.185299331238418,-0.186351657780229,-0.184807256235828,-0.181746031746032,-0.181746031746032,-0.181746031746032,-0.181746031746032,-0.239980724831956,-0.188888888888889,-0.0207795993419323,-0.08,0.075,-0.130894903957999,0.0816192726169318
"AXIN2",0.15986565158979,0.1587948259699,0.118093934467112,0.163392527119325,-0.123500380768859,0.0704962779156327,0.163891015121052,0.0704962779156327,0.118063333672742,-0.118360071301248,0.123653395784543,0.0704962779156327,0.128571428571429,-0.124242424242424,0.080752688172043,0.133333333333333,0.115614302660566,0.120952380952381,0.153333333333333,0.133333333333333,-0.202060071490812,-0.0326832582150013,-0.0446628974889845,-0.0417643467643468,-0.0398412698412698,-0.0746224077656722,-0.269378469378469,-0.27700560979235,0.238915727321524,0.251152778765974,0.25661715412422,0.0666973139274644,0.069622845842358,0.069622845842358,0.069622845842358,0.0653863492661991,-0.171001300709356,-0.240789350168883,-0.256825922391443,-0.238727930310337,-0.239980724831956,-0.23680485338726,-0.238412570429061,-0.23680485338726,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.180858869598148,-0.233333333333333,0.158736921313069,-0.133333333333333,0.133333333333333,-0.18860967376697,0.119435340118452
"Wnt",0.165079365079365,0.170940170940171,0.21,0.155555555555556,0.217647058823529,0.235282392026578,0.148373983739837,0.177142857142857,0.173846153846154,0.15,0.12,0.12,0.1,0.1,0.1,0.1,0.130718954248366,0.0777777777777778,0.1,0.0666666666666667,0.221375661375661,0.252941176470588,0.228571428571429,0.176190476190476,0.133333333333333,0.106666666666667,-0.253333333333333,0.344413875598086,0.311402714932127,-0.341481481481481,0.290833333333333,0.152130325814536,0.118796992481203,0.118796992481203,0.118796992481203,-0.425595238095238,-0.0776315789473684,0.330695970695971,-0.340833333333333,0.283333333333333,0.306410256410256,0.25,0.283333333333333,0.25,0.3,0.2,0.2,0.1,0.30846394984326,0,-0.0256578947368421,-0.1,0,-0.152380952380952,-0.2
"SHH",0.133333333333333,0.208333333333333,0.371428571428571,0.133333333333333,0.32,0.455555555555556,0.333333333333333,0.4,0.2,0.3,0.1,0.3,0,0.2,0.2,0,0.3,0.2,0,0.1,0.192857142857143,0.221428571428571,0.26,0.2,0.1,0.25,-0.2,0.36727969348659,0.4,-0.297777777777778,0.3,0.303846153846154,0.25,0.25,0.25,-0.349090909090909,-0.271794871794872,0.23952380952381,-0.4,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,0.272987012987013,0,-0.2,-0.3,-0.4
"HEY1",0.217770034843206,0.244444444444444,0.399233753172741,0.211111111111111,0.374869780299724,0.380622665006227,0.354429673617203,0.344622665006227,0.362992776057792,0.293333333333333,0.317894736842105,0.307636363636364,0.26,0.233333333333333,0.263636363636364,0.2,0.367824373768646,0.328877005347594,0.2,0.281818181818182,0.378831455520197,0.418213498716463,0.388196862239415,0.34989898989899,0.305454545454545,0.28138936535163,-0.15,0.465168802828377,0.356534815299117,-0.592313800929901,0.319807923169268,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.67523849313323,-0.348801194087342,0.395018353002056,-0.365386154461785,0.353897196408636,0.375826433810137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,0.233333333333333,0.341774069437728,-0.1,-0.2,-0.341553616661976,-0.33816091954023
"FOXC2",0.217770034843206,0.244444444444444,0.399233753172741,0.211111111111111,0.374869780299724,0.380622665006227,0.354429673617203,0.344622665006227,0.362992776057792,0.293333333333333,0.317894736842105,0.307636363636364,0.26,0.233333333333333,0.263636363636364,0.2,0.367824373768646,0.328877005347594,0.2,0.281818181818182,0.378831455520197,0.418213498716463,0.388196862239415,0.34989898989899,0.305454545454545,0.28138936535163,-0.15,0.465168802828377,0.356534815299117,-0.592313800929901,0.319807923169268,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.67523849313323,-0.348801194087342,0.395018353002056,-0.365386154461785,0.353897196408636,0.375826433810137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,0.233333333333333,0.341774069437728,-0.1,-0.2,-0.341553616661976,-0.33816091954023
"SNAI2",0.235614035087719,0.269243504839531,0.432733699252965,0.228846153846154,0.411463414634146,0.417008890512727,0.387634185878963,0.377961271465108,0.389245014245014,0.32,0.337962962962963,0.333613445378151,0.275,0.26,0.276470588235294,0.2,0.395594950308891,0.349019607843137,0.2,0.288235294117647,0.423888212024622,0.452785563224655,0.424267525127645,0.381985645933014,0.332894736842105,0.323799864773496,-0.140613026819923,0.710907747452829,0.380804533482321,-0.637191523509843,0.336643835616438,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.810146192570563,-0.386915113871636,0.449058979970781,-0.387552926525529,0.402974962071897,0.427647215264899,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,0.26,0.385614821833258,-0.1,-0.2,-0.366086206896552,-0.37
"Frizzled",0.18232074438971,0.199707294227842,0.25025974025974,0.170940170940171,0.240374331550802,0.274229760447631,0.169128700720969,0.235282392026578,0.202417582417582,0.2,0.173846153846154,0.177142857142857,0.12,0.15,0.12,0.1,0.178718954248366,0.130718954248366,0.0666666666666667,0.0777777777777778,0.241888481888482,0.279256965944272,0.259006211180124,0.228571428571429,0.176190476190476,0.142150537634409,-0.282745098039216,0.375261333225205,0.351662455191867,-0.378101199791341,0.340833333333333,0.176097267963297,0.152130325814536,0.152130325814536,0.152130325814536,-0.464748677248677,-0.0976315789473684,0.353612637362637,-0.381492673992674,0.306410256410256,0.330695970695971,0.283333333333333,0.306410256410256,0.283333333333333,0.25,0.25,0.3,0.2,0.339328147374124,0.1,-0.00945677741840635,-0.1,-0.1,-0.180380952380952,-0.217647058823529
"RAF",0.236111111111111,0.252539682539683,0.331874298540965,0.232539682539683,0.291725768321513,0.353871541000254,0.265750630470257,0.297435897435897,0.203333333333333,0.205555555555556,0.153333333333333,0.238461538461538,0.12,0.15,0.2,0.1,0.239404186795491,0.195925925925926,0.17,0.17,0.322477522477522,0.397179487179487,0.252684903748734,0.195238095238095,0.142857142857143,0.0732229123533471,-0.313333333333333,0.628454228698131,0.388311688311688,-0.482233423404698,0.360701754385965,0.0961067693368578,0.050974025974026,0.050974025974026,0.050974025974026,-0.565062749964721,-0.169825343738387,0.380097236927491,-0.409590643274854,0.318,0.350749410840534,0.27,0.316421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.336219336219336,0,0.0211751121507219,-0.1,-0.1,-0.253623188405797,-0.255555555555556
"PI3K",0.212424242424242,0.235796091163738,0.292191152037397,0.204031385281385,0.265185185185185,0.306948095511925,0.223589567604667,0.262803951367781,0.323809523809524,0.205555555555556,0.29047619047619,0.205357142857143,0.233333333333333,0.15,0.142857142857143,0.2,0.205437802651425,0.158069381598793,0.0666666666666667,0.105128205128205,0.270215053763441,0.307330447330447,0.278036890645586,0.239855072463768,0.183333333333333,0.176315789473684,-0.313032581453634,0.402338656513434,0.385975613190279,-0.408440788876792,0.373015873015873,0.219145021645022,0.18771645021645,0.18771645021645,0.18771645021645,-0.499259716661886,-0.189518485994075,0.38680037399554,-0.416705193404223,0.332157641993708,0.36107330464431,0.301010101010101,0.332157641993708,0.301010101010101,0.255555555555556,0.255555555555556,0.2,0.2,0.358555211558307,0.1,-0.0198323475641357,-0.2,-0.1,-0.201159420289855,-0.235555555555556
"ILK",0.212424242424242,0.235796091163738,0.292191152037397,0.204031385281385,0.265185185185185,0.306948095511925,0.223589567604667,0.262803951367781,0.323809523809524,0.205555555555556,0.29047619047619,0.205357142857143,0.233333333333333,0.15,0.142857142857143,0.2,0.205437802651425,0.158069381598793,0.0666666666666667,0.105128205128205,0.270215053763441,0.307330447330447,0.278036890645586,0.239855072463768,0.183333333333333,0.176315789473684,-0.313032581453634,0.402338656513434,0.385975613190279,-0.408440788876792,0.373015873015873,0.219145021645022,0.18771645021645,0.18771645021645,0.18771645021645,-0.499259716661886,-0.189518485994075,0.38680037399554,-0.416705193404223,0.332157641993708,0.36107330464431,0.301010101010101,0.332157641993708,0.301010101010101,0.255555555555556,0.255555555555556,0.2,0.2,0.358555211558307,0.1,-0.0198323475641357,-0.2,-0.1,-0.201159420289855,-0.235555555555556
"cateninnuc",0.241076283563644,0.252268580893467,0.410680023323596,0.232422723475355,0.287709006862507,0.390596795394855,0.365046668877477,0.368171166104237,0.379009801060363,0.240270676691729,0.35606607811664,0.340194975628046,0.327976190476191,0.208270676691729,0.304761904761905,0.29047619047619,0.381847655895784,0.358916213815406,0.297101449275362,0.331527678783559,0.282550250027018,0.334482977663174,0.393407136625392,0.371857499821518,0.345149425287356,0.263357038704561,-0.252992573176059,0.465064907169039,0.389459719288644,-0.411323516564698,0.375461995821951,0.389069434256828,0.372885447885448,0.372885447885448,0.372885447885448,-0.49865631498134,-0.339139879032976,0.182775093938221,-0.404338240487669,0.25428552410995,0.269076463801235,0.237182908415785,0.253327228327228,0.236155511155511,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395018353002056,0.160606060606061,0.319387458410433,-0.233333333333333,-0.171428571428571,-0.371786074826273,-0.266741264927023
"RAS",0.319949066213922,0.330939401622718,0.386998001998002,0.315314401622718,0.351414768806073,0.406241134751773,0.359870730258105,0.346666666666667,0.277083333333333,0.255555555555556,0.233333333333333,0.293333333333333,0.2,0.2,0.26,0.2,0.330833333333333,0.293333333333333,0.26,0.26,0.372156862745098,0.405056179775281,0.33843537414966,0.283333333333333,0.233333333333333,0.0186147186147186,-0.331428571428571,0.579982428178491,0.417316017316017,-0.406626341360185,0.381428571428571,0.154660633484163,0.205641025641026,0.205641025641026,0.205641025641026,-0.492459832788077,-0.222987878787879,0.411934267174978,-0.433701298701299,0.338172715894869,0.378803568086832,0.276470588235294,0.337340153452685,0.276470588235294,0.2,0.2,0.1,0.1,0.349465240641711,0,-0.0353450864689061,-0.2,-0.1,-0.431168831168831,-0.307936507936508
"DSH",0.21232074438971,0.226874924285646,0.273642824836855,0.199707294227842,0.266774331550802,0.297549918550397,0.192101673693942,0.274229760447631,0.228888170652877,0.217647058823529,0.202417582417582,0.235282392026578,0.173846153846154,0.2,0.177142857142857,0.12,0.210426271321537,0.178718954248366,0.0777777777777778,0.130718954248366,0.267710078132613,0.301966129290886,0.284006211180124,0.259006211180124,0.228571428571429,0.170355665839537,-0.32485036119711,0.402189272542525,0.381611693770547,-0.409072328400265,0.381492673992674,0.20004936377168,0.176097267963297,0.176097267963297,0.176097267963297,-0.496789493575208,-0.116550497866287,0.372711559987515,-0.413912765316875,0.331232951445717,0.353612637362637,0.306410256410256,0.330695970695971,0.306410256410256,0.283333333333333,0.283333333333333,0.25,0.25,0.36602497995331,0.2,0.00485815100695153,-0.1,-0.15,-0.205584204413473,-0.240374331550802
"SOSGRB2",0.364975845410628,0.38036750483559,0.406671904002084,0.359090909090909,0.40290060851927,0.425764873379377,0.404228923101436,0.370039682539683,0.388697478991597,0.31,0.343697478991597,0.315873015873016,0.314285714285714,0.25,0.271428571428571,0.3,0.37014880952381,0.32952380952381,0.276190476190476,0.30952380952381,0.437897897897898,0.429513888888889,0.438888888888889,0.383333333333333,0.333333333333333,-0.0197058823529412,-0.334545454545455,0.649114884998806,0.421666666666667,-0.500511417063141,0.38548885077187,0.334559916741005,0.285875706214689,0.285875706214689,0.285875706214689,-0.583937495023115,-0.320896251344013,0.402630927243413,-0.434695199978219,0.330223880597015,0.370248035186387,0.275,0.329136924075276,0.273913043478261,0.2,0.2,0.1,0.1,0.344886363636364,0,-0.036802368788512,-0.2,-0.2,-0.412058823529412,-0.361724137931034
"CD44",0.3,0.333846153846154,0.402463054187192,0.296703296703297,0.277941176470588,0.393333333333333,0.41421568627451,0.36,0.307692307692308,0.2,0.3,0.3,0.2,0.1,0.2,0.2,0.421842105263158,0.385,0.3,0.325,0.25974025974026,0.372727272727273,0.284313725490196,0.266666666666667,0.2,-0.00238095238095239,-0.2,0.440385181828481,0.433725490196078,-0.145858343337335,0.388235294117647,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,-0.292451018056089,-0.226646403242148,0.132012288786482,-0.442081447963801,0.0233333333333333,0.0852380952380952,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,0.1,-0.159716632669938,-0.1,-0.1,-0.449777777777778,-0.225
"IKK",0.320512820512821,0.352144522144522,0.535288367546432,0.310606060606061,0.363571428571429,0.559453781512605,0.352065826330532,0.496428571428571,0.377741935483871,0.26,0.31,0.425,0.36,0.2,0.35,0.3,0.264016563146998,0.190683229813665,0.1,0.142857142857143,0.351455108359133,0.555357142857143,0.401086048454469,0.33968253968254,0.277777777777778,0.310714285714286,-0.32051282051282,0.663577226466745,0.452380952380952,-0.575361328497805,0.4,0.381945869170678,0.334119782214156,0.334119782214156,0.334119782214156,-0.703174260666368,-0.228253968253968,0.441693202040377,-0.468888888888889,0.374481074481074,0.409392317084625,0.331623931623932,0.374481074481074,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.402170596393897,0.1,0.138134870527667,-0.2,-0.1,-0.313939393939394,-0.321904761904762
"MEK",0.258333333333333,0.2808005521049,0.378607966882674,0.252539682539683,0.323899681364991,0.400859492807483,0.298836132328993,0.353871541000254,0.241361502347418,0.255555555555556,0.203333333333333,0.297435897435897,0.153333333333333,0.205555555555556,0.238461538461538,0.12,0.189846664671597,0.239404186795491,0.17,0.195925925925926,0.352125763683553,0.435390869293308,0.294833664079312,0.252684903748734,0.195238095238095,0.107340559412171,-0.353333333333333,0.665921928956529,0.434504581712704,-0.524022475474123,0.409590643274854,0.132983845748818,0.0961067693368578,0.0961067693368578,0.0961067693368578,-0.61156480757789,-0.19799071841539,0.405851764090469,-0.45625730994152,0.352328358208955,0.380097236927491,0.318,0.350749410840534,0.316421052631579,0.27,0.268421052631579,0.2,0.2,0.379347298304644,0.1,0.042095155962332,-0.1,-0.15,-0.293921695868484,-0.291725768321513
"AKT",0.245757575757576,0.262975578343225,0.322105681951927,0.235796091163738,0.296692034500254,0.337117587037349,0.253240730395365,0.306948095511925,0.253809523809524,0.235555555555556,0.323809523809524,0.262803951367781,0.29047619047619,0.205555555555556,0.205357142857143,0.233333333333333,0.239684377993891,0.205437802651425,0.105128205128205,0.158069381598793,0.30009553185109,0.335708825708826,0.308533344546296,0.278036890645586,0.239855072463768,0.208873929008568,-0.35848712690818,0.433649599091982,0.420777375304816,-0.443655235829388,0.416705193404223,0.24771645021645,0.219145021645022,0.219145021645022,0.219145021645022,-0.536770595687125,-0.212071677483437,0.408144911810666,-0.453960095365007,0.361498959358977,0.38680037399554,0.332157641993708,0.36107330464431,0.332157641993708,0.301010101010101,0.301010101010101,0.255555555555556,0.255555555555556,0.391122261366737,0.2,-0.00338555776642238,-0.2,-0.15,-0.231655874190564,-0.265185185185185
"cMet",0.335135135135135,0.354898785425101,0.438574165298303,0.333846153846154,0.325941176470588,0.435862068965517,0.457905006662859,0.393333333333333,0.333618233618234,0.225,0.307692307692308,0.36,0.3,0.2,0.3,0.2,0.431276067527309,0.421842105263158,0.325,0.385,0.31038961038961,0.419715224534502,0.327170868347339,0.284313725490196,0.266666666666667,0.0148604269293924,-0.288235294117647,0.491900333343632,0.477315233785822,-0.20141389889289,0.442081447963801,0.246117216117216,0.203809523809524,0.203809523809524,0.203809523809524,-0.347436773041844,-0.263836485886776,0.167748024522218,-0.49097033685269,0.0861240310077519,0.132012288786482,0.0233333333333333,0.0852380952380952,0.0233333333333333,-0.05,0.05,-0.1,0,0.0412903225806452,0.1,-0.128466632669938,-0.2,-0.1,-0.488553287981859,-0.277941176470588
"TWIST1",0.412575757575758,0.440739841553795,0.549982021107687,0.400274725274725,0.527179125065686,0.53386001401532,0.505943569330994,0.49193963930806,0.496436132674665,0.429545454545455,0.442307692307692,0.443221690590112,0.383333333333333,0.375,0.381818181818182,0.3,0.481445761967501,0.433971014492754,0.28,0.371304347826087,0.44442031701913,0.473073373907293,0.436684602753568,0.390871794871795,0.341538461538462,0.31681527657224,-0.282790697674419,0.731719324765525,0.498100516802466,-0.658906882948851,0.4501389239707,0.452158539186454,0.42054341891154,0.42054341891154,0.42054341891154,-0.831279420585411,-0.403678154773045,0.470223966695373,-0.504977633648119,0.41858813700919,0.446130399443911,0.385254803675856,0.417647427307688,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.461080635782128,0.266666666666667,0.3965755663048,-0.2,-0.3,-0.480424526959738,-0.482670454545454
