"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","TWIST1","NFB","SMO","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","cMet","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",-0.283385301264707,-0.267883077438886,-0.251709956709957,-0.233852813852814,-0.224761904761905,-0.0558974358974359,-0.264290315791659,-0.0428205128205128,-0.0133333333333333,-0.0312820512820513,-0.0797827903091061,-0.0884836217656782,-0.083089430894309,-0.257220871898577,-0.0334760087553432,-0.0182217714672076,-0.280546446523375,-0.00057471264367816,-0.226442307692308,-0.207692307692308,0.0166666666666667,-0.257019279594204,-0.123304473889547,-0.109106943025349,-0.0913650075414781,-0.225505316349089,0.197904483430799,-0.309631061400717,-0.309631061400717,-0.336203901502659,0.359723039551509,-0.0484137857346777,-0.0404095167912412,-0.0404095167912412,-0.0404095167912412,0.355985248069497,-0.051336690200436,0.318853741409266,-0.264524836025731,-0.25301628516916,-0.258599805795985,-0.244414134631526,-0.252181586334288,-0.230900621118012,-0.24382579118604,-0.230900621118012,-0.21304347826087,-0.21304347826087,-0.302066557929633,-0.05,0.2,-0.2,-0.0561838410152136,0.245046958855098,0.173439153439153
"ZEB2",-0.232040161242162,-0.218018618428012,-0.211449275362319,-0.196666666666667,-0.176666666666667,-0.160954252560092,-0.152565415637178,-0.151465201465201,-0.147619047619048,-0.147619047619048,-0.144125,-0.138440219751175,-0.13476675036342,-0.131439393939394,-0.127897476820185,-0.12593669250646,-0.125174198982947,-0.123611111111111,-0.123376623376623,-0.114285714285714,-0.111111111111111,-0.110409553569566,-0.10054770707197,-0.0965929048120829,-0.0897435897435897,-0.0656763463215076,-0.0547953216374269,-0.0477077308656256,-0.0477077308656256,-0.0472007194383531,-0.0449048335411252,-0.0205061868434835,-0.015035727324884,-0.015035727324884,-0.015035727324884,0.0030336005671862,0.0104444346866986,0.0157635608806721,0.0455725557133791,0.0486750807877568,0.0504134962389669,0.0529004329004329,0.0557345971563981,0.0593939393939394,0.06,0.0666666666666667,0.0727272727272727,0.08,0.0881487076200067,0.1,0.1,0.1,0.115007806592138,0.127272727272727,0.184222222222222
"Wnt",0.255555555555556,0.238461538461538,0.2,0.1,0,0.0714285714285714,0.22,0,0.1,0,0.1,0.12,0.1,0.2,0.0666666666666667,0,0.260606060606061,0,0.1,0,0.1,0.22,0.173333333333333,0.133333333333333,0.1,0.1,-0.1,0.2,0.2,0.300245098039216,-0.298373983739837,0.0992727272727273,0.0872727272727273,0.0872727272727273,0.0872727272727273,-0.297127222982216,-0.0233333333333333,-0.2,0.238700564971751,0.2,0.216666666666667,0.2,0.2,0.3,0.2,0.2,0.2,0.1,0.247619047619048,-0.1,0,0,-0.0857142857142857,-0.2,-0.25
"Frizzled",0.280555555555556,0.255128205128205,0.238461538461538,0.2,0.1,0.118796992481203,0.2325,0.0714285714285714,0,0,0.114285714285714,0.14,0.12,0.207692307692308,0.0939393939393939,0.0666666666666667,0.273939393939394,0,0.2,0.1,0,0.237241379310345,0.189122807017544,0.173333333333333,0.133333333333333,0.127272727272727,-0.16,0.26,0.26,0.321556573449052,-0.329746532759445,0.113558441558442,0.0992727272727273,0.0992727272727273,0.0992727272727273,-0.328219659957006,-0.0349612403100775,-0.269230769230769,0.255681697047223,0.216666666666667,0.238700564971751,0.2,0.216666666666667,0.2,0.2,0.2,0.3,0.2,0.263408521303258,-0.1,0,0.1,-0.0747252747252748,-0.2,-0.261111111111111
"DSH",0.293599033816425,0.269413919413919,0.255128205128205,0.238461538461538,0.2,0.134352548036759,0.254239130434783,0.118796992481203,0,0.0714285714285714,0.136507936507937,0.165,0.14,0.225641025641026,0.107272727272727,0.0939393939393939,0.293419913419913,0.0666666666666667,0.2,0.2,0,0.258863000931966,0.203937621832359,0.189122807017544,0.173333333333333,0.127272727272727,-0.205454545454545,0.297931034482759,0.297931034482759,0.341053428794964,-0.352768115493258,0.129808441558442,0.113558441558442,0.113558441558442,0.113558441558442,-0.353544335281681,-0.0488226264486914,-0.308119658119658,0.267840505980226,0.238700564971751,0.255681697047223,0.216666666666667,0.238700564971751,0.2,0.216666666666667,0.2,0.2,0.2,0.282996150169238,0,-0.1,0.2,-0.0654779628973177,-0.207692307692308,-0.291545893719807
"PI3K",0.407636363636364,0.390540540540541,0.35,0.3,0.2,0.164285714285714,0.363768115942029,0.114285714285714,0,0.0428571428571429,0.12,0.153,0.125,0.244285714285714,0.229761904761905,0.204761904761905,0.421428571428571,0.133333333333333,0.2,0.1,0.1,0.301428571428571,0.228571428571429,0.2,0.15,0.2125,-0.275,0.364705882352941,0.364705882352941,0.38202380952381,-0.403874269005848,0.171985407066052,0.144485407066052,0.144485407066052,0.144485407066052,-0.476333333333333,-0.137099284158108,-0.373913043478261,0.335983089897409,0.284583333333333,0.312978395061728,0.253333333333333,0.284583333333333,0.22,0.253333333333333,0.22,0.2,0.2,0.313032581453634,-0.2,0,0.1,-0.0715934414167084,-0.214285714285714,-0.2975
"ILK",0.407636363636364,0.390540540540541,0.35,0.3,0.2,0.164285714285714,0.363768115942029,0.114285714285714,0,0.0428571428571429,0.12,0.153,0.125,0.244285714285714,0.229761904761905,0.204761904761905,0.421428571428571,0.133333333333333,0.2,0.1,0.1,0.301428571428571,0.228571428571429,0.2,0.15,0.2125,-0.275,0.364705882352941,0.364705882352941,0.38202380952381,-0.403874269005848,0.171985407066052,0.144485407066052,0.144485407066052,0.144485407066052,-0.476333333333333,-0.137099284158108,-0.373913043478261,0.335983089897409,0.284583333333333,0.312978395061728,0.253333333333333,0.284583333333333,0.22,0.253333333333333,0.22,0.2,0.2,0.313032581453634,-0.2,0,0.1,-0.0715934414167084,-0.214285714285714,-0.2975
"SHH",0.333333333333333,0.425,0.4,0.3,0.2,0.3,0.266666666666667,0.2,0,0.1,0.0666666666666667,0.106666666666667,0.0666666666666667,0.253333333333333,0.15,0.1,0.176190476190476,0,0.3,0.2,0,0.162857142857143,0.233333333333333,0.2,0.1,0.25,-0.3,0.366666666666667,0.366666666666667,0.365555555555556,-0.297777777777778,0.303846153846154,0.25,0.25,0.25,-0.335833333333333,-0.271794871794872,-0.377777777777778,0.23952380952381,0.25,0.196666666666667,0.2,0.15,0.2,0.1,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.25
"HEY1",0.37357910906298,0.355753968253968,0.320833333333333,0.2875,0.25,0.360042735042735,0.362296650717703,0.323931623931624,0.2,0.277777777777778,0.157931034482759,0.154644808743169,0.133333333333333,0.339636363636364,0.347793952967525,0.307368421052632,0.385268490374873,0.26,0.273333333333333,0.233333333333333,0.2,0.356812030075188,0.379174895017592,0.344343434343434,0.305454545454545,0.263492063492063,-0.219047619047619,0.373165618448637,0.373165618448637,0.452628251988776,-0.576320776206846,0.39684766214178,0.374539969834087,0.374539969834087,0.374539969834087,-0.654990783946157,-0.34488226471691,-0.379465462074158,0.381045082548607,0.348286223580341,0.365833814942973,0.324649859943978,0.347585639760491,0.296078431372549,0.324649859943978,0.296078431372549,0.266666666666667,0.266666666666667,0.398854385837626,-0.1,-0.2,0.233333333333333,0.336740287355694,-0.309333333333333,-0.363846153846154
"FOXC2",0.37357910906298,0.355753968253968,0.320833333333333,0.2875,0.25,0.360042735042735,0.362296650717703,0.323931623931624,0.2,0.277777777777778,0.157931034482759,0.154644808743169,0.133333333333333,0.339636363636364,0.347793952967525,0.307368421052632,0.385268490374873,0.26,0.273333333333333,0.233333333333333,0.2,0.356812030075188,0.379174895017592,0.344343434343434,0.305454545454545,0.263492063492063,-0.219047619047619,0.373165618448637,0.373165618448637,0.452628251988776,-0.576320776206846,0.39684766214178,0.374539969834087,0.374539969834087,0.374539969834087,-0.654990783946157,-0.34488226471691,-0.379465462074158,0.381045082548607,0.348286223580341,0.365833814942973,0.324649859943978,0.347585639760491,0.296078431372549,0.324649859943978,0.296078431372549,0.266666666666667,0.266666666666667,0.398854385837626,-0.1,-0.2,0.233333333333333,0.336740287355694,-0.309333333333333,-0.363846153846154
"SNAI2",0.413262322472849,0.398160460229426,0.361214647421544,0.320954907161804,0.269230769230769,0.390357142857143,0.398809693513899,0.345714285714286,0.2,0.285714285714286,0.165454545454545,0.166723940435281,0.138888888888889,0.38062893081761,0.376501501501502,0.330555555555556,0.427117891183227,0.275,0.306666666666667,0.26,0.2,0.405472979941216,0.41723817118554,0.378349282296651,0.332894736842105,0.312980705549914,-0.239204545454545,0.395740740740741,0.395740740740741,0.701522795847442,-0.62521100798968,0.43940737367759,0.412048883111552,0.412048883111552,0.412048883111552,-0.795379371031545,-0.384276676091292,-0.402524064171123,0.437894016540744,0.399264069264069,0.420267189369635,0.372597402597403,0.398854385837626,0.341168831168831,0.372597402597403,0.341168831168831,0.305454545454545,0.305454545454545,0.444733130063477,-0.1,-0.2,0.26,0.381934748661344,-0.346666666666667,-0.385238095238095
"AKT",0.436867132867133,0.420437447757035,0.390540540540541,0.35,0.3,0.188095238095238,0.397101449275362,0.164285714285714,0.0428571428571429,0.114285714285714,0.151034482758621,0.17580701754386,0.153,0.274110275689223,0.152838827838828,0.229761904761905,0.450400534045394,0.204761904761905,0.214285714285714,0.2,0.133333333333333,0.329730458221024,0.25533199195171,0.228571428571429,0.2,0.2325,-0.330555555555556,0.416879795396419,0.416879795396419,0.410861018826135,-0.437207602339181,0.196747311827957,0.171985407066052,0.171985407066052,0.171985407066052,-0.515006102212052,-0.156330053388877,-0.424790236460717,0.354081810189914,0.312978395061728,0.335983089897409,0.284583333333333,0.312978395061728,0.253333333333333,0.284583333333333,0.253333333333333,0.22,0.22,0.343335611756664,-0.1,-0.1,0.2,-0.0582491251069885,-0.244285714285714,-0.3375
"RAS",0.398086124401914,0.413142857142857,0.357142857142857,0.3,0.2,0.32125,0.413172836702248,0.29,0.25,0.25,0.173809523809524,0.176842105263158,0.166315789473684,0.210067352002836,0.139130434782609,0.1,0.505322128851541,0.1,0.114285714285714,0.1,0.2,0.332976827094474,0.271648351648352,0.223076923076923,0.2,0.0288461538461538,-0.357142857142857,0.418253968253968,0.418253968253968,0.573839239412273,-0.415769305962854,0.133042819249716,0.190185676392573,0.190185676392573,0.190185676392573,-0.529908308990587,-0.194073783359498,-0.423976608187134,0.401336947412529,0.324242424242424,0.367102713178295,0.266666666666667,0.322916666666667,0.2,0.266666666666667,0.2,0.1,0.1,0.3375,-0.2,-0.1,0,-0.0592408996744599,-0.168131868131868,-0.399736495388669
"cateninnuc",0.373751714191138,0.355684242880485,0.337520570225794,0.312147435897436,0.27625,0.365972673440704,0.266292593181593,0.345972673440704,0.289411764705882,0.319846547314578,0.179261525907793,0.165025840298532,0.15111855553032,0.235199489620651,0.352878471739231,0.335955394816154,0.285900343519156,0.311904761904762,0.203019744483159,0.176190476190476,0.276190476190476,0.246187715437799,0.372771057695069,0.356659946583958,0.33474213836478,0.229594766113091,-0.266962406015038,0.418989708242848,0.418989708242848,0.440637505314585,-0.381843210257932,0.376097916881926,0.363112134891405,0.363112134891405,0.363112134891405,-0.464406988744929,-0.327801663531714,-0.422216519647153,0.158910909452864,0.237587820184113,0.248513672838011,0.224345811051693,0.236463313125781,0.209194295900178,0.223160560832203,0.208009045680687,0.188606060606061,0.188606060606061,0.381045082548607,-0.233333333333333,-0.142857142857143,0.160606060606061,0.307843467723771,-0.221114982578397,-0.300937950937951
"CD44",0.4,0.387121212121212,0.345454545454545,0.3,0.2,0.389285714285714,0.42952380952381,0.364285714285714,0.3,0.314285714285714,0.214285714285714,0.20123586091328,0.191558441558442,0.183333333333333,0.258974358974359,0.266666666666667,0.362,0.2,0.15,0.1,0.2,0.199272727272727,0.248739495798319,0.242857142857143,0.2,-0.0333333333333333,-0.281818181818182,0.440151515151515,0.440151515151515,0.426584440227704,-0.131288251977907,0.2,0.166666666666667,0.166666666666667,0.166666666666667,-0.271433637284701,-0.220910973084886,-0.448214285714286,0.117634869469732,0.0214285714285714,0.0781853281853282,-0.05,0.0214285714285714,-0.1,0.05,0,0,0.1,-0.0221052631578947,-0.1,-0.1,0.1,-0.165934065934066,-0.15,-0.422408963585434
"RAF",0.431159420289855,0.461612903225806,0.41,0.35,0.3,0.216190476190476,0.323732057416268,0.173333333333333,0.153333333333333,0.153333333333333,0.165501165501166,0.164363636363636,0.156363636363636,0.224436090225564,0.150903010033445,0.103076923076923,0.454814814814815,0.08,0.142857142857143,0.1,0.1,0.272820512820513,0.211361737677527,0.158730158730159,0.114285714285714,0.105,-0.4,0.446666666666667,0.446666666666667,0.617295454545455,-0.483837209302326,0.0824829931972789,0.0416666666666667,0.0416666666666667,0.0416666666666667,-0.577938363633801,-0.151127477723222,-0.455306388526727,0.369749645115499,0.308841463414634,0.341526648599819,0.2625,0.306341463414634,0.2,0.26,0.2,0.1,0.1,0.328282828282828,-0.1,-0.1,0,0.00792236724366688,-0.192857142857143,-0.323809523809524
"Jagged",0.307563025210084,0.328282828282828,0.255555555555556,0.2,0.2,0.286666666666667,0.235555555555556,0.22,0.1,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0.288636363636364,0,0.0333333333333333,0,0,0.166493506493506,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.455555555555556,0.455555555555556,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.511965997467897,-0.23639846743295,-0.467676767676768,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.1,0.2,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.226666666666667
"DELTA",0.307563025210084,0.328282828282828,0.255555555555556,0.2,0.2,0.286666666666667,0.235555555555556,0.22,0.1,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0.288636363636364,0,0.0333333333333333,0,0,0.166493506493506,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.455555555555556,0.455555555555556,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.511965997467897,-0.23639846743295,-0.467676767676768,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.1,0.2,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.226666666666667
"SOSGRB2",0.459445715738622,0.481785183963042,0.429153605015674,0.363636363636364,0.3,0.344273504273504,0.444899690473461,0.302051282051282,0.253333333333333,0.286666666666667,0.27265221878225,0.269440537084399,0.256397058823529,0.319242479600536,0.333333333333333,0.3,0.469653524492234,0.285714285714286,0.242857142857143,0.2,0.3,0.378650369238605,0.396209150326797,0.351111111111111,0.311111111111111,-0.00455486542443065,-0.425174825174825,0.474327367547706,0.474327367547706,0.637781362163419,-0.500714725971396,0.318023639902155,0.274716553287982,0.274716553287982,0.274716553287982,-0.598478791181404,-0.301470588235294,-0.484755244755245,0.389513548147773,0.319364448857994,0.357610062893082,0.268421052631579,0.317610062893082,0.2,0.266666666666667,0.2,0.1,0.1,0.336416747809153,-0.2,-0.2,0,-0.0532630310670568,-0.281987577639752,-0.432009803921569
"SMO",0.417740817740818,0.51334628190899,0.466176470588235,0.425,0.4,0.388461538461538,0.362612612612613,0.35,0.2,0.3,0.137121212121212,0.140952380952381,0.126666666666667,0.331674347158218,0.240683229813665,0.192857142857143,0.265201465201465,0.15,0.253333333333333,0.333333333333333,0.1,0.242857142857143,0.32615629984051,0.278787878787879,0.233333333333333,0.23,-0.402857142857143,0.479607843137255,0.479607843137255,0.452264957264957,-0.391193054336162,0.380929487179487,0.347596153846154,0.347596153846154,0.347596153846154,-0.437290970746027,-0.333841076415334,-0.489855072463768,0.294526298324208,0.342857142857143,0.270136054421769,0.3,0.23952380952381,0.25,0.196666666666667,0.15,0.2,0.1,0.365504670767829,0,-0.3,0.1,0.316479076479076,-0.296190476190476,-0.36
"STAT",0.24588785046729,0.234372383344751,0.217816091954023,0.183333333333333,0.15,0.22017094017094,0.177099165024862,0.202222222222222,0.2,0.188888888888889,0.0595238095238095,0.0689166666666667,0.0626666666666667,0.0650382592061215,0.0430576441102757,0.0342857142857143,0.0961027698588674,0.02,0.045,0.025,0,0.0694685349632876,0.0332740428255862,0.0204027556968733,-0.00392156862745098,0.000955566172957478,-0.35969696969697,0.480446039116364,0.480446039116364,0.109157913157969,-0.0688743360328604,-0.0299088680137067,-0.044194582299421,-0.044194582299421,-0.044194582299421,-0.218199756262129,0.0420361247947455,-0.496605012548561,0.03634266025622,0.0120982830728593,0.0249534237105379,-0.00146103896103896,0.0123320644872369,-0.0196428571428571,-0.00146103896103896,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0425026586316909,0,0,0,-0.0622977954595226,-0.0571951219512195,-0.200732841126607
"MEK",0.473467112597547,0.505061179087875,0.461612903225806,0.41,0.35,0.166190476190476,0.34826035930306,0.216190476190476,0.153333333333333,0.173333333333333,0.174273095325727,0.17843771043771,0.164363636363636,0.249710815500289,0.185385768654135,0.150903010033445,0.488572776598254,0.103076923076923,0.192857142857143,0.142857142857143,0.08,0.299402791301525,0.250755677071467,0.211361737677527,0.158730158730159,0.138333333333333,-0.440425531914894,0.490355987055016,0.490355987055016,0.653106265356265,-0.524050732433998,0.118809523809524,0.0824829931972789,0.0824829931972789,0.0824829931972789,-0.622694641329517,-0.178456670269806,-0.49858997061628,0.393087324385381,0.344026648599819,0.369749645115499,0.308841463414634,0.341526648599819,0.2625,0.306341463414634,0.26,0.2,0.2,0.37097288676236,-0.1,-0.1,0.1,0.0280836575662475,-0.224436090225564,-0.355059523809524
