"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","HEY1","ERK","cfos","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0567905372676879,0.0255550205563169,0.0288062520834105,0.0272273047149894,0.0210204081632653,0.0947705023779163,0.0431865205883454,0.0516666666666667,0.00902680652680653,0.0422896596017983,0.0405555555555556,0.0129861490562116,0.0127514072721741,-0.120229927459598,0.0449802631010685,-0.039990931865969,0.0496782496782497,0.0523809523809524,-0.111877394636015,-0.111877394636015,-0.185868055548433,0.0523809523809524,-0.0598730284697872,-0.0560654132393263,-0.0549784567175871,-0.0590319608395081,-0.203149190846705,0.192133863412772,0.192133863412772,-0.23399774890704,0.215009252685094,0.00184994900073093,0.00295231120545534,0.00295231120545534,0.00295231120545534,0.0517357523664411,-0.0883052637348872,-0.203803589903581,-0.186622379297913,-0.185758339602481,-0.186061441001126,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0199156267531002,0.116540607071248,-0.098417660986907
"AXIN2",0.110540380774573,0.0645281966741413,0.0638681306675407,0.0647530864197531,0.0783333333333333,0.1547184519461,0.10202660085013,0.153333333333333,0.0187481889307447,0.107481146304676,0.125128205128205,0.0177017258777176,0.0220841959972395,-0.153439770611902,0.101497584541063,-0.0370946197518206,0.104830917874396,0.109178743961353,-0.152930402930403,-0.157692307692308,-0.220035634166069,0.122222222222222,-0.0536633814265393,-0.052312030075188,-0.0505263157894737,-0.0760578448159653,-0.252988588338008,0.245175501457021,0.245175501457021,-0.277142782789495,0.249359406027404,0.0667622309742845,0.069649370081896,0.069649370081896,0.069649370081896,0.0626921145380067,-0.170211183129338,-0.2593606087525,-0.239908935293043,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159719384343445,0.151144688644689,-0.157543310703162
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.104658385093168,0.0946078431372549,0.1,0.0656410256410257,0.0416666666666667,0.0666666666666667,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.222941176470588,0.0866666666666667,0.0666666666666667,0.05,0,0.153259803921569,0.1,0.192857142857143,0.142857142857143,0.1,0.0939393939393939,-0.262745098039216,0.304208512673362,0.304208512673362,0.340258620689655,-0.334703389830508,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.402475553557379,-0.0729623824451411,-0.306262626262626,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.0785714285714286
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.118944099378882,0.143627450980392,0.0666666666666667,0.0635133660665576,0.0946078431372549,0.0416666666666667,0.0614106823409149,0.0566487775790101,0.119417679095098,0.161666666666667,0.24484593837535,0.136666666666667,0.0866666666666667,0.0954545454545455,0.05,0.16437091503268,0.0666666666666667,0.222268907563025,0.192857142857143,0.142857142857143,0.135874877810362,-0.300840336134454,0.338861978019897,0.338861978019897,0.367877668308703,-0.366766881894001,0.173449819968676,0.150615174299385,0.150615174299385,0.150615174299385,-0.437673688755514,-0.0919807873531165,-0.342200126262626,0.348800478016233,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00819824740195381,-0.10974025974026,-0.104658385093168
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.33671420000923,0.359881422924901,0.2,0.111306340718105,0.327272727272727,0.281818181818182,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.412614379084967,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.354514963880289,0.354514963880289,0.4649781869926,-0.592777865765671,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.673504886266412,-0.348106210167198,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.308817204301075
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.33671420000923,0.359881422924901,0.2,0.111306340718105,0.327272727272727,0.281818181818182,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.412614379084967,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.354514963880289,0.354514963880289,0.4649781869926,-0.592777865765671,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.673504886266412,-0.348106210167198,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.308817204301075
"RAF",0.274830659536542,0.305567765567766,0.251282051282051,0.207692307692308,0.2,0.201047786917352,0.196867167919799,0.15,0.143025210084034,0.154761904761905,0.15,0.138273411232065,0.137198142414861,0.19362962962963,0.140692640692641,0.365384615384615,0.0952380952380952,0.0666666666666667,0.12,0.08,0.249749373433584,0.1,0.203846153846154,0.15,0.1,0.14472049689441,-0.318245614035088,0.356543486375513,0.356543486375513,0.616488542903637,-0.468884179268891,0.10869583216899,0.0629014396456257,0.0629014396456257,0.0629014396456257,-0.535233153942831,-0.14645947267796,-0.365772833723653,0.370412231053844,0.318,0.346348059930849,0.27,0.316421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.336219336219336,-0.1,-0.1,0,0.0366220735785953,-0.164,-0.160507246376812
"DSH",0.231314495378143,0.258798161894662,0.240331262939959,0.203188405797101,0.146666666666667,0.133900111109087,0.17585885593907,0.0416666666666667,0.0706562232094147,0.143627450980392,0.0946078431372549,0.0746182295107262,0.0614106823409149,0.129976685306279,0.176609195402299,0.262576434829251,0.161666666666667,0.136666666666667,0.10974025974026,0.0954545454545455,0.17843341503268,0.0866666666666667,0.239751425045543,0.222268907563025,0.192857142857143,0.165143170493289,-0.33287917108591,0.364058828413597,0.364058828413597,0.391564949522238,-0.394446504979984,0.19582942336811,0.173449819968676,0.173449819968676,0.173449819968676,-0.465026371253315,-0.109382179464485,-0.369029394555309,0.366164681043837,0.328532114600226,0.348800478016233,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00480366464393529,-0.119417679095098,-0.118944099378882
"SHH",0.35,0.44,0.4,0.3,0.2,0.283333333333333,0.3,0,0.0666666666666667,0.2,0.1,0.1,0.0666666666666667,0.253333333333333,0.15,0.2,0.1,0,0.3,0.2,0.162857142857143,0,0.233333333333333,0.2,0.1,0.25,-0.3,0.375,0.375,0.36727969348659,-0.299068100358423,0.303846153846154,0.25,0.25,0.25,-0.341666666666667,-0.271794871794872,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.25
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.173280998389694,0.184550371872887,0.0666666666666667,0.0747923182995325,0.136274509803922,0.0833333333333333,0.0784348861495818,0.0694917967186875,0.132051282051282,0.276018099547511,0.276816119652898,0.252941176470588,0.2,0.1,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.17004048582996,-0.336842105263158,0.375508463573364,0.375508463573364,0.395007179549407,-0.396875422177051,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.472077970556085,-0.184031491384433,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.152447665056361
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.173280998389694,0.184550371872887,0.0666666666666667,0.0747923182995325,0.136274509803922,0.0833333333333333,0.0784348861495818,0.0694917967186875,0.132051282051282,0.276018099547511,0.276816119652898,0.252941176470588,0.2,0.1,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.17004048582996,-0.336842105263158,0.375508463573364,0.375508463573364,0.395007179549407,-0.396875422177051,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.472077970556085,-0.184031491384433,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.152447665056361
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.37146790711633,0.390488815244408,0.2,0.116169379144063,0.348235294117647,0.288235294117647,0.112087517128288,0.0934272300469483,0.365447812927988,0.36889281262983,0.448322008191805,0.326724137931034,0.275,0.301176470588235,0.26,0.401762028014479,0.2,0.41441672362725,0.376754385964912,0.332894736842105,0.323799864773496,-0.286538461538462,0.378588839941263,0.378588839941263,0.710777486540221,-0.63753975365315,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.808795441395151,-0.386470390385003,-0.386587993124707,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385743987724154,-0.335870348139256,-0.340320366132723
"cateninnuc",0.395207420994306,0.378697062812708,0.358173045345459,0.331736263736264,0.299428571428571,0.337930583317237,0.365722346053924,0.293939393939394,0.124182623803447,0.344363122752953,0.319363122752953,0.110875775871721,0.103056845830568,0.217357439061679,0.345354166666667,0.324932174627243,0.328166666666667,0.304166666666667,0.18792349726776,0.163333333333333,0.248074598818217,0.270833333333333,0.375258358118035,0.356621994481671,0.332203389830509,0.263245329277428,-0.301618152507832,0.382946233909949,0.382946233909949,0.463689248581719,-0.410140467636894,0.388737788805242,0.372717552717553,0.372717552717553,0.372717552717553,-0.493466543961703,-0.337687061418291,-0.390226954822903,0.182479914887107,0.255050909979439,0.269251524939579,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.233333333333333,-0.133333333333333,0.160606060606061,0.320000947596108,-0.204693683603163,-0.323216431489683
"SOSGRB2",0.355862831858407,0.381331413343926,0.332426303854875,0.293650793650794,0.271428571428571,0.337560483870968,0.295571095571096,0.22,0.242700005144827,0.261025641025641,0.253333333333333,0.238790200859166,0.233605015673981,0.28084388185654,0.324561952440551,0.395810955961332,0.292647058823529,0.275,0.213333333333333,0.18,0.347239501096782,0.3,0.387380952380952,0.341666666666667,0.3,0.0799396681749623,-0.353400673400673,0.38976430976431,0.38976430976431,0.639333304002229,-0.490243870934408,0.342965862143944,0.293650793650794,0.293650793650794,0.293650793650794,-0.558007270507271,-0.295416278708876,-0.400725034199726,0.395467254925787,0.330223880597015,0.367180402336145,0.275,0.329136924075276,0.273913043478261,0.2,0.2,0.1,0.1,0.344886363636364,-0.2,-0.2,0,-0.0242539387568614,-0.246666666666667,-0.295625
"RAS",0.338218694885362,0.362270408163265,0.31125,0.28,0.26,0.297637085137085,0.221456582633053,0.16,0.152766798418972,0.197647058823529,0.18,0.150915750915751,0.147619047619048,0.185294298921418,0.207843137254902,0.37196745132229,0.166666666666667,0.166666666666667,0.109090909090909,0.1,0.25386218354876,0.2,0.27516339869281,0.222222222222222,0.2,0.0782638414217361,-0.353007518796992,0.393433050711886,0.393433050711886,0.574011315052337,-0.398954868010219,0.162335075927309,0.212820512820513,0.212820512820513,0.212820512820513,-0.468321187850972,-0.211783270492948,-0.402666666666667,0.407904344136944,0.338970588235294,0.378797715894869,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.028869602170573,-0.153090909090909,-0.256565656565657
"MEK",0.319758195768426,0.351093057396559,0.305567765567766,0.251282051282051,0.207692307692308,0.226390252670777,0.1468671679198,0.15,0.144015309093935,0.196867167919799,0.154761904761905,0.145531475748194,0.138273411232065,0.211112147112147,0.175757575757576,0.398455481526348,0.140692640692641,0.0952380952380952,0.164,0.12,0.268010242998801,0.0666666666666667,0.244003634161114,0.203846153846154,0.15,0.181429357653904,-0.353662280701754,0.396457649465642,0.396457649465642,0.64956447597957,-0.504534114918827,0.142250649444738,0.10869583216899,0.10869583216899,0.10869583216899,-0.576102719160223,-0.172501139344627,-0.404903268506262,0.392330039273022,0.34792700729927,0.370412231053844,0.318,0.346348059930849,0.316421052631579,0.27,0.268421052631579,0.2,0.2,0.376406252107187,-0.1,-0.08,0.1,0.0552216359418338,-0.19362962962963,-0.201047786917352
"AKT",0.278358212604682,0.298249873938228,0.273778574844572,0.233941176470588,0.177941176470588,0.194799985731466,0.215536287365845,0.0833333333333333,0.0862426999789218,0.184550371872887,0.136274509803922,0.0908927986074942,0.0784348861495818,0.148008728859793,0.195210018739431,0.300363520264519,0.276018099547511,0.252941176470588,0.115384615384615,0.1,0.201912280701754,0.2,0.2592749500696,0.236104218362283,0.203846153846154,0.203373819163293,-0.370175438596491,0.404960518367885,0.404960518367885,0.423103856286568,-0.428577766723433,0.243360735787893,0.21635343651782,0.21635343651782,0.21635343651782,-0.50439967010085,-0.204596007513465,-0.40598605092337,0.400873571167032,0.357752076547316,0.381335109628571,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388916279869348,-0.166666666666667,-0.05,0.2,-0.00393016549012642,-0.132051282051282,-0.173280998389694
"CD44",0.373333333333333,0.367647058823529,0.35,0.3,0.2,0.358838729290166,0.326315789473684,0.2,0.192982456140351,0.3,0.2,0.182860520094563,0.172222222222222,0.166161616161616,0.252380952380952,0.347785547785548,0.266666666666667,0.2,0.15,0.1,0.182121212121212,0.2,0.242857142857143,0.242857142857143,0.2,0.0833333333333333,-0.277777777777778,0.417777777777778,0.417777777777778,0.433039215686274,-0.144133148404993,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,-0.281462585034014,-0.2,-0.429778506972929,0.131436531007752,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.153733208372384,-0.138888888888889,-0.337908496732026
"IKK",0.497806637806638,0.529191919191919,0.469191919191919,0.405555555555556,0.35,0.293560927339553,0.24,0.1,0.181940144478844,0.166666666666667,0.142857142857143,0.18578795379538,0.172916666666667,0.2557343550447,0.321042471042471,0.532941176470588,0.264285714285714,0.314285714285714,0.18,0.12,0.287413308341143,0.3,0.362914862914863,0.307359307359307,0.245454545454545,0.301890756302521,-0.363369963369963,0.425418546365915,0.425418546365915,0.660347091652491,-0.569256032607988,0.380598655453593,0.334119782214156,0.334119782214156,0.334119782214156,-0.682863893582049,-0.224505494505495,-0.428840579710145,0.439530455479823,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.139265491747074,-0.228148148148148,-0.25462962962963
"ERK",0.348695924706155,0.38022922137899,0.351093057396559,0.305567765567766,0.251282051282051,0.247677381383648,0.188281309333941,0.154761904761905,0.154463070287964,0.1468671679198,0.196867167919799,0.157518339459196,0.145531475748194,0.226436822436822,0.200757575757576,0.423161363879289,0.175757575757576,0.140692640692641,0.19362962962963,0.164,0.285373587050248,0.0952380952380952,0.271006601520165,0.244003634161114,0.203846153846154,0.215108114130588,-0.390063954341922,0.428775754372579,0.428775754372579,0.67735022442529,-0.53598768808363,0.169353453183055,0.142250649444738,0.142250649444738,0.142250649444738,-0.609460410062671,-0.193346480362878,-0.43920406006299,0.411700233341129,0.371409856903492,0.392330039273022,0.34792700729927,0.370412231053844,0.346348059930849,0.318,0.316421052631579,0.27,0.268421052631579,0.406338224896302,-0.0666666666666667,-0.12,0.2,0.0702176896119207,-0.211112147112147,-0.226390252670777
