states,Avg0,SD0,frust0
'10001110010111110100',0.0022666666666666664,0.00033993463423951894,0.25
'01000001100000011011',0.002466666666666667,0.0002494438257849294,0.25
'01110001100000001111',0.0026333333333333334,0.0001247219128924647,0.325
'01100001101000011011',0.005666666666666667,0.0007586537784494029,0.225
'10101110010110110000',0.0031333333333333335,0.0005312459150169742,0.275
'01100001101000001111',0.0019,0.00029439202887759485,0.35
'10101110010110100100',0.003966666666666666,0.00046427960923947056,0.25
'01000001101000011111',0.0005333333333333334,0.0001247219128924647,0.175
'10001110011111110000',0.0028,0.00032659863237109054,0.325
'10001110010111110000',0.0015333333333333334,0.0001699673171197595,0.35
'01100001100000011111',0.007333333333333333,0.00060184900284226,0.15
'10101110010111100100',0.007200000000000001,0.0012027745701779146,0.175
'01010001101001011011',0.004233333333333334,0.0005557777333511022,0.25
'10111110011110100000',0.0022,0.0004320493798938573,0.175
'10111110010111100100',0.0033333333333333335,0.000793025150224688,0.225
'10001110011111110100',0.0003,8.164965809277261e-5,0.325
'01000001101001001111',0.00036666666666666667,0.00020548046676563254,0.325
'01110001101001011011',0.0012666666666666666,0.0001699673171197595,0.3
'01110001101000011111',0.0003333333333333333,0.00012472191289246472,0.225
'01100001100000011011',0.0030666666666666668,0.0009428090415820635,0.25
'01100001100000001011',0.001,0.00021602468994692865,0.325
'10111110010111100000',0.0006333333333333333,0.00012472191289246472,0.175
'10111110010110110100',0.0016333333333333332,0.0002867441755680876,0.275
'01110001100001001011',0.0005333333333333334,0.0001247219128924647,0.3
'10011110010110100000',0.0018000000000000002,0.0001632993161855452,0.3
'10101110011111110100',0.0014666666666666667,0.00016996731711975947,0.325
'10011110010111110000',0.002266666666666667,4.714045207910309e-5,0.35
'01010001100000001011',0.0017666666666666664,0.0004921607686744466,0.325
'01100001101001011111',0.0015666666666666667,0.00016996731711975947,0.3
'01000001100001011011',0.0013666666666666664,0.00018856180831641268,0.325
'01110001100000001011',0.0004666666666666666,0.0001247219128924647,0.325
'01110001100000011011',0.00046666666666666666,9.42809041582063e-5,0.25
'10101110011110110100',0.0006666666666666666,0.00020548046676563254,0.3
'10101110010111100000',0.0013666666666666669,0.00026246692913372703,0.125
'01010001101000001111',0.0026333333333333334,0.00018856180831641257,0.3
'01100001100001001011',0.0014999999999999998,0.0004898979485566356,0.3
'10001110011110100000',0.0013666666666666669,0.0002494438257849294,0.225
'10001110011111100100',0.0006666666666666666,4.714045207910318e-5,0.25
'10111110010110100000',0.00036666666666666667,0.00020548046676563254,0.25
'01010001100001001011',0.0007000000000000001,0.0002449489742783178,0.3
'10101110010110100000',0.001,0.00014142135623730948,0.2
'01110001101000001111',0.0013333333333333333,0.0003091206165165235,0.35
'01000001101001001011',0.0015333333333333334,0.0003091206165165234,0.275
'10001110010111100100',0.0008666666666666666,0.00012472191289246472,0.225
'10111110011111110100',0.0005333333333333333,0.00026246692913372703,0.375
'10101110011110100100',0.0019666666666666665,0.00023570226039551585,0.275
'01000001100000001011',0.0007333333333333333,4.714045207910318e-5,0.375
'10101110010111110000',0.0023666666666666667,0.00023570226039551585,0.3
'01110001100001011111',0.0012666666666666666,0.0004189935029992178,0.225
'10111110011110110100',0.0003333333333333333,4.714045207910319e-5,0.35
'01110001100001011011',0.00039999999999999996,8.164965809277262e-5,0.325
'10001110011110100100',0.0004333333333333333,0.0001247219128924647,0.325
'10011110011111110100',0.0011333333333333334,0.00012472191289246467,0.325
'10001110010110100000',0.0005,0.00021602468994692865,0.3
'10111110010111110100',0.0009666666666666666,0.00026246692913372703,0.3
'10111110010111110000',0.00030000000000000003,0.0001414213562373095,0.35
'10111110010110110000',0.00046666666666666666,9.42809041582063e-5,0.325
'01000001100001001011',0.0005,0.00021602468994692865,0.35
'10001110010111100000',0.00039999999999999996,8.164965809277262e-5,0.225
'10001110011110110100',0.00023333333333333333,0.00012472191289246472,0.3
'10011010011111100000',,,0.125
