,Network,PFL,Type1,Type2,MISA,MISSA,uMISSA
121,EMT_RACIPE2_208,106,45779,28834,8712,737,18
122,EMT_RACIPE2_209,99,33310,25147,9438,428,94
123,EMT_RACIPE2_21,105,43610,24084,9592,195,22
124,EMT_RACIPE2_210,103,44984,29454,10822,320,50
125,EMT_RACIPE2_211,112,53928,35259,11035,527,109
126,EMT_RACIPE2_212,120,53964,40261,16692,554,121
127,EMT_RACIPE2_213,115,50633,35960,15408,448,117
128,EMT_RACIPE2_214,94,30060,22380,8500,433,92
129,EMT_RACIPE2_215,104,40119,23120,12574,168,44
130,EMT_RACIPE2_216,111,49811,33785,12248,782,77
131,EMT_RACIPE2_217,103,42056,25373,7948,332,111
132,EMT_RACIPE2_218,104,39131,26979,9715,405,62
133,EMT_RACIPE2_219,105,49745,27924,9154,927,57
134,EMT_RACIPE2_22,107,42367,23703,8560,695,67
135,EMT_RACIPE2_220,100,34904,19409,7834,449,62
136,EMT_RACIPE2_221,100,31716,25975,11269,455,89
137,EMT_RACIPE2_222,108,44683,29263,8308,425,89
138,EMT_RACIPE2_223,116,49994,36154,10152,1196,78
139,EMT_RACIPE2_224,99,41279,18802,6594,477,67
140,EMT_RACIPE2_225,109,46286,27051,7723,578,0
141,EMT_RACIPE2_226,110,42141,24608,9177,429,69
142,EMT_RACIPE2_227,112,53439,29171,10166,895,25
143,EMT_RACIPE2_228,113,50749,33066,9320,631,17
144,EMT_RACIPE2_229,95,37450,20168,6488,243,62
145,EMT_RACIPE2_23,109,47909,31159,10404,496,111
146,EMT_RACIPE2_230,107,45640,31745,13377,235,131
147,EMT_RACIPE2_231,107,45350,34774,15059,348,82
148,EMT_RACIPE2_232,97,35571,21066,5953,774,128
149,EMT_RACIPE2_233,90,29024,16675,4751,412,53
150,EMT_RACIPE2_234,110,47656,32139,10274,483,22
151,EMT_RACIPE2_235,111,47294,32631,12273,461,50
152,EMT_RACIPE2_236,103,40162,22369,8197,134,69
153,EMT_RACIPE2_237,104,39074,20026,7881,243,118
154,EMT_RACIPE2_238,111,47634,35825,13800,486,91
155,EMT_RACIPE2_239,101,40812,23701,9740,370,106
156,EMT_RACIPE2_24,110,54587,32775,10375,627,0
157,EMT_RACIPE2_240,110,46382,34306,14990,253,115
158,EMT_RACIPE2_241,87,23895,17585,7252,394,57
159,EMT_RACIPE2_242,125,58879,38750,9985,410,94
160,EMT_RACIPE2_243,112,46850,33740,13912,675,81
161,EMT_RACIPE2_244,100,36473,27369,13802,615,41
162,EMT_RACIPE2_245,105,51420,27444,10918,572,57
163,EMT_RACIPE2_246,104,45795,29639,10509,615,122
164,EMT_RACIPE2_247,110,52577,34045,13225,760,129
165,EMT_RACIPE2_248,114,48984,30309,6794,497,0
166,EMT_RACIPE2_249,110,48016,34401,12925,723,133
167,EMT_RACIPE2_25,88,23852,14460,5913,181,111
168,EMT_RACIPE2_250,101,42542,27907,8643,513,120
169,EMT_RACIPE2_251,112,44358,31459,12562,1144,75
170,EMT_RACIPE2_252,106,43686,28332,11256,501,154
171,EMT_RACIPE2_253,109,52346,34243,16855,648,94
172,EMT_RACIPE2_254,118,55422,39886,8379,1250,124
173,EMT_RACIPE2_255,115,55492,38812,18493,625,138
174,EMT_RACIPE2_256,117,53739,42096,17781,346,169
175,EMT_RACIPE2_257,111,51826,36140,10034,364,207
176,EMT_RACIPE2_258,105,45024,26427,7520,876,39
177,EMT_RACIPE2_259,109,43236,30135,9697,769,41
178,EMT_RACIPE2_26,106,42709,22901,8551,275,66
179,EMT_RACIPE2_260,104,45050,28840,12744,500,84
180,EMT_RACIPE2_261,108,46845,30273,10847,594,18
181,EMT_RACIPE2_262,100,34873,25526,7716,246,93
182,EMT_RACIPE2_263,103,38582,28692,11092,183,118
183,EMT_RACIPE2_264,101,39538,24234,8797,123,80
184,EMT_RACIPE2_265,95,32180,18835,8427,155,90
185,EMT_RACIPE2_266,98,33888,20734,9397,386,104
186,EMT_RACIPE2_267,109,43167,26165,6142,648,20
187,EMT_RACIPE2_268,110,47464,30754,7833,486,113
188,EMT_RACIPE2_269,105,34232,27764,15339,341,71
189,EMT_RACIPE2_27,121,58319,39692,18399,217,158
190,EMT_RACIPE2_270,103,43360,27439,11550,589,63
191,EMT_RACIPE2_271,107,45082,27708,9768,289,70
192,EMT_RACIPE2_272,114,47442,31533,11789,457,79
193,EMT_RACIPE2_273,103,42987,24824,10724,689,20
194,EMT_RACIPE2_274,113,51126,38284,10330,1173,41
195,EMT_RACIPE2_275,105,46493,31010,11520,238,82
196,EMT_RACIPE2_276,100,41249,25704,9416,760,54
197,EMT_RACIPE2_277,114,45387,30453,12696,514,67
198,EMT_RACIPE2_278,125,58750,40832,14748,667,158
199,EMT_RACIPE2_279,97,38168,20529,6039,317,85
200,EMT_RACIPE2_28,109,45468,27500,7151,346,0
201,EMT_RACIPE2_280,121,59416,41879,15131,690,86
202,EMT_RACIPE2_281,106,45976,22521,9834,392,75
203,EMT_RACIPE2_282,98,35236,22504,8812,510,106
204,EMT_RACIPE2_283,110,50348,30453,13311,443,68
205,EMT_RACIPE2_284,101,37370,25118,8444,699,60
206,EMT_RACIPE2_285,107,43321,28754,12418,491,82
207,EMT_RACIPE2_286,113,50812,30877,7024,55,0
208,EMT_RACIPE2_287,113,53312,33107,13521,503,100
209,EMT_RACIPE2_288,111,48684,30674,12823,292,75
210,EMT_RACIPE2_289,106,41291,29445,13451,456,87
211,EMT_RACIPE2_29,113,50061,35100,16182,372,80
212,EMT_RACIPE2_290,102,34106,24141,8343,459,40
213,EMT_RACIPE2_291,87,26706,15777,6479,202,59
214,EMT_RACIPE2_292,99,36620,23162,7464,727,19
215,EMT_RACIPE2_293,106,39608,26243,9807,562,0
216,EMT_RACIPE2_294,106,42634,26053,11330,779,122
217,EMT_RACIPE2_295,108,49529,31285,11305,583,173
218,EMT_RACIPE2_296,113,52723,35557,12680,935,104
219,EMT_RACIPE2_297,115,51950,30936,12629,529,16
220,EMT_RACIPE2_298,106,42836,27922,10968,531,122
221,EMT_RACIPE2_299,107,41433,25194,7514,860,62
222,EMT_RACIPE2_3,113,53152,27098,10958,269,87
223,EMT_RACIPE2_30,97,36106,22799,8294,264,119
224,EMT_RACIPE2_300,98,36855,21214,6989,802,16
225,EMT_RACIPE2_301,104,43020,31791,8903,677,72
226,EMT_RACIPE2_302,102,45028,27228,10085,192,66
227,EMT_RACIPE2_303,108,44656,29942,13462,541,35
228,EMT_RACIPE2_304,105,38450,26190,4974,896,66
229,EMT_RACIPE2_305,104,38994,21590,9099,296,42
230,EMT_RACIPE2_306,113,53206,33399,10400,216,100
231,EMT_RACIPE2_307,121,58853,40644,17518,413,97
232,EMT_RACIPE2_308,97,34453,22921,8462,481,154
233,EMT_RACIPE2_309,98,36235,23041,8738,678,124
234,EMT_RACIPE2_31,111,51889,30299,15382,454,65
235,EMT_RACIPE2_310,119,58824,39639,13775,321,105
236,EMT_RACIPE2_311,105,40782,28389,11658,498,118
237,EMT_RACIPE2_312,103,38515,24010,7429,413,38
238,EMT_RACIPE2_313,101,40301,26545,7756,309,123
239,EMT_RACIPE2_314,110,52678,28657,11827,646,25
240,EMT_RACIPE2_315,109,39455,28071,9372,555,0
241,EMT_RACIPE2_316,112,51816,35633,10711,712,102
242,EMT_RACIPE2_317,118,53383,38716,15109,1037,112
243,EMT_RACIPE2_318,121,60229,40421,16676,397,68
244,EMT_RACIPE2_319,105,45906,28305,10919,286,134
245,EMT_RACIPE2_32,101,35647,25236,9293,126,126
246,EMT_RACIPE2_320,111,39908,30178,8897,968,114
247,EMT_RACIPE2_321,111,46112,31553,8224,214,86
248,EMT_RACIPE2_322,103,40021,26616,9578,443,100
249,EMT_RACIPE2_323,109,45395,30629,9377,921,43
250,EMT_RACIPE2_324,104,46621,27277,7623,461,45
251,EMT_RACIPE2_325,112,54059,36831,13600,163,163
252,EMT_RACIPE2_326,108,47670,30113,8933,479,109
253,EMT_RACIPE2_327,111,50160,34261,13513,502,110
254,EMT_RACIPE2_328,121,60752,43322,15797,546,171
255,EMT_RACIPE2_329,98,35929,19387,7679,366,81
256,EMT_RACIPE2_33,110,46027,23854,8974,413,112
257,EMT_RACIPE2_330,102,40815,23929,8900,303,48
258,EMT_RACIPE2_331,105,40984,24686,11001,457,63
259,EMT_RACIPE2_332,105,41364,26132,8453,958,0
260,EMT_RACIPE2_333,100,33448,24692,9642,602,119
261,EMT_RACIPE2_334,118,57369,33971,10481,602,69
262,EMT_RACIPE2_335,98,35550,24003,10720,310,141
263,EMT_RACIPE2_336,93,34363,18003,6678,281,59
264,EMT_RACIPE2_337,105,38745,27663,10874,234,60
265,EMT_RACIPE2_338,102,45931,23502,7939,435,0
266,EMT_RACIPE2_339,112,47568,33578,14020,204,64
267,EMT_RACIPE2_34,105,40712,26480,7691,778,93
268,EMT_RACIPE2_340,110,47057,34732,11403,467,111
269,EMT_RACIPE2_341,99,28809,16739,6852,375,81
270,EMT_RACIPE2_342,112,48705,33563,12085,697,61
271,EMT_RACIPE2_343,105,40969,25022,9523,623,37
272,EMT_RACIPE2_344,110,48388,28349,8074,409,191
273,EMT_RACIPE2_345,127,66385,48636,14879,737,157
274,EMT_RACIPE2_346,109,42940,33663,14267,298,100
275,EMT_RACIPE2_347,104,43240,27153,9541,496,68
276,EMT_RACIPE2_348,129,56156,33575,12030,537,51
277,EMT_RACIPE2_349,116,48739,34524,8433,613,141
278,EMT_RACIPE2_35,128,50206,35828,14854,487,100
279,EMT_RACIPE2_350,98,35852,21455,8684,483,42
280,EMT_RACIPE2_351,106,43104,26528,7555,220,63
281,EMT_RACIPE2_352,110,46791,27053,8645,406,137
282,EMT_RACIPE2_353,111,50040,34440,11327,317,19
283,EMT_RACIPE2_354,110,52286,28540,8265,678,68
284,EMT_RACIPE2_355,103,42472,25520,10322,412,109
285,EMT_RACIPE2_356,98,29708,24263,8975,418,113
286,EMT_RACIPE2_357,104,42230,28709,11098,459,11
287,EMT_RACIPE2_358,105,40599,27332,8615,601,0
288,EMT_RACIPE2_359,110,50368,31022,12905,558,161
289,EMT_RACIPE2_36,97,37074,17828,7677,712,75
290,EMT_RACIPE2_360,112,48985,32118,12957,529,79
291,EMT_RACIPE2_361,78,17481,10223,4402,208,0
292,EMT_RACIPE2_362,103,43392,28337,9773,657,45
293,EMT_RACIPE2_363,106,48655,28242,11797,272,111
294,EMT_RACIPE2_364,103,37919,27275,11342,294,63
295,EMT_RACIPE2_365,99,39755,23824,9865,491,101
296,EMT_RACIPE2_366,101,40342,23874,7559,633,42
297,EMT_RACIPE2_367,108,44556,30813,14927,649,108
298,EMT_RACIPE2_368,104,35491,27405,9436,326,42
299,EMT_RACIPE2_369,108,49614,28394,7729,660,45
300,EMT_RACIPE2_37,102,42256,26081,10056,699,111
301,EMT_RACIPE2_370,102,40197,23386,7629,185,18
302,EMT_RACIPE2_371,112,43045,35704,11012,563,91
303,EMT_RACIPE2_372,100,38724,24287,8600,316,111
304,EMT_RACIPE2_373,111,49383,36142,17738,241,206
305,EMT_RACIPE2_374,102,36309,24821,6551,469,15
306,EMT_RACIPE2_375,107,40658,32941,11146,610,150
307,EMT_RACIPE2_376,104,40411,26367,9374,678,0
308,EMT_RACIPE2_377,117,50449,40722,15878,919,126
309,EMT_RACIPE2_378,101,42999,23947,8972,212,144
310,EMT_RACIPE2_379,111,54628,31574,11999,609,74
311,EMT_RACIPE2_38,105,42933,25961,9636,721,43
312,EMT_RACIPE2_380,109,46636,30902,12495,314,162
313,EMT_RACIPE2_381,115,49059,36488,15697,528,94
314,EMT_RACIPE2_382,91,27220,18244,8880,265,123
315,EMT_RACIPE2_383,101,42355,27063,7342,523,21
316,EMT_RACIPE2_384,113,53432,28841,10283,687,121
317,EMT_RACIPE2_385,108,47463,29657,9146,903,18
318,EMT_RACIPE2_386,99,38948,21513,8246,368,39
319,EMT_RACIPE2_387,114,49351,33681,14083,403,97
320,EMT_RACIPE2_388,111,50900,32040,15830,505,64
321,EMT_RACIPE2_389,105,43932,29100,9715,253,46
322,EMT_RACIPE2_39,113,45727,35928,12603,367,85
323,EMT_RACIPE2_390,107,44416,29772,10919,689,71
324,EMT_RACIPE2_391,107,49035,30306,14116,579,78
325,EMT_RACIPE2_392,109,47848,36218,14255,465,148
326,EMT_RACIPE2_393,111,52954,32503,11423,623,89
327,EMT_RACIPE2_394,102,33421,27482,11735,393,85
328,EMT_RACIPE2_395,92,23355,20053,5629,328,38
329,EMT_RACIPE2_396,105,42537,27461,8616,570,109
330,EMT_RACIPE2_397,108,41952,26595,13265,531,71
331,EMT_RACIPE2_398,106,41620,28637,9185,341,46
332,EMT_RACIPE2_399,104,35327,23892,7577,452,33
333,EMT_RACIPE2_4,113,53328,35792,13631,261,51
334,EMT_RACIPE2_40,98,33724,19797,7758,134,27
335,EMT_RACIPE2_400,103,41774,28927,10590,558,120
336,EMT_RACIPE2_401,120,60776,37671,14721,231,148
337,EMT_RACIPE2_402,103,40186,28903,11752,170,103
338,EMT_RACIPE2_403,106,43365,30635,13265,690,15
339,EMT_RACIPE2_404,119,55675,37894,17191,721,70
340,EMT_RACIPE2_405,113,52871,36682,12873,462,185
341,EMT_RACIPE2_406,98,39161,27563,10137,508,155
342,EMT_RACIPE2_407,100,34094,22474,7285,945,0
343,EMT_RACIPE2_408,107,45650,25803,10368,955,105
344,EMT_RACIPE2_409,113,46553,33359,11218,620,44
345,EMT_RACIPE2_41,103,40741,25989,10365,259,87
346,EMT_RACIPE2_410,111,42344,29886,8466,798,62
347,EMT_RACIPE2_411,101,39383,24279,7159,600,0
348,EMT_RACIPE2_412,121,59853,39348,17044,399,138
349,EMT_RACIPE2_413,106,39552,28929,9703,146,65
350,EMT_RACIPE2_414,108,45341,29954,9876,663,128
351,EMT_RACIPE2_415,98,32851,22194,9615,479,42
352,EMT_RACIPE2_416,95,31905,19970,7497,752,16
353,EMT_RACIPE2_417,111,49398,32452,10783,432,117
354,EMT_RACIPE2_418,122,51814,41710,14986,310,164
355,EMT_RACIPE2_419,103,45296,21833,7810,755,20
356,EMT_RACIPE2_42,111,48662,32996,10175,400,0
357,EMT_RACIPE2_420,105,41383,27004,8050,534,91
358,EMT_RACIPE2_421,110,48416,33367,12957,324,93
359,EMT_RACIPE2_422,103,40532,29399,9872,460,161
360,EMT_RACIPE2_423,106,43582,30332,9404,936,138
361,EMT_RACIPE2_424,106,48122,29328,12796,696,110
362,EMT_RACIPE2_425,103,34677,27575,11718,312,54
363,EMT_RACIPE2_426,105,35421,29071,9067,252,145
364,EMT_RACIPE2_427,107,48067,34332,10806,483,59
365,EMT_RACIPE2_428,99,40535,25648,10707,436,104
366,EMT_RACIPE2_429,108,43012,28411,14321,615,107
367,EMT_RACIPE2_43,110,44387,29545,9911,248,64
368,EMT_RACIPE2_430,110,51506,29230,8114,839,66
369,EMT_RACIPE2_431,102,41329,24142,8297,408,0
370,EMT_RACIPE2_432,103,36853,26651,8363,456,161
371,EMT_RACIPE2_433,102,39296,23939,9423,453,131
372,EMT_RACIPE2_434,114,46210,34678,16098,316,92
373,EMT_RACIPE2_435,104,38183,27187,13137,608,87
374,EMT_RACIPE2_436,106,43709,30581,8351,578,60
375,EMT_RACIPE2_437,118,53399,33850,9282,1261,40
376,EMT_RACIPE2_438,96,37931,24156,8063,473,22
377,EMT_RACIPE2_439,109,47299,27650,7070,784,135
378,EMT_RACIPE2_44,111,49751,33022,13823,271,38
379,EMT_RACIPE2_440,118,58622,36400,13075,489,70
380,EMT_RACIPE2_441,107,40577,26679,7426,557,129
381,EMT_RACIPE2_442,105,43036,26402,9932,594,47
382,EMT_RACIPE2_443,112,54669,37061,17171,359,93
383,EMT_RACIPE2_444,96,39196,18278,5123,269,55
384,EMT_RACIPE2_445,105,51212,30042,13466,632,0
385,EMT_RACIPE2_446,103,39901,22963,5700,617,26
386,EMT_RACIPE2_447,101,38070,22082,11076,466,104
387,EMT_RACIPE2_448,106,46349,27708,9532,469,175
388,EMT_RACIPE2_449,106,45924,31337,10994,471,150
389,EMT_RACIPE2_45,106,46278,27368,10074,185,85
390,EMT_RACIPE2_450,108,41730,29317,13574,897,149
391,EMT_RACIPE2_451,110,46237,26386,10394,356,45
392,EMT_RACIPE2_452,102,40483,27060,10539,253,138
393,EMT_RACIPE2_453,108,44138,29361,12009,572,56
394,EMT_RACIPE2_454,99,41377,23063,8505,236,122
395,EMT_RACIPE2_455,105,43401,28631,9465,254,28
396,EMT_RACIPE2_456,105,47734,26647,9691,346,141
397,EMT_RACIPE2_457,99,26161,21626,7852,636,14
398,EMT_RACIPE2_458,116,53368,30254,12650,339,136
399,EMT_RACIPE2_459,104,40049,28103,13135,621,118
400,EMT_RACIPE2_46,100,36240,24544,8464,435,110
401,EMT_RACIPE2_460,103,39614,24271,7630,517,93
402,EMT_RACIPE2_461,116,53683,33845,16765,797,48
403,EMT_RACIPE2_462,107,46208,33226,16104,614,122
404,EMT_RACIPE2_463,106,47900,29832,12115,363,109
405,EMT_RACIPE2_464,112,50615,31330,12440,359,140
406,EMT_RACIPE2_465,103,43639,25989,9619,278,127
407,EMT_RACIPE2_466,119,51679,43062,12021,545,121
408,EMT_RACIPE2_467,108,45709,28041,12123,664,56
409,EMT_RACIPE2_468,100,41764,24534,11378,507,118
410,EMT_RACIPE2_469,98,39808,22809,9485,395,0
411,EMT_RACIPE2_47,110,46774,32139,13594,381,69
412,EMT_RACIPE2_470,103,40235,26733,12253,248,81
413,EMT_RACIPE2_471,114,55184,35321,14878,503,115
414,EMT_RACIPE2_472,101,43613,25160,8438,714,62
415,EMT_RACIPE2_473,118,59346,42219,16562,646,164
416,EMT_RACIPE2_474,105,42232,23057,8361,583,14
417,EMT_RACIPE2_475,102,39554,25129,9108,734,70
418,EMT_RACIPE2_476,121,53852,36732,16769,587,145
419,EMT_RACIPE2_477,102,36697,27983,10284,310,64
420,EMT_RACIPE2_478,106,34562,27405,11440,350,33
421,EMT_RACIPE2_479,105,49050,27390,11591,486,67
422,EMT_RACIPE2_48,100,40110,25747,10291,172,143
423,EMT_RACIPE2_480,111,51693,31454,11405,413,181
424,EMT_RACIPE2_481,109,53330,33968,12237,573,113
425,EMT_RACIPE2_482,103,45436,24902,7662,775,58
426,EMT_RACIPE2_483,108,47091,30041,10832,418,166
427,EMT_RACIPE2_484,107,43936,25341,10654,228,129
428,EMT_RACIPE2_485,94,29004,20474,8440,200,91
429,EMT_RACIPE2_486,88,26929,19555,6302,339,146
430,EMT_RACIPE2_487,110,51017,30045,13679,262,67
431,EMT_RACIPE2_488,101,43540,22401,7966,396,188
432,EMT_RACIPE2_489,116,55731,39495,14258,239,135
433,EMT_RACIPE2_49,101,41541,22678,6473,552,115
434,EMT_RACIPE2_490,105,43180,26460,7599,295,0
435,EMT_RACIPE2_491,115,57659,35972,13205,438,121
436,EMT_RACIPE2_492,103,45053,23378,10812,357,0
437,EMT_RACIPE2_493,95,32443,19600,7440,449,21
438,EMT_RACIPE2_494,97,36378,24047,8340,355,41
439,EMT_RACIPE2_495,108,46380,23348,9646,148,75
440,EMT_RACIPE2_496,107,46943,28620,8207,404,46
441,EMT_RACIPE2_497,114,52430,34985,12916,496,92
442,EMT_RACIPE2_498,115,56482,33110,12925,412,149
443,EMT_RACIPE2_499,111,49393,31758,14870,455,72
444,EMT_RACIPE2_5,100,38885,21798,8823,268,12
445,EMT_RACIPE2_50,104,39114,30903,10194,590,125
446,EMT_RACIPE2_500,72,13709,14627,4842,0,0
447,EMT_RACIPE2_51,119,57926,38130,11675,718,75
448,EMT_RACIPE2_52,111,52179,33342,11802,305,0
449,EMT_RACIPE2_53,105,47094,29638,11201,182,113
450,EMT_RACIPE2_54,89,27807,16544,5251,392,103
451,EMT_RACIPE2_55,91,27861,16827,7513,202,32
452,EMT_RACIPE2_56,101,39301,22305,8230,424,22
453,EMT_RACIPE2_57,101,36535,25533,9980,625,111
454,EMT_RACIPE2_58,113,49096,34108,12622,370,111
455,EMT_RACIPE2_59,111,56325,30765,11626,375,166
456,EMT_RACIPE2_6,112,54497,33773,13912,365,21
457,EMT_RACIPE2_60,99,35264,23377,10051,225,64
458,EMT_RACIPE2_61,105,43609,31244,12263,611,77
459,EMT_RACIPE2_62,105,44513,26814,6917,704,0
460,EMT_RACIPE2_63,98,34894,20979,7526,460,21
461,EMT_RACIPE2_64,114,50097,31098,13683,305,124
462,EMT_RACIPE2_65,105,41642,29249,16283,426,159
463,EMT_RACIPE2_66,105,42169,28550,13100,427,87
