states,flag,Avg0,SD0,frust0
'101101111000110001111011011001111011111111111101101111110101111011110110',1,0.0004,8.164965809277262e-5,0.1056338028169014
'101111110011110001000011011111111011111111111111100101111111111001110110',1,0.0003333333333333333,9.428090415820634e-5,0.1056338028169014
'101101110011110111000011100001111011101111111111100101111111111001110110',1,0.0004,0.00021602468994692865,0.13380281690140844
'010110001100001000111110100110000100000000100000011010000000110110001001',1,0.0002666666666666667,0.00012472191289246472,0.16901408450704225
'001010000000001000000100100000001100000000000010010000000011000100011101',1,0.0005,0.00024494897427831784,0.13380281690140844
'001111010011111111000111000110101100001011111011110100111011111100011111',1,0.00016666666666666666,9.428090415820633e-5,0.2676056338028169
'010000000100001000000110000000000100000000011010010000000010000100001001',1,0.0003333333333333333,4.714045207910318e-5,0.09859154929577464
'101101111000110001111011011111111011111111100101101111111101111011110110',1,0.00046666666666666666,4.714045207910316e-5,0.09859154929577464
'010000000111001000000100011000000100010000000010010000000010000100001001',1,0.00043333333333333337,0.00020548046676563254,0.08450704225352113
'110100100100000001000010111001010011110100100110000001100110111001100000',1,0.0003,0.0,0.21830985915492956
'010000000111001110000100000110000100000000000010010000001010000100001001',1,0.0005333333333333334,0.0001247219128924647,0.09154929577464789
'010110001100001110111110000000000100000000100000011010000000110110001001',1,0.00039999999999999996,0.0001414213562373095,0.1619718309859155
'101111111000110111111011000111111011101111100101101111111101111011110110',1,0.00046666666666666666,0.0001699673171197595,0.1056338028169014
'110111110111110111000011111111110011111111111111100101111110111001100010',1,0.0003333333333333333,0.00012472191289246472,0.14788732394366197
'001111010000110111000111011000101000011011111011100101111011111101110110',1,0.0006333333333333334,0.0001699673171197595,0.176056338028169
'101111111011110001111011011111111011111111100101101111111101111011110110',1,0.0004666666666666667,0.00020548046676563254,0.07746478873239436
'010010000100001110000110100110000100000000011010010000001010000100001001',1,0.00036666666666666667,4.714045207910319e-5,0.14788732394366197
'001111011000110001111101011000101100011011111001111110110001111110010111',1,0.0003,0.0001414213562373095,0.2746478873239437
'110000101111001000111000000001010111100100011100011010000100000010001001',1,0.0006,0.0001414213562373095,0.16901408450704225
'010110001100000001111110011110000000010000100000001011000000111111100000',1,0.00016666666666666666,9.428090415820633e-5,0.20422535211267606
'001101011011111001111101111000101100011011111001111110110001111110011111',1,0.00016666666666666666,9.428090415820633e-5,0.3028169014084507
'001111010000110001000111111110101000011011111011100101111011111101110110',1,0.0006,0.00021602468994692865,0.16901408450704225
'101011111000111110111001100001111111101111011101111110011101000010011111',1,0.00016666666666666666,4.714045207910317e-5,0.2112676056338028
'110010100111001000000000000001010111100100011110010000000110000000001001',1,0.00036666666666666667,0.00012472191289246472,0.14788732394366197
'010111011100110111111111111110100000011011111001101111111000111111100010',1,0.0005,0.00016329931618554522,0.21830985915492956
'110000101111001110111000000001010111100100000100011010000100000010001001',1,0.0005333333333333334,0.00030912061651652346,0.16901408450704225
'001101011011110111111111000000101000001011111001101111111001111111110110',1,0.0003333333333333333,4.714045207910318e-5,0.16901408450704225
'110000100111001110000000111111010111110100000110010000001110000000001001',1,0.00036666666666666667,0.00012472191289246472,0.18309859154929578
'101000100000001000000000100001011111100100000110010000000111000000011101',1,0.0005,0.00024494897427831784,0.19718309859154928
'101011111000111110111001000111111111101111011101111110011101000010011111',1,0.0002,0.0,0.20422535211267606
'110010100100001000000010000111010011100100011110000001000110000001101000',1,0.0003,0.0001414213562373095,0.2676056338028169
'101111110011110001000011011001111011111111111111100101110111111001110110',1,0.00039999999999999996,8.164965809277262e-5,0.14084507042253522
