states,Avg0,SD0,frust0
'110101110100110111000011111111101000011111111111100101111010111001110010',,,0.16901408450704225
'010010000111001000000100000110000000000000000010010000000010000100001001',0.0005333333333333333,0.0001247219128924647,0.08450704225352113
'000000000011001000000100011000010111110000011010010000000110000100001001',0.0004333333333333333,0.00016996731711975947,0.11267605633802817
'010010000111000111000110011000000000010000000010010000000010001101100000',,,0.19718309859154928
'000000000011001000000100000110010111100000011010010000010110000100001001',0.00023333333333333336,0.0001885618083164127,0.09859154929577464
'110001110100011110000011100111111111101111011111100101011110000001111010',,,0.2323943661971831
'010010000111001110000100011110000000010000000010010000000010000100001001',0.0004,0.0002943920288775949,0.1267605633802817
'101000111000111110111000000111010111101100011101111010110101000010001111',0.0002666666666666667,9.428090415820635e-5,0.23943661971830985
'001101001000000001111111000000101000000011100000001111100001111111100100',0.0003333333333333333,0.00020548046676563254,0.176056338028169
'000101100000110001100101011111111111111111111010000111110100011000001111',,,0.30985915492957744
'010010000111001000000100000000010111100000000010010000000110000100001001',0.0007333333333333333,0.0002867441755680876,0.08450704225352113
'010010000100001000000100000110010111100000000010000000000100000100001001',,,0.1267605633802817
'001010001011001001111100011110000000010000000000011010000000000110001101',,,0.21830985915492956
'010000000111001000000100011000010111110000011010010000000110000100001001',0.0005666666666666666,0.0003681787005729087,0.11971830985915492
'101111111011110111111010011111111111111111111101101111110101111011100110',,,0.1267605633802817
'101111011011110001111011000111111111101111111101101111110101111111100110',,,0.15492957746478872
'110000110011111110000000100001010111101100011111110000111110000000011011',,,0.176056338028169
'010010000111001000000100011000010111110000011010010000000110000100001001',0.0007666666666666667,0.00032998316455372216,0.1267605633802817
'010010000100001110000100011000010111110000000010010000000110000100001001',0.0007666666666666667,4.714045207910318e-5,0.11267605633802817
'111101111100110111111011100001111111101111100101101111111101111011110110',0.00023333333333333333,0.00012472191289246472,0.11971830985915492
'101101111011110111011111011111111111111111111101101111110111111011100110',,,0.176056338028169
'010010000111001000000110000000010111100000000010010000000110000101101000',0.0003,0.0001414213562373095,0.1619718309859155
'110010110100111000000000100111000000001100011111110000011010000000011011',0.0003,8.164965809277261e-5,0.20422535211267606
'000010000000001110000100000000010111100000000010010000000110000100001001',0.0002666666666666666,0.00012472191289246472,0.07746478873239436
'101110111011110111111000111111101000011110100101101111111001111010010111',,,0.18309859154929578
'101111111011110000111001100001101000001111111101101111101001110010010111',,,0.21830985915492956
'000010000000001110000100000110010111100000011010010000010110000100001001',0.0002333333333333333,9.428090415820631e-5,0.1056338028169014
'010000000111001110000100011110010111110000011010010000010110000100001001',0.00023333333333333333,4.714045207910315e-5,0.13380281690140844
'000000001011001110110100000110000000000000000000011010000010000110001001',,,0.11971830985915492
'000000000011001110000100011000010111110000011010010000010110000100001001',0.0002666666666666667,0.0001699673171197595,0.1267605633802817
'011101010100000111001111111000101000010011100010101101001001111101110100',,,0.21830985915492956
'110010110111111110000000100001010111101100000111110000011110000000011011',0.00039999999999999996,8.164965809277262e-5,0.176056338028169
'010000000000001000000100011000010111110000000010010000000110000100001001',,,0.09859154929577464
'101100111011111001111010100001111111101110100101101111111101111011111110',,,0.19718309859154928
'100000110011111110000000100001000000001100011111110000111010000000011011',,,0.19014084507042253
'111101111111110001111011111111101000011111100101101111111001111011110110',0.0003333333333333333,0.00026246692913372703,0.09154929577464789
'011111001111000111111111011000101000010011111000001111100001111111100100',0.0002333333333333333,9.428090415820631e-5,0.176056338028169
'001111001011000111111101011000111111110011100000001111100101111111100100',0.00013333333333333334,4.7140452079103176e-5,0.23943661971830985
'100000010011011000100000000111000000001000011101111010000000000100001101',,,0.24647887323943662
