"","AKT","AXIN2","CD44","CDC42","CHD1L","Csl","Csn","DELTA","DSH","Destcompl","EGF","EGFR","EGR1","ERK","Ecadherin","FGF","FGFR","FOXC2","FUS","Frizzled","GLI","GSK3","Goosecoid","HEY1","HGF","HIF1","Hypoxia","IGF1","IGF1R","IKK","ILK","JAK","Jagged","KLF4","LIF","LIFR","LIV1","LOXL23","MEK","NFB","NOTCH","NOTCHic","PAK1","PDGF","PDGFR","PI3K","Patched","RAF","RAS","RKIP","SHH","SMAD","SMO","SNAI1","SNAI2","SOSGRB2","SRC","STAT","SUFU","TCFLEF","TGF","TGFR","TWIST1","TrCP","Wnt","ZEB1","ZEB2","cMet","cateninmemb","cateninnuc","cfos","miR200"
"EGF",0.113472180270911,-0.00393659480530001,0.113363790402367,0.021682643932922,0.021682643932922,0.112388484904419,0.112919346671593,0.113472180270911,0.0705284884331355,-0.0017692956670406,1,1,0.391770063683041,0.392811671740014,-0.151800834703908,0.0545804819277042,0.0545804819277042,0.115595763368111,0.0705704907684001,0.0711228680913419,0.0705704907684001,-0.0761170852586566,0.0693824874956485,0.112919346671593,0.0600130404345518,0.0227868345581285,0.0227868345581285,0.0613490079649174,0.0613490079649174,0.113472180270911,0.0716330857001808,-0.0022597175656868,0.0716330857001808,-0.0022597175656868,-0.0022597175656868,-0.0022597175656868,-0.0022597175656868,0.0227868345581285,0.39123904253498,0.112919346671593,0.112919346671593,0.112388484904419,0.021682643932922,-0.0192500802820815,-0.0192500802820815,0.113472180270911,-0.0716330857001808,0.113472180270911,0.113472180270911,-0.115595763368111,0.0716330857001808,0.0716330857001808,0.0711017796719391,0.115595763368111,0.274035577464814,0.390665209524242,0.0776887287650103,-0.0022597175656868,-0.0711017796719391,0.113342512896538,0.115595763368111,0.116679433290908,0.115595763368111,-0.111304789537926,0.0716541360443247,0.0693824874956485,0.0227868345581285,0.0600130404345518,-0.151800834703908,0.112811316160248,0.39230119855102,-0.113342512896538
"EGFR",0.113472180270911,-0.00393659480530001,0.113363790402367,0.021682643932922,0.021682643932922,0.112388484904419,0.112919346671593,0.113472180270911,0.0705284884331355,-0.0017692956670406,1,1,0.391770063683041,0.392811671740014,-0.151800834703908,0.0545804819277042,0.0545804819277042,0.115595763368111,0.0705704907684001,0.0711228680913419,0.0705704907684001,-0.0761170852586566,0.0693824874956485,0.112919346671593,0.0600130404345518,0.0227868345581285,0.0227868345581285,0.0613490079649174,0.0613490079649174,0.113472180270911,0.0716330857001808,-0.0022597175656868,0.0716330857001808,-0.0022597175656868,-0.0022597175656868,-0.0022597175656868,-0.0022597175656868,0.0227868345581285,0.39123904253498,0.112919346671593,0.112919346671593,0.112388484904419,0.021682643932922,-0.0192500802820815,-0.0192500802820815,0.113472180270911,-0.0716330857001808,0.113472180270911,0.113472180270911,-0.115595763368111,0.0716330857001808,0.0716330857001808,0.0711017796719391,0.115595763368111,0.274035577464814,0.390665209524242,0.0776887287650103,-0.0022597175656868,-0.0711017796719391,0.113342512896538,0.115595763368111,0.116679433290908,0.115595763368111,-0.111304789537926,0.0716541360443247,0.0693824874956485,0.0227868345581285,0.0600130404345518,-0.151800834703908,0.112811316160248,0.39230119855102,-0.113342512896538
"EGR1",0.66416158087457,0.0650238730597932,0.528709052351177,0.0622958396518816,0.0622958396518816,0.663078077764427,0.663616815732163,0.66416158087457,0.43824052671451,0.0693577023434116,0.391770063683041,0.391770063683041,1,0.996752069135431,-0.65167801732446,0.39439489861479,0.39439489861479,0.642481129304134,0.441491849196107,0.442034153123557,0.441491849196107,-0.57586447121711,0.413324105222401,0.663616815732163,0.142456557325463,0.0536261444107729,0.0536261444107729,0.288183362358303,0.288183362358303,0.66416158087457,0.442574532776347,-0.0373680824217126,0.442574532776347,-0.0373680824217126,-0.0373680824217126,-0.0373680824217126,-0.0373680824217126,0.0536261444107729,0.991874420705414,0.663616815732163,0.663616815732163,0.663078077764427,0.0622958396518816,0.584532675456371,0.584532675456371,0.66416158087457,-0.442574532776347,0.66416158087457,0.66416158087457,-0.642481129304134,0.442574532776347,0.442574532776347,0.442033128029421,0.642481129304134,0.744413084814187,0.991333172522875,0.624066620936978,-0.0373680824217126,-0.442033128029421,0.528707986581061,0.642481129304134,0.643564606975095,0.642481129304134,-0.661994574654284,0.442575302224568,0.413324105222401,0.0536261444107729,0.142456557325463,-0.65167801732446,0.529250164582469,0.998375005337699,-0.613216467192047
"ERK",0.665269347826856,0.0671741961964814,0.526555004102694,0.0655471385448705,0.0655471385448705,0.664185847260363,0.66472340308075,0.665269347826856,0.43608318928987,0.0715080153059318,0.392811671740014,0.392811671740014,0.996752069135431,1,-0.651687051820762,0.39546099373735,0.39546099373735,0.643584225658156,0.439339171638802,0.439882639609217,0.439339171638802,-0.576975990154401,0.411159806222217,0.66472340308075,0.142502011574697,0.0547129649913623,0.0547129649913623,0.286029878771834,0.286029878771834,0.665269347826856,0.440419520176418,-0.0362951225868587,0.440419520176418,-0.0362951225868587,-0.0362951225868587,-0.0362951225868587,-0.0362951225868587,0.0547129649913623,0.99512824399858,0.66472340308075,0.66472340308075,0.664185847260363,0.0655471385448705,0.584560651057839,0.584560651057839,0.665269347826856,-0.440419520176418,0.665269347826856,0.665269347826856,-0.643584225658156,0.440419520176418,0.440419520176418,0.439879283262744,0.643584225658156,0.74228634290291,0.992416617122383,0.625172120591473,-0.0362951225868587,-0.439879283262744,0.526551604585998,0.643584225658156,0.644667700785526,0.643584225658156,-0.663102346693869,0.440422622123731,0.411159806222217,0.0547129649913623,0.142502011574697,-0.651687051820762,0.527094948501421,0.998376182961194,-0.614310205350331
"Ecadherin",-0.829371433056964,-0.0601694312247308,-0.829356467124402,-0.124592574124366,-0.124592574124366,-0.828287919613061,-0.828827087647666,-0.829371433056964,-0.728054207683628,-0.0699206401127842,-0.151800834703908,-0.151800834703908,-0.65167801732446,-0.651687051820762,1,-0.298532315154924,-0.298532315154924,-0.873785533613509,-0.731303434070504,-0.731845424016047,-0.731303434070504,0.730237138786743,-0.699892976796496,-0.827743581040784,-0.270816565897264,-0.014076769735892,-0.014076769735892,-0.0817694899104034,-0.0817694899104034,-0.829371433056964,-0.731303565702969,0.145158445666863,-0.731303565702969,0.145158445666863,0.145158445666863,0.145158445666863,0.145158445666863,-0.014076769735892,-0.651134516551344,-0.828827087647666,-0.828827087647666,-0.828287919613061,-0.124592574124366,-0.44743427831363,-0.44743427831363,-0.829371433056964,0.731303565702969,-0.829371433056964,-0.829371433056964,0.873785533613509,-0.731303565702969,-0.731303565702969,-0.731845122270403,-0.873785533613509,-0.824015081953259,-0.651682152102228,-0.621334475426,0.145158445666863,0.731845122270403,-0.830439847339738,-0.873785533613509,-0.874869021617987,-0.873785533613509,0.827204406169158,-0.732386897432248,-0.699892976796496,-0.014076769735892,-0.270816565897264,1,-0.830981492935315,-0.652221708059266,0.842357823654963
"FGF",0.385827687104094,0.0356975160820773,0.212410925640056,0.00162929084683731,0.00162929084683731,0.386911218831528,0.386362906250526,0.385827687104094,0.155514584796808,0.0356975160820773,0.0545804819277042,0.0545804819277042,0.39439489861479,0.39546099373735,-0.298532315154924,1,1,0.302372209701823,0.154449545398198,0.156079494764521,0.155533027042628,-0.327877850170387,0.137069535666479,0.386362906250526,-0.0393946628344778,0.00272096586173588,0.00272096586173588,-0.00428460833703345,-0.00428460833703345,0.385827687104094,0.154440240562886,-0.0352496751774833,0.154440240562886,-0.0352496751774833,-0.0352496751774833,-0.0352496751774833,-0.0352496751774833,0.00272096586173588,0.396024716013867,0.386362906250526,0.386362906250526,0.386911218831528,0.00162929084683731,0.106832804021038,0.106832804021038,0.385827687104094,-0.154440240562886,0.385827687104094,0.385827687104094,-0.302372209701823,0.154440240562886,0.154440240562886,0.154986609136127,0.302372209701823,0.287318060550953,0.397636353549728,0.508252289791253,-0.0352496751774833,-0.154986609136127,0.212401337279786,0.302372209701823,0.302372209701823,0.302372209701823,-0.385827687104094,0.156616508687057,0.137069535666479,0.00272096586173588,-0.0393946628344778,-0.298532315154924,0.212947837283433,0.396015569403041,-0.284993872490981
"FGFR",0.385827687104094,0.0356975160820773,0.212410925640056,0.00162929084683731,0.00162929084683731,0.386911218831528,0.386362906250526,0.385827687104094,0.155514584796808,0.0356975160820773,0.0545804819277042,0.0545804819277042,0.39439489861479,0.39546099373735,-0.298532315154924,1,1,0.302372209701823,0.154449545398198,0.156079494764521,0.155533027042628,-0.327877850170387,0.137069535666479,0.386362906250526,-0.0393946628344778,0.00272096586173588,0.00272096586173588,-0.00428460833703345,-0.00428460833703345,0.385827687104094,0.154440240562886,-0.0352496751774833,0.154440240562886,-0.0352496751774833,-0.0352496751774833,-0.0352496751774833,-0.0352496751774833,0.00272096586173588,0.396024716013867,0.386362906250526,0.386362906250526,0.386911218831528,0.00162929084683731,0.106832804021038,0.106832804021038,0.385827687104094,-0.154440240562886,0.385827687104094,0.385827687104094,-0.302372209701823,0.154440240562886,0.154440240562886,0.154986609136127,0.302372209701823,0.287318060550953,0.397636353549728,0.508252289791253,-0.0352496751774833,-0.154986609136127,0.212401337279786,0.302372209701823,0.302372209701823,0.302372209701823,-0.385827687104094,0.156616508687057,0.137069535666479,0.00272096586173588,-0.0393946628344778,-0.298532315154924,0.212947837283433,0.396015569403041,-0.284993872490981
"FOXC2",0.856973473754336,0.158265873453721,0.730214275781326,0.17930987750779,0.17930987750779,0.855889921675448,0.856431576313293,0.856973473754336,0.708011868928369,0.168017430041939,0.115595763368111,0.115595763368111,0.642481129304134,0.643584225658156,-0.873785533613509,0.302372209701823,0.302372209701823,1,0.712333889012889,0.71070616918521,0.711250387017947,-0.828260633346068,0.673364833717303,0.855348031071671,0.295106825674725,0.099122257904337,0.099122257904337,0.0454435269369031,0.0454435269369031,0.856973473754336,0.713422931277341,-0.018913498080336,0.713422931277341,-0.018913498080336,-0.018913498080336,-0.018913498080336,-0.018913498080336,0.099122257904337,0.644101913978847,0.856431576313293,0.856431576313293,0.855889921675448,0.17930987750779,0.451176707462515,0.451176707462515,0.856973473754336,-0.713422931277341,0.856973473754336,0.856973473754336,-1,0.713422931277341,0.713422931277341,0.712878307456151,1,0.697700501330326,0.645740990137682,0.648934040941301,-0.018913498080336,-0.711794809435827,0.731303617353367,1,0.998916473361445,1,-0.854806369596561,0.711250387017947,0.673364833717303,0.099122257904337,0.295106825674725,-0.873785533613509,0.731842335460458,0.644110966647586,-0.95992022364959
"FUS",0.569309731708783,-0.00807270126624313,0.897611912578659,0.0899225884765983,0.0899225884765983,0.568226204274088,0.56876819425179,0.569309731708783,0.990251177527263,0.00167863353362334,0.0705704907684001,0.0705704907684001,0.441491849196107,0.439339171638802,-0.731303434070504,0.154449545398198,0.154449545398198,0.712333889012889,1,0.996207960986045,0.99891652264811,-0.658702928908263,0.961010404279123,0.567684673654204,0.164572421743397,-0.186365174408763,-0.186365174408763,0.0243323704253903,0.0243323704253903,0.569309731708783,0.998917117232312,0.00436818855350917,0.998917117232312,0.00436818855350917,0.00436818855350917,0.00436818855350917,0.00436818855350917,-0.186365174408763,0.437696526616659,0.56876819425179,0.56876819425179,0.568226204274088,0.0899225884765983,0.27946047967091,0.27946047967091,0.569309731708783,-0.998917117232312,0.569309731708783,0.569309731708783,-0.712333889012889,0.998917117232312,0.998917117232312,0.999458410050629,0.712333889012889,0.685275415021521,0.438248348430388,0.361275641405324,0.00436818855350917,-0.999458410050629,0.898697213891129,0.712333889012889,0.712333889012889,0.712333889012889,-0.567142676839392,0.997833045296221,0.961010404279123,-0.186365174408763,0.164572421743397,-0.731303434070504,0.899237902915597,0.440953484760535,-0.674419672755526
"Frizzled",0.569847296492649,-0.00861036765741654,0.898153685992526,0.0882974688688393,0.0882974688688393,0.568763764765215,0.56930604699147,0.569847296492649,0.994044596339259,0.00114100577546133,0.0711228680913419,0.0711228680913419,0.442034153123557,0.439882639609217,-0.731845424016047,0.156079494764521,0.156079494764521,0.71070616918521,0.996207960986045,1,0.997291442630475,-0.66140708676273,0.958304690725421,0.568222522101173,0.164019777923014,-0.186908521239207,-0.186908521239207,0.0259541617347424,0.0259541617347424,0.569847296492649,0.995125687594512,0.00166217789641068,0.995125687594512,0.00166217789641068,0.00166217789641068,0.00166217789641068,0.00166217789641068,-0.186908521239207,0.438238522760358,0.56930604699147,0.56930604699147,0.568763764765215,0.0882974688688393,0.279996026740323,0.279996026740323,0.569847296492649,-0.995125687594512,0.569847296492649,0.569847296492649,-0.71070616918521,0.995125687594512,0.995125687594512,0.995666676282217,0.71070616918521,0.685809393815037,0.43879122547651,0.361812962352247,0.00166217789641068,-0.996750153952102,0.899239575058812,0.71070616918521,0.71070616918521,0.71070616918521,-0.567680233037781,0.998374924274904,0.958304690725421,-0.186908521239207,0.164019777923014,-0.731845424016047,0.899779974420289,0.4414960794604,-0.67387767470167
