"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"miR30c",0.0975984220734331,0.0787374250360841,-0.0286225711867847,0.129199635074883,-0.0337040882471635,-0.0992763950236294,0.0337972890282749,-0.107730454800466,0.0178971184318236,0,-0.0794319400935654,0,0,-0.076461519595867,0.111509490808965,-0.076461519595867,0.0786758788170982,-0.0454021952245576,-0.0454848878367644,0.0995306387917896,0.0115635715565908,-0.0495614911269291
"miR205",-0.24379030837659,0.25648307735171,0.00157919890265666,0.143550607602893,-0.0869024997361034,0.100718972086047,0.0867230738987828,0.0520420664759734,0.0940473039638253,0,-0.239165712676055,0,0,0.250393917052704,0.0128504031100852,0.250393917052704,0.256481656331986,-0.0221314625640015,-0.0215765461398288,-0.100809253062555,-0.0695246765641903,0.221533917942988
"miR200c",-0.258571465155833,0.231751632511652,0.0147389237880523,0.144975394069033,0.0117698453295886,0.188772368169313,-0.012083498978241,-0.103847255164743,-0.0118855407742317,0,-0.208612176553602,0,0,0.244281840357336,0.0282489009464909,0.244281840357336,0.231742375995064,-0.0466011237061426,-0.0461655759718707,-0.188666057623068,0.0342283939473236,0.164586223080848
"miR200b",-0.20622422599145,0.251463205095385,-0.0129369786666705,0.009704765942566,-0.075646204349423,-0.00518260222104492,0.0757266995335904,0.112736230626539,0.0740324292249998,0,-0.142469754577754,0,0,0.230181488428861,-0.0124697653341034,0.230181488428861,0.251470610308655,0.0192941053217534,0.0195800710058713,0.00495923062387828,-0.0354741084499913,0.16291334073415
"miR200a",0.149686034647146,0.19992582255747,-0.12798626362478,0.108366520693071,-0.0151328690577956,0.0281897201162784,0.0146582250408084,-0.063193921491757,0.00732966726710466,0,-0.177205386243793,0,0,0.0236481916552894,0.17468939872657,0.0236481916552894,0.199871209109603,-0.0352048958170275,-0.0351125069036971,-0.0276510003819353,0.00577476564334035,0.00466063047363639
"miR141",-0.149686034647146,-0.19992582255747,0.12798626362478,-0.108366520693071,0.0151328690577956,-0.0281897201162784,-0.0146582250408084,0.063193921491757,-0.00732966726710466,0,0.177205386243793,0,0,-0.0236481916552894,-0.17468939872657,-0.0236481916552894,-0.199871209109603,0.0352048958170275,0.0351125069036971,0.0276510003819353,-0.00577476564334035,-0.00466063047363639
"miR101",0.177704562691644,0.103697410482036,-0.0358060390552862,0.0525805566443765,-0.0497450729926043,-0.0822267405206535,0.0492896084391842,-0.11423265275535,0.0347056731010768,0,-0.0267583797969983,0,0,-0.037949383804377,0.155480190162509,-0.037949383804377,0.103690250015992,-0.123779931458874,-0.0237119438908869,0.0824748096281326,-0.0427076295180484,-0.0942962852236277
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"GSC",0.131389725567164,0.156015183100976,-0.061570690104202,0.0449285993940635,-0.135165338528917,-0.0527982221352383,0.134996427053218,0.00984494268181118,0.0152118554564801,0,-0.100086844403317,0,0,0.0185537570489178,0.133824868502044,0.0185537570489178,0.155997494508644,0.0481736808555956,0.0482097789959591,0.0529313577632157,-0.084518174386151,-0.0150900852128311
"FOXC2",-0.0719337173074742,0.251049002149778,-0.188673798549026,0.120497272720764,-0.112300115065761,0.0250553066215031,0.111844607270804,0.0804955780683462,0.118365158050136,0,-0.220477631217113,0,0,0.259393878346024,0.195108499391828,0.259393878346024,0.250994538827088,-0.0186424907551806,-0.0182055876866986,-0.0246899997083466,-0.0884007456265958,0.221035303724938
