"Nature","Strength","Type","Node"
"P",1.01082587331729,"TS","Ecadherin,TGFR"
"P",0.76507403865912,"TS","Ecadherin,SMAD"
"P",1.02721022980437,"TS","Ecadherin,ZEB1"
"P",0.959877248382181,"TS","Ecadherin,PAK1"
"P",0.918907551412484,"TS","Ecadherin,LIV1"
"P",0.934059066563999,"TS","Ecadherin,EGR1"
"P",0.995630937944705,"TS","Ecadherin,Csl"
"P",1.05189235500434,"TS","Ecadherin,GLI"
"P",1.04622665050275,"TS","Ecadherin,SNAI1"
"P",1.04937954653667,"DA","cateninmemb,cateninmemb"
"P",0.781567008306258,"DA","cateninmemb,GSK3"
"P",0.804724456314527,"DA","cateninmemb,miR200"
"P",0.832640670030907,"DA","cateninmemb,RKIP"
"P",0.897419215976641,"DA","cateninmemb,KLF4"
"P",0.436725185128571,"TS","cateninmemb,ZEB2"
"N",0.568646813017836,"NF","cateninmemb,Destcompl"
"N",0.677315686200202,"NF","cateninmemb,AXIN2"
"P",0.688600586239144,"TS","cateninmemb,Wnt"
"P",0.693077871406085,"TS","cateninmemb,Frizzled"
"P",0.720862729973709,"TS","cateninmemb,HEY1"
"P",1.01202416366935,"TS","cateninmemb,FOXC2"
"P",0.690524936352533,"TS","cateninmemb,DSH"
"P",0.874526527173586,"TS","cateninmemb,RAF"
"P",0.644338928400079,"TS","cateninmemb,SHH"
"P",0.797772858074487,"TS","cateninmemb,PI3K"
"P",0.502034842466906,"TS","cateninmemb,ILK"
"P",1.12750288947176,"TS","cateninmemb,SNAI2"
"P",0.822500869165527,"TS","cateninmemb,cateninnuc"
"P",0.789075521774628,"TS","cateninmemb,SOSGRB2"
"P",0.822257658601091,"TS","cateninmemb,RAS"
"P",0.905126112696554,"TS","cateninmemb,MEK"
"P",0.797043375189041,"TS","cateninmemb,AKT"
"P",0.520794983778686,"TS","cateninmemb,CD44"
"P",0.909150212502168,"TS","cateninmemb,IKK"
"P",0.906208783115228,"TS","cateninmemb,ERK"
"P",0.702370015831975,"TS","cateninmemb,Csn"
"P",0.358941418338523,"TS","cateninmemb,STAT"
"P",0.55003122796155,"TS","cateninmemb,cMet"
"P",0.748223166246535,"TS","cateninmemb,Jagged"
"P",0.832889387607698,"TS","cateninmemb,DELTA"
"P",0.915513386658373,"TS","cateninmemb,NFB"
"P",0.435984691053769,"TS","cateninmemb,SRC"
"P",0.697200516755403,"TS","cateninmemb,SMO"
"P",1.0964510306319,"TS","cateninmemb,TWIST1"
"P",0.858265195384353,"TS","cateninmemb,NOTCH"
"P",0.704498002788922,"TS","cateninmemb,FUS"
"P",0.910321845626528,"TS","cateninmemb,TGF"
"P",0.860754018551897,"TS","cateninmemb,cfos"
"P",0.872846710174,"TS","cateninmemb,CDC42"
"P",0.885350712324111,"TS","cateninmemb,NOTCHic"
"P",0.834312939528144,"TS","cateninmemb,TCFLEF"
"P",0.930068430494287,"TS","cateninmemb,TGFR"
"P",0.679103405663639,"TS","cateninmemb,SMAD"
"P",1.02679689157202,"TS","cateninmemb,ZEB1"
"P",0.878524365851656,"TS","cateninmemb,PAK1"
"P",0.837554668881959,"TS","cateninmemb,LIV1"
"P",0.852706184033474,"TS","cateninmemb,EGR1"
"P",0.900630197806,"TS","cateninmemb,Csl"
"P",0.968276623723764,"TS","cateninmemb,GLI"
"P",0.962258418747991,"TS","cateninmemb,SNAI1"
"P",0.0500120749033694,"DA","GSK3,GSK3"
"P",0.616800028031453,"DA","GSK3,miR200"
"P",0.343989338603,"DA","GSK3,RKIP"
"P",0.703886144611887,"DA","GSK3,KLF4"
"N",0.395827031263837,"NF","GSK3,ZEB2"
"P",0.104249145267006,"TS","GSK3,Destcompl"
"P",0.556468568771194,"TS","GSK3,AXIN2"
"P",0.401494497045367,"TS","GSK3,Wnt"
"P",0.40123305913687,"TS","GSK3,Frizzled"
"P",0.432823971304477,"TS","GSK3,HEY1"
"P",0.595848137762247,"TS","GSK3,FOXC2"
"P",0.397205879819668,"TS","GSK3,DSH"
"P",0.359960074188567,"TS","GSK3,RAF"
"P",0.418658466291972,"TS","GSK3,SHH"
"P",0.380391081321702,"TS","GSK3,PI3K"
"P",0.261210790635998,"TS","GSK3,ILK"
"P",0.799118342748993,"TS","GSK3,SNAI2"
"P",0.71792151040879,"TS","GSK3,cateninnuc"
"P",0.484952242047688,"TS","GSK3,SOSGRB2"
"P",0.432526318785257,"TS","GSK3,RAS"
"P",0.406744639624556,"TS","GSK3,MEK"
"P",0.397370736728356,"TS","GSK3,AKT"
"P",0.572610001825757,"TS","GSK3,CD44"
"P",0.401114689907794,"TS","GSK3,IKK"
"P",0.405361599413177,"TS","GSK3,ERK"
"P",0.285896580969104,"TS","GSK3,Csn"
"N",0.329565736771836,"NF","GSK3,STAT"
"P",0.588093872793499,"TS","GSK3,cMet"
"P",0.350201077091701,"TS","GSK3,Jagged"
