"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR34a","miR101","OVOL2","NP63","miR205","SNAI1","TCF3","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR101",0.268428325166681,0.268428325166681,0.241629408137376,0.200825027247625,0.263199924228288,0.263199924228288,0.245045691593101,0.174487534464419,0.0165654890862384,0.207401784678901,0,0,-0.0775863457281661,-0.0827564605602664,-0.00980272883504516,-0.0951120141759272,-0.103046335512056,-0.11183488156421,-0.214682976169924,-0.0558664178526647,-0.279610062325253,-0.23200181006641,-0.292756551100995
"NP63",0.165094108557337,0.165094108557337,-0.00774037548282728,-0.0196380543399062,0.196604590633281,0.196604590633281,0.273035328094672,0.18682815432059,-0.190333744846054,0.2066670033944,0.0215802590359401,0.12148890048048,-0.0576112184839779,0.0867039911718987,-0.0228646815247782,0.0777260937187404,0.198736069534907,0.15435453058358,-0.117349551624643,0.198612782441564,-0.207076567534878,-0.130250292771109,-0.129301012321709
"TCF3",-0.450053248725567,-0.450053248725567,-0.645021967728041,-0.702690162695344,-0.446258346102942,-0.446258346102942,-0.420449590689381,-0.344433858001232,-0.526100019982544,-0.323698162178095,0,0,0.16757351958847,0.333147339335057,0.231278581623496,0.378210262858774,0.479922103129616,0.621134994063837,0.509591656971913,0.683002551955269,0.501895986449648,0.571273730562633,0.512753991664243
"KLF8",-0.450053248725567,-0.450053248725567,-0.645021967728041,-0.702690162695344,-0.446258346102942,-0.446258346102942,-0.420449590689381,-0.344433858001232,-0.526100019982544,-0.323698162178095,0,0,0.16757351958847,0.333147339335057,0.231278581623496,0.378210262858774,0.479922103129616,0.621134994063837,0.509591656971913,0.683002551955269,0.501895986449648,0.571273730562633,0.512753991664243
"SNAI1",-0.483954203347728,-0.483954203347728,-0.474775689935577,-0.506116902548051,-0.485967042392987,-0.485967042392987,-0.4539875443289,-0.42430178091227,-0.389688900553142,-0.35460419912593,0,0,0.0862672557475049,0.250419425539074,0.309719068690492,0.276144572305612,0.362602336983654,0.436859088846713,0.388805281363988,0.483357909603779,0.518849052654307,0.424795835894984,0.514443998400147
"TGFbeta",-0.544812206427259,-0.544812206427259,-0.634760246781839,-0.578020156166559,-0.543135186401253,-0.543135186401253,-0.507770999946932,-0.511951902222483,-0.474380182012622,-0.394350576242215,0,0,0.294368904079556,0.39129108581829,0.387124345819463,0.426332948183003,0.437303366534576,0.599568939909146,0.619985679883329,0.652610213689606,0.58802737960777,0.568958542965044,0.593783727593576
"SNAI2",-0.557709215100673,-0.557709215100673,-0.74938652451914,-0.698188029579449,-0.552336377266417,-0.552336377266417,-0.514675698318785,-0.434527879980121,-0.606695837211738,-0.390840106540487,0,0,0.213249899485646,0.416961922885334,0.298632793794128,0.454323638518269,0.567725978379232,0.718106432740209,0.62568991813552,0.672416719804887,0.599516679229399,0.677637348922981,0.613827329172234
"FOXC2",-0.775683106421811,-0.775683106421811,-0.756459254911916,-0.713314006517442,-0.765418601898569,-0.765418601898569,-0.683088692593767,-0.706082621158488,-0.461569988122683,-0.478532324053327,0,0,0.375759250523365,0.410685914206088,0.425839662491008,0.455430168374632,0.413717258889333,0.627698797688343,0.571077835597387,0.57060254317394,0.823396300985022,0.633844197230457,0.652173177374781
"ZEB1",-0.834526415096996,-0.834526415096996,-0.813602087627692,-0.765879321109943,-0.823396300985022,-0.823396300985022,-0.734603523622402,-0.75558179562189,-0.50627993338151,-0.514957898473565,0,0,0.40042120213901,0.455430168374632,0.463714222478036,0.498288341408218,0.461569988122683,0.681215019062389,0.633844197230457,0.619902384893956,0.777540976297658,0.693391675636889,0.708242376671076
"TWIST1",-0.696885437560654,-0.696885437560654,-0.68470191266453,-0.729798763211544,-0.692477615311346,-0.692477615311346,-0.640637032054069,-0.570051389764064,-0.530430380753507,-0.477234674781296,0,0,0.253027082379903,0.520913729705732,0.494554487579983,0.460124722541109,0.488758319806437,0.649882049099075,0.545619605804967,0.703295041103109,0.742914392722074,0.60043599666885,0.755170945863026
"TWIST2",-0.69834617732673,-0.69834617732673,-0.686655408565146,-0.733630806612032,-0.694031365042209,-0.694031365042209,-0.644247298000957,-0.575579828637319,-0.542366546879338,-0.481608649259597,0,0,0.333677188540398,0.543684878270178,0.417447990624438,0.583040562695181,0.500631300557438,0.65247288793468,0.548998115830036,0.706377297792107,0.744571230498246,0.604011719211643,0.75662505135747
"GSC",-0.702010206146913,-0.702010206146913,-0.688497801599759,-0.635285101189863,-0.698439554291799,-0.698439554291799,-0.644285440231795,-0.594435290994341,-0.531128866217197,-0.482926954810044,0,0,0.353954380935717,0.521098413984679,0.526835393888168,0.561085316616931,0.488852578119918,0.553429040094754,0.548931108697075,0.603828948535967,0.749651379329507,0.604813659381319,0.759866246178047
"ZEB2",-0.906413200092281,-0.906413200092281,-0.895058997761797,-0.855525565638558,-0.701360328530592,-0.701360328530592,-0.646853844007018,-0.63020847758978,-0.589334196978252,-0.473650252068557,0,0,0.36616192170171,0.413058669538842,0.428648807642531,0.463379354098895,0.536904473510315,0.669967494084061,0.72625341554196,0.72678781956641,0.764774585451731,0.795938554313675,0.878995509674943
