"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","miR101","GRHL2","OVOL2","miR205","TCF3","NP63","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"TCF3",-0.542966371117504,-0.542966371117504,-0.740023861727941,-0.811099192904611,-0.540054228089297,-0.540054228089297,-0.481535298439448,-0.671845618811906,-0.477966970328463,-0.380397277450935,0.3075,0.47933505660041,0.366170520231214,0.409467657246587,0.417189607138245,0.545114340240294,0.604061383973581,0.727729082125305,0.562849260428785,0.804577687649852,0.613312466029537,0.640699541378577,0.623372344821606
"KLF8",-0.542966371117504,-0.542966371117504,-0.740023861727941,-0.811099192904611,-0.540054228089297,-0.540054228089297,-0.481535298439448,-0.671845618811906,-0.477966970328463,-0.380397277450935,0.3075,0.47933505660041,0.366170520231214,0.409467657246587,0.417189607138245,0.545114340240294,0.604061383973581,0.727729082125305,0.562849260428785,0.804577687649852,0.613312466029537,0.640699541378577,0.623372344821606
"TGFbeta",-0.595121417202211,-0.595121417202211,-0.689825993040579,-0.642831679265822,-0.591611198136067,-0.591611198136067,-0.592063698379769,-0.57199716788729,-0.515192940585379,-0.421281584671269,0.377675555312947,0.486254633520101,0.420267542230363,0.453953807411683,0.511427919376141,0.535917692535825,0.520926958554206,0.666784106724549,0.649509514693986,0.730816784509681,0.646203515368857,0.60715124829433,0.657254315905884
"FOXC2",-0.784997219652859,-0.784997219652859,-0.777485781993758,-0.739145580680556,-0.772122347100994,-0.772122347100994,-0.735328986226007,-0.521218324301597,-0.626079652766438,-0.47389420149156,0.427608962791287,0.458334968861049,0.476741519039593,0.481923624894521,0.492670268074651,0.514345559217065,0.462667753464769,0.665446793439525,0.572184217922826,0.623782290310004,0.835720760615875,0.638993088864305,0.671671499725809
"ZEB1",-0.849811887954612,-0.849811887954612,-0.841490768049558,-0.799265684465892,-0.835720760615875,-0.835720760615875,-0.793449820323726,-0.577301207581658,-0.67711176242502,-0.513041311295764,0.476741519039593,0.514345559217065,0.5241320236953,0.52188840365224,0.543606372448093,0.569009725988895,0.521218324301597,0.727400514813571,0.638993088864305,0.682361580674095,0.795896830811277,0.702869571599742,0.734629835267685
"SNAI2",-0.687474144435417,-0.687474144435417,-0.882703635874824,-0.844734214003365,-0.681933216538915,-0.681933216538915,-0.610623111948501,-0.795993577709716,-0.591503845777255,-0.468600031427101,0.419303545398137,0.606644220718382,0.47047144643175,0.499829667133637,0.529237723618691,0.665177046253383,0.735696675070196,0.865682152242319,0.712764111626341,0.834980999172977,0.746885423158517,0.781605219026966,0.763032161374956
"GSC",-0.727774217347324,-0.727774217347324,-0.721084538584724,-0.675236821711816,-0.722109419359464,-0.722109419359464,-0.644111592379114,-0.604801625053475,-0.616388184728654,-0.492086900764731,0.454822304774944,0.591995767716222,0.500198652980848,0.493943853658709,0.625937085088547,0.644190375434086,0.550826256747293,0.599481999107256,0.561691764008898,0.661769976720928,0.780248303220701,0.623074556119453,0.79636309196052
"TWIST1",-0.737172887586846,-0.737172887586846,-0.731381306939136,-0.785208326840352,-0.730492868241744,-0.730492868241744,-0.63847580010071,-0.622702033028116,-0.626671327679011,-0.495444466773655,0.458054609062578,0.61208569937363,0.504165851108301,0.423756736803215,0.62333575993682,0.565408630251766,0.567536968047784,0.710230564808261,0.567797886037289,0.776023049702543,0.789783658710754,0.630266981606792,0.808403377490915
"TWIST2",-0.738456442960228,-0.738456442960228,-0.732884403544126,-0.789028519709376,-0.732077143251713,-0.732077143251713,-0.645095108397503,-0.634202141638134,-0.631995733968078,-0.500251803451007,0.462982520755722,0.634138047595158,0.509298184107484,0.505041410302297,0.542732241569279,0.687418756598763,0.579023255192138,0.712305499793999,0.570987625395609,0.778190654680602,0.791522824704728,0.633656235012668,0.809405154615103
"ZEB2",-0.923950434310457,-0.923950434310457,-0.918948436016481,-0.886496509718424,-0.717273496018041,-0.717273496018041,-0.670861117579268,-0.651028114725256,-0.614679640083867,-0.478149368354899,0.424425657724765,0.467482756392403,0.479445800272022,0.489296704171764,0.506542776113125,0.531225104615243,0.585826806144906,0.706255148264084,0.73289562437508,0.775328837310598,0.787014178839966,0.80694928564524,0.906075715479103
