"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR34a","OVOL2","miR101","NP63","miR205","SNAI2","KLF8","TWIST2","TCF3","TWIST1","SNAI1","FOXC2","GSC","ZEB1","TGFbeta","ZEB2"
"OVOL2",0.372160870747012,0.372160870747012,0.325692294961407,0.383688398410187,0.364523136942953,0.364523136942953,0.256342865388564,0.369756236573484,0.142637659462939,0.243334535828872,-0.0240834337367673,-0.0241428552949085,-0.212281366762636,-0.233675937186581,-0.262113696912061,-0.248054208931331,-0.263691573149733,-0.274760593797105,-0.291208514141568,-0.283873767951878,-0.386697186445065,-0.307636444318721,-0.30660742417133
"NP63",0.13723047809893,0.13723047809893,-0.0269277159935652,-0.0484553660149339,0.168654815015746,0.168654815015746,0.248617348296942,0.136657199085508,0.189142508020761,-0.225510065307226,0.0215802590359401,0.12148890048048,0.209377719444975,0.228849064155847,0.170279173627319,0.161286561451414,0.155786729744918,0.0599482743414544,0.0721163839351562,-0.102329788268558,-0.175039107559318,-0.11026673091101,-0.0971282909597233
"SNAI1",-0.476950012983892,-0.476950012983892,-0.39616466786525,-0.457606556618332,-0.482934270101886,-0.482934270101886,-0.45164994432603,-0.448010697366865,-0.353003526831586,-0.264467561130441,0,0,0.221539649891868,0.252296499262775,0.275094510517694,0.250098838811287,0.269808218074414,0.158302063964824,0.365641528340907,0.374788124282705,0.510270534873284,0.40453725340656,0.494961559559944
"CLDN7",-0.480160065411565,-0.480160065411565,-0.574324315636446,-0.472568959495278,-0.483391524925479,-0.483391524925479,-0.456302244029335,-0.423288492430942,-0.346900633475429,-0.401052631981937,0,0,0.360920606403129,0.377017465836802,0.420690179860629,0.382141456457795,0.421347652004745,0.328156253568894,0.348770744778236,0.516905539243748,0.53547432491085,0.574273674099648,0.52746721866863
"CDH1",-0.532014512049783,-0.532014512049783,-0.615256467632541,-0.612049151651732,-0.53547432491085,-0.53547432491085,-0.502534753849807,-0.469407697728955,-0.38008174207535,-0.421812232124281,0,0,0.375262588992878,0.401052631981937,0.446581533033004,0.421347652004745,0.455456549747109,0.356447213440747,0.3857801240721,0.574273674099648,0.581555729027581,0.624438373242394,0.573155357431961
"TGFbeta",-0.541306413697327,-0.541306413697327,-0.551472437810874,-0.527668127769313,-0.543747064938843,-0.543747064938843,-0.508692771748377,-0.542550649508435,-0.394990329538781,-0.337348160747981,0,0,0.354941591623495,0.319362688727151,0.419862937506073,0.40222940235006,0.431880208966356,0.386606132593412,0.453765618748634,0.608434324440017,0.582639680143469,0.551072778326369,0.576705996067619
"FOXC2",-0.7313735945648,-0.7313735945648,-0.623845026920568,-0.611524160866967,-0.726467719478246,-0.726467719478246,-0.648797898242667,-0.686076987437804,-0.453989956367915,-0.235769919653489,0,0,0.189830544641246,0.21528997168779,0.375784062257174,0.366559813636543,0.400082796962366,0.407447690679311,0.429654674485989,0.531704889826534,0.772987187079006,0.582124446713672,0.586310701386231
"SNAI2",-0.577931223785856,-0.577931223785856,-0.651448372647948,-0.64725287189441,-0.581555729027581,-0.581555729027581,-0.543497973519226,-0.510491940558739,-0.409038714411828,-0.44086602838525,0,0,0.287876100189634,0.421812232124281,0.469928704062423,0.455456549747109,0.486609070603112,0.380802585746357,0.4195496809318,0.624438373242394,0.622796522995863,0.66968452211668,0.614098463726473
"ZEB1",-0.777731243205964,-0.777731243205964,-0.660347024933669,-0.647144615498959,-0.772987187079006,-0.772987187079006,-0.69013176541497,-0.727743348350175,-0.483216682432959,-0.255174747163684,0,0,0.20255273271525,0.235769919653489,0.39929312714267,0.400082796962366,0.432015948812949,0.431744210102929,0.464075343778657,0.582124446713672,0.714812220276218,0.628238061923959,0.627878993287319
"TWIST1",-0.636984055026484,-0.636984055026484,-0.512331981106229,-0.599798341368774,-0.639748050741893,-0.639748050741893,-0.593777090590588,-0.547203566487082,-0.443939997830175,-0.267682389784561,0,0,0.250678664703805,0.250509656627164,0.350079300805982,0.471577574779658,0.399803901705405,0.313873817080077,0.523680636923349,0.486236112258907,0.677576466755872,0.527447346587344,0.670688101318933
"TWIST2",-0.644500744761494,-0.644500744761494,-0.525185641301245,-0.61358807728061,-0.646944724093231,-0.646944724093231,-0.602326266374587,-0.559345932349715,-0.451836730648812,-0.303465174869947,0,0,0.277657065256318,0.286004953966694,0.367657020528554,0.50124279487871,0.529867960517112,0.400853024261587,0.448565643863614,0.494757327954843,0.685457422473474,0.536710593448644,0.679373962219214
"GSC",-0.66811579396989,-0.66811579396989,-0.56800234469081,-0.546677215891319,-0.669520656445065,-0.669520656445065,-0.618668744459624,-0.589339934295998,-0.464641960984458,-0.333739325277966,0,0,0.241193573347041,0.314944017771535,0.322672375252963,0.498102224668992,0.528928956077119,0.418775283783756,0.561456136697087,0.516012346489862,0.710788107425457,0.561165178512159,0.707007178165266
"ZEB2",-0.806008682630476,-0.806008682630476,-0.67853518679702,-0.666301196644997,-0.608492671714021,-0.608492671714021,-0.564153450145365,-0.562038793416305,-0.414107777912083,-0.112478956174712,0,0,0.0601877119689233,0.0912721984907794,0.157782039680263,0.302410556435385,0.337354619305796,0.356800977196244,0.387948093252031,0.64034119815878,0.65370881846157,0.69013090066326,0.74782892724919
