"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR34a","miR101","OVOL2","NP63","miR205","SNAI1","TCF3","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"OVOL2",0.42676079742331,0.42676079742331,0.455907850228087,0.485855408320726,0.413758141954511,0.413758141954511,0.300032734346775,0.407991377127035,0.413832041118534,0.173521862726904,-0.0240834337367673,-0.0241428552949085,-0.285438965898858,-0.307685901627016,-0.314244626776519,-0.333220035861963,-0.386240275109519,-0.451018389716468,-0.334856020709503,-0.475991364295662,-0.447072000888302,-0.369976446194512,-0.381175222099793
"NP63",0.120387302050818,0.120387302050818,-0.052146152966423,-0.0707958256347882,0.153016108035039,0.153016108035039,0.234808176154811,0.119690764058169,-0.260644017791293,0.179454630162079,0.0215802590359401,0.12148890048048,0.0835653054729963,0.186198514854542,0.0917185916248286,0.18053263355756,0.264747861203761,0.202873814352744,-0.0889607064428448,0.247791523803487,-0.157544521309156,-0.0953349083838612,-0.0769329609929848
"GSC",-0.40648609153061,-0.40648609153061,-0.386220895277501,-0.321093733871465,-0.410570946437713,-0.410570946437713,-0.382361849712817,-0.283399760759228,-0.126044809288821,-0.299039414540042,0,0,0.0954561969116353,0.223978670189317,0.273687397406807,0.245105363263684,0.103430030272529,0.235732042948371,0.324777989918958,0.250163024319794,0.437849136482962,0.353706362705629,0.429482608131104
"TGFbeta",-0.505136182234255,-0.505136182234255,-0.595410647630917,-0.537479029597781,-0.503487019465013,-0.503487019465013,-0.470400272253618,-0.464601177140772,-0.435529398232985,-0.366950945543214,0,0,0.27699975009977,0.360290321074517,0.38491587823704,0.398032249239153,0.397210295117572,0.559525574404944,0.586405317893403,0.613089122992688,0.547162622999504,0.533223560922381,0.552991201573038
"SNAI1",-0.534162373802483,-0.534162373802483,-0.52501736394864,-0.562921775684551,-0.535113391722487,-0.535113391722487,-0.498082313643947,-0.49330333184872,-0.461180609130515,-0.385986481595504,0,0,0.192058710449157,0.322044715687829,0.405127586002979,0.354134088717529,0.427611215078622,0.49113991640381,0.422270489626283,0.540360998931422,0.574901447978301,0.464775295301371,0.573216534507115
"TCF3",-0.540670032640891,-0.540670032640891,-0.734604716174746,-0.804217966503086,-0.538296718903573,-0.538296718903573,-0.50571464307205,-0.473134258052225,-0.654664622870683,-0.382503617196239,0,0,0.372438123593809,0.46622381673946,0.397220183395094,0.528179286245752,0.592155309802586,0.717092638137624,0.562031078610603,0.787046801904059,0.610538243242526,0.639790730595378,0.618770211003225
"KLF8",-0.540670032640891,-0.540670032640891,-0.734604716174746,-0.804217966503086,-0.538296718903573,-0.538296718903573,-0.50571464307205,-0.473134258052225,-0.654664622870683,-0.382503617196239,0,0,0.372438123593809,0.46622381673946,0.397220183395094,0.528179286245752,0.592155309802586,0.717092638137624,0.562031078610603,0.787046801904059,0.610538243242526,0.639790730595378,0.618770211003225
"FOXC2",-0.780110734251391,-0.780110734251391,-0.761012041158633,-0.720585500866149,-0.769592017263871,-0.769592017263871,-0.686788653590901,-0.71830015092639,-0.475294932009604,-0.481194832565202,0,0,0.416394590148657,0.425728267727597,0.448563475036266,0.473322904951572,0.424385187559644,0.633771654777714,0.571750996893797,0.578083508061066,0.830142440879203,0.635741835030595,0.659481523174832
"ZEB1",-0.841508534797299,-0.841508534797299,-0.820737842287506,-0.776460196935034,-0.830142440879203,-0.830142440879203,-0.740589423376623,-0.772408265645402,-0.525073395582843,-0.519236769315545,0,0,0.446939811202083,0.473322904951572,0.493372842160794,0.522722870097269,0.475294932009604,0.689992233658122,0.635741835030595,0.630477537754439,0.787383341298474,0.697500695997063,0.71889104741705
"SNAI2",-0.681553543025175,-0.681553543025175,-0.87149983658661,-0.831100387743932,-0.677131110355199,-0.677131110355199,-0.629038022623588,-0.59509044837619,-0.765730870197344,-0.470373639314947,0,0,0.44660365260897,0.582123509353322,0.495347416495407,0.635396995026155,0.711534345623101,0.845654693275768,0.710439502001151,0.806115379772154,0.739903863415021,0.777968102669039,0.752754185276211
"TWIST1",-0.733074972625894,-0.733074972625894,-0.720782220043019,-0.772298768030846,-0.727755649749363,-0.727755649749363,-0.67204132929203,-0.624726567420162,-0.591584466945695,-0.499343501742441,0,0,0.374070230605546,0.589392114882243,0.591178655871673,0.53628404099758,0.542721249298929,0.689338390815118,0.567005985363537,0.745459037833078,0.784790178549277,0.627741612649055,0.799453696368547
"TWIST2",-0.734613357006312,-0.734613357006312,-0.722907919498587,-0.776777072556647,-0.729510116173134,-0.729510116173134,-0.675916687766051,-0.631881176556517,-0.60455289864604,-0.503996549137013,0,0,0.456914630482841,0.61253035305135,0.511906471224626,0.659583058122378,0.555554436800082,0.692494424893746,0.570270302083394,0.749076544608031,0.786799994812369,0.631335977627052,0.800947250429164
"ZEB2",-0.904418468489408,-0.904418468489408,-0.893242664724325,-0.85593291002275,-0.699318165294957,-0.699318165294957,-0.645000115370458,-0.634766202870295,-0.592921524281824,-0.472455433229447,0,0,0.384386987145665,0.412168598423309,0.437759081608011,0.469166016709635,0.535887904903698,0.669007553701339,0.722798845272985,0.727273312537156,0.764529451226331,0.793236498069664,0.87915095850938
