"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR34a","miR101","OVOL2","NP63","miR205","SNAI1","TCF3","FOXC2","TWIST1","KLF8","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"OVOL2",0.409476121897619,0.409476121897619,0.438587277841191,0.464266894094048,0.39694881093016,0.39694881093016,0.285109810020553,0.377908643404735,0.382347592039202,0.162861215116384,-0.0240834337367673,-0.0241428552949085,-0.21929017923561,-0.272799160070601,-0.26815949825674,-0.29485872413074,-0.358559166565155,-0.431246519376047,-0.454703872157817,-0.32591836293643,-0.426267066549317,-0.357747066640133,-0.359193264693895
"NP63",0.162939591408903,0.162939591408903,-0.00990805132356469,-0.0223557801298005,0.194494172548843,0.194494172548843,0.271167905596342,0.183052312503059,-0.194372137332335,0.205335467652565,0.0215802590359401,0.12148890048048,-0.0494674228381057,0.0908080479390043,-0.0168971386532713,0.0826873253988943,0.202122013970309,0.156808025452676,0.201241829404317,-0.116298009160934,-0.204493188627475,-0.128666425709211,-0.126564500478734
"TWIST2",-0.417594133315558,-0.417594133315558,-0.417019037542144,-0.458284860016772,-0.410380266954602,-0.410380266954602,-0.382448031825894,-0.283323582789819,-0.263851957851602,-0.301164617229525,0,0,0.0869669016296175,0.245978033125775,0.179266228628859,0.266403207313256,0.241454870785131,0.391485902601891,0.435187809219243,0.336685118221735,0.438399569310467,0.367074554247637,0.456360029811005
"TCF3",-0.449551718027217,-0.449551718027217,-0.644498918508249,-0.701748185359433,-0.44579001850701,-0.44579001850701,-0.420031953692219,-0.342744355390824,-0.524104140080632,-0.323401683490916,0,0,0.161330865970657,0.331194699468164,0.227850949736422,0.375483179623053,0.478581863221744,0.620410574468895,0.682020224752555,0.509591656971913,0.501032676591346,0.571110598425602,0.511802200846216
"KLF8",-0.449551718027217,-0.449551718027217,-0.644498918508249,-0.701748185359433,-0.44579001850701,-0.44579001850701,-0.420031953692219,-0.342744355390824,-0.524104140080632,-0.323401683490916,0,0,0.161330865970657,0.331194699468164,0.227850949736422,0.375483179623053,0.478581863221744,0.620410574468895,0.682020224752555,0.509591656971913,0.501032676591346,0.571110598425602,0.511802200846216
"SNAI1",-0.508398626322112,-0.508398626322112,-0.499211004440526,-0.531683122491719,-0.509967338242557,-0.509967338242557,-0.4756901532143,-0.451747447193155,-0.414863580937839,-0.370082817919336,0,0,0.100525265768527,0.270663800225248,0.337936586906169,0.296152894283566,0.387184265784301,0.462425359010828,0.509595491368255,0.407478195297334,0.544697158225493,0.445500696590232,0.541305342948156
"TGFbeta",-0.556896441656866,-0.556896441656866,-0.646869951458499,-0.590791993274834,-0.555071657791598,-0.555071657791598,-0.518577112178134,-0.525786814146269,-0.488137920492764,-0.40202351266078,0,0,0.302909906770386,0.404006171909894,0.401074936292244,0.440216550146002,0.450116578628225,0.612207188771602,0.665658992376959,0.628858983942078,0.60094817016592,0.57921149889627,0.607132081733404
"SNAI2",-0.556304092547585,-0.556304092547585,-0.747958480267818,-0.696173892907879,-0.550980535602111,-0.550980535602111,-0.513469618999341,-0.431457205707342,-0.60319931421996,-0.389982490282905,0,0,0.204455123162775,0.413268040180822,0.29310435241555,0.449818185266059,0.5649536758446,0.716370299085574,0.670389322688483,0.625223985090086,0.597616488358908,0.676799122437926,0.61179265933769
"FOXC2",-0.766871392767885,-0.766871392767885,-0.747661035804916,-0.702304354227287,-0.756878815740895,-0.756878815740895,-0.675594493052521,-0.690314645522509,-0.445970229903041,-0.473153520436232,0,0,0.341918167694497,0.393819289998348,0.403583917452888,0.437042588781584,0.399723032737541,0.617669622474418,0.560156922009109,0.566151644821552,0.81311614235193,0.627357016018131,0.641178715385449
"ZEB1",-0.823958302851354,-0.823958302851354,-0.803074138051548,-0.753114674014495,-0.81311614235193,-0.81311614235193,-0.725562953745479,-0.737892459990802,-0.488769010166827,-0.508485673280223,0,0,0.364765705984614,0.437042588781584,0.439372089633933,0.477783062439543,0.445970229903041,0.669512815858642,0.607830350022869,0.627357016018131,0.765537561983774,0.685260707677765,0.695442463243163
"TWIST1",-0.701703034600328,-0.701703034600328,-0.689375891675782,-0.7339932366393,-0.697187351247265,-0.697187351247265,-0.644859601856288,-0.573220612679555,-0.534752883448161,-0.480088470681526,0,0,0.255889796071398,0.526610888877949,0.50421787391477,0.466155195984569,0.492993186191775,0.654123474664662,0.707557975804581,0.549640917428318,0.74761154176835,0.604793849314797,0.76018141159842
"GSC",-0.707595381807484,-0.707595381807484,-0.694025064427101,-0.640833071614142,-0.703874819414783,-0.703874819414783,-0.649110895764503,-0.599838100664284,-0.5385454221703,-0.486288977510273,0,0,0.363726413934543,0.531515222248642,0.540486422679285,0.571569208959606,0.496274980202882,0.558941099201438,0.609246143371095,0.553492193858958,0.755175694226246,0.609774473167806,0.765807829694227
"ZEB2",-0.905511848071256,-0.905511848071256,-0.894136095981159,-0.854048102438706,-0.700509952992033,-0.700509952992033,-0.646098130248677,-0.627752726863336,-0.586423027077634,-0.473115531237809,0,0,0.357605041353574,0.41003539464195,0.423773865369361,0.459459786153145,0.534782827012007,0.668775988308557,0.725264954967613,0.726094118807543,0.763394921040759,0.795528009034098,0.877481401903533
