"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR34a","miR101","OVOL2","NP63","miR205","FOXC2","GSC","SNAI1","TCF3","TGFbeta","TWIST1","KLF8","TWIST2","SNAI2","ZEB1","ZEB2"
"OVOL2",0.418355863146628,0.418355863146628,0.440463151111214,0.472406168645179,0.406102240626755,0.406102240626755,0.293214431284074,0.400092557587972,0.391557629698438,0.168543285528068,-0.0240834337367673,-0.0241428552949085,-0.279458951040269,-0.104893537455771,-0.278378844346772,-0.279968598862952,-0.117489988073055,-0.300292676267455,-0.368612563183846,-0.427905307133647,-0.439109724186113,-0.435135173647954,-0.367201625611937
"NP63",0.134358294340286,0.134358294340286,-0.0370391897323584,-0.0551016921999382,0.166351728051482,0.166351728051482,0.246583087106482,0.136137595041012,-0.239279102469004,0.187757249228475,0.0215802590359401,0.12148890048048,0.05566619667033,-0.170716924961673,0.0497123677318548,0.155919495962138,-0.174297706503189,0.152412259341471,0.243106066666603,0.185204289944128,0.228010862008151,-0.172938233400283,-0.0936503449384503
"SNAI1",-0.513482429653499,-0.513482429653499,-0.497056369867429,-0.535849034398791,-0.515591807443378,-0.515591807443378,-0.48073878444949,-0.469592788126667,-0.420037911048662,-0.373663736824581,0,0,0.340873553869894,0.155329218233484,0.151798847536052,0.27460674460943,0.170199782131886,0.297966254927795,0.393735027468192,0.454062216066702,0.487198017076345,0.549310319899416,0.544361796349748
"TCF3",-0.500238793506128,-0.500238793506128,-0.679454191358798,-0.748709642661458,-0.499382692310797,-0.499382692310797,-0.470666430680134,-0.417923541731171,-0.570199366615522,-0.357361998955592,0,0,0.272536418587026,-0.0749427178549665,0.284525645495309,0.375454883085242,-0.048297802139904,0.414999897606055,0.525451937022317,0.645317217021314,0.684147306136055,0.558655632368581,0.562103360173698
"KLF8",-0.500238793506128,-0.500238793506128,-0.679454191358798,-0.748709642661458,-0.499382692310797,-0.499382692310797,-0.470666430680134,-0.417923541731171,-0.570199366615522,-0.357361998955592,0,0,0.272536418587026,-0.0749427178549665,0.284525645495309,0.375454883085242,-0.048297802139904,0.414999897606055,0.525451937022317,0.645317217021314,0.684147306136055,0.558655632368581,0.562103360173698
"TGFbeta",-0.568738650844925,-0.568738650844925,-0.649976890059822,-0.601875139111687,-0.567472915013647,-0.567472915013647,-0.529819393891099,-0.553624151095052,-0.499479701538379,-0.410013410797614,0,0,0.408275658539423,0.165503463303266,0.364284081822747,0.412329145857491,0.0854932114820474,0.445244990025122,0.463195069481264,0.608135129114865,0.644236569388198,0.612789851032901,0.617209396681264
"FOXC2",-0.753176309951431,-0.753176309951431,-0.722630457749992,-0.684558380757355,-0.744448912136781,-0.744448912136781,-0.664653587851518,-0.687614055436004,-0.421942870597465,-0.465335009415083,0,0,0.366472965007456,0.260040347367256,0.366995523115165,0.363661324205532,0.282724643021885,0.401381017761188,0.379786528061135,0.583744186597694,0.504911973264843,0.796822050716171,0.621263235367807
"SNAI2",-0.613632505549699,-0.613632505549699,-0.786612102978525,-0.747738705910906,-0.6115763299348,-0.6115763299348,-0.570324319951762,-0.514845055581092,-0.651149410187409,-0.428378527339858,0,0,0.334522204903136,-0.0252787952450455,0.335495283710158,0.45393216852239,-0.00350178350315167,0.487907050640635,0.613242296316923,0.741747635132486,0.668418570731306,0.66037802468447,0.666604948543053
"ZEB1",-0.806169406988498,-0.806169406988498,-0.77270697558164,-0.731018637174585,-0.796822050716171,-0.796822050716171,-0.711188607813822,-0.732725655753989,-0.459734854138374,-0.498239413815477,0,0,0.395679016072608,0.282724643021885,0.39133689532721,0.401381017761188,0.30430586159201,0.435499173848372,0.421942870597465,0.629317500847058,0.544825009137246,0.745148374991808,0.670844874434011
"GSC",-0.698338911794069,-0.698338911794069,-0.675038904585599,-0.628230864467777,-0.695632385235305,-0.695632385235305,-0.641799119172265,-0.601324287573075,-0.520288554107601,-0.481096462985452,0,0,0.510679115386245,0.231962977820596,0.392718379974096,0.508182020090352,0.253086251928083,0.542548235270521,0.482133787563054,0.530436194313286,0.561016498383484,0.743609700469091,0.751274670389709
"TWIST1",-0.701891105933202,-0.701891105933202,-0.678621172831018,-0.731457262227523,-0.698273172346793,-0.698273172346793,-0.645859049135551,-0.588508346430551,-0.529898300128506,-0.480685225632478,0,0,0.496870042884501,0.205401379742909,0.312749910739997,0.518379281637917,0.226452741417968,0.45325228726668,0.491291518273206,0.633790902400938,0.666155664747039,0.746323870363865,0.756258186337879
"TWIST2",-0.704367686622187,-0.704367686622187,-0.681930577096794,-0.736996988067532,-0.700907987760219,-0.700907987760219,-0.650492173013343,-0.596659479561274,-0.544167442295194,-0.48589118332961,0,0,0.41894028459424,0.201763316847778,0.39692037862937,0.543054143977131,0.222998509355412,0.577816123373851,0.505554561775871,0.638174052083896,0.671288703564501,0.749283010494511,0.75882617337575
"ZEB2",-0.825928519455198,-0.825928519455198,-0.791900943489382,-0.75644203532747,-0.62322201982999,-0.62322201982999,-0.577211860550769,-0.542031165655276,-0.448457851781485,-0.423932606364805,0,0,0.254587141498033,0.260935975762473,0.264246442997101,0.270348907020932,0.283395009317702,0.305581991925214,0.409537530005952,0.536475628768953,0.548475596363132,0.673217969149844,0.781015453303921
