"","miR200b","CDH1","miR200c","miR101","miR141","CLDN7","miR34a","GRHL2","OVOL2","NP63","miR205","SNAI1","FOXC2","TCF3","TWIST1","miR200a","GSC","TGFbeta","ZEB1","KLF8","TWIST2","SNAI2","ZEB2"
"NP63",-0.0616321095809087,-0.0784786629342859,0.10936629436853,-0.263896004480966,0.142880627386645,0.142880627386645,0.11226990433268,0.226111527522119,0.173004599558722,0.0215802590359401,0.12148890048048,0.0800543491843419,0.0936123072786763,0.186559786440958,0.183766114276704,0.0744677298435213,-0.0750608277784091,-0.0786484559385515,-0.145944015672552,0.266382434658059,0.208650008214259,0.254062693458081,-0.0628365903963093
"ZEB2",-0.468347889927602,-0.460085662445488,-0.451079698724029,-0.31505283233931,-0.234741451616577,-0.234741451616577,-0.222711985840506,-0.216493731864147,-0.158412260218494,0,0,0.171578689730354,0.176494835338469,0.178820976047236,0.198281251754772,0.199843694098072,0.214729469424106,0.233324940792241,0.254761876864344,0.295003511985715,0.331793121828432,0.366665835955574,0.384797322652244
"SNAI1",-0.472455732850756,-0.521768853400665,-0.470500854145006,-0.442661898568436,-0.476961881545822,-0.476961881545822,-0.450731533034688,-0.44601036153848,-0.348934684822337,0,0,0.187635431418374,0.387942527832026,0.30708006319583,0.334847934480682,-0.0700376867306021,0.314136677873661,0.341652851287788,0.506527223145862,0.413642964834944,0.461992471314702,0.506690781227115,0.490291486369175
"TCF3",-0.697058010194473,-0.7766685040229,-0.492685896965516,-0.648421903192,-0.49503393014957,-0.49503393014957,-0.443607940988683,-0.466734336188178,-0.354252205064511,0,0,0.38162233087066,0.392638215495622,0.466228719137178,0.521359406455668,-0.0443676137563584,0.474133769135597,0.527713613253778,0.552807400507614,0.59115771007622,0.702175962814998,0.766339733555019,0.547275817847807
"KLF8",-0.697058010194473,-0.7766685040229,-0.492685896965516,-0.648421903192,-0.49503393014957,-0.49503393014957,-0.443607940988683,-0.466734336188178,-0.354252205064511,0,0,0.38162233087066,0.392638215495622,0.466228719137178,0.521359406455668,-0.0443676137563584,0.474133769135597,0.527713613253778,0.552807400507614,0.59115771007622,0.702175962814998,0.766339733555019,0.547275817847807
"TGFbeta",-0.630834433397102,-0.594208104196559,-0.528548504522454,-0.534643487638458,-0.531826817980109,-0.531826817980109,-0.540674131436246,-0.497722351658756,-0.387213835203671,0,0,0.415741715561156,0.474111757063295,0.459450496946635,0.49897129199122,-0.0690974814023658,0.536433605233792,0.473913134171295,0.572340523483753,0.493848118864611,0.625967209048157,0.677218333487822,0.56474958997653
"FOXC2",-0.729103969704004,-0.700755777802237,-0.737558824469788,-0.481635736251411,-0.732401560559485,-0.732401560559485,-0.70019859442319,-0.654115819303306,-0.457613274413727,0,0,0.45084486597811,0.464595525341269,0.436027006400073,0.483734306985923,-0.31688252887711,0.490354835271456,0.536836093616459,0.782657685233749,0.431787217688516,0.624757141096389,0.564872813225976,0.596956607121133
"ZEB1",-0.779488268757918,-0.748956233630915,-0.787816943857422,-0.527209783791732,-0.782657685233749,-0.782657685233749,-0.746331414089307,-0.698769812330664,-0.489187625211358,0,0,0.482303195376988,0.505388866196769,0.483734306985923,0.527985450267155,-0.325082517009552,0.536836093616459,0.579296239563134,0.728307328085374,0.481635736251411,0.675429851020053,0.610922942809476,0.642611332517345
"SNAI2",-0.80749165627202,-0.782165383824258,-0.602682014619505,-0.748230474366489,-0.605068715102278,-0.605068715102278,-0.544443264051632,-0.564475039867062,-0.423899097649649,0,0,0.451045829832022,0.481348450228867,0.571935767677447,0.617569608809112,-0.0621962323664359,0.575975576958587,0.620095365819947,0.652573638411771,0.700969539955612,0.813406790594011,0.767124897224622,0.647079223315568
"GSC",-0.628564887752839,-0.597244733223836,-0.625819965905797,-0.542195904244107,-0.630523060093831,-0.630523060093831,-0.563584681089803,-0.5838370217646,-0.439868373062148,0,0,0.433405106912362,0.564428200787548,0.543395974329032,0.582756758893305,-0.0945580251469254,0.407013889144565,0.444871368164924,0.671339711677541,0.501426943296255,0.531278448686233,0.577048333097359,0.659647158688409
"TWIST1",-0.642539623274418,-0.710362571633995,-0.638727964624468,-0.562986096228356,-0.641416544491138,-0.641416544491138,-0.560784705870855,-0.595030078965592,-0.44406204430584,0,0,0.365682179674532,0.565080844398657,0.566079382377222,0.506863814640083,-0.0939121102282525,0.417658724632256,0.456595016852643,0.683475883037747,0.520767304215211,0.644969807758329,0.694428714178956,0.67705283458101
"TWIST2",-0.643699839782906,-0.713987351277054,-0.638996242066279,-0.575142648148396,-0.641712688968635,-0.641712688968635,-0.566698002461368,-0.597340383751524,-0.447568578907054,0,0,0.447093474273987,0.484367099693172,0.588444158971374,0.628949694499921,-0.0712421272396289,0.414739144355192,0.453653002339708,0.683742772490928,0.533112806221967,0.647538008156993,0.697323121273045,0.677366719885304
