"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","SNAI1","TCF3","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"SNAI1",-0.538279213461478,-0.538279213461478,-0.52886870699738,-0.569216642016509,-0.538731689930073,-0.538731689930073,-0.504835425144351,-0.500180865079026,-0.472192957979317,-0.386577727828861,0,0,0.207062310840018,0.333610784448449,0.420433933604217,0.370465230307807,0.434974819003301,0.495505127739062,0.422342852145527,0.545763187979867,0.58096075701907,0.466180231433795,0.580866313258856
"TCF3",-0.545647706532668,-0.545647706532668,-0.739375027911517,-0.811487366082437,-0.54272549272926,-0.54272549272926,-0.483737620324746,-0.508688590738332,-0.666112621822102,-0.383576364237515,0,0,0.382754393880742,0.478050629416041,0.411678650690266,0.541698233743708,0.601109032446653,0.722577233084536,0.563075153458928,0.793990213243362,0.617804255149488,0.641475153458928,0.627517714458342
"KLF8",-0.545647706532668,-0.545647706532668,-0.739375027911517,-0.811487366082437,-0.54272549272926,-0.54272549272926,-0.483737620324746,-0.508688590738332,-0.666112621822102,-0.383576364237515,0,0,0.382754393880742,0.478050629416041,0.411678650690266,0.541698233743708,0.601109032446653,0.722577233084536,0.563075153458928,0.793990213243362,0.617804255149488,0.641475153458928,0.627517714458342
"FOXC2",-0.797543643025156,-0.797543643025156,-0.777384997335928,-0.742669545652291,-0.785503065898342,-0.785503065898342,-0.752608381503729,-0.6980093822924,-0.509282008842218,-0.48714410851084,0,0,0.451333706184563,0.463828677655169,0.506651075156255,0.524569646614578,0.448895320197856,0.650658792490695,0.576838547363043,0.597368650904411,0.852038828402257,0.645505578636348,0.686140909136802
"ZEB1",-0.865316492463385,-0.865316492463385,-0.843186374178138,-0.804640476444998,-0.852038828402257,-0.852038828402257,-0.813542661514033,-0.756690084046786,-0.565146238400801,-0.528326148818789,0,0,0.492891050974829,0.524569646614578,0.559012826894859,0.580068656109762,0.509282008842218,0.713354343551385,0.645505578636348,0.655589705735321,0.815600573950075,0.711803466049107,0.75226650999345
"TGFbeta",-0.689744192220908,-0.689744192220908,-0.779513299619147,-0.743783807602151,-0.685326867735301,-0.685326867735301,-0.62097507023089,-0.635798126543638,-0.684322802459851,-0.485617581311453,0,0,0.478297444556491,0.595623408303226,0.619487435529335,0.654942379418792,0.624944174383651,0.755436770200457,0.714893648484014,0.817002423717859,0.751703930833474,0.683703377592299,0.76514560636301
"SNAI2",-0.693713471006023,-0.693713471006023,-0.883192612560569,-0.847027998214107,-0.688343938846011,-0.688343938846011,-0.61825474950604,-0.637155385853997,-0.789553019076875,-0.474506055571714,0,0,0.46971365844593,0.606356648569667,0.526844269751671,0.665063742564722,0.730350769911526,0.858456319901724,0.714401456264972,0.820812417948615,0.755614168317022,0.784432817355329,0.771135675597612
"GSC",-0.732688489671364,-0.732688489671364,-0.718764599689417,-0.674593072762043,-0.727600752899929,-0.727600752899929,-0.651310716371979,-0.668321073589837,-0.592750674119142,-0.498532577755,0,0,0.46425935863041,0.588178381927901,0.621567634527018,0.64198047912277,0.539020554023263,0.58721698990093,0.562619623909817,0.641339563266406,0.787561017520647,0.624813318913571,0.802224427092872
"TWIST1",-0.742403197951768,-0.742403197951768,-0.729654133255539,-0.785252729371336,-0.736240599226739,-0.736240599226739,-0.645566002710349,-0.677756777106304,-0.611964930028764,-0.501957229872335,0,0,0.389297043535507,0.607702558758132,0.620033694014108,0.563320585068209,0.556646075241543,0.698981975508719,0.568883989984403,0.756976662628307,0.797421599992837,0.632239757948859,0.814776794861819
"TWIST2",-0.743210952189657,-0.743210952189657,-0.731094773674371,-0.788917172953044,-0.737313906478117,-0.737313906478117,-0.651895697326349,-0.681129407723249,-0.624126861181318,-0.50631152091523,0,0,0.476790302327769,0.63070129416657,0.539077802471104,0.68593122637028,0.569019516301768,0.701502617720333,0.571887430316934,0.759860530975623,0.798579488212875,0.635362181674259,0.815263117460149
"ZEB2",-0.947838818963773,-0.947838818963773,-0.935410294307098,-0.908229865122105,-0.740370926186552,-0.740370926186552,-0.70873197258014,-0.676680030720317,-0.676221616708864,-0.491128360452157,0,0,0.433517292058546,0.5113323627209,0.558253184255983,0.577338336112157,0.609822142520801,0.715183265042428,0.742676691136727,0.775956664962693,0.815849967328493,0.821235194433767,0.936600815360744
