"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR101","OVOL2","miR34a","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"OVOL2",0.43209522103022,0.43209522103022,0.459458206431112,0.491402639845309,0.416489929814815,0.416489929814815,0.299317482010874,0.424274312217963,0.171304710186265,0.296591793851785,-0.0243742669399581,-0.0244488199607109,-0.317182130107761,-0.320358669129949,-0.342135157257727,-0.344901872926777,-0.39501349766246,-0.442015651269962,-0.336111273599536,-0.474883102348791,-0.450922590952117,-0.372244584408298,-0.390951767072323
"NP63",0.0917046192896979,0.0917046192896979,-0.0831849240993787,-0.102876766279528,0.122419820247481,0.122419820247481,0.207983378638913,-0.297422706398239,0.159833076930668,-0.118937286927484,0.0217431384096182,0.12163043620861,0.229510395925905,0.121888088790577,0.125525908928772,0.227203488366751,0.297825855525383,0.297077995602232,-0.0699618158767826,0.290034261387043,-0.122572749538538,-0.0716686112942699,-0.0473817333669176
"SNAI1",-0.52806571252364,-0.52806571252364,-0.517117350237372,-0.55601162442534,-0.526575555386956,-0.526575555386956,-0.487506394623996,-0.455529778077232,-0.376146517390821,-0.271553839723248,0,0,0.312864902231509,0.19768815007131,0.411339235807157,0.345594016695443,0.421678483173305,0.458920797891896,0.415793932642453,0.526144862916891,0.566054427134985,0.457631244084972,0.570234482103894
"TCF3",-0.541208829864107,-0.541208829864107,-0.734103019112683,-0.80495249301007,-0.537336363035499,-0.537336363035499,-0.502564804601616,-0.658559656656369,-0.37819046580944,-0.347802283214833,0,0,0.469700865420795,0.392487691514699,0.409893411095351,0.533205435228548,0.594936708860759,0.703670272073041,0.56153018541608,0.782537941900483,0.60983087000828,0.638797878962843,0.622290454856866
"KLF8",-0.541208829864107,-0.541208829864107,-0.734103019112683,-0.80495249301007,-0.537336363035499,-0.537336363035499,-0.502564804601616,-0.658559656656369,-0.37819046580944,-0.347802283214833,0,0,0.469700865420795,0.392487691514699,0.409893411095351,0.533205435228548,0.594936708860759,0.703670272073041,0.56153018541608,0.782537941900483,0.60983087000828,0.638797878962843,0.622290454856866
"TGFbeta",-0.589845221343634,-0.589845221343634,-0.678311269670282,-0.630715334346134,-0.584931055620361,-0.584931055620361,-0.542198268815292,-0.549008574066122,-0.416245091773901,-0.395869700659067,0,0,0.467213282987475,0.429228257351886,0.498845507635284,0.51359861004477,0.502133486313981,0.626208387249142,0.645303941843165,0.698441609099701,0.637904736534183,0.601451932194345,0.652007270182354
"FOXC2",-0.781788095402664,-0.781788095402664,-0.757421102348648,-0.719113980970913,-0.766357644613634,-0.766357644613634,-0.672417002017448,-0.483820951680238,-0.466356782756808,-0.336092191798549,0,0,0.346068741754432,0.378633137332406,0.395605800289365,0.395511758035495,0.431434509439058,0.502490608024709,0.565967834172509,0.561037586865084,0.827683031044602,0.630297537271173,0.669533569070266
"ZEB1",-0.844398409002065,-0.844398409002065,-0.817979590001674,-0.776079240877338,-0.827683031044602,-0.827683031044602,-0.726253318366753,-0.53536293739132,-0.504018561821124,-0.378633137332406,0,0,0.395511758035495,0.413831308975398,0.444886350078183,0.44746712713701,0.483820951680238,0.55650615758147,0.630297537271173,0.61327463270045,0.785841369092051,0.692528569864008,0.730749626590725
"SNAI2",-0.683959602312707,-0.683959602312707,-0.872099965303965,-0.833747569301009,-0.677104826197411,-0.677104826197411,-0.625276464178865,-0.773349731010682,-0.464690017286164,-0.437053550935845,0,0,0.590183291478088,0.476755757509877,0.518137967240916,0.645680554990508,0.717496141146768,0.827314567117797,0.709572127403002,0.800983838177702,0.740725696644651,0.777324797348823,0.759777030450624
"GSC",-0.720116745680721,-0.720116745680721,-0.703962041204092,-0.657432737023277,-0.712790981291773,-0.712790981291773,-0.652111037068568,-0.571255181440956,-0.484877272792574,-0.426635762772997,0,0,0.567291210173917,0.462726533998078,0.606411204276009,0.615258450983348,0.522288506072113,0.5430776339729,0.555066696262735,0.614804611114187,0.768815997853918,0.6144230452349,0.788569518585373
"TWIST1",-0.731296617116741,-0.731296617116741,-0.716673383915972,-0.770115005376473,-0.723008895952447,-0.723008895952447,-0.663199192822802,-0.594227297647675,-0.489634475703248,-0.363827114023193,0,0,0.594927623469765,0.401191422322792,0.609806498475891,0.543997610077573,0.543911697365239,0.661744183244434,0.562538537962491,0.733799064011038,0.780441842623575,0.623199723968875,0.802473823643777
"TWIST2",-0.733030974233924,-0.733030974233924,-0.719181866807807,-0.774865946345159,-0.725132236197822,-0.725132236197822,-0.667758380320922,-0.606804558085505,-0.494902386163202,-0.442512329482444,0,0,0.615449905135132,0.480072156797576,0.528577714868307,0.664576640468764,0.556409392189519,0.666619500580766,0.566202945583671,0.738346843250554,0.78283060021058,0.627190334353442,0.803932473306089
"ZEB2",-0.923003126465757,-0.923003126465757,-0.909889329559061,-0.87715846006466,-0.71521311386888,-0.71521311386888,-0.654461163370316,-0.627553969081942,-0.475646439374403,-0.420149337364785,0,0,0.448112841522183,0.461752884563663,0.498231003453094,0.509600847962949,0.566532175584265,0.668536972191062,0.73107247610588,0.740041014317114,0.783974988049395,0.804510106635593,0.90549014573621
