"","miR200b","miR200c","miR200a","CDH1","miR141","CLDN7","GRHL2","miR34a","OVOL2","KLF8","NP63","miR205","miR101","SNAI1","TCF3","FOXC2","TWIST1","TWIST2","GSC","ZEB1","SNAI2","TGFbeta","ZEB2"
"CLDN7",0.431694432017612,0.182909106419784,0.182909106419784,0.503911973769726,0.182273369367639,0.182273369367639,0.17116902134062,0.153316493287898,0.129368526288433,0.363116192213076,0,0,-0.37576706391625,-0.104335748485856,-0.278468372106842,-0.166301923978509,-0.301314451487288,-0.499253512559421,-0.338919235006986,-0.20495193426542,-0.553925035160789,-0.365455395964028,-0.206507465806229
"TCF3",-0.431694432017612,-0.182909106419784,-0.182909106419784,-0.503911973769726,-0.182273369367639,-0.182273369367639,-0.17116902134062,-0.153316493287898,-0.129368526288433,-0.363116192213076,0,0,0.37576706391625,0.104335748485856,0.278468372106842,0.166301923978509,0.301314451487288,0.499253512559421,0.338919235006986,0.20495193426542,0.553925035160789,0.365455395964028,0.206507465806229
"KLF8",-0.431694432017612,-0.182909106419784,-0.182909106419784,-0.503911973769726,-0.182273369367639,-0.182273369367639,-0.17116902134062,-0.153316493287898,-0.129368526288433,-0.363116192213076,0,0,0.37576706391625,0.104335748485856,0.278468372106842,0.166301923978509,0.301314451487288,0.499253512559421,0.338919235006986,0.20495193426542,0.553925035160789,0.365455395964028,0.206507465806229
"SNAI2",-0.475316566292205,-0.225860149250984,-0.225860149250984,-0.443920228335243,-0.225201890146121,-0.225201890146121,-0.209301004562096,-0.190965747488839,-0.156541489314433,-0.387630154725347,0,0,0.397620096107887,0.126382977237157,0.319986430238948,0.198825439648025,0.337528142244751,0.54355290679743,0.388928604221491,0.243446672466427,0.494061516126873,0.41022042798536,0.244958084702935
"SNAI1",-0.45750512173165,-0.453098399081038,-0.453098399081038,-0.495649108911979,-0.460146599499321,-0.460146599499321,-0.431022557828109,-0.422686858046484,-0.338290133235022,-0.140121344901377,0,0,0.154979755266419,0.124655257293392,0.280982642900419,0.352919634053229,0.305040092611484,0.448409313316719,0.376255955505497,0.486500896861413,0.494816686508539,0.406896549555242,0.468792282633608
"TGFbeta",-0.566844291105199,-0.455809624630166,-0.455809624630166,-0.518980445283139,-0.46206886804475,-0.46206886804475,-0.433507004797998,-0.462306311818939,-0.340715071465812,-0.212674688993928,0,0,0.230459345287424,0.308687580329225,0.398024489977452,0.397751519809365,0.429116088007992,0.574331047367917,0.567152862289992,0.49463151160559,0.626214626359285,0.505158014264553,0.480056109289619
"FOXC2",-0.722422225302027,-0.728982033847499,-0.728982033847499,-0.682721518671754,-0.724214241021999,-0.724214241021999,-0.646806534962047,-0.680159829049619,-0.452624271033692,-0.217486091168404,0,0,0.244127995897706,0.389966914808319,0.417304840763926,0.434662125590188,0.460116918276319,0.618341462177787,0.551688602419689,0.770803425546543,0.55991642130861,0.605301785081623,0.583993144201625
"ZEB1",-0.769566956002007,-0.775496927632854,-0.775496927632854,-0.726282313053856,-0.770803425546543,-0.770803425546543,-0.688202347599678,-0.721447054635138,-0.481894798060755,-0.244127995897706,0,0,0.266958371738112,0.413164304848168,0.460116918276319,0.470901627775895,0.500523271374446,0.666235069048016,0.605301785081623,0.713159068799897,0.603489427202472,0.654946294472567,0.626284828221121
"TWIST1",-0.61721631816681,-0.609042218835599,-0.609042218835599,-0.668966671822295,-0.612834618171081,-0.612834618171081,-0.569568244653579,-0.516628859045941,-0.4262186827315,-0.285385994857039,0,0,0.306044263044063,0.269854781788166,0.526277339086404,0.507239374835735,0.46112583631287,0.622686574088118,0.495872900913724,0.64985155000567,0.674618519392194,0.53874741247488,0.640683439171359
"TWIST2",-0.619588514798229,-0.610827245576345,-0.610827245576345,-0.673444506274221,-0.614456026984972,-0.614456026984972,-0.572979878739013,-0.523270860903471,-0.430412635948473,-0.259430659640046,0,0,0.280154026546271,0.352098509580561,0.549624289146421,0.429164031957913,0.584413340626124,0.625993801577043,0.499483416690224,0.651552257881441,0.678302841303867,0.542462734638228,0.642918608315941
"GSC",-0.657633086881609,-0.657510389663038,-0.657510389663038,-0.609589440360098,-0.659462846610943,-0.659462846610943,-0.609732253415537,-0.575679882574858,-0.458437091799808,-0.141231334769835,0,0,0.163984472192861,0.394016847466101,0.545336835511852,0.559809216342759,0.58396608417017,0.550199453054798,0.529780693043603,0.700566919009133,0.599601659856314,0.577484087069677,0.695604761118019
"ZEB2",-0.850418017600411,-0.847386083138627,-0.847386083138627,-0.815014279515685,-0.647971731170866,-0.647971731170866,-0.599312084077122,-0.595720698372195,-0.439737400407983,-0.311825189280486,0,0,0.338745550830498,0.378502013535506,0.417149950722559,0.435461668487827,0.46561310041324,0.654913653433708,0.698531247552086,0.698573564042258,0.710336859441524,0.757824056794091,0.797201394677091
