"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"OVOL2",0.442696386744842,0.442696386744842,0.471455374662436,0.503263136901641,0.429190901378216,0.429190901378216,0.432942292816412,0.313712032290906,0.440110269809885,0.183138708736453,-0.0240834454511235,-0.0241429055533948,-0.335044700034235,-0.34422236382921,-0.355358261742157,-0.365999806342425,-0.467435678080605,-0.344081738539642,-0.493578480251216,-0.465589434501996,-0.381930044562634,-0.401160845120335
"NP63",0.122943605133312,0.122943605133312,-0.0490394131523619,-0.0621980583541165,0.155432335122226,0.155432335122226,0.12388567504187,0.236951249489941,-0.254742888373479,0.180973339117071,0.0215801334809704,0.121488701221518,0.179415321922488,0.0718842160700594,0.0844562821498434,0.174512258632488,0.198562064382361,-0.0900127552382815,0.242741539854572,-0.160680719215313,-0.0969318242404411,-0.0803125340776653
"SNAI1",-0.539052948843113,-0.539052948843113,-0.529869945765445,-0.56949727235289,-0.539828258524977,-0.539828258524977,-0.504434140768147,-0.502249311805215,-0.47358063063095,-0.388932104887125,0,0,0.334956991577634,0.224689345841921,0.42558338165921,0.370702285282243,0.496840535338842,0.423789307927476,0.547025068589466,0.581618774225077,0.467636761709055,0.580466389966215
"TCF3",-0.544094996438758,-0.544094996438758,-0.7379456297229,-0.809196118087174,-0.541518965379984,-0.541518965379984,-0.482416307397395,-0.508570872360407,-0.66513130446393,-0.384474985731987,0,0,0.478338754005497,0.408394575730889,0.416531558592531,0.543190479819789,0.721101519559488,0.562811551505819,0.792183386086101,0.615775955179647,0.641195334798247,0.624469925006737
"TGFbeta",-0.597292413833502,-0.597292413833502,-0.68747342887698,-0.64068900161496,-0.594476836102569,-0.594476836102569,-0.593808752379315,-0.553816847601376,-0.563046051332185,-0.427049220912044,0,0,0.483972959169796,0.452476292731003,0.510202372986331,0.532916729290492,0.658009496123092,0.650275718752848,0.715826596494147,0.649774197132995,0.608356263141021,0.658687954889483
"FOXC2",-0.791010869585744,-0.791010869585744,-0.77192847092065,-0.735257895795115,-0.780076114309801,-0.780076114309801,-0.74035040844847,-0.696067275079531,-0.500712330821268,-0.487731670831554,0,0,0.45171596355245,0.478797694674087,0.489688676131698,0.507063489282043,0.646334759489093,0.575778585719963,0.592681689295889,0.844444096616708,0.642804321413306,0.675114084651994
"ZEB1",-0.856357825526669,-0.856357825526669,-0.835526337115879,-0.795112095078929,-0.844444096616708,-0.844444096616708,-0.798952889595121,-0.753256881778645,-0.555016856720678,-0.528167173663658,0,0,0.507063489282043,0.51856701634745,0.540476445088868,0.561177872320181,0.706735957977816,0.642804321413306,0.649016040543878,0.805688815158776,0.707526544271142,0.738613066404391
"SNAI2",-0.689825963453379,-0.689825963453379,-0.879696314555006,-0.842037897788903,-0.685105779486896,-0.685105779486896,-0.61251236434318,-0.636095585992025,-0.785085706013183,-0.475319617612583,0,0,0.603764530182572,0.49795872356356,0.527689996549415,0.661449874568439,0.855106534303409,0.71352253366573,0.817028045782556,0.750935812280099,0.782929291702414,0.764570298195136
"GSC",-0.731347633208171,-0.731347633208171,-0.717979201969221,-0.673012630431238,-0.726825386543177,-0.726825386543177,-0.647038983089152,-0.669443747675036,-0.591925314780181,-0.500732790295853,0,0,0.588302648065446,0.491934128335072,0.624124836755477,0.639817557138899,0.587052471929596,0.563458995370881,0.641096932128967,0.785745997993742,0.625284168121151,0.798613321035856
"TWIST1",-0.74052534624285,-0.74052534624285,-0.728277329133477,-0.782761586938845,-0.73493968992738,-0.73493968992738,-0.641226761905723,-0.67840827063643,-0.610299403341807,-0.50384570510541,0,0,0.608562143693185,0.421783211759132,0.621592406920897,0.561170796626077,0.698203299305367,0.569432344006743,0.75589491985774,0.79497261393521,0.632270088569573,0.810465037162026
"TWIST2",-0.74160454292019,-0.74160454292019,-0.729945045100286,-0.786616784767884,-0.736248684072038,-0.736248684072038,-0.647674713494676,-0.681890107250288,-0.622455482596254,-0.508223264964806,0,0,0.630869733103084,0.503164530462981,0.54109450542881,0.683422465776634,0.700873528876029,0.57247118038572,0.758973887888614,0.79643933333366,0.635513179604263,0.811367323181575
"ZEB2",-0.926902888527119,-0.926902888527119,-0.915820016850609,-0.884046752007581,-0.721189434330194,-0.721189434330194,-0.673280373894272,-0.664484607860909,-0.639260805424848,-0.48613316542952,0,0,0.464471887163299,0.487494055382863,0.505012955784513,0.527367535237689,0.694726070980629,0.734000235811752,0.755529453533785,0.791993350985806,0.808814484736676,0.908150026150776
