"","miR200c","miR200a","miR200b","CDH1","miR34a","miR141","CLDN7","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"OVOL2",0.44203517488069,0.44203517488069,0.470795057238569,0.503784199284406,0.428363121844585,0.428363121844585,0.428363121844585,0.312210811567115,0.439763530639912,0.181462998642002,-0.0240537875767393,-0.0241173927160346,-0.334032267119362,-0.343605021606021,-0.355243506908009,-0.365740780562447,-0.407338999107058,-0.468376627684315,-0.342895952485966,-0.493154459259174,-0.465137270638616,-0.380707915017245,-0.400874173075309
"NP63",0.127694884097503,0.127694884097503,-0.0444642620323118,-0.0622513637528526,0.160949789678234,0.160949789678234,0.160949789678234,0.241723314267395,-0.249932953023826,0.184329949370469,0.0215667414072684,0.121470918172952,0.173066747910607,0.065120115139644,0.0784610523826882,0.167250293797079,0.254872852906923,0.187683262932311,-0.0928050546635961,0.237784822639786,-0.167148110866317,-0.100680435230652,-0.0850051160965284
"SNAI1",-0.53750722015196,-0.53750722015196,-0.52777904160974,-0.569600777388357,-0.538344883010505,-0.538344883010505,-0.538344883010505,-0.498112452699755,-0.476782097207238,-0.382995975512663,0,0,0.348615177337521,0.234800112345321,0.424310883293312,0.385839846941045,0.43896223768958,0.523458407456812,0.419480156613424,0.544416119680265,0.581227080041347,0.463868068687365,0.581142098418404
"TCF3",-0.546738799313771,-0.546738799313771,-0.740948142842158,-0.812912193339107,-0.54481563006674,-0.54481563006674,-0.54481563006674,-0.510367267156494,-0.669575902608852,-0.384648158359416,0,0,0.481163661523694,0.41251898684484,0.420184665854131,0.548502810923912,0.602354138387912,0.735722317610258,0.563122167941093,0.797401878284377,0.620729798675596,0.64228883460776,0.627646190573285
"KLF8",-0.546738799313771,-0.546738799313771,-0.740948142842158,-0.812912193339107,-0.54481563006674,-0.54481563006674,-0.54481563006674,-0.510367267156494,-0.669575902608852,-0.384648158359416,0,0,0.481163661523694,0.41251898684484,0.420184665854131,0.548502810923912,0.602354138387912,0.735722317610258,0.563122167941093,0.797401878284377,0.620729798675596,0.64228883460776,0.627646190573285
"TGFbeta",-0.606401639600838,-0.606401639600838,-0.69692162993883,-0.651023671951353,-0.604617468912996,-0.604617468912996,-0.604617468912996,-0.560829961279318,-0.574175178133029,-0.429625512790737,0,0,0.49550878507834,0.463750621447946,0.519898660378519,0.546573217994971,0.522806565769232,0.689351577958689,0.654151372083833,0.727870925895341,0.662492159448132,0.614459862210819,0.668873108682088
"FOXC2",-0.792147758272264,-0.792147758272264,-0.773028151427758,-0.736627701403589,-0.781423724245747,-0.781423724245747,-0.781423724245747,-0.696238696255041,-0.501913535418519,-0.487090866064646,0,0,0.452358464525462,0.48015128838144,0.491415100128419,0.508937329569571,0.444159544668108,0.652360559128424,0.575710024112478,0.594160660895165,0.846679134063667,0.642982627366118,0.676544871729631
"ZEB1",-0.858329585161316,-0.858329585161316,-0.837466446371931,-0.797385059206451,-0.846679134063667,-0.846679134063667,-0.846679134063667,-0.753983462202067,-0.557171388055574,-0.527743178636834,0,0,0.508937329569571,0.52103822254478,0.543384560739207,0.564278806037808,0.501913535418519,0.714996322831522,0.642982627366118,0.651534086496463,0.809106026755636,0.708309514222684,0.741017951927145
"SNAI2",-0.695909343838483,-0.695909343838483,-0.886137047906156,-0.849229269669827,-0.691977155969465,-0.691977155969465,-0.691977155969465,-0.640542212339214,-0.792998394673926,-0.477050996415348,0,0,0.610815314719382,0.505442156780261,0.53502704911345,0.670685890420759,0.732946876792796,0.875978602589387,0.715897036570057,0.825841852720857,0.759854929778804,0.786742045306006,0.771352217048642
"GSC",-0.74009014713121,-0.74009014713121,-0.726753375341649,-0.681972397297843,-0.736454753667322,-0.736454753667322,-0.736454753667322,-0.6756473335851,-0.601323516748401,-0.503351091443707,0,0,0.59808944957738,0.501684354458592,0.631453619778341,0.651714104679012,0.547202615647741,0.613236225733796,0.56751862894028,0.651077703826478,0.797600728419036,0.631105793147132,0.808158788296536
"TWIST1",-0.749455194701475,-0.749455194701475,-0.737411243939996,-0.79246418684487,-0.744855797500395,-0.744855797500395,-0.744855797500395,-0.685083746717137,-0.621493737938824,-0.506859498140664,0,0,0.622410443130158,0.437003495997708,0.6323670742081,0.577061718903103,0.566216617181936,0.724582416859247,0.573780232351103,0.766937004377045,0.807172282963249,0.638431702221481,0.820114085271949
"TWIST2",-0.750389748880295,-0.750389748880295,-0.738974884332635,-0.796225344988117,-0.745991326834108,-0.745991326834108,-0.745991326834108,-0.688482090639228,-0.632857642800777,-0.511169982760678,0,0,0.641873407041742,0.514119706540111,0.550658949855486,0.696599842808079,0.577496723727983,0.726972914822816,0.576666235212061,0.77010995778729,0.808471142535332,0.641503232891121,0.820919274074348
"ZEB2",-0.929285746978979,-0.929285746978979,-0.918291947771628,-0.886950849023654,-0.723945840659418,-0.723945840659418,-0.723945840659418,-0.665728604764659,-0.642225567011621,-0.486011755576947,0,0,0.467319201661614,0.491063358278658,0.50858668090063,0.531569619509154,0.578199665311413,0.705788109885269,0.734337761937184,0.759111157643892,0.796173272433636,0.809912666470939,0.911047421279495
