"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","OVOL2","miR101","NP63","miR205","KLF8","TCF3","SNAI1","FOXC2","TWIST1","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"TCF3",-0.549996791129395,-0.549996791129395,-0.744860328984289,-0.818816548028143,-0.547341236010659,-0.547341236010659,-0.493930574889398,-0.513185090082561,-0.387194673866852,-0.373782297312652,0,0,0.320263235729074,0.49745670995671,0.422092829700982,0.434753888989685,0.565169028242861,0.731355119676378,0.566133204991753,0.803999602643524,0.622907435525767,0.645906599872156,0.632160710959682
"KLF8",-0.549996791129395,-0.549996791129395,-0.744860328984289,-0.818816548028143,-0.547341236010659,-0.547341236010659,-0.493930574889398,-0.513185090082561,-0.387194673866852,-0.373782297312652,0,0,0.320263235729074,0.49745670995671,0.422092829700982,0.434753888989685,0.565169028242861,0.731355119676378,0.566133204991753,0.803999602643524,0.622907435525767,0.645906599872156,0.632160710959682
"TGFbeta",-0.587370867132099,-0.587370867132099,-0.678696991837471,-0.632381497107523,-0.584831693317545,-0.584831693317545,-0.585574583352055,-0.54295999757285,-0.416868396171605,-0.404427284669278,0,0,0.365576329798906,0.481428589287949,0.439488901122313,0.503173938434037,0.530005341752732,0.65230333316239,0.642810204206596,0.710065619405475,0.639024549233739,0.599672441976071,0.647557711576073
"FOXC2",-0.790470736691057,-0.790470736691057,-0.770900387435818,-0.734227994442643,-0.779058884898645,-0.779058884898645,-0.740023148960817,-0.693105345546801,-0.484169054161577,-0.430131762455744,0,0,0.387044728489772,0.452418085972892,0.473829128759451,0.489771837710505,0.508066059356558,0.645707137602155,0.574693372854582,0.592101542182007,0.843252054494366,0.641384453095196,0.675551788651678
"ZEB1",-0.855735253716608,-0.855735253716608,-0.834350038286838,-0.793980075979374,-0.843252054494366,-0.843252054494366,-0.798703636888854,-0.749768644271629,-0.52396400500973,-0.473829128759451,0,0,0.430131762455744,0.508066059356558,0.513033001040846,0.541044518456761,0.562795501345932,0.706053165420947,0.641384453095196,0.648405615191978,0.804366459401284,0.705876222334309,0.739175427082465
"SNAI2",-0.698523360191276,-0.698523360191276,-0.889308764249499,-0.854173911353304,-0.693498950419836,-0.693498950419836,-0.626633717883421,-0.642257494435783,-0.478621091945328,-0.469424047242817,0,0,0.422092829700982,0.627113950790194,0.512786156248695,0.548887702548024,0.686807108892737,0.868324558385883,0.719428616505513,0.831561736694601,0.760520365951974,0.789987323886346,0.77529929070071
"GSC",-0.729205451592283,-0.729205451592283,-0.71570499205895,-0.670490155551437,-0.724375483036682,-0.724375483036682,-0.645233245375223,-0.665183859849467,-0.496147667184049,-0.446521453106704,0,0,0.405642215818568,0.588488869390906,0.48505965908677,0.623461372245656,0.64026472511413,0.58565649772719,0.561382601141882,0.639718218598304,0.78292079305258,0.622693434081253,0.796925754616066
"TWIST1",-0.735351472171329,-0.735351472171329,-0.723399326826883,-0.778005797344856,-0.729513013384117,-0.729513013384117,-0.637608277680204,-0.670599096207874,-0.49609594282172,-0.376482992426992,0,0,0.334917002000733,0.61018785802971,0.415706347702508,0.619596409847008,0.562788475998336,0.695293996383366,0.564909176357492,0.75292310088756,0.788894567869314,0.626945936198862,0.805389377682204
"TWIST2",-0.736163463896391,-0.736163463896391,-0.724887101551478,-0.781655156591537,-0.730561014929664,-0.730561014929664,-0.643304887703595,-0.673958097493237,-0.500355269176803,-0.453613315515413,0,0,0.412287088937912,0.631038216378283,0.492985711424623,0.537568917126278,0.683539252003801,0.697782759491589,0.567855279610316,0.755887422596648,0.790055973299941,0.63005268870839,0.805964346638833
"ZEB2",-0.92541431036063,-0.92541431036063,-0.91420487913397,-0.88247446092871,-0.719378411011619,-0.719378411011619,-0.672268542392889,-0.660646525256014,-0.48167479713461,-0.435047334728525,0,0,0.384093054711434,0.464783040054636,0.479931284249738,0.504779230580465,0.528275633884684,0.69390529055294,0.732488315163106,0.754737800806788,0.789848893515211,0.806853354918625,0.907202611197859
