"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR101","OVOL2","NP63","miR205","SNAI1","TCF3","TWIST2","TWIST1","FOXC2","miR34a","KLF8","SNAI2","ZEB1","GSC","TGFbeta","ZEB2"
"OVOL2",0.34661471300628,0.34661471300628,0.369305850746706,0.398670814894665,0.321283672061068,0.321283672061068,0.2188982439158,0.324126122147653,0.114903509485872,-0.0240834337367673,-0.0241428552949085,-0.205612543593727,-0.217418656782116,-0.243846000430737,-0.226957538876929,-0.245182345477082,-0.19621278677901,-0.311872741583293,-0.358367237623724,-0.337320024877406,-0.284957967437809,-0.306076519025111,-0.304328521829919
"NP63",0.0650490600879857,0.0650490600879857,-0.110752973317965,-0.1306750517202,0.0922548309922916,0.0922548309922916,0.181693531308234,-0.325358371028714,0.141455737899247,0.0215802590359401,0.12148890048048,0.152579696207565,0.259252462726965,0.322853504501973,0.258976461380617,0.153965811112578,-0.132458501963241,0.323625819902008,0.320386348966808,-0.0892409780580006,-0.0514457282149742,-0.0485461852267675,-0.0212529588159595
"FOXC2",-0.509920950453659,-0.509920950453659,-0.476664733431754,-0.431630235917948,-0.481611269837578,-0.481611269837578,-0.438244531489419,-0.137336256564998,-0.305909576070927,0,0,0.0122319187066213,0.0188669440724735,-0.0429443447389634,0.0288038525898237,0.0454326267869998,0.396958014300393,0.123665270823081,0.203406749574433,0.500135141507426,0.394672232281864,0.418882781450891,0.379438303770903
"ZEB1",-0.529902456842361,-0.529902456842361,-0.495205987229859,-0.448338043207943,-0.500135141507426,-0.500135141507426,-0.454703517170196,-0.151034775981582,-0.3175475450951,0,0,0.0181435162213047,0.0288038525898237,-0.0360669592427802,0.0413520026075513,0.05865159616007,0.407324919455411,0.137336256564998,0.216264332335934,0.416098069696926,0.418882781450891,0.440477721112392,0.398692750512231
"SNAI1",-0.437777324283478,-0.437777324283478,-0.419825694758139,-0.454867688624507,-0.423975440534212,-0.423975440534212,-0.398835743063584,-0.342547516204444,-0.315427189408169,0,0,0.0730671771218315,0.199082575234254,0.22402960124795,0.210982799535421,0.304030140432735,0.167429978785464,0.328086561375234,0.393115775158313,0.442321430010375,0.363518551529784,0.387936454986943,0.478081246845183
"TGFbeta",-0.504635864664386,-0.504635864664386,-0.584764751177518,-0.531678140998769,-0.485434604913103,-0.485434604913103,-0.456419492891141,-0.434354115506053,-0.357851804886938,0,0,0.294358555382776,0.352612949794954,0.36905446648783,0.372091995922969,0.390096572369949,0.161294625492128,0.411650166360904,0.56131435649339,0.512878377095879,0.602324636180886,0.538818947723307,0.564161816696956
"TCF3",-0.489608375643044,-0.489608375643044,-0.674702276678602,-0.739254424120391,-0.472515403226291,-0.472515403226291,-0.446552745727147,-0.576885648136214,-0.340050315019179,0,0,0.28055596162028,0.391180140832516,0.484225373479466,0.425691273455943,0.332517999599772,0.226568378388965,0.53818798757892,0.677315673341491,0.518205342150331,0.544813362140602,0.60580665559719,0.567433596763203
"KLF8",-0.489608375643044,-0.489608375643044,-0.674702276678602,-0.739254424120391,-0.472515403226291,-0.472515403226291,-0.446552745727147,-0.576885648136214,-0.340050315019179,0,0,0.28055596162028,0.391180140832516,0.484225373479466,0.425691273455943,0.332517999599772,0.226568378388965,0.53818798757892,0.677315673341491,0.518205342150331,0.544813362140602,0.60580665559719,0.567433596763203
"GSC",-0.577666741420418,-0.577666741420418,-0.550978346619843,-0.498171421489342,-0.552845689550693,-0.552845689550693,-0.514984436180496,-0.390500573957126,-0.391123431244942,0,0,0.257606440725557,0.376356391990071,0.170636903002718,0.393136995107884,0.433025062149009,0.288805980663766,0.370544809673082,0.407745401582794,0.577518751390814,0.471238630791401,0.504068941711816,0.642429347674888
"SNAI2",-0.580898861675782,-0.580898861675782,-0.759211750356851,-0.714073493178246,-0.556775235140977,-0.556775235140977,-0.521396483124931,-0.635276423405351,-0.393395468959125,0,0,0.313469288571543,0.450716505859662,0.517491856015514,0.474766650944899,0.38788795990714,0.27699963090933,0.607796974201369,0.63602174640887,0.589852847751505,0.656695621777602,0.700927443386996,0.653310351606759
"TWIST1",-0.594077974742988,-0.594077974742988,-0.569455425910869,-0.616771157562252,-0.567765696812499,-0.567765696812499,-0.529507904266298,-0.421696786347534,-0.397796344303486,0,0,0.202788476272441,0.41470940711846,0.308895130233436,0.332246802855632,0.443333146727775,0.315804503486467,0.400494774695889,0.534599672783608,0.594066989930309,0.482252933202629,0.517098089863415,0.66195475435347
"TWIST2",-0.605044036553121,-0.605044036553121,-0.581306855961997,-0.630821365836791,-0.579276312764742,-0.579276312764742,-0.541708309143487,-0.444671410836446,-0.408123711749026,0,0,0.294972891269451,0.449033847494399,0.330592648466873,0.46727045749967,0.37441261904124,0.283986268800247,0.422700140425489,0.549275230500186,0.606562952103623,0.492439658619002,0.528641572643447,0.672991865904816
"ZEB2",-0.798696770128134,-0.798696770128134,-0.773664425126352,-0.732503879422163,-0.571265397985545,-0.571265397985545,-0.531025594320461,-0.458179494958696,-0.390694096874773,0,0,0.268706467722694,0.279669385492126,0.281046975198864,0.305825879557432,0.342970957198826,0.359752231139951,0.429109322834639,0.539867183421945,0.605540289415043,0.665078944456986,0.711129477436437,0.776518989193867
