"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","TWIST1","SNAI1","FOXC2","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"NP63",0.144622414140988,0.144622414140988,-0.0281355920631091,-0.0426551390737574,0.17653596624173,0.17653596624173,0.145314087166394,0.255251995078548,-0.235148914949102,0.193639875348393,0.0216752069359365,0.121578230324413,0.0456632236468317,0.0377388312075878,0.0469299417266142,0.0556190161691324,0.241806477257057,0.179942185569726,-0.103837514011699,0.221200922509911,-0.184680463004531,-0.113939823971633,-0.105644216175248
"SNAI1",-0.53603055220214,-0.53603055220214,-0.526700850628085,-0.565618667172257,-0.536779845075242,-0.536779845075242,-0.501668103819814,-0.498933703136928,-0.470471211699935,-0.386108621953903,0,0,0.289717707418678,0.321294947936912,0.221280047155111,0.407025728245912,0.434445763672458,0.493659808855898,0.421748852096001,0.542908169534848,0.577983497496715,0.465022433843114,0.576940676543579
"TCF3",-0.542086561317723,-0.542086561317723,-0.735667474530289,-0.805678299469669,-0.539210356404934,-0.539210356404934,-0.477375900127546,-0.505501038095861,-0.660846026495478,-0.37931909378321,0,0,0.329300033790195,0.3877323378282,0.396735827628305,0.398355609858217,0.596388902817009,0.718351365429827,0.560925039556962,0.788576106344566,0.612894350313647,0.638913654357721,0.622326250711031
"KLF8",-0.542086561317723,-0.542086561317723,-0.735667474530289,-0.805678299469669,-0.539210356404934,-0.539210356404934,-0.477375900127546,-0.505501038095861,-0.660846026495478,-0.37931909378321,0,0,0.329300033790195,0.3877323378282,0.396735827628305,0.398355609858217,0.596388902817009,0.718351365429827,0.560925039556962,0.788576106344566,0.612894350313647,0.638913654357721,0.622326250711031
"TGFbeta",-0.59384093481139,-0.59384093481139,-0.683771319180904,-0.636002642588776,-0.590954834127962,-0.590954834127962,-0.590248643016336,-0.54990097231707,-0.558705386900644,-0.423598942784553,0,0,0.399285249079171,0.443174398575797,0.445734619328807,0.489552869411222,0.510037770650904,0.654203669563442,0.647961933840081,0.710742711054162,0.645531821007769,0.605380331466193,0.654694093453673
"FOXC2",-0.789593623598125,-0.789593623598125,-0.770228195207496,-0.732786111937007,-0.778554179155133,-0.778554179155133,-0.738903194542996,-0.694043119788962,-0.498476278016075,-0.485795453772993,0,0,0.420281920108581,0.468954093480994,0.475535464923068,0.478216483078316,0.442205323763939,0.644377422218431,0.574962580355059,0.589683742893579,0.842407411516342,0.641525936596356,0.673432827872981
"ZEB1",-0.854449623723275,-0.854449623723275,-0.833288341186574,-0.79203325197278,-0.842407411516342,-0.842407411516342,-0.797097096635111,-0.750639543089871,-0.55228895496219,-0.525728612071385,0,0,0.468954093480994,0.518139583129925,0.514677907153839,0.527312086294641,0.498476278016075,0.704202727744969,0.641525936596356,0.645344989145511,0.803122649239974,0.705795407343655,0.73647474326673
"SNAI2",-0.686490854401494,-0.686490854401494,-0.875992685944416,-0.836907529718164,-0.681428332405711,-0.681428332405711,-0.606289111886022,-0.631520529513502,-0.779401433942914,-0.468963260301826,0,0,0.441433524744935,0.493411456202186,0.484910806903115,0.505216622594843,0.721956318444756,0.850808943740021,0.710452557932023,0.811673567079827,0.746551505658733,0.77928394114317,0.761063234376959
"GSC",-0.729887685595661,-0.729887685595661,-0.716268031965723,-0.670365791257022,-0.725281429837173,-0.725281429837173,-0.645582261772469,-0.667455038476731,-0.589856198137789,-0.498834090662233,0,0,0.545951137558221,0.59206304071222,0.488942653945394,0.611965036253787,0.53811852824884,0.585141709516881,0.562558667900498,0.638242397497418,0.783740820257555,0.624000481508897,0.796895567022934
"TWIST2",-0.731696528977917,-0.731696528977917,-0.719258652687863,-0.77150462873343,-0.725475486913821,-0.725475486913821,-0.614619231037661,-0.670345629007919,-0.600753072739103,-0.490924876730317,0,0,0.370376374632628,0.416400599384493,0.410651466475537,0.499171173379748,0.548687174956332,0.687140306167737,0.562506817076154,0.744856635159817,0.78409348146265,0.623852769452879,0.801105273840966
"TWIST1",-0.737997046378438,-0.737997046378438,-0.725439192799966,-0.778887130703225,-0.732279526499927,-0.732279526499927,-0.638621511134987,-0.675180940741948,-0.606975426258459,-0.500875570621275,0,0,0.47507555301038,0.421933007782682,0.416943505966526,0.604635506504067,0.554212767508665,0.69517048872671,0.567709096040714,0.751637326302613,0.791684764499695,0.629983224162092,0.807589859128983
"ZEB2",-0.92579945904641,-0.92579945904641,-0.914502847997119,-0.882123090442337,-0.720007651920665,-0.720007651920665,-0.672145175750355,-0.662846036368219,-0.637536525064756,-0.484475845693528,0,0,0.424161119037042,0.481553511429434,0.484536934889064,0.493590244494972,0.575023908918169,0.693218531883366,0.733411794416378,0.753093169546762,0.790368743812751,0.807883307161594,0.906821437774955
