"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"OVOL2",0.440891451347431,0.440891451347431,0.469986760261672,0.50292461084768,0.42661164536025,0.42661164536025,0.430224831649534,0.310834532151806,0.439443326893894,0.18061337842841,-0.0240169123358681,-0.0240799315280767,-0.334321499022545,-0.342985452133422,-0.364943005470052,-0.407777166795733,-0.466331052829675,-0.342630409488147,-0.492893055810553,-0.462835241618404,-0.380146965421036,-0.399742862846298
"NP63",0.126056217601717,0.126056217601717,-0.0471127744906663,-0.0654544522457689,0.160105167469657,0.160105167469657,0.127395917507907,0.240967671138835,-0.25499786838901,0.18382999273034,0.0215564857187253,0.121460974734962,0.179165220196366,0.070994012596256,0.173946384135643,0.259438014770521,0.198208290750682,-0.0921849022622228,0.243074227796062,-0.165842377436283,-0.0995623794925045,-0.0818105179138074
"SNAI1",-0.53470829092215,-0.53470829092215,-0.526191389369019,-0.566571795753528,-0.535833060783578,-0.535833060783578,-0.500285569832536,-0.497761947547872,-0.470802943150953,-0.384211964117691,0,0,0.331876344311262,0.220998623765166,0.367173870498024,0.434507680898012,0.493658780166314,0.420565352575354,0.54463186244061,0.577481458629376,0.464009424848913,0.576397205249807
"TCF3",-0.545122216878839,-0.545122216878839,-0.738641866394257,-0.809899075758912,-0.543225018819704,-0.543225018819704,-0.482318795098546,-0.509170545660751,-0.665526114917789,-0.384054669622454,0,0,0.478425635041738,0.407946311508332,0.543064886457645,0.600215037527804,0.721424662654594,0.563115459236074,0.792902621337974,0.617943416817201,0.641762274162572,0.624451001686811
"KLF8",-0.545122216878839,-0.545122216878839,-0.738641866394257,-0.809899075758912,-0.543225018819704,-0.543225018819704,-0.482318795098546,-0.509170545660751,-0.665526114917789,-0.384054669622454,0,0,0.478425635041738,0.407946311508332,0.543064886457645,0.600215037527804,0.721424662654594,0.563115459236074,0.792902621337974,0.617943416817201,0.641762274162572,0.624451001686811
"TGFbeta",-0.595373213296536,-0.595373213296536,-0.685471649406168,-0.638672023042978,-0.593075115711943,-0.593075115711943,-0.589260734153789,-0.551981488981344,-0.561008148773381,-0.423864590002472,0,0,0.481230246453085,0.449005886619131,0.530111432995479,0.511744295957908,0.65567417734262,0.648916904929566,0.714348312963312,0.648562803087489,0.607205511411335,0.655801287270586
"ZEB1",-0.856436135368735,-0.856436135368735,-0.835328568081771,-0.794898909035029,-0.844623871497669,-0.844623871497669,-0.797871210837015,-0.752337909706488,-0.554714626261804,-0.526756669077969,0,0,0.506681339687364,0.517711629283648,0.560643932225482,0.500504599298731,0.706309027758626,0.642529681553265,0.648863097908264,0.806136091749485,0.707426967075256,0.738144955514106
"SNAI2",-0.691511005377443,-0.691511005377443,-0.880913289972628,-0.843163969319039,-0.687766168323121,-0.687766168323121,-0.612590756650941,-0.637338894827369,-0.785708959672557,-0.475221606712172,0,0,0.603659560530509,0.49737887681346,0.661339484662061,0.72741285726659,0.855785511273098,0.71454934909454,0.818236088591525,0.75407855090529,0.784294272762301,0.764809236869026
"GSC",-0.726414656877752,-0.726414656877752,-0.712779767395297,-0.66616104194444,-0.722680907531623,-0.722680907531623,-0.632645005119237,-0.665243319278053,-0.586446462040862,-0.49292379334081,0,0,0.582518986437722,0.484677824916473,0.633379644386892,0.534753863795498,0.580374074748471,0.560016127618078,0.636126962936793,0.781238938430961,0.621290623639671,0.791838292867042
"TWIST1",-0.738101815639611,-0.738101815639611,-0.725528949039019,-0.778376548703117,-0.733550811519347,-0.733550811519347,-0.619683114127291,-0.677354097216859,-0.606612284393773,-0.495632534476883,0,0,0.604221303751137,0.416103784378885,0.556402117667714,0.553492175550838,0.69388076071077,0.567005355062156,0.753237686195753,0.793511157169256,0.629593834741175,0.805956470563747
"TWIST2",-0.742920666480775,-0.742920666480775,-0.730646712876294,-0.786953157678496,-0.73872732244923,-0.73872732244923,-0.647094580607877,-0.682773299733277,-0.622121125188386,-0.50772542679484,0,0,0.629894015144324,0.501727631851957,0.682511177502689,0.568615263046946,0.700696624025243,0.573381177114307,0.759345059905046,0.799323998099874,0.636766848394553,0.810989854745859
"ZEB2",-0.927311190430024,-0.927311190430024,-0.915902060182873,-0.884102585436131,-0.721874351371072,-0.721874351371072,-0.672496346570734,-0.663964159059139,-0.639057240501823,-0.484836059198903,0,0,0.464158120123358,0.486699024671257,0.526939434716165,0.576172669953718,0.694470868871813,0.73388066187744,0.755545438889076,0.793066080812872,0.808995103224651,0.907868216528843
