"","miR200c","miR200a","miR200b","CDH1","miR141","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"NP63",0.121944522110037,0.121944522110037,-0.0514883164089612,-0.0823261777813344,0.154541501487214,0.122967590698464,0.236158633778054,-0.258815429712235,0.180410802461757,0.0215800668882809,0.121488501661522,0.18092971899756,0.0730367220549494,0.0854724827744977,0.176320808890539,0.262520990840063,0.202679841465546,-0.0892820489046758,0.248595434301688,-0.159522757392712,-0.0959811481276697,-0.078864745565896
"SNAI1",-0.538863947800035,-0.538863947800035,-0.529351703589321,-0.565015655197959,-0.539656404270023,-0.504248481582577,-0.502075895128901,-0.47234693276083,-0.388789076801148,0,0,0.334613358017868,0.224359343152718,0.425344087645958,0.370229923478655,0.436035111317873,0.495799492144793,0.423661803968689,0.545299895020124,0.581366160089097,0.467444033417848,0.580164785110306
"TCF3",-0.544149294035328,-0.544149294035328,-0.737916597713372,-0.806512102868675,-0.541568558528466,-0.482451493155377,-0.508637720058899,-0.664968628730467,-0.384528539086209,0,0,0.478533094812165,0.40846316086282,0.416607264804397,0.543287591652223,0.599942956728051,0.721028826680784,0.562822819414178,0.791659067824455,0.615843907570204,0.641247787659506,0.624533765105147
"KLF8",-0.544149294035328,-0.544149294035328,-0.737916597713372,-0.806512102868675,-0.541568558528466,-0.482451493155377,-0.508637720058899,-0.664968628730467,-0.384528539086209,0,0,0.478533094812165,0.40846316086282,0.416607264804397,0.543287591652223,0.599942956728051,0.721028826680784,0.562822819414178,0.791659067824455,0.615843907570204,0.641247787659506,0.624533765105147
"TGFbeta",-0.597195603186503,-0.597195603186503,-0.687088303199105,-0.636591127176781,-0.594391154407699,-0.593708450809613,-0.553725090761199,-0.562000062329388,-0.426968569525628,0,0,0.483741981821238,0.452208134659468,0.510047836607963,0.532554839764287,0.512905241713093,0.657141402400952,0.650223876361674,0.714261590569628,0.64960668509525,0.608235884890608,0.658484029970866
"FOXC2",-0.790355531354584,-0.790355531354584,-0.770485300469302,-0.728925907154726,-0.779451856619795,-0.739730797478632,-0.695360547445129,-0.497339888737853,-0.487125816344048,0,0,0.450470623975895,0.477789198726909,0.488936695165955,0.505556459046876,0.440903553062763,0.643689632613242,0.575251640120292,0.588056074167243,0.843572586224857,0.64201048482225,0.674171728806838
"ZEB1",-0.8554497152195,-0.8554497152195,-0.833753622753017,-0.78792155552629,-0.843572586224857,-0.798099005433448,-0.752312654936949,-0.551165457677774,-0.52736814934553,0,0,0.505556459046876,0.517373828397312,0.539523788013475,0.559393419479079,0.497339888737853,0.703662138520811,0.64201048482225,0.643889029340473,0.804592964360663,0.70653328578268,0.737427914370554
"SNAI2",-0.689853363836778,-0.689853363836778,-0.879498900822944,-0.838101903043198,-0.685137978799198,-0.61251802851168,-0.636135000174963,-0.784393655283568,-0.475344005519372,0,0,0.603775213958805,0.497865710191439,0.527675955296183,0.661329515856802,0.726522727091123,0.854610536544193,0.713551880266542,0.815827447888438,0.750930103270366,0.782951231617893,0.764539712843148
"GSC",-0.730973857582642,-0.730973857582642,-0.717068052252282,-0.666346142870414,-0.726478944986104,-0.646679557270335,-0.66907557693875,-0.589717745805121,-0.500422844821281,0,0,0.587610747501807,0.491302128990271,0.62366567410823,0.638929232091262,0.537829840492817,0.585241270963743,0.563200799681027,0.638128193692845,0.78524308152297,0.624876540664865,0.798036929169836
"TWIST1",-0.740232434018036,-0.740232434018036,-0.727543906565525,-0.776736673462081,-0.734667124614791,-0.640942646742521,-0.678114601409044,-0.608426753923091,-0.503597072082857,0,0,0.608016565927257,0.421248570036057,0.621225799846086,0.560456344586513,0.555327370103783,0.696766248931062,0.569229375969009,0.753433354454286,0.794564525478065,0.631934007238747,0.810002070707233
"TWIST2",-0.741344238746594,-0.741344238746594,-0.729274849596013,-0.7813797720344,-0.73600686732521,-0.647422003531665,-0.681629464752376,-0.620762089396736,-0.508001501968554,0,0,0.630369923739502,0.502683522590453,0.540764543099129,0.682758338579663,0.567671416405177,0.699523246930105,0.572292098603758,0.756683440464275,0.796074131850644,0.635216569703919,0.810950832011484
"ZEB2",-0.926718280816024,-0.926718280816024,-0.915289149698121,-0.880075531092498,-0.72101474582976,-0.673088900566649,-0.664275005351779,-0.637702265695453,-0.485930951432575,0,0,0.464029096301381,0.487086840812003,0.504742657969297,0.526750892935965,0.575144015672709,0.693537509586543,0.733871964790947,0.753399022077018,0.791720861883012,0.808612295189602,0.907845755494578
