"","miR200b","miR200c","miR200a","CDH1","miR101","miR34a","miR141","CLDN7","GRHL2","OVOL2","NP63","miR205","ZEB1","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","TGFbeta","SNAI2","ZEB2"
"miR200a",0.0157875930728895,-0.0123543193695148,-0.0123543193695148,-0.0210551766392772,0.0693642104766957,-0.138928754185871,-0.241081594816467,-0.241081594816467,-0.235925130147203,-0.162565484866283,0,0,0.243184304166727,-0.060724529266533,-0.0571038143424386,-0.098432900295481,-0.0580609979060763,-0.0721198748980061,0.0301111209934857,-0.0507918362979846,-0.0482375230537341,-0.0709721453049655,-0.223182255011334
"NP63",-0.0752972250593673,0.0925321363213208,0.0925321363213208,-0.0912416489435036,-0.269470139942132,0.0904212958893137,0.114921844326622,0.114921844326622,0.201957727844281,0.155491646569552,0.0215802590359401,0.12148890048048,-0.115599392937427,0.18969439485396,0.0850754082772468,0.0965525522186263,0.188475949885936,0.270262398289629,0.219083429745885,-0.0685844602231225,-0.0702259370387602,0.262790228612997,-0.0601046177069094
"SNAI1",-0.465383559797456,-0.459504679946146,-0.459504679946146,-0.513403210821294,-0.446705275899815,-0.416868809051745,-0.426804361237644,-0.426804361237644,-0.400993083764755,-0.316898981927778,0,0,0.450257693078235,0.316241450975754,0.196037281441926,0.402537548070141,0.344061437793589,0.41818050980271,0.454994743462341,0.373351995404012,0.404034742786505,0.507495720840003,0.536603863792376
"FOXC2",-0.655223580404155,-0.648989382173491,-0.648989382173491,-0.630905190529197,-0.44827334069302,-0.58689923645683,-0.589902210075425,-0.589902210075425,-0.532317161828087,-0.370260346968834,0,0,0.625015308780135,0.413458203152408,0.424434344543576,0.444676504533682,0.455267576744116,0.405418643056815,0.568083833866564,0.485060811155904,0.53089292326932,0.51822068123094,0.592182558521645
"TCF3",-0.697177167602422,-0.490026458545532,-0.490026458545532,-0.774973640582143,-0.656624493984194,-0.41847151291251,-0.455432073581375,-0.455432073581375,-0.431001307443932,-0.328341734633626,0,0,0.503279785975772,0.475858810945717,0.394846620649978,0.409926326889479,0.534668104266143,0.597095362707186,0.701146692953306,0.540971248130298,0.603106466546103,0.773296981991744,0.602806934439393
"KLF8",-0.697177167602422,-0.490026458545532,-0.490026458545532,-0.774973640582143,-0.656624493984194,-0.41847151291251,-0.455432073581375,-0.455432073581375,-0.431001307443932,-0.328341734633626,0,0,0.503279785975772,0.475858810945717,0.394846620649978,0.409926326889479,0.534668104266143,0.597095362707186,0.701146692953306,0.540971248130298,0.603106466546103,0.773296981991744,0.602806934439393
"TGFbeta",-0.62590681429694,-0.519614234887631,-0.519614234887631,-0.587719009933725,-0.541128209314249,-0.506371297292878,-0.480148042841401,-0.480148042841401,-0.451322945183326,-0.354235519932768,0,0,0.512877084030818,0.470813692305027,0.427103098235345,0.491896324718624,0.511187617383873,0.500278828034429,0.620881931362671,0.605749990104907,0.548382362402401,0.680699847198471,0.619614243733724
"ZEB1",-0.696666150992923,-0.689769773011736,-0.689769773011736,-0.670187069979374,-0.487319595147629,-0.620976164237665,-0.625015308780135,-0.625015308780135,-0.563516146526802,-0.392320808321162,0,0,0.556340116118151,0.455267576744116,0.451652905099562,0.481321392951122,0.493972078357629,0.44827334069302,0.609402218090483,0.53089292326932,0.571772399489526,0.556743105826284,0.635770088715568
"ZEB2",-0.649663184522624,-0.629990001537015,-0.629990001537015,-0.626532448433659,-0.485301038042425,-0.319647279707894,-0.3006075599016,-0.3006075599016,-0.275254067853926,-0.200311662368632,0,0,0.328213804331914,0.342864549303014,0.345422556328278,0.374536919239553,0.377402682350572,0.450576923770347,0.475991291191844,0.513289356964454,0.549314580347811,0.552798632227002,0.700489013677279
"SNAI2",-0.804923666278808,-0.59587587430048,-0.59587587430048,-0.777110706095354,-0.757936405211492,-0.506494968836536,-0.546478194472346,-0.546478194472346,-0.511874876726146,-0.385970071800643,0,0,0.585092880588871,0.587103695235599,0.466684571177153,0.504681056760994,0.634304003541728,0.710065016775433,0.809261485675264,0.659306724336066,0.709691729183637,0.773677246513805,0.716420767230591
"GSC",-0.619041222400852,-0.610530328905949,-0.610530328905949,-0.585600312644117,-0.549245090360119,-0.514061924255548,-0.557791646707209,-0.557791646707209,-0.519108706089557,-0.393898062812743,0,0,0.590104406888204,0.558282769510416,0.447276266441646,0.587698331239861,0.597677096114045,0.509246844199078,0.521495436353653,0.48612285623476,0.528354735509381,0.579118099086722,0.730311386306763
"TWIST1",-0.634002917402405,-0.624638381444541,-0.624638381444541,-0.699664103959704,-0.57007658127933,-0.513543141519719,-0.570808218125814,-0.570808218125814,-0.531948681175683,-0.398862120970829,0,0,0.604368691343504,0.580379245483863,0.379339699192515,0.587286265962955,0.52140712787621,0.528436388081103,0.635989153646999,0.495879172865439,0.539677448797742,0.696982885614463,0.745765274593053
"TWIST2",-0.638697636893312,-0.629161430031104,-0.629161430031104,-0.706434182025119,-0.584101639300949,-0.523347631007518,-0.575811867066862,-0.575811867066862,-0.538227295238991,-0.404996514853814,0,0,0.60968085081978,0.604303177749855,0.462430095398279,0.508451277333155,0.645509737743016,0.542203018425505,0.641113843507972,0.5015095320497,0.545710834808853,0.702362177176269,0.749260873797332
