"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR34a","miR101","OVOL2","NP63","miR205","SNAI1","TCF3","FOXC2","TWIST1","KLF8","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"NP63",0.11022348756861,0.11022348756861,-0.0621687573595106,-0.0823501533826592,0.14315151085522,0.14315151085522,0.226110601891999,0.104967971531588,-0.277325193095714,0.173336278151784,0.0215802590359401,0.12148890048048,0.121364806309536,0.206871551254305,0.120744374545718,0.202592408429218,0.280080278352581,0.213574011560731,0.258944090187545,-0.0824884778672391,-0.146183006517484,-0.0874420064433136,-0.0647714653535302
"SNAI1",-0.479313280891391,-0.479313280891391,-0.470091742972883,-0.499924271178111,-0.481467486173025,-0.481467486173025,-0.449990326914481,-0.415359663479227,-0.37961355071644,-0.351763929455209,0,0,0.0630956129011772,0.239729857273825,0.294142697057642,0.263333595285975,0.35436451705751,0.431391452497305,0.477195987801053,0.386795016972936,0.512944876910041,0.421700903802946,0.508139884058966
"FOXC2",-0.716139788357291,-0.716139788357291,-0.699064921065861,-0.648648124839027,-0.70955037817966,-0.70955037817966,-0.634588824973515,-0.628932209995954,-0.356665841637919,-0.445209365342503,0,0,0.112286763819461,0.268780065721963,0.163437079125173,0.303959200467344,0.317474084966745,0.569232273534161,0.509124147769594,0.534495375842441,0.759187552603751,0.588670862430732,0.577090153800878
"TCF3",-0.527567296485373,-0.527567296485373,-0.721270023440294,-0.784658164865104,-0.525688760461628,-0.525688760461628,-0.494404352460428,-0.442659734953007,-0.618888373152567,-0.374558768516716,0,0,0.280230946359782,0.427555486228719,0.337774058719924,0.480266038019619,0.564634163645787,0.70063871204501,0.766930438316322,0.558758351337876,0.591895833569919,0.632784089963941,0.598800300986844
"KLF8",-0.527567296485373,-0.527567296485373,-0.721270023440294,-0.784658164865104,-0.525688760461628,-0.525688760461628,-0.494404352460428,-0.442659734953007,-0.618888373152567,-0.374558768516716,0,0,0.280230946359782,0.427555486228719,0.337774058719924,0.480266038019619,0.564634163645787,0.70063871204501,0.766930438316322,0.558758351337876,0.591895833569919,0.632784089963941,0.598800300986844
"TGFbeta",-0.55622348961505,-0.55622348961505,-0.646150579488127,-0.589195674044094,-0.554446524038631,-0.554446524038631,-0.518032138904986,-0.522722602461293,-0.484445864738925,-0.401641735525093,0,0,0.291722098387176,0.401304063205394,0.394410413202425,0.435104802887285,0.4481363038329,0.611155977816213,0.664025270578694,0.629312135517716,0.599508888840558,0.579113832281008,0.605476807337057
"ZEB1",-0.76646219035104,-0.76646219035104,-0.747936646401898,-0.693434108379151,-0.759187552603751,-0.759187552603751,-0.678692863137965,-0.67077346236555,-0.394272660404222,-0.4763948490627,0,0,0.129498431210068,0.303959200467344,0.194222785206642,0.339970305769404,0.356665841637919,0.614726866409479,0.550983991502558,0.588670862430732,0.705406342452903,0.64037033394003,0.624996834703175
"SNAI2",-0.655446621994452,-0.655446621994452,-0.845202825849735,-0.797182943030518,-0.651710372082056,-0.651710372082056,-0.606345639918592,-0.547325465481266,-0.711674351435406,-0.454324923378013,0,0,0.326887927737012,0.523692332840336,0.412193533053455,0.566481143141388,0.66668042129077,0.815363037763491,0.77216714812634,0.698285245926868,0.707198512433655,0.760123444784996,0.71812210441169
"GSC",-0.680350539678653,-0.680350539678653,-0.666814089751217,-0.60927516799271,-0.677391298972636,-0.677391298972636,-0.625627742443779,-0.560608963822243,-0.491880306197188,-0.469731210146708,0,0,0.274888753975282,0.475951838510189,0.465038270349355,0.511079937155729,0.454036358890305,0.529415531118061,0.57824871312357,0.53637610288851,0.724584541808232,0.588532131517392,0.733132270842954
"TWIST1",-0.691846219191052,-0.691846219191052,-0.67959713989898,-0.722695275539752,-0.687608954383645,-0.687608954383645,-0.636311345481279,-0.559388969654853,-0.518164996376951,-0.474167940584377,0,0,0.223314956631632,0.508409185267622,0.475124730862852,0.444115476574492,0.479310243600971,0.643817942571307,0.696185605027329,0.54384407556953,0.736167817219866,0.597266672701098,0.747895310992398
"TWIST2",-0.695459163862147,-0.695459163862147,-0.683703084737308,-0.729047819293423,-0.691276713930628,-0.691276713930628,-0.641799994900792,-0.568184177113223,-0.533551473816343,-0.47988046858623,0,0,0.309950760961899,0.53491667876382,0.402788927569489,0.571120602791006,0.494321593653316,0.648779659581913,0.701722839804018,0.548534995885374,0.740267526586069,0.602526912993434,0.751903273064524
"ZEB2",-0.892394950269635,-0.892394950269635,-0.880965927366577,-0.837891807178575,-0.687724943927392,-0.687724943927392,-0.634701271618958,-0.606476930566673,-0.560468963634622,-0.465126773138236,0,0,0.302824578052154,0.38036024954319,0.386939708132113,0.427167205556634,0.511630875593814,0.653911862877565,0.709102922715055,0.719218053304477,0.74769980516091,0.786194880552628,0.860968713866177
