"","miR200c","miR200a","CDH1","miR141","CLDN7","miR101","miR34a","GRHL2","OVOL2","miR200b","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","GSC","TGFbeta","TWIST2","ZEB1","SNAI2","ZEB2"
"OVOL2",0.359193061651082,0.359193061651082,0.446288459684755,0.353632362091865,0.353632362091865,0.402607071461736,0.368081861882556,0.247594305460761,0.135088819954373,0.099621121364738,-0.0240834337367673,-0.0241428552949085,-0.300910732706118,-0.300019147897727,-0.310668068898159,-0.322921739108535,-0.379366993815684,-0.221074809703248,-0.240732134438698,-0.424944565842002,-0.376147440032488,-0.444845189931932,-0.290080912288512
"NP63",0.0762247361816895,0.0762247361816895,-0.102951064474632,0.112417086101205,0.112417086101205,-0.280779822271575,0.0854019797662298,0.199477838652211,0.153955574582226,-0.200695896493935,0.0215802590359401,0.12148890048048,0.201902504828872,0.0985151139487452,0.113533294031177,0.202910021938712,0.279579098547687,-0.0307371463470778,-0.030500938004473,0.227596074905186,-0.111662859480364,0.27502874572941,-0.0220395071039828
"FOXC2",-0.563932652743565,-0.563932652743565,-0.56609571719584,-0.577976928681256,-0.577976928681256,-0.385943468956153,-0.558619561737546,-0.521830713416929,-0.362816065569942,0.148570515250242,0,0,0.345792866964325,0.347873564443247,0.356537255125008,0.378589171606056,0.351496418992953,0.298440516033422,0.327201601996448,0.518490911334398,0.610884592016531,0.449878434648504,0.370060581300966
"ZEB1",-0.596633214474646,-0.596633214474646,-0.598078245576342,-0.610884592016531,-0.610884592016531,-0.416673473732228,-0.588891071552259,-0.551070106200282,-0.383490920879873,0.141818308202394,0,0,0.378589171606056,0.368677231984937,0.383485304879412,0.408033245473141,0.385943468956153,0.327201601996448,0.35283099989209,0.552724371894195,0.540216021528012,0.480641904922181,0.398928116744908
"SNAI1",-0.449811150129056,-0.449811150129056,-0.507315779192434,-0.458048593376866,-0.458048593376866,-0.433414897400221,-0.434586987112439,-0.429158346158297,-0.336965845252336,-0.0988119292600548,0,0,0.299027698690427,0.176467694627087,0.376644669686515,0.324066146669417,0.406901119045637,0.281883417074165,0.304394662841756,0.451618157365463,0.483814544170401,0.494523780855144,0.462922289426061
"TCF3",-0.487653709043899,-0.487653709043899,-0.773923040931408,-0.490682840043185,-0.490682840043185,-0.647587452290495,-0.440113264901621,-0.462855245808722,-0.351475099868293,-0.329784718561969,0,0,0.466228719137178,0.379182998280152,0.391120188930157,0.520004130560218,0.59115771007622,0.464560393699333,0.512031845575353,0.701275351686018,0.5451209046301,0.764410656759579,0.537119300445
"KLF8",-0.487653709043899,-0.487653709043899,-0.773923040931408,-0.490682840043185,-0.490682840043185,-0.647587452290495,-0.440113264901621,-0.462855245808722,-0.351475099868293,-0.329784718561969,0,0,0.466228719137178,0.379182998280152,0.391120188930157,0.520004130560218,0.59115771007622,0.464560393699333,0.512031845575353,0.701275351686018,0.5451209046301,0.764410656759579,0.537119300445
"TGFbeta",-0.511570209868574,-0.511570209868574,-0.583003400532385,-0.516509425203716,-0.516509425203716,-0.528250216761122,-0.527790786253247,-0.484078629523124,-0.377509811462335,-0.215191071347134,0,0,0.454175820819672,0.406766086023249,0.465778451106486,0.491207563610042,0.489751071959133,0.508687914952794,0.440515041445499,0.618770808683083,0.552927347429121,0.668086611985502,0.540803814028074
"GSC",-0.597241678340309,-0.597241678340309,-0.577510876302259,-0.604562713983861,-0.604562713983861,-0.529850133683427,-0.541420216652867,-0.560829318043251,-0.423574131024615,-0.0806912311717774,0,0,0.532621139661545,0.41807475646384,0.549193176162499,0.568297091616567,0.492573260973161,0.363431413401724,0.394495950627216,0.517390650450471,0.640087299202564,0.560584390455147,0.621525872635622
"SNAI2",-0.590101893946593,-0.590101893946593,-0.774243794449865,-0.593847862323703,-0.593847862323703,-0.744192449759282,-0.535098939856914,-0.55449339711727,-0.416776114202561,-0.35076591178419,0,0,0.569093107983856,0.444569478090978,0.475710927662726,0.612389716616428,0.698866932087331,0.554634705816366,0.592589246374375,0.808885318547766,0.63729450461806,0.760866670866686,0.627870299881028
"TWIST1",-0.612445304868478,-0.612445304868478,-0.69234064842919,-0.617434398063315,-0.617434398063315,-0.551779912516942,-0.540458537365769,-0.573697823439656,-0.428974883422562,-0.141332082706868,0,0,0.556284935071632,0.351680890858761,0.551262336974591,0.493739492409039,0.512723994576395,0.376045510048256,0.408447140736786,0.632342427815146,0.654497481826598,0.679401322272255,0.642012811131419
"TWIST2",-0.621088231870135,-0.621088231870135,-0.702070036455003,-0.625512281853743,-0.625512281853743,-0.5682610231909,-0.553045507704477,-0.582939702310147,-0.437282496208592,-0.160002324512999,0,0,0.582717311647298,0.437608673800043,0.475509179644331,0.620658123524818,0.528610540453855,0.386002170206724,0.419039149028019,0.639782440652045,0.663295760991465,0.687573143038445,0.652260146061601
"ZEB2",-0.811994696025836,-0.811994696025836,-0.803057394455521,-0.615383898043739,-0.615383898043739,-0.589087803321585,-0.582486118753887,-0.570338989051829,-0.418281877667515,-0.340857480085312,0,0,0.422359228771989,0.424792382318466,0.443822989324405,0.468675821559428,0.540961678449609,0.564511319176329,0.604480159430287,0.638327186193134,0.661132279612899,0.687731688946964,0.752568460058807
