"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"NP63",0.178295214235798,0.178295214235798,-0.00767558430370547,-0.0377094584976749,0.174528196202979,0.174528196202979,0.14019882923743,0.253813565088712,-0.243741900898485,0.192853340865507,0.0215802590359401,0.12148890048048,0.170759439770414,0.0603398780907532,0.0729612460397946,0.16321315905685,0.250639208864931,0.186400205963915,-0.121996595574569,0.227842788698975,-0.182891867111817,-0.131864284669617,-0.190999445878206
"miR101",0.314417755466176,0.314417755466176,0.335167179844988,0.382928412385388,0.509436959505348,0.509436959505348,0.42264577699613,0.475410151611866,0.386305429409288,0.347891199867472,0,0,-0.270467889059371,-0.27061454749271,-0.356247977721922,-0.300367608623331,-0.45635354595234,-0.402920466197867,-0.278916937780599,-0.43502565940029,-0.542014330060043,-0.31230197496545,-0.128469436388749
"TCF3",-0.415700279325699,-0.415700279325699,-0.642601096276873,-0.742677925004978,-0.505126653361876,-0.505126653361876,-0.451375368344134,-0.475785079267372,-0.642871823557512,-0.36060981677297,0,0,0.46543482782185,0.385836153789035,0.395429519485551,0.522017596456893,0.585220206808891,0.69642977662827,0.497898934500397,0.758034187450177,0.568671253442335,0.562154870697606,0.368124929620905
"KLF8",-0.415700279325699,-0.415700279325699,-0.642601096276873,-0.742677925004978,-0.505126653361876,-0.505126653361876,-0.451375368344134,-0.475785079267372,-0.642871823557512,-0.36060981677297,0,0,0.46543482782185,0.385836153789035,0.395429519485551,0.522017596456893,0.585220206808891,0.69642977662827,0.497898934500397,0.758034187450177,0.568671253442335,0.562154870697606,0.368124929620905
"SNAI1",-0.463823950756921,-0.463823950756921,-0.472672321264641,-0.529506062682551,-0.515573289834562,-0.515573289834562,-0.483530452769323,-0.480649081781355,-0.457776477205218,-0.373606490857239,0,0,0.323405819880445,0.209714291710627,0.410426411344204,0.355384830605004,0.424823544800736,0.479403157081839,0.383512524191259,0.52524167587856,0.552320474534463,0.420571353460504,0.419599263442551
"SNAI2",-0.529647623346212,-0.529647623346212,-0.756883704230486,-0.752637769813285,-0.627701270608753,-0.627701270608753,-0.562804291439112,-0.584665574691211,-0.746947919196379,-0.438186769871135,0,0,0.575218127665393,0.462313520017479,0.491383605961175,0.624583379750993,0.696959365209352,0.812673443650792,0.62195600415506,0.764835762835403,0.682853134781971,0.678140858189316,0.463557488813476
"TGFbeta",-0.521459999988928,-0.521459999988928,-0.629807058552016,-0.600797327009609,-0.572304248491722,-0.572304248491722,-0.574925420426999,-0.534069842886158,-0.549405008030599,-0.413011374956169,0,0,0.474535334595768,0.438755802756339,0.49731150552154,0.519987198548755,0.503759593207628,0.642892373466436,0.611832014518089,0.695768161352381,0.622232971981749,0.562947334474823,0.495013288682003
"FOXC2",-0.758966982661009,-0.758966982661009,-0.748952564889522,-0.720320259179582,-0.775199096419561,-0.775199096419561,-0.736405896244722,-0.691746666340381,-0.498393108442405,-0.484649040481551,0,0,0.451018291512185,0.47587161338091,0.487759487865171,0.5051417705568,0.442837933254551,0.643748187754597,0.565418530609237,0.58784198128259,0.836656690250464,0.627390285149461,0.589002761549644
"ZEB1",-0.816174546251341,-0.816174546251341,-0.806285196025697,-0.775663626545947,-0.836656690250464,-0.836656690250464,-0.792514255567171,-0.746353482607865,-0.550875565549573,-0.52326092389621,0,0,0.5051417705568,0.513857675967074,0.536764602488128,0.557470699027357,0.498393108442405,0.702137182665538,0.627390285149461,0.641634050988089,0.794517453736348,0.686789575769037,0.637700731457946
"TWIST1",-0.676152989107013,-0.676152989107013,-0.679608714130301,-0.748672655022345,-0.717345783941629,-0.717345783941629,-0.626291223205175,-0.662806303261913,-0.599670110981155,-0.492690118428807,0,0,0.601559464508787,0.41093808962678,0.6116990494426,0.5512224739772,0.549381807440847,0.686384368503488,0.538955436602412,0.739776843482246,0.772539665232452,0.595112977910159,0.665272423521109
"TWIST2",-0.676588404626155,-0.676588404626155,-0.680928716255153,-0.752448340699623,-0.71872127391964,-0.71872127391964,-0.632817084730333,-0.666325332636262,-0.611914146594417,-0.497124776546249,0,0,0.624038167020293,0.492401253161372,0.53124720449587,0.673523085020378,0.561691244610459,0.68915153564311,0.541714777662596,0.742915119304871,0.773980401805281,0.597886510463256,0.665325004731019
"GSC",-0.683621153872568,-0.683621153872568,-0.682174758169759,-0.648209258237866,-0.715384440773158,-0.715384440773158,-0.637407162723291,-0.659315883044428,-0.585231795643192,-0.493536455547446,0,0,0.584250636149795,0.484932118418672,0.618003649894392,0.633659657361142,0.535200616283928,0.579611617392262,0.542823124079509,0.630431503654523,0.770531831421725,0.599024113010571,0.684566447004727
"ZEB2",-0.887482196583229,-0.887482196583229,-0.88689733325086,-0.864866099523977,-0.714040824697575,-0.714040824697575,-0.667414984881914,-0.658137092767195,-0.635569093541032,-0.481628803019979,0,0,0.46287996817233,0.483181414015989,0.501800957556159,0.524154263072228,0.574337277935516,0.690623484005678,0.719626216259081,0.748642994108991,0.781459117569114,0.788978820191614,0.808462832335992
