"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR34a","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"OVOL2",0.448904584657329,0.448904584657329,0.477700530696786,0.513415955645678,0.437402575037385,0.437402575037385,0.348798813677759,0.437178503497981,0.440832194715229,0.16956325628609,0.16956325628609,0.143653831818117,-0.333892673991106,-0.343879077279673,-0.354933478726069,-0.366127621264039,-0.40751105326259,-0.471348284595001,-0.365407931996493,-0.501165664755688,-0.476749247854823,-0.40760578822621,-0.405654086870851
"NP63",0.108106790731074,0.108106790731074,-0.0689111129631589,-0.0966577551678639,0.139298422743102,0.139298422743102,0.231173854336517,0.108082346972103,-0.280926103417205,0.0917843173596173,0.0917843173596173,0.186552916114351,0.193911466772498,0.0861202916943953,0.0989088740514601,0.191918324297656,0.282361234415674,0.225728820548802,-0.0769102899243446,0.278166531923023,-0.141820995581229,-0.0806745397828993,-0.0656325137422966
"SNAI1",-0.545317363570152,-0.545317363570152,-0.53639750239234,-0.579567346050876,-0.548401299883686,-0.548401299883686,-0.543802561054466,-0.508766681398043,-0.473475283194885,-0.354061448584566,-0.354061448584566,-0.323537067923049,0.333903489959156,0.224325998236519,0.424875696050659,0.370734568652,0.435508403283227,0.501476460013986,0.443797881570679,0.555029018532017,0.593417659442692,0.49224651323909,0.585360101759212
"TCF3",-0.548268051999128,-0.548268051999128,-0.742768283336419,-0.817988547758794,-0.547751029937113,-0.547751029937113,-0.543429176173596,-0.485289912160281,-0.665743985020009,-0.327318037830125,-0.327318037830125,-0.270664045434688,0.477629012020885,0.407519817293876,0.415310678928123,0.542418514481246,0.599598336707398,0.724895506499718,0.57906408198543,0.800693219712595,0.625514296664726,0.662598965706361,0.627362756620941
"KLF8",-0.548268051999128,-0.548268051999128,-0.742768283336419,-0.817988547758794,-0.547751029937113,-0.547751029937113,-0.543429176173596,-0.485289912160281,-0.665743985020009,-0.327318037830125,-0.327318037830125,-0.270664045434688,0.477629012020885,0.407519817293876,0.415310678928123,0.542418514481246,0.599598336707398,0.724895506499718,0.57906408198543,0.800693219712595,0.625514296664726,0.662598965706361,0.627362756620941
"TGFbeta",-0.604075211538346,-0.604075211538346,-0.694842740503904,-0.652474365796036,-0.603884342930116,-0.603884342930116,-0.598645114511223,-0.598845010698126,-0.564075945676873,-0.384104419544854,-0.384104419544854,-0.344356875746564,0.482926183013689,0.452195630383523,0.509727832086041,0.533273381363637,0.512939975507743,0.663667769901633,0.671142892953775,0.725982568091781,0.663019562677783,0.634874716553298,0.663952867876683
"FOXC2",-0.834646393406602,-0.834646393406602,-0.817727101442945,-0.792708467490943,-0.832934544492308,-0.832934544492308,-0.810957561760519,-0.780698049118962,-0.530875541775231,-0.428321101856132,-0.428321101856132,-0.380730054815161,0.468511064611565,0.496966425683752,0.50972586169206,0.530357066585899,0.467284888905196,0.688534902928921,0.65772855412686,0.645609148138864,0.907297667262014,0.737725325485221,0.711783182619665
"SNAI2",-0.700377424897164,-0.700377424897164,-0.89143684523253,-0.859396049391034,-0.699318858147949,-0.699318858147949,-0.691984870673507,-0.621165950397627,-0.789839933927478,-0.424321793245274,-0.424321793245274,-0.375188220385906,0.604609920488335,0.499494537278953,0.528934836799591,0.663865554922135,0.729451012826725,0.86537637211145,0.742026607100637,0.833802735386793,0.770022095341139,0.818213070910376,0.773042873675353
"ZEB1",-0.909239948988244,-0.909239948988244,-0.890580435617644,-0.862040557582029,-0.907297667262014,-0.907297667262014,-0.88359766039875,-0.847485119773508,-0.591878927613594,-0.477951723625381,-0.477951723625381,-0.428321101856132,0.530357066585899,0.541869859354358,0.56598063978726,0.590487083338758,0.530875541775231,0.757509621221205,0.737725325485221,0.711093877165993,0.878577477012587,0.814621045680488,0.783684027493287
"GSC",-0.745783718570906,-0.745783718570906,-0.733312184419909,-0.693960421294915,-0.745698680322835,-0.745698680322835,-0.736930861499303,-0.659313631985474,-0.597278780302004,-0.456899962868318,-0.456899962868318,-0.413770653136321,0.589628379617237,0.494447131541513,0.626808180921743,0.643704296197393,0.54210924941487,0.599488647415469,0.598265252326389,0.659661144042605,0.809992849736544,0.667516967535018,0.810499022884443
"TWIST2",-0.754968115856383,-0.754968115856383,-0.744462398754218,-0.806905901089725,-0.7537831823914,-0.7537831823914,-0.745539696427746,-0.65895892823614,-0.628587013620581,-0.460386198421052,-0.460386198421052,-0.416857372001499,0.632247004999215,0.505573315991013,0.543684372758593,0.687229514641336,0.572406295262213,0.713267545316616,0.606084110795221,0.778156753091186,0.819183272433743,0.676485093619129,0.822370870603575
"TWIST1",-0.755207819169463,-0.755207819169463,-0.744153346877477,-0.804146353180268,-0.754079967831513,-0.754079967831513,-0.745227312883104,-0.653854817303511,-0.617414669687347,-0.456395079971504,-0.456395079971504,-0.413131884107611,0.610209070380497,0.424475219272486,0.624770743341884,0.565535345004506,0.560970750002382,0.711730207295853,0.605512644983253,0.776473344283948,0.819560001002187,0.676009200070257,0.822595145926043
"ZEB2",-0.942229189790189,-0.942229189790189,-0.932956787538804,-0.908489384336773,-0.741477102567362,-0.741477102567362,-0.731556309039568,-0.686570928353176,-0.647448418762054,-0.429350178477951,-0.429350178477951,-0.375602894738527,0.467654180912131,0.491631657226546,0.508920175314808,0.532901851141384,0.581447532214115,0.710719521334176,0.769846375819916,0.77960390930678,0.818221839468432,0.852595757874433,0.920660318828086
