"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR34a","miR101","NP63","miR205","OVOL2","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","SNAI2","GSC","TGFbeta","ZEB1","ZEB2"
"FOXC2",-0.639902682944446,-0.639902682944446,-0.581746218743012,-0.458099736433333,-0.60726168571914,-0.60726168571914,-0.592119887274487,-0.577536798284375,-0.264698117695191,-0.324193398998534,-0.297777025997721,0.218425790993211,0.317235623574449,0.339434558257467,0.352432836566812,0.348505339662777,0.236310325216202,0.400972810489086,0.274543770538602,0.368643839161197,0.402326712773077,0.642629846340131,0.535513832627725
"ZEB1",-0.677472899329588,-0.677472899329588,-0.615874539574158,-0.486828148485052,-0.642629846340131,-0.642629846340131,-0.62649017762497,-0.609510136509777,-0.290050996199177,-0.349480788353633,-0.324193398998534,0.231246385991889,0.348505339662777,0.360232088049162,0.379603848748668,0.376527598341799,0.264698117695191,0.430049623466185,0.298314884022115,0.402326712773077,0.432348689387763,0.574316937282768,0.572005002246266
"TCF3",-0.51427561423319,-0.51427561423319,-0.694207388236941,-0.732708041354537,-0.498223878015201,-0.498223878015201,-0.494353682606003,-0.44487085150927,-0.607975366319476,-0.306863952416855,-0.259927536231884,0.244311776494785,0.459675550405562,0.375940829697351,0.389521620098808,0.509917563958321,0.561797449466548,0.659599398388973,0.691759716293886,0.483220689527819,0.536746156266989,0.555419503952369,0.601721151419972
"KLF8",-0.51427561423319,-0.51427561423319,-0.694207388236941,-0.732708041354537,-0.498223878015201,-0.498223878015201,-0.494353682606003,-0.44487085150927,-0.607975366319476,-0.306863952416855,-0.259927536231884,0.244311776494785,0.459675550405562,0.375940829697351,0.389521620098808,0.509917563958321,0.561797449466548,0.659599398388973,0.691759716293886,0.483220689527819,0.536746156266989,0.555419503952369,0.601721151419972
"TGFbeta",-0.545757075295009,-0.545757075295009,-0.61884541874887,-0.539547259712855,-0.527438164311397,-0.527438164311397,-0.523716938874196,-0.534708290840371,-0.47883213589683,-0.349915382980266,-0.320136151582065,0.271366183955564,0.442777010429394,0.402757202347332,0.463648689540313,0.477564748954114,0.447393395080687,0.568484361095975,0.585886203367175,0.534082025640269,0.470715344928029,0.566015138653568,0.615560251899317
"SNAI2",-0.629768370061544,-0.629768370061544,-0.799581420674964,-0.721875081688245,-0.606808058604148,-0.606808058604148,-0.600359132252378,-0.543275208840637,-0.686851072361471,-0.381896150794728,-0.345410434183676,0.28549440698312,0.555957404595771,0.439914345612758,0.47323979501426,0.596547266764796,0.649905423580645,0.749630205806238,0.665105124163434,0.585646457021946,0.629152651140226,0.652813279283247,0.713848524866364
"GSC",-0.645438525431088,-0.645438525431088,-0.607893090803527,-0.518528469588398,-0.621112750857682,-0.621112750857682,-0.614720592799099,-0.552024432854638,-0.459206612130605,-0.398344362690014,-0.369089012970671,0.291640177931149,0.515141826793369,0.412620240804546,0.546392848380179,0.548787686747368,0.428721967965043,0.446895618176396,0.448254520243416,0.401103031530632,0.437016264748448,0.658926325518316,0.723454830126817
"TWIST1",-0.658966014180321,-0.658966014180321,-0.623691492049657,-0.633268763653839,-0.633516214142803,-0.633516214142803,-0.626272353455003,-0.55070034329425,-0.485779510730059,-0.399432414569509,-0.369386849324792,0.291159180111185,0.539867296761825,0.346439713839632,0.548587581688861,0.475187989205884,0.453795245431049,0.564577520464971,0.573159764539695,0.413921368338303,0.45135419330877,0.672902196049766,0.739500246386693
"TWIST2",-0.665421609897558,-0.665421609897558,-0.631788590815615,-0.646974640600791,-0.640644768696733,-0.640644768696733,-0.633690608789001,-0.562662813679773,-0.505264670887448,-0.406790065063203,-0.375988839518469,0.298509124371578,0.567264638349641,0.432577708893087,0.472932082373035,0.602998363040805,0.472825262859501,0.575098786629618,0.585358071723617,0.42171087783012,0.459801164988364,0.680751288945588,0.745512207905743
"ZEB2",-0.856677225350461,-0.856677225350461,-0.821709258314541,-0.739788465179182,-0.630543976032673,-0.630543976032673,-0.621274066636299,-0.592031338697217,-0.520714395047789,-0.378045993661714,-0.339318072992361,0.276014273961036,0.407111560622671,0.419472193696913,0.441011983367149,0.450560665141482,0.481495764681964,0.567345027405376,0.574408953482119,0.600638049821341,0.646524778602231,0.679070387694704,0.847421419399318
