"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR101","OVOL2","miR34a","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"OVOL2",0.420076869676294,0.420076869676294,0.446917926928653,0.478617328722398,0.402880756836337,0.402880756836337,0.290371059653451,0.411148622195959,0.166642455822526,0.230365066343692,-0.0240834337367673,-0.0241428552949085,-0.30513392947899,-0.308593486903453,-0.328116081073696,-0.330240036953272,-0.384682065929988,-0.402618352243685,-0.45875604389365,-0.331576121047894,-0.433068567039744,-0.364483004866236,-0.378390058411382
"NP63",0.13092319633371,0.13092319633371,-0.0411169721545624,-0.0589616420860801,0.164369681375386,0.164369681375386,0.244829553682307,-0.246580331321097,0.186505659451522,0.164579473138204,0.0215802590359401,0.12148890048048,0.169608614836251,0.0621431091048787,0.0759077288887339,0.164126734436835,0.251468208945967,0.182313087360325,0.234250155377525,-0.0953074934942059,-0.170541582616824,-0.10343271814888,-0.0879840380910005
"SNAI1",-0.383745315052636,-0.383745315052636,-0.367455136907509,-0.409148932864483,-0.371308239989841,-0.371308239989841,-0.347755748377649,-0.312294231524918,-0.277775180481298,-0.138980913290097,0,0,0.180576051356776,0.0822949078192968,0.277112695820037,0.200231271340528,0.291623735891001,0.227701460575136,0.352953738439851,0.307947375693005,0.394859475170186,0.333666568144436,0.426939199159364
"TGFbeta",-0.509116612742286,-0.509116612742286,-0.5933272891077,-0.545483442831147,-0.495958486533804,-0.495958486533804,-0.463843932869085,-0.461302894620743,-0.362265679192768,-0.160381767299131,0,0,0.381670714829489,0.352481215212479,0.418015588177281,0.415839026494227,0.425792441815901,0.454032641469666,0.593378500331675,0.590219024005627,0.536603251612946,0.53530662060515,0.570307487496118
"TCF3",-0.519915189956704,-0.519915189956704,-0.71053328915805,-0.779642315278735,-0.511888074752632,-0.511888074752632,-0.481902784999676,-0.629029909126035,-0.365215681687292,-0.238345386433728,0,0,0.440898475799982,0.359967098851407,0.381906707219284,0.495835552276265,0.572659770547582,0.632571445472874,0.746749248122204,0.553007146418481,0.576229953844173,0.624241512922015,0.599271241370108
"KLF8",-0.519915189956704,-0.519915189956704,-0.71053328915805,-0.779642315278735,-0.511888074752632,-0.511888074752632,-0.481902784999676,-0.629029909126035,-0.365215681687292,-0.238345386433728,0,0,0.440898475799982,0.359967098851407,0.381906707219284,0.495835552276265,0.572659770547582,0.632571445472874,0.746749248122204,0.553007146418481,0.576229953844173,0.624241512922015,0.599271241370108
"FOXC2",-0.771664124053871,-0.771664124053871,-0.750117002805998,-0.711786889827008,-0.756665195188938,-0.756665195188938,-0.67540589204571,-0.472103156834602,-0.473041684137706,-0.52311482933165,0,0,0.423300988292921,0.439125664098278,0.462695936260434,0.47020837900946,0.422675705317221,0.574284902803534,0.556911131797807,0.567714357561962,0.812933129229926,0.629286637498133,0.655108212561256
"ZEB1",-0.829599070056482,-0.829599070056482,-0.805954501160223,-0.763805645164501,-0.812933129229926,-0.812933129229926,-0.725401548308812,-0.518057820856058,-0.508393066672339,-0.553539827802879,0,0,0.47020837900946,0.471129781112121,0.505913486781693,0.514778018507799,0.472103156834602,0.620838655984196,0.604253861282816,0.629286637498133,0.765599949196061,0.687858088938047,0.711353085589028
"SNAI2",-0.646508086977319,-0.646508086977319,-0.832453448136164,-0.792675270998339,-0.634958355442094,-0.634958355442094,-0.591222888065225,-0.72837894143287,-0.443111036920878,-0.306075692511379,0,0,0.544977650549837,0.43026417928681,0.474228541932954,0.59106488304893,0.680658779107595,0.732903356753298,0.749207007772396,0.688711509034707,0.689589180072867,0.749274258145985,0.720467400472123
"GSC",-0.667145438346421,-0.667145438346421,-0.648845597988607,-0.601292321913899,-0.655806118090738,-0.655806118090738,-0.606251727192112,-0.509385194036637,-0.455733096234167,-0.329627173088451,0,0,0.498270853911531,0.398132380725964,0.543138502636758,0.537444761399392,0.468562643565049,0.425379794269944,0.546778943995821,0.521785164073834,0.702485575104312,0.573375216087452,0.733148753829557
"TWIST1",-0.679867432606185,-0.679867432606185,-0.663369614006345,-0.715738249975514,-0.6674246619888,-0.6674246619888,-0.618165478243002,-0.535447325365587,-0.460405116085152,-0.354620684018424,0,0,0.529817088610135,0.337176373507965,0.547774146852556,0.470119522294483,0.493350029144903,0.554669730699155,0.668636411398343,0.530479595135642,0.715479308833995,0.583478539136343,0.748506805569709
"TWIST2",-0.680007015281358,-0.680007015281358,-0.663900258468355,-0.718391674914434,-0.667053843065537,-0.667053843065537,-0.619930945069679,-0.546326844975933,-0.463571689623379,-0.317712596514278,0,0,0.551598732715631,0.41696136389813,0.468075912061981,0.591807900177837,0.504330025565646,0.554855281372107,0.670209947717601,0.532852030343143,0.715002913945949,0.58571801861449,0.749009701804362
"ZEB2",-0.903239029254335,-0.903239029254335,-0.889132792695139,-0.855435484794661,-0.692438694927972,-0.692438694927972,-0.638886883192763,-0.604475133763588,-0.468119718932979,-0.408470381938741,0,0,0.431154570873651,0.442138182311783,0.473284582422705,0.483657534161357,0.550446476251681,0.606138417751507,0.712481549667124,0.72320525901896,0.754369666428369,0.792098472229214,0.884108243277156
