"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","FOXC2","TCF3","SNAI1","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"OVOL2",0.437446794630731,0.437446794630731,0.467443677215803,0.50093692590133,0.42172901732835,0.42172901732835,0.427319331805386,0.307106206279866,0.438751389527587,0.178587652208625,-0.0240834337367673,-0.0241428552949085,-0.193205647568508,-0.333931543537166,-0.342484342653058,-0.364355613747942,-0.407315705244333,-0.465047053038463,-0.340786608352272,-0.491575682990412,-0.456866223530992,-0.377596297505712,-0.398328941469016
"NP63",0.121738066575959,0.121738066575959,-0.0505706296096133,-0.0685182751280764,0.153812094004359,0.153812094004359,0.122588864918043,0.235514606444988,-0.256417257885906,0.179957692159894,0.0215802590359401,0.12148890048048,0.115955952746957,0.180006513676435,0.0725355743092839,0.175332442095598,0.260293566894076,0.200481219586417,-0.0893146175628931,0.245256517653491,-0.158867074851821,-0.0960927700028568,-0.0794737558430511
"SNAI1",-0.537367109135879,-0.537367109135879,-0.528762191840172,-0.569088053904317,-0.537083285562408,-0.537083285562408,-0.502424159020163,-0.499831768576635,-0.473791130356931,-0.387229594940002,0,0,0.327088025832015,0.33512517922836,0.224432017637867,0.370713446080327,0.437368417364128,0.496665331558347,0.423174260097587,0.547072443676355,0.577988119346781,0.466528767674453,0.579950174408467
"TCF3",-0.542747882322231,-0.542747882322231,-0.737147506625127,-0.809094954029117,-0.539246599293327,-0.539246599293327,-0.48080358452479,-0.506561494404004,-0.665772105564938,-0.38310961272578,0,0,0.312207238443427,0.478639807469471,0.408430560375759,0.543451036898319,0.600461421613217,0.721381596971376,0.56239471497424,0.792716297885511,0.61259261106965,0.64066188916311,0.624304591456678
"KLF8",-0.542747882322231,-0.542747882322231,-0.737147506625127,-0.809094954029117,-0.539246599293327,-0.539246599293327,-0.48080358452479,-0.506561494404004,-0.665772105564938,-0.38310961272578,0,0,0.312207238443427,0.478639807469471,0.408430560375759,0.543451036898319,0.600461421613217,0.721381596971376,0.56239471497424,0.792716297885511,0.61259261106965,0.64066188916311,0.624304591456678
"TGFbeta",-0.568047303498359,-0.568047303498359,-0.662686994423411,-0.619064859093462,-0.555174338396631,-0.555174338396631,-0.564097738999706,-0.5169493761715,-0.550119024399599,-0.400014860181581,0,0,0.295780462010348,0.473259824005482,0.439932241252987,0.519877934867008,0.503200853346147,0.639808486365595,0.628185622503911,0.698770842834501,0.606839429718052,0.583186208942837,0.639747566000977
"FOXC2",-0.787146576659784,-0.787146576659784,-0.769068498490858,-0.733076425212218,-0.774110619640208,-0.774110619640208,-0.735933447576411,-0.690790949432567,-0.500130114632326,-0.484060357745891,0,0,0.312286512389138,0.451479416143926,0.477812899400325,0.506380272385476,0.443650645929931,0.644899690056971,0.574080571833647,0.591441274790147,0.836731295809348,0.639862532515793,0.673459831431688
"GSC",-0.629008220797596,-0.629008220797596,-0.626906495523357,-0.591897727052819,-0.595387452701164,-0.595387452701164,-0.542729782742324,-0.546941305480645,-0.540401904787213,-0.416167549554746,0,0,0.252990040507203,0.545110045436184,0.444889084980731,0.588697126959312,0.49595670251112,0.51774328583456,0.482942954888963,0.576245176961977,0.644512037919867,0.53470597815757,0.726708618855194
"ZEB1",-0.851156228940333,-0.851156228940333,-0.831555439162608,-0.79200724042754,-0.836731295809348,-0.836731295809348,-0.793160256113071,-0.746431197365514,-0.553918277312807,-0.52340296940496,0,0,0.342134424987866,0.506380272385476,0.517047758043221,0.55998679134201,0.500130114632326,0.704606274026436,0.639862532515793,0.647103468639394,0.79648455031767,0.703750449494043,0.736254356267057
"SNAI2",-0.686947954355601,-0.686947954355601,-0.877742898579506,-0.840975975634119,-0.680518683168606,-0.680518683168606,-0.609154276596795,-0.632050426079524,-0.785496607263551,-0.472521055083053,0,0,0.38002869346358,0.603929124547722,0.497513819710014,0.661405548196616,0.727513880337673,0.854746480008862,0.712247706623266,0.816990988572823,0.745098277957525,0.781102602669802,0.763651600452175
"TWIST1",-0.737866995503355,-0.737866995503355,-0.726369049643508,-0.781426378218357,-0.730721479357612,-0.730721479357612,-0.638114384386975,-0.674674687627588,-0.610223190321219,-0.501220317926284,0,0,0.479384308375544,0.608553671223969,0.421228445303436,0.560902801584161,0.557022971230446,0.6974860523004,0.568388481474045,0.75538823767481,0.78938292534443,0.630398201681234,0.809468834424568
"TWIST2",-0.739098318563465,-0.739098318563465,-0.728156417450315,-0.785460186284496,-0.732254352727472,-0.732254352727472,-0.644730489241605,-0.678353958686513,-0.622433923463247,-0.505732025528578,0,0,0.403001673837696,0.63087879822513,0.502664393471516,0.6831977358596,0.569223352782027,0.700231448300072,0.571516224956239,0.758546707908938,0.791114592521792,0.633783145952929,0.810455739160319
"ZEB2",-0.919079435943627,-0.919079435943627,-0.909729950271552,-0.879133969279634,-0.709540206774093,-0.709540206774093,-0.664540255760631,-0.654078423009289,-0.637363267390184,-0.478941089893985,0,0,0.238831417566024,0.463316643549966,0.48507809198965,0.525406045534151,0.57524448090953,0.691272679646408,0.729354151705005,0.752365981632922,0.778370591294112,0.802975517684227,0.904453485344128
