"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","FOXC2","NP63","miR205","TCF3","SNAI1","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"SNAI1",-0.472825566319983,-0.472825566319983,-0.474072368911925,-0.520519346898008,-0.453734501686157,-0.453734501686157,-0.439556115069029,-0.421800219292151,-0.442915012329612,-0.330493937359246,-0.0789773094736378,0,0,0.309583852249633,0.196368717960294,0.33993604084655,0.411498242451376,0.454973206076347,0.373361105862205,0.507707466476095,0.487761548641927,0.409651027117438,0.536806292419896
"TCF3",-0.532177251805749,-0.532177251805749,-0.728867178120566,-0.801762110360197,-0.522806319675702,-0.522806319675702,-0.468362284345876,-0.491706785097945,-0.663279202305693,-0.372079358014807,-0.0463988443544957,0,0,0.47771280862822,0.405170513405553,0.540975151319411,0.599339401977873,0.71648776476944,0.557374771480804,0.788045464857083,0.591961130779093,0.632198044999021,0.619187575636323
"KLF8",-0.532177251805749,-0.532177251805749,-0.728867178120566,-0.801762110360197,-0.522806319675702,-0.522806319675702,-0.468362284345876,-0.491706785097945,-0.663279202305693,-0.372079358014807,-0.0463988443544957,0,0,0.47771280862822,0.405170513405553,0.540975151319411,0.599339401977873,0.71648776476944,0.557374771480804,0.788045464857083,0.591961130779093,0.632198044999021,0.619187575636323
"TGFbeta",-0.558727153231315,-0.558727153231315,-0.655297877289214,-0.612669169209616,-0.541507085723409,-0.541507085723409,-0.55364454914269,-0.504742388009616,-0.547473909511705,-0.391311988398883,-0.00158479051872838,0,0,0.471687411836067,0.436863373915656,0.51732079281762,0.5016249090893,0.635380114480537,0.622620450806057,0.694526348341474,0.590752721216538,0.576222271807521,0.635161515497234
"FOXC2",-0.781080020255958,-0.781080020255958,-0.764412596460115,-0.729107732285785,-0.764965902628473,-0.764965902628473,-0.728993073769056,-0.682757727002499,-0.49881310174035,-0.478258131363249,-0.111059496101883,0,0,0.450798811508066,0.476098533104495,0.505119451435961,0.442963521951568,0.642428046811069,0.571152970289525,0.589059311164753,0.825116729241633,0.635632296393236,0.670835088111572
"ZEB1",-0.843259101706965,-0.843259101706965,-0.82535037164645,-0.786620147905804,-0.825116729241633,-0.825116729241633,-0.784250213131864,-0.736203443511344,-0.551760675126588,-0.516049013819094,-0.114482982828863,0,0,0.505119451435961,0.514550592555686,0.557863025925015,0.49881310174035,0.700931545538805,0.635632296393236,0.643597848926091,0.782221296141855,0.697779006875921,0.732374908752731
"SNAI2",-0.670081977982735,-0.670081977982735,-0.863884426902908,-0.828575961443227,-0.656340011271945,-0.656340011271945,-0.590330716064458,-0.610322088961028,-0.779426285669008,-0.456591643878871,-0.0528879250830261,0,0,0.599870237640792,0.49117980622981,0.655381209711884,0.723319317475051,0.845364963979277,0.701594693729508,0.80807638029058,0.716903830903138,0.767227355584511,0.7539823880437
"GSC",-0.703113020637058,-0.703113020637058,-0.694308598317274,-0.651872229284977,-0.68849005914556,-0.68849005914556,-0.616290822146575,-0.635235329908722,-0.580879864782468,-0.476196199186916,0.0706987144642651,0,0,0.579812296919618,0.48072853662548,0.628837980538324,0.531226735154282,0.570693461184745,0.544352186110624,0.625737513441831,0.741983875133493,0.602289610855904,0.781564792881962
"TWIST1",-0.714195205126853,-0.714195205126853,-0.706335069866774,-0.763240714618669,-0.698768131223038,-0.698768131223038,-0.612507929462279,-0.646082831312953,-0.600145425307632,-0.47997361504332,0.0179473783567438,0,0,0.600711758290234,0.411284409047046,0.551011986218375,0.549192878377393,0.683017717181403,0.551720222672788,0.741617121685517,0.753532577455424,0.611000639056132,0.794653852383747
"TWIST2",-0.714487871751237,-0.714487871751237,-0.707487697129733,-0.766834679672791,-0.698607657967137,-0.698607657967137,-0.618035225591566,-0.648109970817477,-0.612194989501399,-0.483440324881881,-0.0249527914640284,0,0,0.623024378674562,0.492563319742825,0.673126255197367,0.561333362534169,0.685456875803796,0.554213718396655,0.744497437873275,0.753351511098765,0.613398661622662,0.795298608147547
"ZEB2",-0.914757441503232,-0.914757441503232,-0.906514084852002,-0.876466234442322,-0.70266955110763,-0.70266955110763,-0.659444868866853,-0.64797480769372,-0.636753380071253,-0.474592406028991,-0.00976520361938312,0,0,0.463163480737897,0.484100244848384,0.524833963144899,0.575058191788814,0.689825438765244,0.727768487278374,0.750975734569913,0.769141703295365,0.800164400794684,0.902888817664159
