"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","OVOL2","NP63","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","GRHL2","FOXC2","CLDN7","CDH1"
"miR9",-0.631808482718555,-0.432344606504192,-0.445912398385713,-0.168438505364127,-0.137367946302575,-0.485779085245256,-0.10223443295124,-0.191478895318874,-0.206990971203223,0.402496492585431,-0.0334745365247456,0,0.358290124479353,0,-0.0279814855651162,0.59031152903601,0.4571273989466,0.59031152903601,0.390010124504046,0.124431637477631,-0.0865973087318508,-0.441260505166899,0.362971904193664,-0.222168130482701,0.390010124504046,0.326699709316114
"miR34a",-0.709097142307867,-0.812261787487904,-0.7006154317995,-0.818361497598427,-0.586050194768902,-0.675646985874432,-0.529652074816565,-0.790306985073327,-0.503630141923541,0.742769291169121,-0.0613169153440518,0,0.653643315601159,0,-0.0539972277905995,0.745623282024572,0.740039258037011,0.745623282024572,0.74696038048674,0.630091720776642,-0.571410609045742,-0.604933879498144,0.68954969531632,-0.559293831672664,0.74696038048674,0.708247980123111
"miR30c",-0.776042123568413,-0.670559274556421,-0.654853474149751,-0.675366119346275,-0.532394972711147,-0.645300923728612,-0.479296056248372,-0.749889023163283,-0.389226055190218,0.608173214741111,-0.0417212475879556,0,0.563127439641465,0,-0.0347306713481904,0.711862458206892,0.705696076523093,0.711862458206892,0.6094575722019,0.5754354801172,-0.520277281532821,-0.579180820332745,0.568910894556765,-0.491102251479242,0.6094575722019,0.663049242911849
"miR205",-0.920828327807154,-0.920362615757323,-0.815536868164151,-0.720286996565802,-0.555416323718173,-0.757512018503753,-0.489763466986106,-0.69352949002801,-0.524483844058817,0.830147356118876,-0.0907807253147508,0,0.795561684275547,0,-0.0815712464096011,0.842996708182888,0.83521381652062,0.842996708182888,0.842810691737922,0.568922419500111,-0.499756661593896,-0.673707028642165,0.760482766561928,-0.53256440632714,0.842810691737922,0.819843662234845
"miR200c",-0.886186640561529,-0.887562129619738,-0.780985039818873,-0.690237108335727,-0.587085909541773,-0.833835352889779,-0.525056382878348,-0.76318214677631,-0.526786063624612,0.806082162038593,-0.0852223285180213,0,0.754332458082343,0,-0.0767059759081014,0.813534990179365,0.807002741385897,0.813534990179365,0.81411723218944,0.619202581966267,-0.55387172846012,-0.754502360205423,0.743824058029973,-0.558684545317598,0.81411723218944,0.786030187520263
"miR200b",-0.886186640561529,-0.887562129619738,-0.780985039818873,-0.690237108335727,-0.587085909541773,-0.833835352889779,-0.525056382878348,-0.76318214677631,-0.526786063624612,0.806082162038593,-0.0852223285180213,0,0.754332458082343,0,-0.0767059759081014,0.813534990179365,0.807002741385897,0.813534990179365,0.81411723218944,0.619202581966267,-0.55387172846012,-0.754502360205423,0.743824058029973,-0.558684545317598,0.81411723218944,0.786030187520263
"miR200a",-0.886186640561529,-0.887562129619738,-0.780985039818873,-0.690237108335727,-0.587085909541773,-0.833835352889779,-0.525056382878348,-0.76318214677631,-0.526786063624612,0.806082162038593,-0.0852223285180213,0,0.754332458082343,0,-0.0767059759081014,0.813534990179365,0.807002741385897,0.813534990179365,0.81411723218944,0.619202581966267,-0.55387172846012,-0.754502360205423,0.743824058029973,-0.558684545317598,0.81411723218944,0.786030187520263
"miR141",-0.886186640561529,-0.887562129619738,-0.780985039818873,-0.690237108335727,-0.587085909541773,-0.833835352889779,-0.525056382878348,-0.76318214677631,-0.526786063624612,0.806082162038593,-0.0852223285180213,0,0.754332458082343,0,-0.0767059759081014,0.813534990179365,0.807002741385897,0.813534990179365,0.81411723218944,0.619202581966267,-0.55387172846012,-0.754502360205423,0.743824058029973,-0.558684545317598,0.81411723218944,0.786030187520263
"miR101",-0.797338484423713,-0.799301677198408,-0.681643594381097,-0.59996566480223,-0.462105307994278,-0.664827422404752,-0.406862181956264,-0.67197564043944,-0.419754901199057,0.730494427862516,-0.0667606112916144,0,0.623021178838592,0,-0.0593674788459241,0.734413481449328,0.727284143087022,0.734413481449328,0.735252675415562,0.564909633035185,-0.607277757937249,-0.595570865241678,0.675704176018689,-0.511164945846725,0.735252675415562,0.688569876523634
"KLF8",0.62768985223653,0.628550365781374,0.720461222980932,0.73210328445445,0.547790196686943,0.667077776533735,0.48042514862187,0.813555775486325,0.413681499561012,-0.548083520093254,0.0389288397084499,0,-0.488898519544928,0,0.0313034216482492,-0.549451538348743,-0.745941095090881,-0.549451538348743,-0.549873422942582,-0.675132266932964,0.605369117132902,0.581766288631277,-0.515768523519481,0.419901313350592,-0.549873422942582,-0.825447046874699
"GSC",0.815387585102048,0.819650788891251,0.706303232342435,0.620768208415794,0.659431002629245,0.680344467850097,0.602373978469607,0.691137245258955,0.509503280322648,-0.748624448174486,0.0605952359292429,0,-0.669529312379003,0,0.0532422266163578,-0.751632189344494,-0.744536958969974,-0.751632189344494,-0.753369870938325,-0.622486178900068,0.563070513234402,0.608550142411787,-0.692665755163854,0.640303858741015,-0.753369870938325,-0.713285427771863
"GRHL2",-0.58968601309792,-0.800249120935922,-0.665723985339354,-0.53636402815825,-0.434324302833767,-0.746953092843929,-0.380555391332897,-0.553330735371698,-0.431442377391694,0.817730324630601,-0.0528961005246639,0,0.696334412010038,0,-0.0455791397358329,0.733388551988109,0.67021159358997,0.733388551988109,0.737531454463989,0.45461226536118,-0.398178403802985,-0.679602908989952,0.596218864253586,-0.443768504697197,0.737531454463989,0.672050242074078
"FOXC2",0.71178778637338,0.911233856433524,0.806612080229545,0.711270505221215,0.547588549663417,0.750357669337378,0.48288808035266,0.682478745508398,0.513940382170578,-0.819945602414359,0.0912620234967443,0,-0.786960939418621,0,0.0822822238022952,-0.835265850755139,-0.82633535842797,-0.835265850755139,-0.835054100123199,-0.559868928817265,0.491812979474103,0.668029677453448,-0.743244094058201,0.52391447419522,-0.835054100123199,-0.811266326215645
"CLDN7",-0.62768985223653,-0.628550365781374,-0.720461222980932,-0.73210328445445,-0.547790196686943,-0.667077776533735,-0.48042514862187,-0.813555775486325,-0.413681499561012,0.548083520093254,-0.0389288397084499,0,0.488898519544928,0,-0.0313034216482492,0.549451538348743,0.745941095090881,0.549451538348743,0.549873422942582,0.675132266932964,-0.605369117132902,-0.581766288631277,0.515768523519481,-0.419901313350592,0.549873422942582,0.825447046874699
"CDH1",-0.70277872289554,-0.703553508195587,-0.794908335035967,-0.807194993918867,-0.6122572573129,-0.748210098994736,-0.547790196686943,-0.885858318993688,-0.463132142245439,0.625622217411262,-0.0477335842339974,0,0.559974569116364,0,-0.0389288397084499,0.628164205029912,0.823782056294219,0.628164205029912,0.628550365781374,0.742503602877851,-0.675132266932964,-0.667077776533735,0.585686035994446,-0.479962606638977,0.628550365781374,0.800489846572115
