"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR101","miR34a","GRHL2","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","ZEB1","GSC","SNAI2","TGFbeta","ZEB2"
"OVOL2",0.380038563893374,0.380038563893374,0.421318026161516,0.460321793520179,0.342479437195261,0.342479437195261,0.417912590336078,0.36585691923618,0.237747065754588,0.128636887228543,-0.0240834337367673,-0.0241428552949085,-0.318847137488461,-0.321172733855992,-0.335865842462208,-0.343706859810596,-0.392110631637637,-0.433972270800483,-0.366653190505343,-0.302848508542545,-0.461961217196866,-0.331178810570763,-0.365769830428415
"NP63",0.191336995300028,0.191336995300028,0.00769696881301565,-0.0165319656369398,0.244198286056786,0.244198286056786,-0.22489817773781,0.19652825807448,0.313874900720523,0.232050142409137,0.0215802590359401,0.12148890048048,0.154594924853883,0.0426775970636725,0.0570049175612678,0.144064239338344,0.234838415689452,0.157033922363537,-0.254248873186416,-0.142260482683261,0.204449990463185,-0.155275904691717,-0.124989332642554
"TWIST2",-0.264148255113706,-0.264148255113706,-0.317360534673057,-0.409534345648722,-0.0940598276916018,-0.0940598276916018,-0.367385143539205,-0.179580076520257,-0.0775595976288719,-0.0225247375573094,0,0,0.410342101910345,0.275016101412299,0.311251023705621,0.4301873635834,0.347575978921962,0.37175090230681,0.112427521643365,0.184894615469258,0.440777511525752,0.207069628363135,0.469983505665587
"TCF3",-0.382431672652985,-0.382431672652985,-0.606025038021424,-0.690851269093107,-0.298837632643217,-0.298837632643217,-0.602424435772972,-0.307044599608903,-0.278605121481856,-0.20461713600825,0,0,0.434286181180735,0.344521445262387,0.362085052632774,0.48036556162604,0.555501473472271,0.627102641755853,0.342969585976794,0.451571738100075,0.701889705516854,0.504154663603065,0.52940918370573
"KLF8",-0.382431672652985,-0.382431672652985,-0.606025038021424,-0.690851269093107,-0.298837632643217,-0.298837632643217,-0.602424435772972,-0.307044599608903,-0.278605121481856,-0.20461713600825,0,0,0.434286181180735,0.344521445262387,0.362085052632774,0.48036556162604,0.555501473472271,0.627102641755853,0.342969585976794,0.451571738100075,0.701889705516854,0.504154663603065,0.52940918370573
"SNAI1",-0.480624836739531,-0.480624836739531,-0.482189261521551,-0.528060947363689,-0.457598821385717,-0.457598821385717,-0.453045253643675,-0.440471876802042,-0.428428073610584,-0.336383389033494,0,0,0.320145806436222,0.203123121635684,0.407814265041134,0.350301795379555,0.422214995859131,0.465440127010606,0.48684095842723,0.385713132689946,0.517422468367914,0.420603797483131,0.547524433730656
"TGFbeta",-0.520554780204053,-0.520554780204053,-0.624768401671005,-0.586049677289138,-0.485706917406466,-0.485706917406466,-0.535865251040839,-0.510811616551474,-0.454576033917405,-0.355708400366118,0,0,0.46454108826075,0.423993052886243,0.486664683030015,0.505863439813855,0.494172443706218,0.61632507214324,0.524019714070279,0.600405124377156,0.676446797105121,0.54599575525512,0.615235876215406
"SNAI2",-0.474548044092424,-0.474548044092424,-0.697988871034383,-0.677565747899308,-0.382822949471684,-0.382822949471684,-0.685316106845455,-0.385956483480228,-0.353206794285545,-0.257776239208371,0,0,0.5230375403777,0.404363276164763,0.439320927570352,0.562015596235517,0.645862046979338,0.716986092942755,0.419767909528176,0.551438662211818,0.685544298750231,0.595511052602855,0.623894123961409
"FOXC2",-0.736853726068966,-0.736853726068966,-0.7304810599237,-0.700150324347068,-0.701294908354218,-0.701294908354218,-0.486958966387066,-0.680576755584846,-0.627284908020229,-0.440101598363169,0,0,0.443754253641205,0.462551461516919,0.478258042013629,0.493433163059862,0.435662387984724,0.622458748330344,0.748775959379354,0.546452623504254,0.570128186839517,0.602178245240883,0.649555562501838
"ZEB1",-0.788940932841386,-0.788940932841386,-0.782637152880469,-0.74969868407096,-0.748775959379354,-0.748775959379354,-0.534641100190659,-0.72556177362435,-0.66947316935455,-0.469932457209228,0,0,0.493433163059862,0.496217964510252,0.52319983530719,0.541006281979138,0.486958966387066,0.674036356472837,0.693230411713975,0.602178245240883,0.618097805709462,0.655532937739791,0.704000536996334
"TWIST1",-0.665614817612376,-0.665614817612376,-0.667674817638176,-0.72964996413218,-0.628270259604408,-0.628270259604408,-0.585002313309034,-0.558592002228767,-0.583228213772039,-0.436166277438547,0,0,0.591059269673157,0.394866002654166,0.59989459622344,0.536036272622335,0.539193420215373,0.658646284799996,0.670432514483988,0.522470942563182,0.718558485816718,0.572324450078952,0.769144270059293
"GSC",-0.680883480134334,-0.680883480134334,-0.678207872330769,-0.638610752795441,-0.652775338845231,-0.652775338845231,-0.578005036666013,-0.590311986525661,-0.603794026459224,-0.454354497170331,0,0,0.579958804769106,0.475807510542061,0.612524635184777,0.626032788924486,0.531131741787222,0.563319825220508,0.696210150308277,0.535215928369458,0.618666733316188,0.586698408153824,0.773578991008136
"ZEB2",-0.879320960743133,-0.879320960743133,-0.878580836291736,-0.852266732657718,-0.649320821294429,-0.649320821294429,-0.627543864559899,-0.618872848412426,-0.600469760829068,-0.440695431930585,0,0,0.457987299171761,0.473122949916505,0.495534524554153,0.515861525875448,0.569653105165665,0.673598050849309,0.703236847012566,0.70908638056818,0.735531962876511,0.773640629932361,0.885968290292511
