"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","GSC","TGFbeta","TWIST2","SNAI2","ZEB1","ZEB2"
"OVOL2",0.279794400961089,0.279794400961089,0.288753006861087,0.32570926831633,0.274244648572166,0.274244648572166,0.231377452201576,0.17817380693101,0.254829467820522,0.0856410498499569,-0.0240834337367673,-0.0241428552949085,-0.110638872877831,-0.055336937391867,-0.0420807048091594,-0.125758288747193,-0.238980022200176,-0.152217578745938,-0.166450934125127,-0.289807948575864,-0.299013625072792,-0.292310324399499,-0.206351552390208
"NP63",0.102097912554438,0.102097912554438,-0.0738154207576828,-0.0923066060294419,0.135562279467814,0.135562279467814,0.0991747094604502,0.219394684992389,-0.290564743969499,0.168546730820811,0.0215802590359401,0.12148890048048,0.22211456267545,0.116242208097588,0.140547161693649,0.221012801203442,0.290964985210795,0.0496352958732512,0.0475761753214138,0.228982089359553,0.280078056180102,-0.13688582334901,-0.0539817690154579
"SNAI1",-0.529212462511888,-0.529212462511888,-0.517151472450815,-0.556702907575457,-0.530512606821248,-0.530512606821248,-0.490765747930335,-0.493994309558633,-0.452525757691013,-0.383082188718866,0,0,0.311209316475934,0.195240831161191,0.391693444752429,0.341718873544997,0.420235459162597,0.315049886809505,0.345944571781647,0.480198428427274,0.523422650334614,0.569037184960544,0.56636925899566
"TCF3",-0.541239752528622,-0.541239752528622,-0.732829512077882,-0.803909924461449,-0.538898968155812,-0.538898968155812,-0.475912456879198,-0.506268910602943,-0.653267457256072,-0.382865824953037,0,0,0.467619217399055,0.387002789183434,0.394833151906262,0.524879623981824,0.59326149689249,0.477687201078426,0.535435977587398,0.713102802379896,0.77731292066051,0.61057727704657,0.618301253303982
"KLF8",-0.541239752528622,-0.541239752528622,-0.732829512077882,-0.803909924461449,-0.538898968155812,-0.538898968155812,-0.475912456879198,-0.506268910602943,-0.653267457256072,-0.382865824953037,0,0,0.467619217399055,0.387002789183434,0.394833151906262,0.524879623981824,0.59326149689249,0.477687201078426,0.535435977587398,0.713102802379896,0.77731292066051,0.61057727704657,0.618301253303982
"FOXC2",-0.760464851791499,-0.760464851791499,-0.733698690056657,-0.696473923427686,-0.751184020224943,-0.751184020224943,-0.700130147068868,-0.67062388187584,-0.443844323819999,-0.469594446919611,0,0,0.386774487320008,0.401994172412462,0.403373209461333,0.432656641443487,0.395365128982349,0.387285743891369,0.432349301603509,0.599935744058093,0.531080188930041,0.807831146314801,0.63401290318961
"TGFbeta",-0.589534322913922,-0.589534322913922,-0.676698664912848,-0.629660487117028,-0.587204436969325,-0.587204436969325,-0.581855815273015,-0.547375413240367,-0.543366480524327,-0.422489700599795,0,0,0.46226467769868,0.422827407507604,0.477202132985199,0.504943869040318,0.498925960065359,0.537583731968272,0.479218723692967,0.643068594646427,0.693148894718088,0.639025633282503,0.646461075143884
"ZEB1",-0.817905316208604,-0.817905316208604,-0.788963373358329,-0.748213524496001,-0.807831146314801,-0.807831146314801,-0.750564318168972,-0.720956461035723,-0.488876837872683,-0.50518406395498,0,0,0.432656641443487,0.433610194772758,0.442855801500899,0.475958305435987,0.443844323819999,0.432349301603509,0.475432842468349,0.651627060851987,0.578150691220368,0.761146368497537,0.689053552980492
"SNAI2",-0.680695777115717,-0.680695777115717,-0.867024670408205,-0.82905713076555,-0.676518782878339,-0.676518782878339,-0.598309063028562,-0.628513323177681,-0.762239256034292,-0.469967724426508,0,0,0.578930088789261,0.463583002060571,0.489444620091741,0.628857546170472,0.710053067556612,0.588117197793221,0.637931697416188,0.837764139695204,0.790631994469611,0.738339610405681,0.750277057534422
"GSC",-0.716017710417129,-0.716017710417129,-0.698167442040516,-0.652393966702767,-0.712328073115716,-0.712328073115716,-0.625994720195223,-0.656601610724772,-0.559240327333457,-0.491615503967814,0,0,0.551521839367128,0.446775754472474,0.572382477213738,0.595465105403418,0.513240054514064,0.413517418387387,0.456821963925279,0.561102058962729,0.604623068689555,0.766312266177556,0.77680900972266
"TWIST1",-0.726131098725109,-0.726131098725109,-0.70956572269939,-0.763514573669218,-0.7213036377888,-0.7213036377888,-0.621207516532408,-0.666313154846929,-0.579497476579316,-0.49524914165368,0,0,0.574037160312336,0.37884710742164,0.57305241219654,0.519321335236972,0.532097187777842,0.423511621805064,0.467760499218273,0.673717508409483,0.721209756166303,0.776580691271975,0.789904032977113
"TWIST2",-0.728419361174148,-0.728419361174148,-0.712678451428379,-0.768900623781372,-0.723762807698933,-0.723762807698933,-0.629139580085223,-0.670807843464438,-0.593693756577446,-0.500349100586237,0,0,0.598731061329082,0.462757635789241,0.495400348557062,0.644075375479232,0.546154368536811,0.430155516318741,0.474737222567564,0.678072743150169,0.726387694925155,0.779423350545406,0.792329127272936
"ZEB2",-0.915508944460545,-0.915508944460545,-0.900121352874477,-0.86770910683801,-0.710446914861262,-0.710446914861262,-0.656032739292026,-0.654945178309177,-0.611230550202931,-0.479349584836172,0,0,0.434876671944088,0.447637104830421,0.460790589900286,0.488948148067296,0.555151518313743,0.60377713425044,0.657176687175822,0.673208846171597,0.723457631307031,0.776593539662718,0.890742215817385
