"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","FOXC2","SNAI1","TWIST1","KLF8","TWIST2","SNAI2","ZEB1","TGFbeta","ZEB2"
"OVOL2",0.433607947991559,0.433607947991559,0.462885102002785,0.495624531617546,0.419336426330529,0.419336426330529,0.423993778775651,0.303077542104722,0.434065329765804,0.174854434832761,-0.0243576541109291,-0.0244250535937913,-0.331990396463918,-0.341239880592239,-0.32950918929296,-0.360150706988165,-0.403282675052425,-0.460994810261972,-0.486636003598848,-0.454450329486804,-0.374139229339595,-0.392409751553597
"NP63",0.117043262578218,0.117043262578218,-0.0545929962124096,-0.0727045959392708,0.149920940628215,0.149920940628215,0.118430734112016,0.231991308308403,-0.259757805645925,0.177421595141595,0.0215721165830883,0.121474639518868,0.195025536216041,0.108546482447917,0.0789763209278922,0.191313538007654,0.263155361063368,0.203371120811455,0.24859173275335,-0.153937243911473,-0.0927870277977755,-0.0725668505483809
"SNAI1",-0.534686918985802,-0.534686918985802,-0.52611662428793,-0.566007501393006,-0.535421181879247,-0.535421181879247,-0.50002510064914,-0.49755318176693,-0.471151062208338,-0.384969347163654,0,0,0.320499110996362,0.396707017510828,0.217364997019875,0.353652787411002,0.435299677738406,0.494540148954641,0.54434740812295,0.576117388943977,0.464461612595418,0.575174922711427
"TGFbeta",-0.562646534992068,-0.562646534992068,-0.655499982831308,-0.6034569082264,-0.559142890499753,-0.559142890499753,-0.518073995945378,-0.522375571445456,-0.530200648934038,-0.407543302765059,0,0,0.428417904541638,0.424753149125177,0.342237639728775,0.472390018809036,0.483958278639023,0.626528719318682,0.686958361220214,0.610017822766975,0.581301857705172,0.620450102513397
"TCF3",-0.542490226394791,-0.542490226394791,-0.736690553877228,-0.808184001754128,-0.539880581812912,-0.539880581812912,-0.480798129352656,-0.506383618865019,-0.665052560505812,-0.382259664124308,0,0,0.464840539259876,0.389311170548562,0.402978841240823,0.526199475744366,0.599801233624763,0.720825476108634,0.791736152224357,0.61317035588203,0.640293812731583,0.62212133884723
"KLF8",-0.542490226394791,-0.542490226394791,-0.736690553877228,-0.808184001754128,-0.539880581812912,-0.539880581812912,-0.480798129352656,-0.506383618865019,-0.665052560505812,-0.382259664124308,0,0,0.464840539259876,0.389311170548562,0.402978841240823,0.526199475744366,0.599801233624763,0.720825476108634,0.791736152224357,0.61317035588203,0.640293812731583,0.62212133884723
"FOXC2",-0.787328571291297,-0.787328571291297,-0.768247293703238,-0.7314473607918,-0.775973411945839,-0.775973411945839,-0.736641372716662,-0.690451250081867,-0.498382728710508,-0.482435824498181,0,0,0.435704864359167,0.453884234520291,0.469833492738976,0.487295083884421,0.442442901821594,0.643817858993847,0.589456832353397,0.839074629565166,0.639608325024149,0.670996867581347
"ZEB1",-0.851451077613298,-0.851451077613298,-0.830693913125689,-0.790235020522167,-0.839074629565166,-0.839074629565166,-0.794262297066444,-0.74627089564976,-0.552121758828756,-0.521763469754445,0,0,0.487295083884421,0.499274923177535,0.50785962325693,0.538303657539916,0.498382728710508,0.70322829482568,0.644841460101025,0.798909655345009,0.703234773975451,0.733228833324494
"SNAI2",-0.686238076058881,-0.686238076058881,-0.876632340688717,-0.839200578291448,-0.68136360851813,-0.68136360851813,-0.608971076904464,-0.631494599198824,-0.783991117029514,-0.471011776519429,0,0,0.583282809077699,0.488677203230243,0.490247721482903,0.637730833833899,0.726256366352475,0.853582483413523,0.815130168090027,0.745934030892298,0.780308087279623,0.760129232733954
"TWIST1",-0.736132020631271,-0.736132020631271,-0.72435113482024,-0.778800878870234,-0.730402655471568,-0.730402655471568,-0.636870573137753,-0.673101760261042,-0.607969736603506,-0.499076798897949,0,0,0.587759820413159,0.583563042894252,0.414020952934912,0.537136010743855,0.555317568313136,0.695724899721099,0.75285453689867,0.789093951213876,0.628933660305765,0.805101224152436
"TWIST2",-0.737359452665977,-0.737359452665977,-0.726175588695129,-0.782876997938795,-0.731872179237349,-0.731872179237349,-0.64340565635566,-0.676789368761078,-0.62020886348788,-0.503631508975639,0,0,0.611540850489252,0.504222761912294,0.495261205975593,0.660840719325439,0.567542346836215,0.698516737281956,0.756087046549445,0.790739831470378,0.632335686543761,0.806154004298497
"ZEB2",-0.923630693406839,-0.923630693406839,-0.91252480726479,-0.880715021206759,-0.717315232831139,-0.717315232831139,-0.670485971680719,-0.657933480369938,-0.638324109086213,-0.479380744273076,0,0,0.445933122303253,0.460932188546319,0.473109620888548,0.505785204314588,0.575610402997829,0.692398738953237,0.752551871356199,0.786875632665374,0.805583273273941,0.904696189454396
