"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","FOXC2","TCF3","SNAI1","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"OVOL2",0.438061754192726,0.438061754192726,0.467976248374215,0.501436273582655,0.422273731164765,0.422273731164765,0.427701783626855,0.307582646652109,0.439346364369337,0.178752500917753,-0.0240834337367673,-0.0241428552949085,-0.176784496728025,-0.334524014277263,-0.342876729161387,-0.364998440577529,-0.407940290868794,-0.465710350546201,-0.341452337871768,-0.492160203849438,-0.457358492356543,-0.378521754758893,-0.399054272207862
"NP63",0.125702136162785,0.125702136162785,-0.0474339517710995,-0.0657899309618975,0.159528593961218,0.159528593961218,0.126976167093077,0.240556578753802,-0.255219601022186,0.183508462981462,0.0215802590359401,0.12148890048048,-0.0154848710865055,0.179375795846794,0.0711742895450559,0.17416767288034,0.259638702946634,0.198516725514748,-0.0919331196042296,0.243371082271674,-0.165000893181884,-0.0991905353480292,-0.0815025620510312
"SNAI1",-0.524364891901115,-0.524364891901115,-0.517685039248906,-0.559213166864845,-0.519814289137281,-0.519814289137281,-0.488655133367886,-0.484156449551316,-0.467977598825507,-0.37603021359492,0,0,0.177773459663899,0.330412932736491,0.218875452790546,0.365004873222596,0.432684857536615,0.488596747967555,0.413262614937059,0.539409291692863,0.559377044174323,0.455596465429336,0.571638231493601
"TCF3",-0.536751954102334,-0.536751954102334,-0.732459716199167,-0.804956161479776,-0.529993945438507,-0.529993945438507,-0.473826354049914,-0.498187626031331,-0.66434684302785,-0.376968343745044,0,0,0.150450257995446,0.478176308048846,0.406543984285925,0.54206788597721,0.599900411795545,0.718592395444063,0.559202925045704,0.790031499864686,0.601562537034163,0.635838777864265,0.621405621186587
"KLF8",-0.536751954102334,-0.536751954102334,-0.732459716199167,-0.804956161479776,-0.529993945438507,-0.529993945438507,-0.473826354049914,-0.498187626031331,-0.66434684302785,-0.376968343745044,0,0,0.150450257995446,0.478176308048846,0.406543984285925,0.54206788597721,0.599900411795545,0.718592395444063,0.559202925045704,0.790031499864686,0.601562537034163,0.635838777864265,0.621405621186587
"TGFbeta",-0.582205988358425,-0.582205988358425,-0.675162707035379,-0.630260465090151,-0.573150878065475,-0.573150878065475,-0.577201438036942,-0.534520638947138,-0.557906142318452,-0.413378846599005,0,0,0.208319218378396,0.480258704659876,0.446880444764136,0.527548428527096,0.510084992960024,0.649896717570406,0.640357162824306,0.708372736748197,0.625284970537955,0.595790410870596,0.649984101521793
"FOXC2",-0.787484144704045,-0.787484144704045,-0.769368978881491,-0.73339591561667,-0.774487178134645,-0.774487178134645,-0.73623093256351,-0.69112233477894,-0.500397233792053,-0.484230643435037,0,0,0.288351267553436,0.451633124354506,0.478060028711604,0.5066748097984,0.443839028975457,0.645304239441373,0.574473787854782,0.591801799306078,0.837036436967227,0.640537986028923,0.673889368764086
"TWIST1",-0.619352080633454,-0.619352080633454,-0.628800309089658,-0.695452320267366,-0.576259571783606,-0.576259571783606,-0.512933200588891,-0.529445507633704,-0.556423963940948,-0.40590541081934,0,0,0.0990936607790462,0.563684004322542,0.372569581072377,0.507634922162208,0.511495417409055,0.625258158580573,0.475598604894156,0.687520639483937,0.625387312671376,0.527326589502261,0.734054603104829
"ZEB1",-0.851524454842896,-0.851524454842896,-0.831898666945222,-0.792303014685974,-0.837036436967227,-0.837036436967227,-0.793413712481568,-0.746699126381552,-0.554240505036405,-0.523528385815939,0,0,0.31229945919302,0.5066748097984,0.51730055296988,0.560295751225143,0.500397233792053,0.704938463359948,0.640537986028923,0.647426130570149,0.796252900966543,0.704048572994343,0.736568544611977
"SNAI2",-0.678118418732303,-0.678118418732303,-0.870416538105718,-0.834388990019994,-0.668060748197147,-0.668060748197147,-0.599419026816547,-0.62082951849662,-0.782079706310244,-0.464350170705153,0,0,0.199415214775648,0.601568549987834,0.494026033932217,0.658013508275828,0.725098678943867,0.849599132218119,0.706237943115814,0.812103677446203,0.731012779994271,0.773643307760865,0.758370328404227
"GSC",-0.705095793030893,-0.705095793030893,-0.695633192155781,-0.652894587780972,-0.692008358146836,-0.692008358146836,-0.618769674336914,-0.638332396162726,-0.580716284848855,-0.478479763845303,0,0,0.270095382602716,0.579403543144974,0.480942921124376,0.628627284519878,0.530810797281624,0.570949682224335,0.544742409232909,0.626023803660627,0.746921178659657,0.60325925712211,0.781860336309696
"TWIST2",-0.716950294189881,-0.716950294189881,-0.709255617665034,-0.768280450509678,-0.702694632993951,-0.702694632993951,-0.621054661350526,-0.651679022833847,-0.612271327058999,-0.48612208320652,0,0,0.159061288929866,0.622807055413205,0.493013307788426,0.673152580682858,0.561106414351414,0.686052069699721,0.554943016837089,0.745105609743262,0.758956975427817,0.614770880164719,0.795943705520173
"ZEB2",-0.922681668696376,-0.922681668696376,-0.912682226583457,-0.881683185879082,-0.714532896563198,-0.714532896563198,-0.668313580421621,-0.658578034170748,-0.638761330222125,-0.481908651042069,0,0,0.275143307146357,0.464297853726643,0.486491771449428,0.52675746370927,0.576195080856031,0.693294508675085,0.732342799953361,0.754291366853357,0.783120731265989,0.805847162933612,0.906483839527782
