"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR101","miR34a","GRHL2","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"OVOL2",0.442569257256903,0.442569257256903,0.471275301757703,0.504333733494442,0.428800733582277,0.428800733582277,0.459797630178018,0.433044934326256,0.312759797062529,0.181981843331182,-0.0240525016433495,-0.0241152963503265,-0.335438708951946,-0.344315173165625,-0.356033981251796,-0.366966168850933,-0.423892086990707,-0.46725672466217,-0.343170298918618,-0.493782232208437,-0.46553740658636,-0.381031814607293,-0.402002480618479
"NP63",0.127490147756366,0.127490147756366,-0.0458070495397349,-0.0637579982858224,0.159747036239446,0.159747036239446,-0.246420755224914,0.128304548864162,0.240677246383045,0.183602674737758,0.0215654125416046,0.121470366136595,0.176908148643777,0.0669323430591559,0.0804278746198739,0.171381632772269,0.251138703942863,0.197289024070451,-0.0926528982352883,0.241867901353752,-0.165625977043994,-0.100170324508747,-0.0858293340196561
"SNAI1",-0.537904511042928,-0.537904511042928,-0.5297749625411,-0.572121284297225,-0.540150252254342,-0.540150252254342,-0.508930374990274,-0.51106342435421,-0.500634075722894,-0.385581802899142,0,0,0.348065027292336,0.242385343501091,0.430415356034728,0.384980732481164,0.467255025015191,0.497835604983209,0.420874535059825,0.548364277876296,0.582881435712022,0.465109707102682,0.576670607016433
"TCF3",-0.54776702201647,-0.54776702201647,-0.7407292113341,-0.812659338962231,-0.544647948028828,-0.544647948028828,-0.725195130945601,-0.486435381232003,-0.51044735556652,-0.384939001794033,0,0,0.480859051509206,0.412216990905364,0.419855061933821,0.547370919414263,0.652049591039498,0.722814142481337,0.563433944175329,0.794588541599404,0.620236762522723,0.642555243124708,0.630634000837583
"KLF8",-0.54776702201647,-0.54776702201647,-0.7407292113341,-0.812659338962231,-0.544647948028828,-0.544647948028828,-0.725195130945601,-0.486435381232003,-0.51044735556652,-0.384939001794033,0,0,0.480859051509206,0.412216990905364,0.419855061933821,0.547370919414263,0.652049591039498,0.722814142481337,0.563433944175329,0.794588541599404,0.620236762522723,0.642555243124708,0.630634000837583
"TGFbeta",-0.607082935097094,-0.607082935097094,-0.695547423713218,-0.649701263685087,-0.6033315204366,-0.6033315204366,-0.669868231018527,-0.604166440927496,-0.560360616194315,-0.429847660584825,0,0,0.49362034254895,0.463592512098859,0.519557078940041,0.544180323774259,0.614150714643429,0.663978617443223,0.654399914165214,0.722501167561934,0.660782402489842,0.614507253095271,0.672254943840778
"FOXC2",-0.792785425459186,-0.792785425459186,-0.773044603605676,-0.736689897893525,-0.781427005028366,-0.781427005028366,-0.533358102977716,-0.742244915708436,-0.696412129050303,-0.487357248633173,0,0,0.452873129181699,0.480324518384686,0.491643783098156,0.509132053503451,0.469658981824329,0.646789023594717,0.575810954369741,0.593462759378968,0.846572684981552,0.64314600965341,0.678657510171063
"ZEB1",-0.859032064665575,-0.859032064665575,-0.83736006179804,-0.797306402595847,-0.846572684981552,-0.846572684981552,-0.593462759378968,-0.801707555570644,-0.754122566219533,-0.528028720291745,0,0,0.509132053503451,0.521058731546551,0.543348006196453,0.564096926951627,0.533358102977716,0.707755106586243,0.64314600965341,0.650398474250543,0.808848443112233,0.708515878737383,0.743477932329291
"SNAI2",-0.696734733657343,-0.696734733657343,-0.885260174526524,-0.848300538950052,-0.691191510925942,-0.691191510925942,-0.859912721954676,-0.619553219157995,-0.640239346181146,-0.477160938777528,0,0,0.60916223770541,0.504501857164197,0.533860343786916,0.668436969499546,0.794588541599404,0.859119663697989,0.716177642078843,0.821772449426861,0.758680957388668,0.786803270930195,0.774683968137804
"GSC",-0.740663720674775,-0.740663720674775,-0.725349944166396,-0.680556647143901,-0.735127129678544,-0.735127129678544,-0.590947774410177,-0.656752448480613,-0.675036061808675,-0.50331487787596,0,0,0.595900074369818,0.500211721298657,0.629638375157702,0.649009534851071,0.531958306105069,0.59219452995922,0.567542964613989,0.646712956060991,0.795878364548,0.630913508801739,0.81154041252666
"TWIST1",-0.750081092684655,-0.750081092684655,-0.735935903610813,-0.790973790742925,-0.743494631327046,-0.743494631327046,-0.705014489916154,-0.65165432160556,-0.684403732205799,-0.506764766067485,0,0,0.617890074744051,0.435733163363615,0.630518322177711,0.572022789310748,0.644738457436007,0.703751404721398,0.573779279296298,0.761916414269173,0.805429060820501,0.638275394815006,0.823680703621907
"TWIST2",-0.751009255115061,-0.751009255115061,-0.737528539559391,-0.79474143662142,-0.744658349182677,-0.744658349182677,-0.707943048725836,-0.657373107246043,-0.687818693632876,-0.511100398059402,0,0,0.638809883527499,0.512650077453336,0.548846880107446,0.692986910276307,0.647549626607213,0.706285152005286,0.576710134401011,0.764984106799497,0.806728693438774,0.641338478080174,0.824408589715343
"ZEB2",-0.929952910577738,-0.929952910577738,-0.918022879437026,-0.88669504209795,-0.723694962774793,-0.723694962774793,-0.691338523478721,-0.676408847543901,-0.665725884317699,-0.486195552370958,0,0,0.466988329998982,0.490917988901208,0.508391231290102,0.530792698437274,0.621833388091232,0.695987397902951,0.734433624576341,0.757202940856786,0.795738329793034,0.810069758531844,0.913595716295534
