"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"NP63",-0.0858032363149115,-0.0858032363149115,-0.288087880899922,-0.277549403513309,-0.0322075750120362,-0.0322075750120362,-0.0446933318161649,0.0740629744386987,-0.383505244721311,0.0338195153972233,0.0364612081674628,0.283659838423541,0.187649211345078,0.19930098435791,0.299154071863551,0.36742750620541,0.362293185975663,0.076961746329006,0.405765131164918,0.0499498899972959,0.0946632656676331,0.289625660979504
"SNAI1",-0.541447911709436,-0.541447911709436,-0.531744817209043,-0.571395231802965,-0.541937538067178,-0.541937538067178,-0.505904021202938,-0.504014565614674,-0.474330303605322,-0.390100104276639,0,0.335299750195608,0.225165957484457,0.425908556928443,0.371210372282699,0.437580853943666,0.497804887491111,0.424720717602788,0.54823592851299,0.58438147124055,0.469074355821584,0.584064476281438
"TCF3",-0.545121187270896,-0.545121187270896,-0.73881743769846,-0.810304068445295,-0.542399676549627,-0.542399676549627,-0.483029129330425,-0.509313186844647,-0.665891312836582,-0.384966543842562,0,0.478639807469471,0.408680951926583,0.416701670027917,0.543547842319423,0.600461421613217,0.721766609934449,0.562849260428785,0.793107633101779,0.617411672268078,0.641640449214512,0.626680207400275
"KLF8",-0.545121187270896,-0.545121187270896,-0.73881743769846,-0.810304068445295,-0.542399676549627,-0.542399676549627,-0.483029129330425,-0.509313186844647,-0.665891312836582,-0.384966543842562,0,0.478639807469471,0.408680951926583,0.416701670027917,0.543547842319423,0.600461421613217,0.721766609934449,0.562849260428785,0.793107633101779,0.617411672268078,0.641640449214512,0.626680207400275
"TGFbeta",-0.599417755109965,-0.599417755109965,-0.68909513959567,-0.642317581660975,-0.596328913834363,-0.596328913834363,-0.595081062849469,-0.555349963964845,-0.563676056115827,-0.428046819874683,0,0.48419202806308,0.452818994641154,0.510405634112346,0.533263513459147,0.514140596328565,0.658745224330812,0.650892599676437,0.716805460481451,0.652351224026633,0.60947085393874,0.662114225922223
"FOXC2",-0.798772768542816,-0.798772768542816,-0.777631890402054,-0.739743636189349,-0.786871134443404,-0.786871134443404,-0.74514139618086,-0.7015981778002,-0.50211331432449,-0.49148905806297,0,0.452330725937834,0.480160529450379,0.49064006530137,0.508242686354145,0.444635313529234,0.648528339659229,0.579519500330574,0.59517991204065,0.852616429544231,0.647686415382735,0.685946193113863
"ZEB1",-0.865591938453336,-0.865591938453336,-0.842486678026449,-0.800699274239057,-0.852616429544231,-0.852616429544231,-0.804844655100533,-0.759987320514136,-0.55716018932449,-0.532779625150156,0,0.508242686354145,0.520501152969485,0.542073385638719,0.563070677566574,0.50211331432449,0.709837733840595,0.647686415382735,0.652417374261602,0.815366250095174,0.713768453280499,0.751181505835838
"SNAI2",-0.692563379571273,-0.692563379571273,-0.881869247404812,-0.844185923119933,-0.687513294660661,-0.687513294660661,-0.614199584725752,-0.63813352308451,-0.786276672846001,-0.476690804630722,0,0.604245232422012,0.498568089461658,0.528090340619059,0.662121913628846,0.727854979816278,0.856350053872079,0.714399318109114,0.818607259626476,0.754276675309183,0.784500129731794,0.768928290948288
"GSC",-0.73513270592063,-0.73513270592063,-0.720742914676169,-0.675050560780945,-0.730152585748101,-0.730152585748101,-0.649339064459877,-0.672189216584612,-0.592597041314307,-0.502534555035551,0,0.588541705626668,0.492519474073049,0.624490409093639,0.640307166443224,0.540059280808419,0.588037919155844,0.564958640794177,0.642286243244511,0.790007237267152,0.627498978830008,0.804195002756214
"TWIST1",-0.744196575894994,-0.744196575894994,-0.73101538684963,-0.785033603628803,-0.738179770110487,-0.738179770110487,-0.643479977983719,-0.68110031363549,-0.611113428581055,-0.505627042023415,0,0.608865177311148,0.422399212653185,0.621989988139759,0.561726644094838,0.557396685232385,0.699305817855925,0.570900264798991,0.75724765272642,0.799132603146775,0.634416872196875,0.815875503229972
"TWIST2",-0.744996588837712,-0.744996588837712,-0.732478982497471,-0.788806566364698,-0.739241081247259,-0.739241081247259,-0.649747765406346,-0.684379009151729,-0.623229960522197,-0.509863827334643,0,0.631151535902762,0.50373116221553,0.541454172085304,0.683931379179087,0.569550231311184,0.70189025700341,0.573785353779349,0.76024261856797,0.800324274932814,0.637474834179639,0.816423709797239
"ZEB2",-0.930098095740963,-0.930098095740963,-0.918145107953424,-0.886001992486391,-0.723983373300122,-0.723983373300122,-0.675176755089383,-0.666772197584769,-0.63974591811792,-0.487634375980288,0,0.464570663392182,0.487902375869193,0.505227654224815,0.527679103797999,0.576547657473839,0.695481114240796,0.735004293227673,0.756481750891637,0.795808194089768,0.810600179419788,0.913183988944189
