"","CDH1","miR200b","miR200c","miR200a","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","ZEB2","GSC","TWIST2","TGFbeta","SNAI2","ZEB1"
"miR200c",0.354614486310072,0.319649076302556,0.275187249228842,0.275187249228842,0.521944080998079,0.521944080998079,0.494199742078065,0.485295301018042,0.385362860634049,0.339736894907773,0,0,-0.350382542141231,-0.338211368892016,-0.361808967564598,-0.380145767365656,-0.355019933506064,-0.0353741666806646,-0.359026314997146,-0.431007729069908,-0.392299426532461,-0.451881413741201,-0.555216705601631
"NP63",-0.0804525182844362,-0.0668970298583842,0.100571087286961,0.100571087286961,0.147983083500841,0.147983083500841,0.117348846445745,0.23036604536161,-0.261033245316626,0.176265109948817,0.0215802590359401,0.12148890048048,0.182916438463486,0.0767671832646184,0.0894444047536246,0.179875935826888,0.263629330628321,-0.0332162025986591,-0.0780517561961015,0.205397832916044,-0.0822761198884829,0.251665696642598,-0.151223577632937
"FOXC2",-0.676908264699158,-0.689548651391066,-0.682189937128234,-0.682189937128234,-0.750300793820941,-0.750300793820941,-0.714893571583355,-0.669900850802325,-0.482214207575662,-0.468899970317404,0,0,0.439522984464751,0.460245118507815,0.472775075246281,0.489979271080344,0.430660880974837,0.411109427141751,0.52530217157319,0.625906744434522,0.581475031181748,0.565048615329781,0.806675853866767
"SNAI1",-0.537765389687372,-0.483324195077505,-0.476822723764376,-0.476822723764376,-0.52419970984681,-0.52419970984681,-0.491263657540871,-0.488383940487872,-0.46449510996448,-0.379097070902583,0,0,0.329376790278449,0.215171839772264,0.41706584283278,0.362220305726617,0.430938194893303,0.436983676149273,0.395446859868131,0.486812215617643,0.432456119940533,0.532860174248153,0.561209874653339
"ZEB1",-0.726591088443589,-0.740353926761216,-0.732010934794281,-0.732010934794281,-0.806675853866767,-0.806675853866767,-0.766333062808207,-0.71999169156093,-0.530430527058376,-0.504318656769286,0,0,0.489979271080344,0.495106594211768,0.517577685933613,0.537890116177004,0.482214207575662,0.448760901564312,0.581475031181748,0.67959313120297,0.633841805101613,0.61414021283133,0.758962030647715
"TCF3",-0.787105245594822,-0.703575810477209,-0.496209725526404,-0.496209725526404,-0.535694580501923,-0.535694580501923,-0.477789111042644,-0.503412506368367,-0.663082878127955,-0.380812495838252,0,0,0.478639807469471,0.405112983726937,0.414749921586605,0.541514928476248,0.599619906886709,0.493191859904547,0.549722453049693,0.718653854513453,0.618926730736841,0.786255411740741,0.605017624791138
"KLF8",-0.787105245594822,-0.703575810477209,-0.496209725526404,-0.496209725526404,-0.535694580501923,-0.535694580501923,-0.477789111042644,-0.503412506368367,-0.663082878127955,-0.380812495838252,0,0,0.478639807469471,0.405112983726937,0.414749921586605,0.541514928476248,0.599619906886709,0.493191859904547,0.549722453049693,0.718653854513453,0.618926730736841,0.786255411740741,0.605017624791138
"TGFbeta",-0.609524447267064,-0.640824245596603,-0.534010494139219,-0.534010494139219,-0.581334078501493,-0.581334078501493,-0.582905018911787,-0.542157302196831,-0.556010967361985,-0.418786405519327,0,0,0.480610463008475,0.444533249852077,0.503754914931827,0.526513850570021,0.509698013362636,0.505029608305494,0.624696398045016,0.650203460584293,0.574547616317584,0.703568038292712,0.631277211683067
"ZEB2",-0.747142905849785,-0.744411929995688,-0.719714673699029,-0.719714673699029,-0.63981946184972,-0.63981946184972,-0.602139754042618,-0.592043126092027,-0.582502470145214,-0.433761498731941,0,0,0.423400691668267,0.436352273353683,0.453560397607044,0.474338389559055,0.531313710412896,0.531596156540584,0.6153684101367,0.631885933393498,0.67060675756171,0.67788829793664,0.695078840401737
"SNAI2",-0.804172231297427,-0.823514626456574,-0.613758276210883,-0.613758276210883,-0.668926434211811,-0.668926434211811,-0.599019222703539,-0.621759285270314,-0.776557124850115,-0.465136573616411,0,0,0.599623826218612,0.488240225187753,0.519583773851815,0.653470851971241,0.722113643874776,0.581991637287158,0.682508783645162,0.845507988619451,0.741796083009592,0.802059741991921,0.72819896702959
"GSC",-0.623395295563176,-0.647075898216898,-0.637583627882094,-0.637583627882094,-0.702329021267907,-0.702329021267907,-0.626296311087521,-0.647748052859488,-0.577060370955132,-0.485314149213284,0,0,0.579046061664195,0.476855157970414,0.610466637867795,0.626035264322003,0.529456309843588,0.58233686170838,0.520076058808122,0.570651784471054,0.571755346875551,0.618312010149927,0.754040393816927
"TWIST1",-0.735699689528277,-0.66053067941821,-0.650209828335811,-0.650209828335811,-0.711736598143216,-0.711736598143216,-0.621616677125066,-0.657822314104481,-0.596424551708655,-0.489158863846271,0,0,0.599916666036878,0.407513291753448,0.608815778862555,0.548310140266293,0.547411953989191,0.603261763180533,0.5281307096996,0.682841592497064,0.581077010411851,0.734395308305436,0.764804775894778
"TWIST2",-0.741017800204812,-0.6640364114234,-0.653579710616666,-0.653579710616666,-0.714049052799148,-0.714049052799148,-0.628950328509996,-0.662173264152529,-0.609291199747931,-0.494175965304884,0,0,0.622806504990994,0.489547814157807,0.528978261081548,0.671231337215322,0.560174552054727,0.609308381919185,0.532532421942928,0.68628888114658,0.585757528573246,0.738378489416202,0.767387415478103
