"","AXIN2","Wnt","CDC42","TGF","Destcompl","FOXC2","PI3K","ZEB2","NOTCHic","GSK3","RKIP","Csl","SOSGRB2","SNAI1","IKK","FUS","SUFU","KLF4","EGR1","TrCP","MEK","ERK","Csn","cfos","SMAD","HEY1","NFB","ILK","AKT","miR200","ZEB1","Patched","NOTCH","SMO","SHH","Jagged","cateninmemb","TWIST1","RAF","DELTA","RAS","TGFR","PAK1","LIV1","GLI","Frizzled","Ecadherin","CD44","DSH","cMet","TCFLEF","SRC","cateninnuc","STAT","SNAI2"
"RKIP",0.0799109235818097,0.0666666666666667,0.0266666666666667,0.051588785046729,-0.0283737885398062,0.0430739758325965,0.257142857142857,-0.0661013868962219,0.00707070707070707,-0.253743104806935,0.0180672268907563,-0.0111111111111111,-0.141968253968254,0.223617294403627,0.214285714285714,0.1,-0.1,-0.0681013868962219,-0.17,0.2,-0.251107850330154,-0.223448275862069,0.2,-0.22,-0.120906468053737,-0.119783197831978,-0.214285714285714,-0.12387676508344,-0.253679653679654,-0.00712095568611584,-0.0442888570062171,-0.136,-0.00322455322455323,-0.1,-0.134360655737705,-0.147586708707252,-0.115859388800565,0.0978104575163398,-0.257142857142857,-0.257142857142857,-0.26996336996337,-0.06,-0.0333333333333333,0,-0.0743589743589744,-0.0666666666666667,-0.177593357631828,-0.0796221322537112,0,-0.0719298245614035,-0.0747270273586063,-0.0666666666666667,-0.0795616329565707,0,-0.374882263799032
"SMAD",-0.221694375927646,-0.143772893772894,-0.0983903420523139,-0.0939255197771687,-0.0537282068666598,-0.0737308429030196,-0.141951719314165,-0.0636237181797407,-0.115829228243021,0.0292887883489387,-0.00275791414658449,-0.112380952380952,-0.0991422656018929,0.00297901157981804,-0.112278244631186,-0.0875,0.075,-0.0559769151287171,-0.0857142857142857,-0.05,-0.102961385950883,-0.0971921551816526,-0.105555555555556,-0.10184331797235,-0.0145303098727756,0.078010075397106,0.11031746031746,0.0797554044129387,0.120278244631186,-0.00168300281133652,-0.0677771665807077,0.111261467889908,0.121384783798577,0.0975,0.100480798744927,0.157844854070661,0.066775178634706,0.150682306351079,0.141951719314165,0.141951719314165,0.145899087735217,0.0967143643986826,0.0857142857142857,0.16,0.148089440535484,0.147619047619048,0.176942889819843,0.173636872930991,0.147619047619048,0.170364145658263,0.177300373609417,0.174285714285714,0.179326716061291,0.174285714285714,0.309943700928761
"TWIST1",-0.262296466973886,-0.210543024227235,-0.198411703239289,-0.214889493672091,-0.114207323135863,-0.172674540388344,-0.149799200260933,-0.0579412746079413,-0.108831908831909,-0.0901765777349191,0.0765485982877287,-0.103703703703704,0.119282598916466,0.0307185008097083,-0.227838827838828,-0.266666666666667,0.233333333333333,-0.0496977277465082,0.133333333333333,-0.2,0.166709359381582,0.154271548436308,-0.2,0.146376811594203,0.157474170840507,0.138827838827839,0.223076923076923,0.155824005824006,0.248177810889675,0.0494839814135485,-0.0558145865163409,0.296694063926941,0.111662097511154,0.270666666666667,0.301127561463887,0.219033288156906,0.0962723805729273,0.184469507101086,0.149799200260933,0.149799200260933,0.155278652315728,0.214661703239289,0.191515151515152,0.166666666666667,0.216943024227235,0.203174603174603,0.321350827970148,0.218512550709423,0.180952380952381,0.211685241472476,0.220503362348014,0.203174603174603,0.223321073676364,0.180952380952381,0.503247983425289
"miR200",-0.0683386095240497,-0.0385915492957746,0.00857843137254902,0.00767820631628496,-0.0489535842819996,0.0145881760515907,-0.0345962495216227,-0.0311335125448029,0.101182266009852,-0.0347395732957669,-0.0430925522791741,0.0770443349753695,0.10313023855577,-0.0611864061864062,0.0899248120300752,0.0425,-0.08,-0.0376293995859213,0.142857142857143,0.1,0.093982683982684,0.0892207792207792,0.08,0.102857142857143,-0.1051849297867,-0.0899717514124294,-0.0642105263157895,-0.0960940206957906,-0.0918116044829054,0.0673220742569892,0.199955197132617,-0.0862974683544304,-0.0983574072527901,-0.0825,-0.0884713813979086,-0.106781315431951,-0.0171073578087222,-0.028305804624823,0.0345962495216227,0.0345962495216227,0.0348456260802261,-0.00535262492093612,0.0208333333333333,0.1,0.0385915492957746,0.04,-0.0718850431109463,0.028156766687079,0.06,0.028156766687079,0.0313313698616822,0.0295652173913043,0.0293616728919852,0.06,0.0214355995808705
"NFB",-0.232299898682877,-0.184188034188034,-0.13989898989899,-0.15443063546861,-0.13642192595933,-0.113258711186998,0.0367381542734934,-0.0178261746319823,-0.215440115440115,-0.241900452488688,0.0829690346083789,-0.204329004329004,0.075203449800973,0.0724359510613824,-0.0228442728442728,-0.14,0.12,-0.0185897435897436,-0.0142857142857143,-0.1,-0.00411577964519141,-0.0178412698412698,-0.114285714285714,-0.00228571428571429,0.102222661857264,0.0931612118531623,0.030952380952381,0.106311881188119,0.0272887172887173,0.0114035371345236,-0.0164965286780169,0.143703703703704,0.210923986407857,0.143703703703704,0.158161535029005,0.155457568340829,0.0754959837847286,0.277292250233427,-0.0367381542734934,-0.0367381542734934,-0.0267879055172745,0.15189898989899,0.144444444444444,0.15,0.194300393738596,0.176495726495726,0.214072340190386,0.19492249746487,0.161111111111111,0.184188034188034,0.19618832024968,0.176495726495726,0.199247143779092,0.161111111111111,0.438808730902243
"TGF",0.170458553791887,0.114285714285714,0.0755555555555556,-0.033968253968254,-0.000618689667681022,-0.0440372670807453,0.275,-0.00612625106904283,0.0333333333333333,-0.21299972043612,-0.0705627705627706,-0.00666666666666667,-0.161842105263158,0.0712110616656071,0.304761904761905,0.0733333333333333,-0.133333333333333,-0.0170353419781337,-0.0333333333333333,0.2,-0.101921470342523,-0.113032581453634,0.233333333333333,-0.0761904761904762,-0.159051808406647,-0.132430689877498,-0.233333333333333,-0.13969696969697,-0.304761904761905,-0.0433405674784985,0.0409832882601761,-0.14632183908046,-0.0195402298850575,-0.156666666666667,-0.14944683908046,-0.175116593028964,-0.0710110719943184,-0.0194444444444444,-0.275,-0.275,-0.276785714285714,-0.0517460317460317,-0.02,0,-0.116172506738544,-0.114285714285714,-0.130224097460213,-0.135220125786164,-0.1,-0.133333333333333,-0.133904336312479,-0.133333333333333,-0.138210556408173,-0.1,-0.226397289009434
"ZEB1",-0.2102358671827,-0.176474135620477,-0.0799933366650008,-0.0747413281914407,-0.0873598546334931,-0.0631841060360217,-0.0743287042310731,0.0144287293974215,0.123529411764706,-0.0850774636693531,-0.141495474222747,0.133333333333333,0.138752436647173,-0.167396010185624,0.157538107563992,0.141666666666667,-0.116666666666667,0.0203674790886454,0.166666666666667,0.166666666666667,0.169339898073767,0.167137254901961,0.146666666666667,0.170666666666667,-0.182228653767276,-0.18023225479184,-0.162456140350877,-0.187036346074968,-0.156109536135421,0.172129554834816,0.255018252024602,-0.13783422459893,-0.131793874574623,-0.128030303030303,-0.141748815346261,-0.10598880345111,-0.0244916171481768,-0.0430268605140107,0.0743287042310731,0.0743287042310731,0.0770058695854038,0.0723791234670313,0.078544061302682,0.2,0.180941489572367,0.178397212543554,0.0645982090853666,0.170545546236005,0.185714285714286,0.165684435124894,0.16974767389558,0.169606003752345,0.170726147476793,0.176923076923077,0.141994805072218
"TGFR",-0.171746107439956,-0.116172506738544,-0.0517460317460317,0.035386693684566,0.000215463861229409,0.0462206731942825,-0.276785714285714,0.0155602133331938,-0.0195402298850575,0.216667202098711,0.0748484848484849,-0.0333333333333333,0.158138401559454,-0.067966223907495,-0.304761904761905,-0.156666666666667,0.0733333333333333,0.00810677054956231,0.0761904761904762,-0.233333333333333,0.112880374452112,0.101921470342523,-0.233333333333333,0.113032581453634,0.143749317303444,0.153326212265558,0.304761904761905,0.159051808406647,0.307087486157254,0.0477393944579707,-0.049662533543195,0.14944683908046,0.0216985032663524,0.14632183908046,0.16357113286577,0.183087607521718,0.0698563375832329,0.0183768287860815,0.276785714285714,0.276785714285714,0.285557644110276,-0.033968253968254,0.0755555555555556,0.1,0.114237022867577,0.114285714285714,0.133460894734489,0.133904336312479,0.114285714285714,0.135220125786164,0.138210556408173,0.133333333333333,0.140070609552549,0.133333333333333,0.230563955676101
"Csn",0.117806991658798,0.0862415177953192,-0.0608548168249661,-0.064040056406387,0.0597558516344108,-0.0717631767320951,-0.144500129148259,0.0200215053763441,0.108441558441558,0.182877501475006,-0.0860934649874936,0.122727272727273,0.106814251124178,-0.10070616024964,-0.115833333333333,0.00317460317460317,-0.0142857142857143,0.0164519140989729,0.0633333333333333,-0.02,0.104932359307359,0.0893073593073593,-0.095,0.108787878787879,0.0106143187128434,0.0240282392026578,0.12,0.0165269151138716,0.121433333333333,-0.0074106394041768,0.0124962779156328,-0.00552064423032165,-0.124787712287712,-0.000144300144300144,-0.00470097209917411,-0.00730014608030892,0.0240126876478898,-0.0854363409693003,0.144500129148259,0.144500129148259,0.154672873869948,0.0723932783634276,0.0772727272727273,-0.0666666666666667,-0.0814380243455376,-0.0729885057471264,-0.0150367812923467,-0.0813526289064303,-0.0833333333333333,-0.0862415177953192,-0.085532693215112,-0.0729885057471264,-0.0821051526258156,-0.0833333333333333,-0.0506193800830647
"IKK",0.220952380952381,0.176495726495726,0.144444444444444,0.15189898989899,0.140574749879596,0.112063492063492,-0.035329703569268,0.0228070175438596,0.204329004329004,0.236410256410256,-0.0829690346083789,0.209090909090909,-0.0783613445378151,-0.0727099236641221,0.030952380952381,0.12,-0.1,0.0205128205128205,0,0,0.0178412698412698,0.00228571428571429,0.1,0.0142857142857143,-0.106311881188119,-0.0770897832817337,-0.114285714285714,-0.0875,-0.0228442728442728,-0.0086845039018952,0.0138145363408521,-0.143703703703704,-0.215440115440115,-0.14,-0.143703703703704,-0.141788503592627,-0.0747568074383717,-0.271895424836601,0.035329703569268,0.035329703569268,0.0367381542734934,-0.13989898989899,-0.1,-0.1,-0.184188034188034,-0.161111111111111,-0.211343608248171,-0.184188034188034,-0.15,-0.176495726495726,-0.19492249746487,-0.161111111111111,-0.19618832024968,-0.15,-0.433727430089235
"SNAI2",-0.389095981931027,-0.321377355039327,-0.222128851540616,-0.241160544485353,-0.151589059252213,-0.207505582358256,-0.187243926618113,0.0297027480595763,-0.175877192982456,-0.142203660933845,-0.029025641025641,-0.16359649122807,-0.0681203515889114,-0.0440397501237056,-0.16867816091954,-0.26,0.2,0.0478846153846154,0.1,-0.1,0.135691573926868,0.123529411764706,-0.133333333333333,0.117647058823529,0.073168195777536,0.0398131404460518,0.158333333333333,0.0698189134808853,0.186750450076167,-0.00873042415213214,0.0222739668554646,0.311860744297719,0.178474595579859,0.289411764705882,0.324536800635747,0.337303577034388,0.109807487581442,0.277038739695978,0.187243926618113,0.187243926618113,0.195463104700305,0.234949364361129,0.207843137254902,0.26,0.331537782846814,0.308701298701299,0.491969088957598,0.33213004321137,0.287272727272727,0.321377355039327,0.336872311252607,0.308701298701299,0.341064857836458,0.287272727272727,0.622316918241441
"KLF4",-0.33213004321137,-0.257957136342909,-0.173272727272727,-0.187711751662971,-0.099674094040847,-0.164649570926038,-0.14025641025641,0.0304747162022704,-0.126698564593301,-0.0922567766958894,-0.0333127190270047,-0.110909090909091,-0.0344625500285878,-0.0497395771171593,-0.124761904761905,-0.233333333333333,0.2,0.0481481481481481,0.08,-0.1,0.1227366447985,0.107272727272727,-0.1,0.107272727272727,0.0598840579710145,0.0373873185637892,0.12,0.0613333333333333,0.146984126984127,-0.00625559625559625,0.0226057791537668,0.26875,0.123605781088147,0.25,0.27627688172043,0.274508200445232,0.0132083318668685,0.226235294117647,0.14025641025641,0.14025641025641,0.148344645550528,0.185272727272727,0.177272727272727,0.233333333333333,0.266577825998082,0.250980392156863,0.316061212804847,0.267522353734214,0.233333333333333,0.257957136342909,0.268525698215819,0.250980392156863,0.272386221254424,0.233333333333333,0.360278442673776
"HEY1",-0.33213004321137,-0.257957136342909,-0.173272727272727,-0.187711751662971,-0.099674094040847,-0.164649570926038,-0.14025641025641,0.0304747162022704,-0.126698564593301,-0.0922567766958894,-0.0333127190270047,-0.110909090909091,-0.0344625500285878,-0.0497395771171593,-0.124761904761905,-0.233333333333333,0.2,0.0481481481481481,0.08,-0.1,0.1227366447985,0.107272727272727,-0.1,0.107272727272727,0.0598840579710145,0.0373873185637892,0.12,0.0613333333333333,0.146984126984127,-0.00625559625559625,0.0226057791537668,0.26875,0.123605781088147,0.25,0.27627688172043,0.274508200445232,0.0132083318668685,0.226235294117647,0.14025641025641,0.14025641025641,0.148344645550528,0.185272727272727,0.177272727272727,0.233333333333333,0.266577825998082,0.250980392156863,0.316061212804847,0.267522353734214,0.233333333333333,0.257957136342909,0.268525698215819,0.250980392156863,0.272386221254424,0.233333333333333,0.360278442673776
"FOXC2",-0.33213004321137,-0.257957136342909,-0.173272727272727,-0.187711751662971,-0.099674094040847,-0.164649570926038,-0.14025641025641,0.0304747162022704,-0.126698564593301,-0.0922567766958894,-0.0333127190270047,-0.110909090909091,-0.0344625500285878,-0.0497395771171593,-0.124761904761905,-0.233333333333333,0.2,0.0481481481481481,0.08,-0.1,0.1227366447985,0.107272727272727,-0.1,0.107272727272727,0.0598840579710145,0.0373873185637892,0.12,0.0613333333333333,0.146984126984127,-0.00625559625559625,0.0226057791537668,0.26875,0.123605781088147,0.25,0.27627688172043,0.274508200445232,0.0132083318668685,0.226235294117647,0.14025641025641,0.14025641025641,0.148344645550528,0.185272727272727,0.177272727272727,0.233333333333333,0.266577825998082,0.250980392156863,0.316061212804847,0.267522353734214,0.233333333333333,0.257957136342909,0.268525698215819,0.250980392156863,0.272386221254424,0.233333333333333,0.360278442673776
"Ecadherin",-0.336872311252607,-0.266577825998082,-0.185272727272727,-0.193679201934219,-0.102097206808787,-0.169912728820775,-0.148344645550528,0.0323704507994268,-0.123605781088147,-0.0876210151064854,-0.0381816328846826,-0.126698564593301,-0.0305151816075351,-0.0503724885095643,-0.146984126984127,-0.25,0.233333333333333,0.0506797937177684,0.107272727272727,-0.1,0.123128801661246,0.1227366447985,-0.12,0.107272727272727,0.0635160192300944,0.0367161776241918,0.124761904761905,0.0598840579710145,0.152178932178932,-0.00830401338781227,0.0268711819973687,0.27627688172043,0.127695000419002,0.26875,0.279426488019643,0.274737033397177,0.0128237164822531,0.224559316464016,0.148344645550528,0.148344645550528,0.147506656723712,0.187711751662971,0.173272727272727,0.233333333333333,0.267244492664748,0.257957136342909,0.218300745424126,0.268525698215819,0.250980392156863,0.267522353734214,0.272386221254424,0.257957136342909,0.27294644534406,0.250980392156863,0.364673385479314
