"","KLF4","TGFR","TGF","CDC42","HEY1","TrCP","SUFU","TWIST1","Ecadherin","EGR1","cfos","cateninmemb","AXIN2","GLI","STAT","LIV1","CD44","cMet","TCFLEF","cateninnuc","SNAI2","PI3K","RAF","DELTA","RAS","FOXC2","SRC","Wnt","Frizzled","DSH","ERK","MEK","Destcompl","miR200","SOSGRB2","SNAI1","Csl","RKIP","GSK3","NOTCHic","NOTCH","Jagged","Csn","ZEB2","ZEB1","FUS","NFB","SMO","SHH","Patched","AKT","IKK","PAK1","ILK","SMAD"
"PI3K",0.255263157894737,0.226882352941176,0.22281731229077,0.230882352941176,0.17636632697676,0,0.1,0.153968253968254,0.12835576900714,-0.0333333333333333,-0.0333333333333333,-0.0296107709446582,0.259333333333333,0.222616127833519,0.2,0.1,0.222616127833519,0.224154589371981,0.224311043087756,0.223692486386726,-0.107388115576654,-0.276190476190476,0.276190476190476,0.276190476190476,0.274820613176778,-0.151519163763066,-0.211111111111111,-0.224154589371981,-0.211111111111111,-0.2,0.0627450980392157,0.0774991963998714,0.209847457981655,-0.136154858286006,-0.243461538461538,-0.197697262479871,0.125,-0.195959922430511,0.162457912457912,0.132692307692308,0.132692307692308,-0.0185964912280702,-0.1,-0.252865686417709,-0.252865686417709,-0.1,-0.133333333333333,-0.1,-0.102136752136752,-0.107692307692308,-0.170437405731523,-0.162745098039216,-0.225,-0.168939575830332,-0.163339575830332
"ILK",0.255263157894737,0.226882352941176,0.22281731229077,0.230882352941176,0.17636632697676,0,0.1,0.153968253968254,0.12835576900714,-0.0333333333333333,-0.0333333333333333,-0.0296107709446582,0.259333333333333,0.222616127833519,0.2,0.1,0.222616127833519,0.224154589371981,0.224311043087756,0.223692486386726,-0.107388115576654,-0.276190476190476,0.276190476190476,0.276190476190476,0.274820613176778,-0.151519163763066,-0.211111111111111,-0.224154589371981,-0.211111111111111,-0.2,0.0627450980392157,0.0774991963998714,0.209847457981655,-0.136154858286006,-0.243461538461538,-0.197697262479871,0.125,-0.195959922430511,0.162457912457912,0.132692307692308,0.132692307692308,-0.0185964912280702,-0.1,-0.252865686417709,-0.252865686417709,-0.1,-0.133333333333333,-0.1,-0.102136752136752,-0.107692307692308,-0.170437405731523,-0.162745098039216,-0.225,-0.168939575830332,-0.163339575830332
"AKT",0.249280251911831,0.22281731229077,0.220702508665392,0.226882352941176,0.172606928480519,0.1,0.1,0.153050822775593,0.127295162946534,-0.0333333333333333,-0.0627450980392157,-0.0297127077438427,0.262582430806258,0.225409423922905,0.211111111111111,0.2,0.224311043087756,0.222616127833519,0.223692486386726,0.223538640232879,-0.106684597988714,-0.274820613176778,0.274820613176778,0.274820613176778,0.274097721610512,-0.148511644966074,-0.224154589371981,-0.222616127833519,-0.224154589371981,-0.211111111111111,0.0774991963998714,0.0800308419694917,0.209930170967594,-0.134015820852851,-0.250128205128205,-0.192935357717966,0.132692307692308,-0.18788538826902,0.160845009232106,0.132692307692308,0.132692307692308,-0.0152852329499245,-0.133333333333333,-0.249441028883463,-0.249441028883463,-0.1,-0.162745098039216,-0.107692307692308,-0.09897885739991,-0.102136752136752,-0.269427304721422,-0.170437405731523,-0.230882352941176,-0.163339575830332,-0.158962471453228
"cateninmemb",0.233520862634787,0.11779600886918,0.119785158959596,0.111454545454545,0.0991647909926631,-0.1,0.166666666666667,-0.0678295785104855,-0.0385352330039879,0.169090909090909,0.157326203208556,0.0859440867534543,-0.193634662830811,-0.119010456468072,-0.127450980392157,-0.133333333333333,-0.120175566220888,-0.122516703344634,-0.119801967217152,-0.120455561988394,0.174193175885099,0.0140422322775264,-0.0140422322775264,-0.0140422322775264,-0.0143215618864649,-0.179095929618037,0.125125398996808,0.121677123134739,0.125125398996808,0.127450980392157,-0.158357131043608,-0.161102229082823,0.19966276229791,-0.153478853031926,0.0792279798982877,-0.219585725103089,-0.134545454545455,-0.236878878211141,0.207691485046304,-0.141761949390815,-0.141390202178919,-0.160089476792704,0.04,-0.23558353997623,-0.23558353997623,-0.183333333333333,0.00666666666666667,-0.208333333333333,-0.211559139784946,-0.211559139784946,-0.0157479557479557,-0.0118518518518518,-0.107454545454545,-0.137565217391304,-0.142649963154016
"Destcompl",0.211115639927238,0.172223045297974,0.169365902440831,0.176959887403237,0.177006753929831,0.266666666666667,-0.0555555555555556,0.264994819906793,0.0831503984159402,-0.0887179487179487,-0.100839160839161,-0.221421137997524,0.364618322922602,0.309744873005612,0.297619047619048,0.283333333333333,0.310068785232351,0.309695650903993,0.310479744136461,0.310632727308312,-0.253501308467559,-0.308422933031265,0.308422933031265,0.308422933031265,0.308579918902537,-0.00524520782667111,-0.307208088714938,-0.30918828673474,-0.307208088714938,-0.297619047619048,0.114500363024953,0.121251417877274,0.166908541938315,-0.134593133844318,-0.208706232916543,-0.20271386179446,0.24385428907168,-0.190782468920467,0.238500083777895,0.249289071680376,0.251092678894805,0.216706476895424,-0.309523809523809,-0.218222288298607,-0.218222288298607,0.0659003831417625,-0.318219461697723,0.0687575259989053,0.0768332117507017,0.0723844690040867,-0.325868049883223,-0.324525768004029,-0.180408163265306,-0.158730158730159,-0.153700918964077
"HEY1",0.114814814814815,0.0510909090909091,0.0545055432372506,0.0470909090909091,0.0432849503437739,-0.1,0,0.0473856209150327,-0.00281874362594245,0.12,0.0927272727272727,-0.0195343534063046,-0.0684253713876613,0.0315006997185402,0.0333333333333333,0.0333333333333333,0.030646127004897,0.0297765617875057,0.0316494714865024,0.030777740477785,0.0654181279713195,-0.0126923076923077,0.0126923076923077,0.0126923076923077,0.0126923076923077,-0.0906287109856378,-0.0274509803921569,-0.0297765617875057,-0.0274509803921569,-0.0333333333333333,-0.0868449197860963,-0.0940614146314571,0.0790165622042553,-0.084993894993895,0.0435534591194969,-0.0606645756451692,-0.0309090909090909,-0.0742424242424242,0.082345431973473,-0.0466985645933014,-0.047729492428353,0.015836627140975,0,-0.113498452012384,-0.113498452012384,0.0333333333333333,-0.02,0,0.00127688172043011,-0.00625,-0.0342857142857143,-0.0342857142857143,-0.0590909090909091,-0.0613333333333333,-0.0656811594202898
"SRC",0.203165374677003,0.0496031746031746,0.0405122655122655,0.0638888888888889,0.0150364117841774,0.1,0.0333333333333333,0.0659530125047366,0.216534886681946,-0.133333333333333,-0.142424242424242,0.129824876515492,0.112320965616898,0.0635245901639344,0,0,0.0635245901639344,0.075,0.0574270291883247,0.0563084609556625,0.0897008230918377,0.0106967042136003,-0.0106967042136003,-0.0106967042136003,-0.0197876133045094,0.137847805788982,-0.075,-0.075,-0.075,-0.1,0.175757575757576,0.177644368210406,-0.175822185061316,-0.0338925486751574,-0.235714285714286,0.102295770859569,0.08,0.186640599543825,-0.340952380952381,0.0752380952380952,0.0788095238095238,-0.00626205598682663,-0.1,-0.0957247678945792,-0.0957247678945792,-0.0333333333333333,-0.133333333333333,-0.0133333333333333,0.00954248366013072,-0.00222222222222222,-0.088034188034188,-0.11025641025641,-0.0888888888888889,0.00131578947368421,0.00942389758179232
"ZEB1",0.0326888296984626,-0.125775563994652,-0.123807060057645,-0.13135932033983,-0.0590262932231844,-0.1,-0.0583333333333333,-0.0955409123884281,-0.0705565978359821,-0.0166666666666667,-0.0446666666666667,-0.00391435672424607,-0.0732578065656681,0.0169503030704942,0.0256410256410256,0.0333333333333333,0.0221060344087604,0.0193282566309826,0.0213081620683348,0.0207210779196069,0.0354194963178716,0.00156271388884508,-0.00156271388884508,-0.00156271388884508,-0.00140523357388445,-0.0657095759743198,-0.0134459036898061,-0.0145448047887072,-0.00685249709639953,-0.019047619047619,0.0364313725490196,0.031585557571046,0.0931403451951397,-0.0954998432141455,0.0725146198830409,0.000215115909706482,0.075,0.0110171066844181,0.07906309289891,0.0612745098039216,0.0645802949278885,0.0974090151483632,0.08,-0.0345662414429502,-0.0345662414429502,0.0458333333333333,0.0536842105263158,0.0321969696969697,0.0355742636750591,0.0302361853832442,0.0581806976457537,0.0553235547886109,0.127011494252874,0.0698252159991532,0.0664598313837686
"Ecadherin",-0.119878105954055,-0.0545055432372506,-0.0528780567996375,-0.0510909090909091,-0.0479829369209551,0,0.0333333333333333,-0.0457096432614014,-0.0978628532581861,-0.0927272727272727,-0.0868449197860963,0.0197907636627149,0.0673944435526097,-0.0321673663852068,-0.0274509803921569,-0.0333333333333333,-0.0316494714865024,-0.030646127004897,-0.030777740477785,-0.0303108870697552,-0.0663211984108138,0.0126923076923077,-0.0126923076923077,-0.0126923076923077,-0.0118543188654921,0.0862808848986813,0.0297765617875057,0.0315006997185402,0.0297765617875057,0.0274509803921569,0.0940614146314571,0.093669257768712,-0.0788301689144137,0.0825730383830943,-0.0396060906984442,0.0593987528603591,0.0466985645933014,0.0686244467143343,-0.0819039308697202,0.047729492428353,0.0443837675212898,-0.0151501282851397,0.02,0.111128783765938,0.111128783765938,0,0.0342857142857143,0.00625,0.000297921429176191,-0.00127688172043011,0.0316883116883117,0.0342857142857143,0.0470909090909091,0.0656811594202898,0.0683445976769484
"KLF4",-0.114814814814815,-0.0510909090909091,-0.0545055432372506,-0.0470909090909091,-0.0432849503437739,0.1,0,-0.0473856209150327,0.00281874362594245,-0.12,-0.0927272727272727,0.0195343534063046,0.0684253713876613,-0.0315006997185402,-0.0333333333333333,-0.0333333333333333,-0.030646127004897,-0.0297765617875057,-0.0316494714865024,-0.030777740477785,-0.0654181279713195,0.0126923076923077,-0.0126923076923077,-0.0126923076923077,-0.0126923076923077,0.0906287109856378,0.0274509803921569,0.0297765617875057,0.0274509803921569,0.0333333333333333,0.0868449197860963,0.0940614146314571,-0.0790165622042553,0.084993894993895,-0.0435534591194969,0.0606645756451692,0.0309090909090909,0.0742424242424242,-0.082345431973473,0.0466985645933014,0.047729492428353,-0.015836627140975,0,0.113498452012384,0.113498452012384,-0.0333333333333333,0.02,0,-0.00127688172043011,0.00625,0.0342857142857143,0.0342857142857143,0.0590909090909091,0.0613333333333333,0.0656811594202898
"FOXC2",-0.114814814814815,-0.0510909090909091,-0.0545055432372506,-0.0470909090909091,-0.0432849503437739,0.1,0,-0.0473856209150327,0.00281874362594245,-0.12,-0.0927272727272727,0.0195343534063046,0.0684253713876613,-0.0315006997185402,-0.0333333333333333,-0.0333333333333333,-0.030646127004897,-0.0297765617875057,-0.0316494714865024,-0.030777740477785,-0.0654181279713195,0.0126923076923077,-0.0126923076923077,-0.0126923076923077,-0.0126923076923077,0.0906287109856378,0.0274509803921569,0.0297765617875057,0.0274509803921569,0.0333333333333333,0.0868449197860963,0.0940614146314571,-0.0790165622042553,0.084993894993895,-0.0435534591194969,0.0606645756451692,0.0309090909090909,0.0742424242424242,-0.082345431973473,0.0466985645933014,0.047729492428353,-0.015836627140975,0,0.113498452012384,0.113498452012384,-0.0333333333333333,0.02,0,-0.00127688172043011,0.00625,0.0342857142857143,0.0342857142857143,0.0590909090909091,0.0613333333333333,0.0656811594202898
"SNAI2",-0.1525,-0.0535444947209653,-0.0566500847830771,-0.0509803921568627,-0.0607896323086196,0.1,-0.1,0.0404730179676196,0.200613154522376,-0.133333333333333,-0.127450980392157,0.117871821664925,0.122931811136207,0.0678963621299992,0.0709090909090909,0.08,0.0684253713876613,0.0695006402048656,0.0673944435526097,0.0675497230557153,0.234855314718375,-0.0361140213026017,0.0361140213026017,0.0361140213026017,0.0356574002980355,0.13046911063009,-0.0709090909090909,-0.0695006402048656,-0.0709090909090909,-0.0709090909090909,0.12156862745098,0.124271330153683,-0.126880482958834,0.114391652631194,-0.0763015551048006,0.125652799139688,0.0925438596491228,0.135538461538462,-0.131045187394269,0.0978070175438596,0.100404420141262,0.0858543077033031,-0.0666666666666667,0.151702957835116,0.151702957835116,0.08,-0.0416666666666667,0.0976470588235294,0.106442689751957,0.107851140456182,-0.0184011909707797,-0.0244252873563218,0.0509803921568627,0.0890677397719651,0.0914600842695728
"NFB",-0.202106227106227,-0.305511111111111,-0.301080731364276,-0.311111111111111,-0.040360091404983,-0.1,0.04,-0.347170868347339,-0.291407002114372,0.0714285714285714,0.0834285714285714,-0.146426822034003,-0.211175278622087,-0.168509555363488,-0.161111111111111,-0.15,-0.16905548312328,-0.171880341880342,-0.16821160126674,-0.168290032639289,-0.20557368791523,0.242044767090139,-0.242044767090139,-0.242044767090139,-0.239557204901084,-0.155458397291067,0.161111111111111,0.171880341880342,0.161111111111111,0.161111111111111,-0.0945396825396825,-0.108265172735761,-0.0785281531047809,0.0989219856722812,0.294544449358691,0.0900370060534235,-0.213852813852814,0.0811125122600533,-0.156460892049127,-0.218614718614719,-0.221840525066331,-0.0766909958443742,0.2,0.201304871373837,0.201304871373837,-0.04,0.133333333333333,-0.0511111111111111,-0.0526482943267322,-0.0442145593869732,0.137297297297297,0.130630630630631,0.311111111111111,0.0277915291529153,0.020728332126893
"IKK",-0.211721611721612,-0.311111111111111,-0.305511111111111,-0.311111111111111,-0.0457172342621259,-0.2,0.1,-0.348758169934641,-0.292209570332671,0,0.0714285714285714,-0.145687645687646,-0.209047619047619,-0.171880341880342,-0.15,-0.1,-0.171880341880342,-0.161111111111111,-0.16905548312328,-0.16821160126674,-0.204150923687588,0.242044767090139,-0.242044767090139,-0.242044767090139,-0.242044767090139,-0.152669552669553,0.161111111111111,0.161111111111111,0.161111111111111,0.15,-0.0834285714285714,-0.0945396825396825,-0.0783620401479703,0.101036789297659,0.291386554621849,0.0974342663273961,-0.209090909090909,0.0875227686703097,-0.157637362637363,-0.213852813852814,-0.218614718614719,-0.0759715713839425,0.1,0.206285714285714,0.206285714285714,-0.04,0.2,-0.04,-0.0442145593869732,-0.0511111111111111,0.130630630630631,0.133333333333333,0.3,0.0347222222222222,0.0277915291529153
"TCFLEF",-0.21342627960275,-0.132617769827072,-0.135929028105218,-0.132617769827072,-0.0562566688869858,0.0857142857142857,-0.216666666666667,0.0985311372501571,0.0900322560736167,-0.254285714285714,-0.281114982578397,0.0278212860973446,0.612192918192918,0.25392530033195,0.245833333333333,0.233333333333333,0.26121875503951,0.256816239316239,0.161791492725649,0.162049224684412,0.114559048593685,-0.208769703432158,0.208769703432158,0.208769703432158,0.210477982012973,0.0678629884236527,-0.250833333333333,-0.250198592257416,-0.24421568627451,-0.23921568627451,0.287781649245064,0.293904098224656,0.263951371401754,0.0995911785670822,-0.209217257792108,0.0723586432163838,0.304049099314523,0.190808192129311,0.144894929229946,0.311892236569424,0.322191239891684,0.235304606728436,-0.0948051948051948,0.213794612794613,0.213794612794613,0.223333333333333,-0.106805194805195,0.232857142857143,0.25412173814707,0.247373271889401,-0.102457368718238,-0.106805194805195,0.125641025641026,0.127113541429331,0.128069564373882
