"","AXIN2","STAT","SRC","DSH","CD44","RAF","PI3K","DELTA","cMet","Frizzled","GLI","Wnt","Ecadherin","NOTCH","ZEB2","ZEB1","NOTCHic","MEK","Jagged","cateninmemb","EGR1","SOSGRB2","HEY1","ILK","SMO","IKK","SMAD","FUS","SHH","FOXC2","PAK1","NFB","CDC42","miR200","Patched","AKT","TGF","KLF4","TGFR","TWIST1","RKIP","Csn","SUFU","SNAI1","cfos","ERK","Csl","TrCP","RAS","TCFLEF","cateninnuc","LIV1","SNAI2","Destcompl","GSK3"
"FOXC2",0.251494145714954,0.166666666666667,0.184313725490196,0.166666666666667,0.184030611233371,0.235769230769231,0.235769230769231,0.235769230769231,0.186639306885545,0.184313725490196,0.183191031023476,0.186639306885545,0.000963840037829341,0.246833719725744,-0.0487667698658411,-0.0487667698658411,0.239617224880383,0.122225039969127,0.187611648721094,-0.0885284611504124,0.16,0.00946255002858777,-0.000687547746371277,0.032,0.15,0.205714285714286,0.0262028985507246,0.166666666666667,-0.161626344086022,-0.172537025834062,0.140909090909091,0.22,-0.152909090909091,-0.00904354904354904,0.15625,-0.213121693121693,0.175608277900961,0.0222222222222222,0.170242424242424,-0.219943355119826,-0.0848690991548134,0.2,0.2,-0.0716230878053981,-0.150909090909091,-0.127379679144385,-0.229090909090909,0.1,-0.236504524886878,-0.184365059393906,-0.184240526392661,-0.166666666666667,-0.203708720929037,-0.235160008968843,-0.236010591230215
"SNAI2",0.312592290318295,0.229090909090909,0.243376623376623,0.229090909090909,0.251494145714954,0.286790077561297,0.286790077561297,0.286790077561297,0.25041887689775,0.243376623376623,0.250953636256039,0.25041887689775,0.199989404078204,0.302494873547505,-0.0477981959303545,-0.0477981959303545,0.292105263157895,0.167753047164812,0.255822725146717,0.0221103187667628,0.166666666666667,0.0432724814063557,0.00795660036166365,0.0462105969148223,0.214117647058824,0.253448275862069,0.0419043768191285,0.22,-0.22038381549803,-0.209609790871551,0.184313725490196,0.25,-0.19859943977591,-0.0120858887399645,0.216158463385354,-0.259472372247611,0.224155526201562,0.0176923076923077,0.214838756015227,-0.259898134932196,-0.0774102564102564,0.2,0.2,-0.0678477733892822,-0.184313725490196,-0.174509803921569,-0.276315789473684,0.1,-0.291356287606959,-0.252112702415985,-0.252267981919091,-0.22,0.111538799892804,-0.283810736397588,-0.283056353298074
"SMAD",-0.0176478933182012,-0.0342857142857143,-0.0176190476190476,-0.0142857142857143,-0.0150094219505984,-0.07887287094274,-0.07887287094274,-0.07887287094274,-0.0117366946778712,0.00238095238095238,0.00262998392494795,0.00622710622710623,-0.000401905978680829,0.00535851122058019,-0.0466599043581964,-0.0466599043581964,0.0140886699507389,-0.157274449106782,0.0213333333333333,0.00501904175976673,-0.142857142857143,-0.0478852410529429,0.0556515838780176,0.0593307149471533,-0.0691666666666667,-0.0759103641456583,-0.0268597612433229,-0.0791666666666667,0.0288542625876789,-0.0905450081964232,0.0738095238095238,-0.0857142857142857,-0.0893024815560027,0.0427385022848893,-0.0388914373088685,0.0585770308123249,0.0924251862678814,0.0632274081673426,0.0987996882599133,-0.0446981961401287,-0.0321669314588276,-0.0333333333333333,-0.0166666666666667,-0.0310084386939226,0.13963133640553,0.158235987568321,-0.0152380952380952,0,0.0798597130480031,0.0181301817877762,0.0180288646651824,0.02,0.162212590841894,0.0663191456432889,0.103522297808012
"Ecadherin",0.252112702415985,0.184313725490196,0.186639306885545,0.184313725490196,0.184365059393906,0.236504524886878,0.236504524886878,0.236504524886878,0.184030611233371,0.186639306885545,0.183191031023476,0.183191031023476,-0.0986466760283829,0.247948961361431,-0.0463971016193956,-0.0463971016193956,0.246833719725744,0.125754451733833,0.186009818057478,-0.089169486791438,0.150909090909091,0.00683097108121935,-0.00672781620274712,0.0262028985507246,0.15625,0.213121693121693,0.02644502930133,0.15,-0.163201147235628,-0.172308192882116,0.152909090909091,0.205714285714286,-0.170242424242424,-0.00774001086850249,0.161626344086022,-0.222212602212602,0.174704118768954,0.0234880450070323,0.175608277900961,-0.219757135380533,-0.0807492489675475,0.22,0.166666666666667,-0.0706737207167905,-0.127379679144385,-0.122225039969127,-0.239617224880383,0.2,-0.236225195277939,-0.184240526392661,-0.183493560939813,-0.166666666666667,-0.202564831705677,-0.235160008968843,-0.237335094541473
"STAT",-0.256637480166892,-0.214285714285714,-0.214285714285714,-0.214285714285714,-0.205466755466755,-0.174152191894127,-0.174152191894127,-0.174152191894127,-0.20974025974026,-0.214285714285714,-0.207219251336898,-0.20974025974026,-0.159828762124241,-0.152125169144015,-0.0448807602653757,-0.0448807602653757,-0.147270800211977,-0.197925363693865,-0.121384685282913,-0.0436388664390034,-0.166666666666667,-0.137027914614122,-0.008,-0.0288244766505636,-0.035,-0.0123809523809524,-0.0391693042367705,0.025,-0.00517287507717638,-0.0644976141785958,0.0363636363636364,0.04,-0.0363636363636364,0.0384700572630273,-0.0187209302325581,0.000516545601291364,0.0500046228879181,-0.035462467815409,0.0495215311004785,0.0954177673068228,-0.00402670527670528,0.1,0.1,0.00176530788898166,0.186666666666667,0.192549019607843,0.16078431372549,0.1,0.17564472920756,0.205782212880005,0.207331676527204,0.1,0.238028670519523,0.237758375106776,0.174597240765465
"cMet",-0.261111111111111,0,-0.1,-0.1,-0.226356589147287,-0.316190476190476,-0.316190476190476,-0.316190476190476,-0.233333333333333,-0.2,-0.224242424242424,-0.233333333333333,-0.156035089696659,-0.153751399776036,-0.0424242424242424,-0.0424242424242424,-0.147368421052632,-0.11,-0.0126076821728996,-0.0619467365374839,-0.15,0.132380952380952,0.1218782249742,0.0650793650793651,0.02,-0.16,0.0541702741702742,0,0.0842613636363636,0.0311708860759494,0.0733333333333333,-0.166666666666667,0.00166666666666667,-0.054905165788318,-0.0436363636363636,0.21625,-0.0461111111111111,-0.0888888888888889,-0.0461111111111111,0.0758439313495493,-0.027037037037037,-0.2,-0.1,0.0310522711503978,0.11,0.09,0.1,-0.2,0.325624438454627,0.220202742993441,0.219072799490616,-0.1,-0.0623446302278419,0.317719618559955,0.277534562211982
"TGF",0.0207231040564374,0,0,0,0.0269811320754717,0.130952380952381,0.130952380952381,0.130952380952381,0.01,0.0142857142857143,0.041266846361186,0.0242857142857143,0.0194471210271818,0.157241379310345,-0.0401095624436586,-0.0401095624436586,0.14,-0.124778613199666,0.0663168875797742,0.00163402079015921,-0.1,-0.105263157894737,0.0499032882011605,0.0754545454545454,-0.07,0.0464285714285714,0.0512609970674487,-0.02,0.0628879310344828,0.00900621118012422,0.04,0.075,-0.04,-0.0366633845082121,-0.0941379310344828,-0.0253759398496241,-0.0135714285714286,0.0382913806254767,0.0685714285714286,-0.0237037037037037,-0.0627705627705628,0.1,0,-0.0185696122059758,0.0857142857142857,0.122556390977444,-0.1,0,-0.136309523809524,-0.0269811320754717,-0.0226749119797779,0,0.098208578117031,-0.0323940212574023,-0.118631379492436
"cateninmemb",0.0943686034133675,0.00588235294117647,-0.00109439124487004,0.00588235294117647,-0.00029171565958576,0.0871530920060332,0.0871530920060332,0.0871530920060332,-0.00196395646226135,-0.00109439124487004,-0.000818529175904524,-0.00281852917590452,-0.0784701884600801,0.0935262587612179,-0.0233158237103771,-0.0233158237103771,0.0953849948206975,0.0773471525442417,0.00156696771231609,0.00795109080150253,0.0745454545454545,0.00703033312268665,-0.00719294917478889,0.00788405797101449,-0.0208333333333333,0.0842328042328042,0.0105474962276731,-0.0333333333333333,0.0219086021505376,-0.0852817256089305,0.0609090909090909,0.0657142857142857,-0.0675757575757576,-0.00342401029551867,-0.0219086021505376,-0.0842328042328042,0.0625336369918031,0.0110173464603844,0.0641611234294161,-0.0159878531176592,-0.0422076763970825,0.08,-0.0333333333333333,-0.0365179860058317,-0.0686631016042781,-0.0738177407795358,-0.0943540669856459,0.1,-0.0874324216149717,0.00116344666830307,0.00153692939472697,0,-0.0783144857509082,-0.0950403548077437,-0.0970865219001651
"TGFR",0.0254441340993558,0,0.01,0.0142857142857143,0.0269811320754717,0.136309523809524,0.136309523809524,0.136309523809524,0.0269811320754717,0.0242857142857143,0.0393313624902182,0.041266846361186,0.0228542760527355,0.15508310592905,-0.0223737133870548,-0.0223737133870548,0.157241379310345,-0.13025806525446,0.0554473223623829,0.00255780831902757,-0.0857142857142857,-0.108966861598441,0.027515228499668,0.0512609970674487,-0.0941379310344828,0.0253759398496241,0.0516168689535697,-0.07,0.040854032729398,0.0103162548482465,0.04,0.0464285714285714,-0.0685714285714286,-0.0281589856812326,-0.0628879310344828,-0.0532829165938101,-0.0114437689969605,0.040077094911191,-0.0135714285714286,-0.0140951627784368,-0.0399134199134199,0.075,-0.02,-0.0106050104360643,0.122556390977444,0.124778613199666,-0.14,0.1,-0.139233500417711,-0.0226749119797779,-0.0211691546724263,0,0.103069689228142,-0.0315875696444991,-0.120831868489991
"miR200",0.107212195357793,0.06,0.0556521739130435,0.06,0.0722529018763288,0.073964791427478,0.073964791427478,0.073964791427478,0.0655113288426209,0.064,0.0782547593251819,0.0738591549295775,-0.0147061184262454,0.0332036403105953,-0.0126747311827957,-0.0126747311827957,0.0247290640394089,-0.0496103896103896,0.0188101814113322,-0.00335749518379168,-0.0571428571428571,-0.048036750483559,-0.00796610169491525,0.00155265252610386,-0.00416666666666666,0.0145864661654135,-0.0232122377560278,0.0625,-0.0127017978352596,-0.102812796959138,0.104166666666667,0.0631578947368421,-0.0904411764705882,-0.00750609989123087,-0.0155590717299578,-0.0032657114484324,0.126393914655134,0.0125431331953071,0.113021821631879,-0.122567534714774,-0.00877046167764552,0.1,0.1,0.00664761164761165,0.0171428571428571,0.0353246753246753,-0.000591133004926113,0,-0.0757104273377024,-0.0710624256858526,-0.0681836378070647,-0.1,-0.0470430981579415,-0.0999621941429667,-0.00144598375115192
"CD44",-0.25,0.1,0,0,-0.233333333333333,-0.29047619047619,-0.29047619047619,-0.29047619047619,-0.1,-0.1,-0.233333333333333,-0.2,-0.148655954836608,-0.147368421052632,-0.0111111111111111,-0.0111111111111111,-0.1,-0.09,-0.0386946386946387,-0.0608791208791209,-0.2,0.119047619047619,0.0807017543859649,0.0222222222222222,0,-0.166666666666667,0.0650793650793651,-0.1,0.0436363636363636,0.0375,0.133333333333333,-0.2,-0.0733333333333333,-0.047092665788318,0.02,0.16,-0.0461111111111111,-0.0936507936507937,-0.00166666666666667,0.0949450549450549,0.00629629629629629,-0.2,-0.1,0.0395268474215843,0.15,0.11,0,-0.1,0.316190476190476,0.226356589147287,0.220202742993441,-0.1,-0.0521256521256521,0.315016915857252,0.267857142857143
