"","GSK3","Destcompl","ZEB1","cateninnuc","TCFLEF","Wnt","cateninmemb","DSH","STAT","LIV1","KLF4","AXIN2","miR200","SNAI1","Ecadherin","SNAI2","RAS","NFB","Csn","AKT","RAF","PI3K","IKK","ERK","cfos","ILK","HEY1","SOSGRB2","SMAD","FOXC2","PAK1","TrCP","EGR1","ZEB2","TWIST1","TGF","TGFR","CDC42","MEK","Csl","Jagged","DELTA","NOTCH","SMO","NOTCHic","FUS","RKIP","SHH","Patched","SUFU","SRC","cMet","Frizzled","CD44","GLI"
"TWIST1",-0.441787805037564,-0.490848399587346,0.107734049839313,-0.50585140728992,-0.502113626956395,-0.47390142021721,-0.453000233874248,-0.385714285714286,-0.385714285714286,-0.3,0.0602042943506358,-0.262523820265756,0.0796080075463788,0.0544794421212308,-0.27717117670781,-0.187894859920196,0.170649455048873,0.273076923076923,0.25,0.269687092568449,0.177498770117366,0.177498770117366,0.273076923076923,-0.160335621662853,-0.155072463768116,0.0797342797342797,0.107965480846837,0.114320639949931,0.0761039166979761,0.0625035317270876,0.056969696969697,0.2,-0.133333333333333,-0.068335001668335,-0.370469561585122,-0.150820631695956,-0.130547283176594,-0.101797283176594,0.165808258478773,0.200740740740741,0.442088916125164,-0.177498770117366,0.229066817180025,0.215555555555556,0.218689458689459,0.155555555555556,-0.0985664355229573,0.271753679585517,0.252541856925419,0.1,0.441269841269841,0.475312394461331,0.441269841269841,0.493384683617957,0.49230142021721
"cateninnuc",0.39306981925919,0.408766512724239,0.0971437916293401,0.172493939839561,0.271748289466736,0.272407957339464,0.10438307324994,0.268298368298368,0.268298368298368,0.260606060606061,0.0787731544848983,0.0923999374770101,0.0463197851521761,0.183216866506001,-0.195381866757481,0.450723073723881,0.0157232107232107,-0.0117424242424242,-0.0208333333333333,0.00528882575757576,0.0106727056727057,0.0106727056727057,-0.00174242424242424,0.103383389679482,0.0995859213250518,0.0318845598845599,0.0149479659413434,0.0163233236635549,0.0309295803484071,-0.199282356987275,-0.205714285714286,-0.0333333333333333,0.104347826086957,-0.059104869617602,0.137705669457194,0.217888850094843,0.215705443981306,0.213406593406593,-0.10017238050517,-0.115568110483365,-0.246467426292437,-0.0106727056727057,-0.123147391667297,-0.251530054644809,-0.119056482576388,-0.243333333333333,-0.155272254627093,-0.254047003453318,-0.253393408682076,-0.233333333333333,-0.271076146076146,-0.271076146076146,-0.272407957339464,-0.271076146076146,-0.27280321425646
"Ecadherin",0.434567195012905,0.455117677851534,0.0824579989142077,0.44432108679999,0.443387379983931,0.439118197399248,0.376329863677425,0.407843137254902,0.407843137254902,0.366666666666667,0.0706516643225504,0.199664464602005,0.0441975839182543,0.122675642754035,-0.0343118917807051,0.513885936750709,-0.0915229572705747,-0.115238095238095,-0.12,-0.0987397787397787,-0.0990648567119155,-0.0990648567119155,-0.107830687830688,0.133942334197034,0.134973262032086,0.0508985507246377,0.0226573899846699,-0.0349297342842527,0.052593465978875,-0.248405280790404,-0.249636363636364,-0.1,0.129090909090909,-0.0491622036691953,0.30498056255401,0.295806816009965,0.289116038433112,0.274969696969697,-0.135903118510759,-0.197799043062201,-0.408043155455765,0.0990648567119155,-0.215458951849998,-0.375,-0.209139249247768,-0.35,-0.0890687429210704,-0.395277707222081,-0.388978494623656,-0.3,-0.428773369813041,-0.438338587204346,-0.428773369813041,-0.442017516970232,-0.443118197399248
"cateninmemb",0.434567195012905,0.455117677851534,0.0824579989142077,0.44432108679999,0.443387379983931,0.439118197399248,0.277641105517581,0.407843137254902,0.407843137254902,0.366666666666667,0.0706516643225504,0.199664464602005,0.0441975839182543,0.122675642754035,-0.0253502355370724,0.513885936750709,-0.0915229572705747,-0.115238095238095,-0.12,-0.0987397787397787,-0.0990648567119155,-0.0990648567119155,-0.107830687830688,0.133942334197034,0.134973262032086,0.0508985507246377,0.0226573899846699,-0.0349297342842527,0.052593465978875,-0.248405280790404,-0.249636363636364,-0.1,0.129090909090909,-0.0491622036691953,0.30498056255401,0.295806816009965,0.289116038433112,0.274969696969697,-0.135903118510759,-0.197799043062201,-0.408043155455765,0.0990648567119155,-0.215458951849998,-0.375,-0.209139249247768,-0.35,-0.0890687429210704,-0.395277707222081,-0.388978494623656,-0.3,-0.428773369813041,-0.438338587204346,-0.428773369813041,-0.442017516970232,-0.443118197399248
"SMAD",0.185674756877764,0.0724173364327765,0.206003235059839,0.0183457990835123,0.015204968283107,0.0239010989010989,0.0146478641816292,0.0142857142857143,-0.00571428571428572,-0.02,0.0479341283236442,0.00429543121345665,0.0360028004819434,0.150073708101934,0.0157659321984391,-0.156429903667027,0.157989811020206,0.122222222222222,0.0888888888888889,0.11759477124183,0.158318758388627,0.158318758388627,0.120261437908497,-0.0271460722323438,-0.0317972350230415,0.0655624740556248,0.0958329208212527,0.0967761017450458,-0.030151811658661,-0.0394047282172117,-0.0333333333333333,0.1,-0.0285714285714286,-0.0473940791887675,-0.101184591420921,0.0430041786325989,0.039816927636583,0.0403755868544601,0.0261845337708053,0.0495238095238095,0.0658917748917749,-0.158318758388627,0.0427367268746579,-0.0716666666666667,0.0506732348111659,-0.0666666666666667,-0.124026395171163,-0.0700773620726897,-0.0652446483180428,-0.0416666666666667,0.00571428571428572,-0.00408963585434173,-0.0142857142857143,-0.0109987267634326,-0.0303759190449838
"KLF4",0.421101411348446,0.446543586518822,0.0710835913312694,0.443387379983931,0.442017516970232,0.428773369813041,0.379663197010758,0.366666666666667,0.366666666666667,0.3,0.0592592592592593,0.199045907900974,0.0399145299145299,0.111916149083149,0.0696803185406191,0.510333859688698,-0.0990648567119155,-0.12,-0.1,-0.107830687830688,-0.109358974358974,-0.109358974358974,-0.115238095238095,0.134973262032086,0.129090909090909,0.048,0.0219862490450726,-0.0428244711263579,0.0508985507246377,-0.242684456991777,-0.213636363636364,-0.1,0.12,-0.0448968008255934,0.309263616557734,0.289116038433112,0.274969696969697,0.249636363636364,-0.133942334197034,-0.187272727272727,-0.406441324792149,0.109358974358974,-0.209139249247768,-0.35,-0.197799043062201,-0.3,-0.0774582560296846,-0.388978494623656,-0.375,-0.2,-0.407843137254902,-0.428773369813041,-0.407843137254902,-0.438338587204346,-0.439118197399248
"FOXC2",0.421101411348446,0.446543586518822,0.0710835913312694,0.443387379983931,0.442017516970232,0.428773369813041,0.379663197010758,0.366666666666667,0.366666666666667,0.3,0.0592592592592593,0.199045907900974,0.0399145299145299,0.111916149083149,0.0696803185406191,0.510333859688698,-0.0990648567119155,-0.12,-0.1,-0.107830687830688,-0.109358974358974,-0.109358974358974,-0.115238095238095,0.134973262032086,0.129090909090909,0.048,0.0219862490450726,-0.0428244711263579,0.0508985507246377,-0.242684456991777,-0.213636363636364,-0.1,0.12,-0.0448968008255934,0.309263616557734,0.289116038433112,0.274969696969697,0.249636363636364,-0.133942334197034,-0.187272727272727,-0.406441324792149,0.109358974358974,-0.209139249247768,-0.35,-0.197799043062201,-0.3,-0.0774582560296846,-0.388978494623656,-0.375,-0.2,-0.407843137254902,-0.428773369813041,-0.407843137254902,-0.438338587204346,-0.439118197399248
"STAT",0.324352469959947,0.365605349608214,0.169526627218935,0.350539399844002,0.345652629879759,0.315584415584416,0.310506303323241,0.242857142857143,0.242857142857143,0.3,0.146028916617152,0.192284969932029,0.0274815402349392,0.120878767572584,0.206032297148716,0.20721308431694,-0.102239886177055,-0.07,-0.05,-0.0478853914447135,-0.103732423490488,-0.103732423490488,-0.0461904761904762,0.00588235294117647,0,-0.00990338164251207,-0.0166666666666667,-0.0142857142857143,-0.00645510578044311,-0.0924199045671438,-0.0772727272727273,0,0,-0.0446028330643715,0.120244964098038,0.139699627857523,0.128588516746411,0.102272727272727,-0.0155597722960152,-0.096078431372549,-0.172299188014772,0.103732423490488,-0.112504566245286,-0.0466666666666667,-0.109591944886063,0,-0.0827992277992278,-0.0784427522809906,-0.0722480620155039,0,-0.292857142857143,-0.315584415584416,-0.292857142857143,-0.335242535242535,-0.334912146676853
"Csn",0.553480637673718,0.509316830191491,0.0744168734491315,0.233624159152645,0.228272385250059,0.208876886857776,0.0849964669653343,0.166666666666667,0.166666666666667,0.133333333333333,0.0383365653953889,0.145290958451369,0.0374649165640593,0.186821368705505,-0.0114500597302122,0.159908874495383,0.247981068282385,0.136666666666667,0.12,0.1365,0.242798726631713,0.242798726631713,0.1325,-0.00943722943722944,-0.0133333333333333,0.00128364389233954,-0.00878183831672204,-0.00551596909950421,0.00308312975352206,-0.155949936580894,-0.143181818181818,0.22,-0.0133333333333333,-0.0384019851116625,0.0224146797568957,0.178265715749241,0.169435166823227,0.156614654002714,0.0104788961038961,-0.159090909090909,-0.075680189865238,-0.242798726631713,-0.177797202797203,-0.0344877344877345,-0.168181818181818,-0.0253968253968254,-0.175550391576464,-0.0477523211261974,-0.0420146162081646,-0.0142857142857143,-0.190804597701149,-0.208876886857776,-0.190804597701149,-0.220876886857776,-0.220667279870876
"NFB",0.13902499461323,0.00390096246547338,0.068515368881975,-0.270589519551267,-0.269726774453228,-0.256324786324786,-0.310395377945241,-0.205555555555556,-0.205555555555556,-0.15,0.0307692307692308,-0.169979736575481,0.0368149285803299,0.129046382469471,-0.247412867294349,0.0422646742180557,0.267736176610366,0.259523809523809,0.342857142857143,0.276220506220506,0.268731201485988,0.268731201485988,0.278442728442728,-0.0633968253968254,-0.0522857142857143,0.0916804180418042,0.0922379478107032,0.111766917293233,0.088334693134741,-0.0904917128024698,-0.0777777777777778,0.3,-0.0642857142857143,-0.0364827586206897,-0.141970121381886,0.0332226569492392,0.0414505050505051,0.0550505050505051,0.0640504201680672,0.00519480519480519,0.193936078878228,-0.268731201485988,0.0176474421635712,-0.0488888888888889,0.0131313131313131,-0.06,-0.143519686142637,-0.0161510409453908,-0.0281992337164751,-0.08,0.236324786324786,0.256324786324786,0.236324786324786,0.265929306098798,0.26531355036973
"SNAI1",0.176137965582273,0.211317505381712,0.160998711058625,0.191214822915172,0.189511157453117,0.179776066181714,0.173718484576022,0.151111111111111,0.151111111111111,0.14,0.0368164425670171,0.127048527269737,0.0263203050705535,-0.00824643244767418,0.122759420876045,-0.0340182650965095,0.00245375507459315,-0.0260964912280702,-0.0208333333333333,-0.0330409356725146,-9.29911259896984e-06,-9.29911259896984e-06,-0.0316520467836257,-0.0184544338000491,-0.0237877671333825,-0.0125379757637822,-0.0184970014992504,0.0466677045062997,-0.0131529819138437,-0.0330013629786802,-0.0406162464985994,-0.0583333333333333,-0.0356521739130435,-0.0353929266730408,-0.0161116709377579,0.0567987617622887,0.0507503746655145,0.0436465495289025,0.0193512947865962,-0.0728205128205128,-0.0960111948153494,9.29911259896984e-06,-0.0844688644688645,-0.000608750071115663,-0.0816117216117216,-0.00184331797235023,-0.0631001652053919,-0.0157932160905331,-0.00860875007111566,0.0142857142857143,-0.17003003003003,-0.180921119138941,-0.16953216374269,-0.186476674694496,-0.185077711519923
"IKK",0.146868131868132,0.0108777066515199,0.0704310776942356,-0.269726774453228,-0.265929306098798,-0.236324786324786,-0.312401713742496,-0.15,-0.15,-0.1,0.0307692307692308,-0.167142857142857,0.0359085841694537,0.135347752332485,-0.254475467615376,0.0520207717790313,0.268731201485988,0.342857142857143,0.3,0.278442728442728,0.263097398669086,0.263097398669086,0.259523809523809,-0.0522857142857143,-0.0642857142857143,0.0986111111111111,0.0993808049535604,0.110714285714286,0.0916804180418042,-0.0956709956709957,-0.1,0.2,-0.05,-0.0353333333333333,-0.137843137254902,0.0414505050505051,0.0550505050505051,0.0777777777777778,0.0633968253968254,-0.00909090909090909,0.19033895657607,-0.263097398669086,0.0131313131313131,-0.06,0.00519480519480519,-0.08,-0.14608378870674,-0.0281992337164751,-0.0488888888888889,-0.1,0.205555555555556,0.236324786324786,0.205555555555556,0.256324786324786,0.256324786324786
"CDC42",0.159521103896104,0.198535550494493,0.157602136899958,0.186476674694496,0.180921119138941,0.151111111111111,0.173065407083566,0.1,0.1,0.1,0.0326031746031746,0.122364532019704,0.0231644172820643,0.0827705627705628,0.128094189661443,-0.0473315006161721,-9.29911259896984e-06,-0.0583333333333333,-0.0333333333333333,-0.0260964912280702,0.00364923747276688,0.00364923747276688,-0.0208333333333333,-0.0356521739130435,-0.04,-0.0193121693121693,-0.022663668165917,0.0388888888888889,-0.0176992660863629,-0.0239079046252647,-0.114285714285714,0,-0.02,-0.034115454091241,-0.0232900432900433,0.0436465495289025,0.0406162464985994,0.019047619047619,0.0237877671333825,-0.0666666666666667,-0.0882291666666667,-0.00364923747276688,-0.0728205128205128,0.0142857142857143,-0.0743589743589744,0.0476190476190476,-0.0611421911421911,-0.000608750071115663,-0.00184331797235023,0.0333333333333333,-0.14,-0.151111111111111,-0.14,-0.17003003003003,-0.16953216374269
"LIV1",0.169339285714286,0.206054347486975,0.157923680308318,0.189511157453117,0.186476674694496,0.16953216374269,0.173614857633016,0.14,0.14,0.1,0.0358818631277648,0.124251324472535,0.0246872599216582,0.0873051689758134,0.125256819419229,-0.0390132366017056,-9.29911259896984e-06,-0.0208333333333333,-0.0583333333333333,-0.0316520467836257,-9.29911259896984e-06,-9.29911259896984e-06,-0.0260964912280702,-0.0237877671333825,-0.0356521739130435,-0.0176992660863629,-0.022663668165917,0.0477997799779978,-0.0125379757637822,-0.0280458356597475,-0.019047619047619,-0.0333333333333333,-0.04,-0.0337939106828809,-0.0178552606813476,0.0507503746655145,0.0436465495289025,0.0406162464985994,0.0184544338000491,-0.0743589743589744,-0.09436413599182,9.29911259896984e-06,-0.0816117216117216,-0.00184331797235023,-0.0728205128205128,0.0142857142857143,-0.0605897049543458,-0.00860875007111566,-0.000608750071115663,0.0476190476190476,-0.151111111111111,-0.17003003003003,-0.151111111111111,-0.180921119138941,-0.179776066181714
"NOTCHic",0.0198070042113929,-0.00541655540720961,0.151932367149758,0.000561198162070571,-0.00233956519670805,-0.0153379953379953,0.0066234825890969,-0.02,-0.02,0,0.0294168391994479,-0.00300164719976041,0.0209804068763606,0.0697578347578348,0.0172759463743586,-0.169788831895398,0.0383596513431596,-0.0444444444444444,-0.0333333333333333,-0.0134366925064599,0.0427931488801054,0.0427931488801054,-0.0111111111111111,-0.0533333333333333,-0.0533333333333333,-0.0219047619047619,0.0769119286510591,0.0656459330143541,-0.0211853374443302,0.0113890717577354,0.0111111111111111,0,-0.02,-0.0317713365539452,-0.0966822300394414,-0.0118442115836815,-0.0086594982078853,-0.0151111111111111,0.0447619047619048,0.0657142857142857,-0.0197107626246699,-0.0427931488801054,-0.0257967499393645,0.0352564102564102,-0.0310599078341014,0.0583333333333333,-0.0527789193160733,0.0369009390356639,0.0293740573152338,0.0333333333333333,0.0123076923076923,0.0153379953379953,0.0123076923076923,0.00764568764568765,0.00781111361756523
"Csl",0.0220161352865034,-0.00328370958149358,0.149722422398377,0.00244799061490076,0.000561198162070571,-0.00781111361756523,0.00815253457686449,-0.0123076923076923,-0.0123076923076923,-0.02,0.0308454106280193,-0.00223043897353933,0.0211982718001079,0.0697578347578348,0.0171596673045911,-0.166433127197411,0.0365214160490419,-0.0111111111111111,-0.0444444444444444,-0.0188630490956072,0.0383596513431596,0.0383596513431596,-0.0134366925064599,-0.0447619047619048,-0.0533333333333333,-0.0211853374443302,0.0762583338798173,0.0697109736647606,-0.0178520041109969,0.0113890717577354,0.0151111111111111,-0.0333333333333333,-0.0533333333333333,-0.0301138779904093,-0.0923932909875227,-0.0102569099963799,-0.0118442115836815,-0.0086594982078853,0.0415010351966874,-0.0310599078341014,-0.0228357626246699,-0.0383596513431596,-0.03125129539391,0.0293740573152338,-0.0257967499393645,0.0352564102564102,-0.0495531128644604,0.0334526631735949,0.0369009390356639,0.0583333333333333,0.0153379953379953,0.00764568764568765,0.0153379953379953,0.00233956519670805,0.00297240394014588
"NOTCH",0.016501219087426,-0.00841655540720961,0.155636070853462,-0.00233956519670805,-0.00764568764568765,-0.0123076923076923,0.00398656575339711,0,0,0,0.0258454106280193,-0.00994609164420485,0.0215584415584416,0.0734615384615385,0.0171228070175439,-0.173596447125859,0.0427931488801054,-0.0333333333333333,0,-0.0111111111111111,0.0442424242424242,0.0442424242424242,-0.0444444444444444,-0.0533333333333333,-0.02,-0.0119047619047619,0.0876811594202899,0.0747368421052632,-0.0219047619047619,0.00816326530612245,0,0,0,-0.029549114331723,-0.101084745762712,-0.0086594982078853,-0.0151111111111111,-0.0111111111111111,0.0533333333333333,0.08,-0.0111014911014911,-0.0442424242424242,-0.0310599078341014,0.0583333333333333,0.0657142857142857,0.0333333333333333,-0.0513704686118479,0.0293740573152338,0.0352564102564102,0,0.02,0.0123076923076923,0.02,0.0153379953379953,0.0153379953379953
"SUFU",0.355157702026045,0.404288009786138,0.195501524825955,0.300233081057621,0.298749705098542,0.184935897435897,0.15280517180023,0.1625,0.27,0.25,0.0397835476587808,0.111315462132676,0.0687942133283086,0.127751930911274,-0.0692599650790504,0.389466523667344,-0.0257661877405907,-0.146857142857143,-0.142857142857143,-0.125432259016152,-0.0286142890064135,-0.0286142890064135,-0.131472527472527,0.162067357929427,0.163216783216783,-0.0493753200204813,-0.0598288039880497,-0.0464850938535149,-0.0482205856093959,-0.152196322499583,-0.0816666666666667,-0.1,0.172307692307692,-0.0277559766094562,0.0881879199326708,0.110296328684217,0.108521180755223,0.0978828828828829,-0.167599272823044,-0.0807575757575758,-0.224198997096859,0.0286142890064135,-0.0937085137085137,-0.0102777777777778,-0.0921212121212121,0.00083333333333333,-0.0896816046006031,-0.0233193908193908,-0.0213888888888889,0.0133333333333333,-0.286666666666667,-0.291521035598706,-0.179166666666667,-0.296032313794194,-0.189025116766752
